#Pass ID: 20260104_053313_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20251203
#Start time: 2026-01-04 05:33:15

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 49008U 21062A   26003.51942929 -.00000034  00000+0  45519-5 0  9990
#TLE: 2 49008  98.7472   8.7829 0001426 160.7926 199.3304 14.19883272233213

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-04 05:33:15.82	183.11	0.14	-51.8	-69.5	3.5	3.04e+01	0	37	0	0	60	115521
2026-01-04 05:33:16.83	183.15	0.20	-52.6	-64.0	3.6	8.46e-01	0	38	104	0	60	57123
2026-01-04 05:33:17.84	183.18	0.26	-52.0	-63.2	3.6	8.45e-01	0	38	104	0	60	52500
2026-01-04 05:33:18.85	183.22	0.32	-53.1	-64.4	3.6	8.44e-01	0	38	104	0	60	60092
2026-01-04 05:33:19.86	183.25	0.38	-51.6	-63.0	3.5	8.45e-01	0	38	104	0	60	51038
2026-01-04 05:33:20.87	183.29	0.44	-51.1	-62.4	3.6	8.44e-01	0	38	104	0	60	47626
2026-01-04 05:33:21.88	183.33	0.50	-52.3	-63.7	3.6	8.45e-01	0	38	104	0	60	55139
2026-01-04 05:33:22.89	183.36	0.56	-52.2	-63.5	3.6	8.46e-01	0	38	104	0	60	53846
2026-01-04 05:33:23.90	183.40	0.62	-52.3	-63.5	3.6	8.46e-01	0	38	104	0	60	54127
2026-01-04 05:33:24.91	183.43	0.68	-51.0	-62.3	3.6	8.46e-01	0	38	104	0	60	47039
2026-01-04 05:33:25.92	183.47	0.74	-51.3	-62.5	3.6	8.46e-01	0	38	104	0	60	48018
2026-01-04 05:33:26.93	183.51	0.80	-51.5	-62.8	3.6	8.45e-01	0	38	104	0	60	49904
2026-01-04 05:33:27.94	183.55	0.86	-51.6	-62.9	3.6	8.45e-01	0	38	104	0	60	50458
2026-01-04 05:33:28.95	183.58	0.92	-51.5	-62.8	3.6	8.45e-01	0	38	104	0	60	49818
