#Pass ID: 20260104_020532_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-04 02:05:34

#Version: 2.2.20231116
#Station: R4.6S_Anadyr_2ch
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 43010U 17072A   25350.96693137  .00000321  00000+0  17364-3 0  9993
#TLE: 2 43010  98.9888 317.3403 0001146 169.6565 190.4634 14.19686173419132

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-04 02:05:34.22	152.52	0.12	-52.8	-70.7	3.5	3.02e+01	0	34	0	0	60	178659
2026-01-04 02:05:35.23	152.52	0.18	-55.1	-67.4	3.6	8.45e-01	0	35	104	0	60	113760
2026-01-04 02:05:36.24	152.52	0.24	-55.2	-67.6	3.6	8.45e-01	0	35	104	0	60	117179
2026-01-04 02:05:37.25	152.52	0.30	-54.4	-66.8	3.6	8.46e-01	0	35	104	0	60	106148
2026-01-04 02:05:38.26	152.52	0.37	-54.6	-67.0	3.6	8.44e-01	0	35	104	0	60	109569
2026-01-04 02:05:39.27	152.52	0.43	-54.1	-66.4	3.6	8.44e-01	0	35	104	0	60	101534
2026-01-04 02:05:40.28	152.52	0.49	-54.1	-66.5	3.6	8.45e-01	0	35	104	0	60	103062
2026-01-04 02:05:41.29	152.52	0.55	-54.6	-67.0	3.6	8.46e-01	0	35	104	0	60	109578
2026-01-04 02:05:42.31	152.52	0.61	-54.2	-66.6	3.6	8.44e-01	0	35	104	0	60	104072
2026-01-04 02:05:43.32	152.52	0.67	-54.4	-66.8	3.6	8.45e-01	0	35	104	0	60	106302
2026-01-04 02:05:44.33	152.52	0.74	-53.4	-65.8	3.6	8.45e-01	0	36	104	0	60	94821
2026-01-04 02:05:45.34	152.52	0.80	-53.1	-65.4	3.6	8.45e-01	0	36	104	0	60	91271
2026-01-04 02:05:46.35	152.52	0.86	-52.8	-65.3	3.6	8.46e-01	0	36	104	0	60	89628
2026-01-04 02:05:47.36	152.52	0.92	-53.5	-65.8	3.6	8.46e-01	0	36	104	0	60	94937
2026-01-04 02:05:48.37	152.52	0.99	-52.9	-65.2	3.6	8.45e-01	0	36	104	0	60	88468
2026-01-04 02:05:49.38	152.52	1.05	-52.3	-64.7	3.6	8.45e-01	0	36	104	0	60	83510
2026-01-04 02:05:50.39	152.52	1.11	-51.5	-63.8	3.6	8.46e-01	0	36	104	0	60	75929
2026-01-04 02:05:51.40	152.52	1.18	-51.8	-64.0	3.6	8.46e-01	0	36	104	0	60	77446
2026-01-04 02:05:52.42	152.52	1.24	-51.6	-64.0	3.6	8.45e-01	0	36	104	0	60	77148
2026-01-04 02:05:53.43	152.52	1.30	-51.8	-64.2	3.6	8.46e-01	0	36	104	0	60	79072
2026-01-04 02:05:54.44	152.52	1.37	-52.0	-64.3	3.6	8.43e-01	0	36	104	0	60	80361
2026-01-04 02:05:55.45	152.52	1.43	-51.7	-64.1	3.6	8.45e-01	0	36	104	0	60	78572
