#Pass ID: 20260104_205844_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20251203
#Start time: 2026-01-04 20:58:45

#Version: 2.2.20231116
#Station: R4.6S_Anadyr_2ch
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 49008U 21062A   25350.97288215  .00000176  00000+0  10353-3 0  9997
#TLE: 2 49008  98.7477 351.4440 0000638 234.3856 125.7261 14.19881381230726

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-04 20:58:45.85	27.32	0.10	-52.0	-67.2	3.5	1.51e+00	0	25	0	0	60	111352
2026-01-04 20:58:46.86	27.27	0.16	-52.4	-64.0	3.6	8.45e-01	0	26	104	0	60	78487
2026-01-04 20:58:47.87	27.23	0.22	-52.6	-64.3	3.6	8.45e-01	0	26	104	0	60	80651
2026-01-04 20:58:48.88	27.18	0.27	-52.4	-64.1	3.6	8.45e-01	0	26	104	0	60	78743
2026-01-04 20:58:49.89	27.14	0.33	-51.4	-63.1	3.6	8.45e-01	0	27	104	0	60	70115
2026-01-04 20:58:50.91	27.09	0.39	-51.4	-63.0	3.6	8.47e-01	0	27	104	0	60	69858
2026-01-04 20:58:51.92	27.04	0.44	-51.2	-62.8	3.6	8.45e-01	0	27	104	0	60	68214
2026-01-04 20:58:52.93	27.00	0.50	-51.1	-62.7	3.6	8.45e-01	0	27	104	0	60	67425
2026-01-04 20:58:53.94	26.95	0.56	-51.4	-63.1	3.6	8.45e-01	0	27	104	0	60	70314
2026-01-04 20:58:54.95	26.90	0.62	-51.1	-62.7	3.6	8.44e-01	0	27	104	0	60	67533
2026-01-04 20:58:55.96	26.85	0.67	-50.9	-62.6	3.6	8.45e-01	0	27	104	0	60	66182
2026-01-04 20:58:56.97	26.81	0.73	-50.8	-62.4	3.6	8.45e-01	0	27	104	0	60	64988
2026-01-04 20:58:57.98	26.76	0.79	-50.7	-62.3	3.6	8.46e-01	0	27	104	0	60	64130
2026-01-04 20:58:58.99	26.71	0.85	-50.5	-62.1	3.6	8.45e-01	0	27	104	0	60	63081
2026-01-04 20:59:00.00	26.66	0.90	-50.5	-62.1	3.6	8.46e-01	0	27	104	0	60	62604
2026-01-04 20:59:01.02	26.61	0.96	-50.3	-61.9	3.6	8.45e-01	0	27	104	0	60	61484
2026-01-04 20:59:02.03	26.56	1.02	-49.8	-61.4	3.6	8.45e-01	0	27	104	0	60	57820
2026-01-04 20:59:03.04	26.51	1.08	-49.8	-61.3	3.6	8.46e-01	0	27	104	0	60	57584
2026-01-04 20:59:04.05	26.47	1.14	-49.3	-60.9	3.6	8.44e-01	0	27	104	0	60	54972
2026-01-04 20:59:05.06	26.42	1.19	-49.3	-60.9	3.6	8.45e-01	0	27	104	0	60	54595
2026-01-04 20:59:06.07	26.37	1.25	-49.3	-60.9	3.6	8.45e-01	0	27	104	0	60	54945
2026-01-04 20:59:07.08	26.32	1.31	-49.3	-60.9	3.6	8.45e-01	0	27	104	0	60	54939
2026-01-04 20:59:08.09	26.27	1.37	-49.3	-60.9	3.6	8.45e-01	0	27	104	0	60	54762
2026-01-04 20:59:09.10	26.22	1.43	-49.3	-60.9	3.6	8.45e-01	0	27	104	0	60	54476
2026-01-04 20:59:10.11	26.17	1.49	-49.2	-60.8	3.6	8.45e-01	0	27	104	0	60	54308
2026-01-04 20:59:11.12	26.12	1.55	-49.2	-60.9	3.6	8.45e-01	0	27	104	0	60	54543
2026-01-04 20:59:12.13	26.07	1.60	-49.2	-60.8	3.5	8.46e-01	0	27	104	0	60	54314
2026-01-04 20:59:13.15	26.01	1.66	-49.2	-60.8	3.6	8.45e-01	0	27	104	0	60	54382
2026-01-04 20:59:14.16	25.96	1.72	-49.3	-60.9	3.6	8.45e-01	0	27	104	0	60	54796
2026-01-04 20:59:15.17	25.91	1.78	-49.3	-61.0	3.6	8.44e-01	0	27	104	0	60	55539
