#Pass ID: 20260104_113037_AQUA
#Satellite: AQUA
#Configuration: AQUA
#Start time: 2026-01-04 11:30:42.959545

#LorettStation: 1.0.0 05.05.2024
#Station: Regia
#Location: 37.494653 lon 55.929028 lat
#TLE: 1 27424U 02022A   25365.92641127  .00002078  00000+0  42628-3 0  9999
#TLE: 2 27424  98.4058 327.1196 0001962  94.7781 340.6230 14.61783896258835

#Time	Az	El	Level	SNR
2026-01-04 11:30:45.096270	153.4	15.3	-69.4	0.0
2026-01-04 11:30:46.211600	153.3	15.4	-69.4	0.0
2026-01-04 11:30:47.327838	153.3	15.5	-69.6	0.0
2026-01-04 11:30:48.443120	153.3	15.7	-69.4	0.0
2026-01-04 11:30:49.557972	153.3	15.8	-69.5	0.0
2026-01-04 11:30:50.674169	153.2	15.9	-69.5	0.0
2026-01-04 11:30:51.788105	153.2	16.1	-69.8	0.0
2026-01-04 11:30:52.905244	153.2	16.2	-69.2	0.0
2026-01-04 11:30:54.019109	153.1	16.3	-69.7	0.0
2026-01-04 11:30:55.138622	153.1	16.5	-69.5	0.0
2026-01-04 11:30:56.253174	153.1	16.6	-69.6	0.0
2026-01-04 11:30:57.367404	153.0	16.8	-69.2	0.0
2026-01-04 11:30:58.482261	153.0	16.9	-69.4	0.0
2026-01-04 11:30:59.596676	153.0	17.0	-69.5	0.0
2026-01-04 11:31:00.710925	153.0	17.2	-69.6	0.0
2026-01-04 11:31:01.826404	152.9	17.3	-69.5	0.0
2026-01-04 11:31:02.941566	152.9	17.5	-69.5	0.0
2026-01-04 11:31:04.057090	152.9	17.6	-69.4	0.0
2026-01-04 11:31:05.171994	152.8	17.8	-69.7	0.0
2026-01-04 11:31:06.291159	152.8	17.9	-69.5	0.0
2026-01-04 11:31:07.406122	152.8	18.1	-69.3	0.0
2026-01-04 11:31:08.520806	152.7	18.2	-69.5	0.0
2026-01-04 11:31:09.635902	152.7	18.4	-69.4	0.0
2026-01-04 11:31:10.751221	152.6	18.5	-69.6	0.0
2026-01-04 11:31:11.866235	152.6	18.7	-69.5	0.0
2026-01-04 11:31:12.981455	152.6	18.8	-69.5	0.0
2026-01-04 11:31:14.096513	152.5	19.0	-69.5	0.0
2026-01-04 11:31:15.211432	152.5	19.1	-69.3	0.0
2026-01-04 11:31:16.326178	152.5	19.3	-69.4	0.0
2026-01-04 11:31:17.440763	152.4	19.5	-69.4	0.0
2026-01-04 11:31:18.555950	152.4	19.6	-69.4	0.0
2026-01-04 11:31:19.671816	152.3	19.8	-69.1	0.0
2026-01-04 11:31:20.786493	152.3	19.9	-69.7	0.0
2026-01-04 11:31:21.901665	152.3	20.1	-69.6	0.0
2026-01-04 11:31:23.016170	152.2	20.3	-69.8	0.0
2026-01-04 11:31:24.130436	152.2	20.4	-69.5	0.0
2026-01-04 11:31:25.244877	152.1	20.6	-69.5	0.0
2026-01-04 11:31:26.359736	152.1	20.8	-69.3	0.0
2026-01-04 11:31:27.475015	152.1	20.9	-69.1	0.0
2026-01-04 11:31:28.588994	152.0	21.1	-69.3	0.0
2026-01-04 11:31:29.704852	152.0	21.3	-69.5	0.0
2026-01-04 11:31:30.819729	151.9	21.5	-69.4	0.0
2026-01-04 11:31:31.934397	151.9	21.6	-69.4	0.0
2026-01-04 11:31:33.049001	151.8	21.8	-69.5	0.0
2026-01-04 11:31:34.162725	151.8	22.0	-69.3	0.0
2026-01-04 11:31:35.276914	151.7	22.2	-69.5	0.0
2026-01-04 11:31:36.391729	151.7	22.3	-69.5	0.0
2026-01-04 11:31:37.506258	151.6	22.5	-69.7	0.0
2026-01-04 11:31:38.621165	151.6	22.7	-69.6	0.0
2026-01-04 11:31:39.735324	151.5	22.9	-69.4	0.0
2026-01-04 11:31:40.848820	151.5	23.1	-69.4	0.0
2026-01-04 11:31:41.965326	151.4	23.3	-69.1	0.0
2026-01-04 11:31:43.078772	151.4	23.4	-69.4	0.0
2026-01-04 11:31:44.193165	151.3	23.6	-69.1	0.0
2026-01-04 11:31:45.307236	151.3	23.8	-69.4	0.0
2026-01-04 11:31:46.429074	151.2	24.0	-69.4	0.0
2026-01-04 11:31:47.542678	151.2	24.2	-69.3	0.0
2026-01-04 11:31:48.660340	151.1	24.4	-69.6	0.0
2026-01-04 11:31:49.778367	151.1	24.6	-69.2	0.0
2026-01-04 11:31:50.892002	151.0	24.8	-69.5	0.0
2026-01-04 11:31:52.012267	151.0	25.0	-69.5	0.0
2026-01-04 11:31:53.126206	150.9	25.2	-69.4	0.0
