#Pass ID: 20260104_121255_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-04 12:12:56

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 43010U 17072A   26003.93866112 -.00000029  00000+0  82070-5 0  9995
#TLE: 2 43010  98.9913 335.5841 0001959 128.6134 231.5217 14.19691935421687

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-04 12:12:56.13	168.42	5.07	-51.8	-65.6	3.8	8.46e-01	0	41	0	0	75	17393
2026-01-04 12:12:57.13	168.43	5.14	-50.2	-65.3	3.8	8.46e-01	0	41	104	0	71	21219
2026-01-04 12:12:58.13	168.45	5.21	-50.1	-65.3	3.8	8.47e-01	0	41	104	0	71	21076
2026-01-04 12:12:59.14	168.47	5.29	-50.2	-65.2	3.8	8.46e-01	0	41	104	0	71	20875
2026-01-04 12:13:00.14	168.48	5.36	-50.2	-65.2	3.8	8.46e-01	0	41	104	0	71	20875
2026-01-04 12:13:01.15	168.50	5.43	-50.2	-65.3	3.8	8.48e-01	0	41	104	0	71	21141
2026-01-04 12:13:02.15	168.52	5.50	-50.2	-65.3	3.8	8.48e-01	0	41	104	0	71	21114
2026-01-04 12:13:03.15	168.53	5.58	-50.2	-65.4	3.8	8.46e-01	0	41	104	0	71	21383
2026-01-04 12:13:04.16	168.55	5.65	-50.2	-65.5	3.8	8.47e-01	0	41	104	0	71	21548
2026-01-04 12:13:05.16	168.57	5.72	-50.3	-65.6	3.8	8.48e-01	0	41	104	0	71	21838
2026-01-04 12:13:06.16	168.59	5.80	-50.1	-65.6	3.8	8.46e-01	0	41	104	0	71	21908
2026-01-04 12:13:07.17	168.60	5.87	-50.0	-65.5	3.8	8.48e-01	0	41	104	0	71	21722
2026-01-04 12:13:08.17	168.62	5.95	-50.2	-65.5	3.8	8.47e-01	0	41	104	0	71	21607
2026-01-04 12:13:09.17	168.64	6.02	-50.2	-65.1	3.8	8.48e-01	0	41	104	0	71	20627
2026-01-04 12:13:10.18	168.66	6.10	-50.0	-64.5	3.8	8.47e-01	0	41	104	0	71	19309
2026-01-04 12:13:11.19	168.67	6.17	-50.0	-64.0	3.8	8.47e-01	0	41	104	0	71	18305
2026-01-04 12:13:12.19	168.69	6.25	-49.8	-63.6	3.8	8.46e-01	0	41	104	0	71	17397
2026-01-04 12:13:13.19	168.71	6.32	-49.9	-63.3	3.9	8.46e-01	0	42	104	0	71	16862
2026-01-04 12:13:14.20	168.73	6.40	-50.3	-63.4	4.0	8.44e-01	0	42	104	0	71	17076
2026-01-04 12:13:15.20	168.75	6.47	-50.1	-63.1	4.0	8.44e-01	0	42	104	0	71	16474
2026-01-04 12:13:16.20	168.76	6.55	-50.1	-63.2	3.9	8.43e-01	0	42	104	0	71	16550
2026-01-04 12:13:17.21	168.78	6.62	-50.0	-63.3	4.0	8.45e-01	0	42	104	0	71	16793
2026-01-04 12:13:18.21	168.80	6.70	-50.0	-63.5	3.8	8.45e-01	0	42	104	0	71	17275
2026-01-04 12:13:19.21	168.82	6.78	-50.0	-63.8	3.8	8.46e-01	0	42	104	0	71	17815
2026-01-04 12:13:20.22	168.84	6.85	-50.0	-64.3	3.8	8.48e-01	0	42	104	0	71	18873
2026-01-04 12:13:21.22	168.86	6.93	-50.0	-64.7	3.8	8.47e-01	0	42	104	0	71	19808
2026-01-04 12:13:22.23	168.88	7.01	-50.1	-64.9	3.8	8.47e-01	0	42	104	0	71	20178
2026-01-04 12:13:23.23	168.89	7.09	-50.0	-64.8	3.8	8.46e-01	0	42	104	0	71	19852
2026-01-04 12:13:24.23	168.91	7.16	-50.0	-64.4	3.8	8.47e-01	0	42	104	0	71	19121
2026-01-04 12:13:25.24	168.93	7.24	-50.0	-64.0	3.8	8.47e-01	0	42	104	0	71	18229
2026-01-04 12:13:26.24	168.95	7.32	-50.0	-63.3	3.8	8.46e-01	0	42	104	0	71	16876
2026-01-04 12:13:27.24	168.97	7.40	-50.0	-62.3	4.1	8.42e-01	0	42	0	0	71	15043
2026-01-04 12:13:28.25	168.99	7.48	-49.8	-61.4	4.3	8.36e-01	0	42	0	0	71	13425
2026-01-04 12:13:29.25	169.01	7.56	-49.6	-60.2	4.8	8.02e-01	0	42	0	0	71	11770
2026-01-04 12:13:30.25	169.03	7.63	-49.5	-59.4	5.3	7.63e-01	0	42	0	0	70	11339
2026-01-04 12:13:31.25	169.05	7.71	-49.6	-58.5	6.0	3.95e-01	0	42	0	3145728	70	10257
2026-01-04 12:13:32.26	169.07	7.79	-49.2	-57.3	6.8	2.45e-01	0	42	0	8388608	70	8952
2026-01-04 12:13:33.26	169.09	7.87	-49.0	-56.5	7.6	1.32e-01	0	42	0	13631488	69	8607
2026-01-04 12:13:34.26	169.11	7.95	-48.8	-55.8	8.3	6.93e-02	0	42	0	19922944	69	7932
2026-01-04 12:13:35.26	169.13	8.03	-48.8	-55.3	9.0	3.77e-02	0	42	0	25165824	69	7466
2026-01-04 12:13:36.26	169.15	8.11	-48.6	-54.7	9.5	1.77e-02	0	42	0	30408704	69	7015
