#Pass ID: 20260104_003515_METEOR-M2 4
#Satellite: METEOR-M2 4
#Configuration: METEOR-M2 4
#Start time: 2026-01-04 00:35:20.548787

#LorettStation: 1.0.0 05.05.2024
#Station: planumMaritime01
#Location: 37.49445 lon 55.92918 lat
#TLE: 1 59051U 24039A   26003.65226437  .00000074  00000+0  52640-4 0  9995
#TLE: 2 59051  98.6797 325.2209 0006055 289.8349  70.2176 14.22405521 95878

#Time	Az	El	Level	SNR
2026-01-04 00:35:22.725444	22.1	10.2	-77.7	0.0
2026-01-04 00:35:23.856921	22.1	10.3	-76.8	0.0
2026-01-04 00:35:24.992227	22.2	10.4	-77.6	0.0
2026-01-04 00:35:26.127848	22.2	10.5	-77.5	0.0
2026-01-04 00:35:27.268113	22.3	10.6	-76.5	0.0
2026-01-04 00:35:28.406180	22.3	10.7	-74.1	0.0
2026-01-04 00:35:29.543988	22.4	10.8	-71.4	0.0
2026-01-04 00:35:30.682872	22.4	10.9	-73.0	0.0
2026-01-04 00:35:31.819933	22.5	11.0	-71.6	0.0
2026-01-04 00:35:32.957400	22.5	11.1	-70.9	0.0
2026-01-04 00:35:34.091281	22.6	11.2	-69.0	0.0
2026-01-04 00:35:35.228005	22.6	11.3	-70.8	0.0
2026-01-04 00:35:36.364128	22.7	11.4	-70.1	0.0
2026-01-04 00:35:37.495266	22.7	11.5	-71.8	0.0
2026-01-04 00:35:38.624821	22.8	11.6	-70.3	0.0
2026-01-04 00:35:39.754514	22.8	11.7	-72.1	0.0
2026-01-04 00:35:40.887463	22.9	11.8	-71.7	0.0
2026-01-04 00:35:42.021602	22.9	11.9	-70.1	0.0
2026-01-04 00:35:43.151347	23.0	12.0	-70.1	0.0
2026-01-04 00:35:44.285783	23.0	12.1	-70.9	0.0
2026-01-04 00:35:45.417103	23.1	12.2	-70.5	0.0
2026-01-04 00:35:46.549307	23.1	12.3	-70.7	0.0
2026-01-04 00:35:47.686996	23.2	12.4	-71.5	0.0
2026-01-04 00:35:48.817028	23.3	12.5	-69.1	0.0
2026-01-04 00:35:49.951391	23.3	12.6	-70.1	0.0
2026-01-04 00:35:51.083005	23.4	12.7	-70.0	0.0
2026-01-04 00:35:52.213871	23.4	12.8	-70.1	0.0
2026-01-04 00:35:53.346822	23.5	12.9	-70.3	0.0
2026-01-04 00:35:54.479745	23.5	13.0	-70.3	0.0
2026-01-04 00:35:55.610235	23.6	13.1	-69.9	0.0
2026-01-04 00:35:56.743184	23.6	13.3	-67.9	0.0
