#Pass ID: 20260104_165716_METOP-C
#Satellite: METOP-C
#Configuration: METOP-C
#Start time: 2026-01-04 16:57:21.186697

#LorettStation: 1.0.0 05.05.2024
#Station: planumMaritime01
#Location: 37.49445 lon 55.92918 lat
#TLE: 1 43689U 18087A   26003.64214103  .00000255  00000+0  13641-3 0  9995
#TLE: 2 43689  98.6897  66.0725 0000140 327.1769  32.9399 14.21494298371454

#Time	Az	El	Level	SNR
2026-01-04 16:57:23.361192	121.3	10.2	-76.8	0.0
2026-01-04 16:57:24.488149	121.2	10.3	-76.0	0.0
2026-01-04 16:57:25.614650	121.1	10.3	-76.0	0.0
2026-01-04 16:57:26.740903	121.0	10.4	-75.7	0.0
2026-01-04 16:57:27.867395	120.9	10.5	-75.0	0.0
2026-01-04 16:57:28.993440	120.8	10.6	-74.9	2.4
2026-01-04 16:57:30.120255	120.7	10.7	-75.2	1.8
2026-01-04 16:57:31.248446	120.6	10.8	-75.0	2.0
2026-01-04 16:57:32.373920	120.6	10.9	-74.2	1.8
2026-01-04 16:57:33.501401	120.5	11.0	-74.4	3.1
2026-01-04 16:57:34.627298	120.4	11.1	-74.2	1.3
2026-01-04 16:57:35.754310	120.3	11.2	-73.3	2.1
2026-01-04 16:57:36.880912	120.2	11.3	-73.9	1.8
2026-01-04 16:57:38.008381	120.1	11.4	-74.0	3.6
2026-01-04 16:57:39.135585	120.0	11.4	-73.5	1.9
2026-01-04 16:57:40.261234	119.9	11.5	-73.2	2.6
2026-01-04 16:57:41.387330	119.8	11.6	-73.0	1.1
2026-01-04 16:57:42.513046	119.7	11.7	-73.8	2.4
2026-01-04 16:57:43.640218	119.6	11.8	-73.4	2.8
2026-01-04 16:57:44.767472	119.5	11.9	-72.9	1.3
2026-01-04 16:57:45.893111	119.4	12.0	-74.1	2.8
2026-01-04 16:57:47.020351	119.3	12.1	-73.1	2.0
2026-01-04 16:57:48.148585	119.1	12.2	-74.0	2.8
2026-01-04 16:57:49.275396	119.0	12.3	-74.0	3.3
2026-01-04 16:57:50.401832	118.9	12.4	-73.9	1.8
2026-01-04 16:57:51.529141	118.8	12.5	-74.3	0.0
2026-01-04 16:57:52.657234	118.7	12.6	-73.6	3.9
2026-01-04 16:57:53.784829	118.6	12.7	-73.9	0.1
2026-01-04 16:57:54.910233	118.5	12.8	-74.0	3.6
2026-01-04 16:57:56.036454	118.4	12.9	-74.0	2.4
2026-01-04 16:57:57.162377	118.3	13.0	-74.2	3.7
2026-01-04 16:57:58.290835	118.2	13.1	-74.6	3.5
2026-01-04 16:57:59.417114	118.1	13.2	-73.7	3.2
2026-01-04 16:58:00.542187	117.9	13.3	-73.9	4.6
2026-01-04 16:58:01.669813	117.8	13.4	-74.5	4.8
2026-01-04 16:58:02.796403	117.7	13.4	-73.9	3.5
2026-01-04 16:58:03.925452	117.6	13.5	-73.7	4.1
2026-01-04 16:58:05.051818	117.5	13.6	-73.0	1.2
2026-01-04 16:58:06.178067	117.4	13.7	-74.0	4.2
2026-01-04 16:58:07.304771	117.3	13.8	-74.1	4.8
2026-01-04 16:58:08.432034	117.1	13.9	-73.9	2.9
