#Pass ID: 20260105_073948_METEOR-M2 3
#Satellite: METEOR-M2 3
#Configuration: METEOR-M2 3
#Start time: 2026-01-05 07:39:53.146126

#LorettStation: 1.0.0 05.05.2024
#Station: PlanumMoscow
#Location: 37.6253844 lon 55.6713361 lat
#TLE: 1 57166U 23091A   25293.99389264  .00000062  00000+0  46113-4 0  9997
#TLE: 2 57166  98.6457 348.4330 0004759 135.3141 224.8422 14.24016546120475

#Time	Az	El	Level	SNR
2026-01-05 07:43:31.586089	10.7	29.4	-60.6	5.9
2026-01-05 07:43:32.705341	10.6	29.6	-60.0	3.6
2026-01-05 07:43:33.827098	10.5	29.8	-61.1	3.1
2026-01-05 07:43:34.948359	10.5	30.0	-61.9	7.0
2026-01-05 07:43:36.070124	10.4	30.2	-61.2	7.1
2026-01-05 07:43:37.192376	10.4	30.4	-60.1	5.6
2026-01-05 07:43:38.314133	10.3	30.7	-60.9	9.0
2026-01-05 07:43:39.435890	10.3	30.9	-60.6	6.9
2026-01-05 07:43:40.557647	10.2	31.1	-61.8	7.5
2026-01-05 07:43:41.675908	10.1	31.3	-62.0	9.8
2026-01-05 07:43:42.795169	10.1	31.5	-61.4	10.8
2026-01-05 07:43:43.914933	10.0	31.8	-60.6	4.1
2026-01-05 07:43:45.037186	9.9	32.0	-62.3	8.9
2026-01-05 07:43:46.159448	9.9	32.2	-62.5	10.9
2026-01-05 07:43:47.281205	9.8	32.5	-62.7	8.2
2026-01-05 07:43:48.403466	9.8	32.7	-58.8	3.1
2026-01-05 07:43:49.525719	9.7	32.9	-60.6	8.6
2026-01-05 07:43:50.647476	9.6	33.2	-62.1	8.3
2026-01-05 07:43:51.770737	9.5	33.4	-60.5	5.0
2026-01-05 07:43:52.889989	9.5	33.6	-62.3	9.0
2026-01-05 07:43:54.010241	9.4	33.9	-61.4	6.6
2026-01-05 07:43:55.130999	9.3	34.1	-62.5	7.2
2026-01-05 07:43:56.252251	9.3	34.4	-61.8	6.4
2026-01-05 07:43:57.373504	9.2	34.6	-61.4	6.5
2026-01-05 07:43:58.494260	9.1	34.9	-63.0	8.8
2026-01-05 07:43:59.615522	9.0	35.1	-62.8	8.0
2026-01-05 07:44:00.735792	8.9	35.4	-61.8	4.7
2026-01-05 07:44:01.858045	8.9	35.6	-63.1	7.8
2026-01-05 07:44:02.978307	8.8	35.9	-63.9	11.6
2026-01-05 07:44:04.100559	8.7	36.1	-60.8	6.1
2026-01-05 07:44:05.219316	8.6	36.4	-63.4	10.7
2026-01-05 07:44:06.338071	8.5	36.7	-62.8	7.6
2026-01-05 07:44:07.458324	8.4	36.9	-63.6	9.7
2026-01-05 07:44:08.580081	8.3	37.2	-61.9	7.3
2026-01-05 07:44:09.700845	8.3	37.5	-60.1	5.5
2026-01-05 07:44:10.820097	8.2	37.7	-60.7	10.3
2026-01-05 07:44:11.942854	8.1	38.0	-58.7	3.4
2026-01-05 07:44:13.063620	8.0	38.3	-58.8	2.9
2026-01-05 07:44:14.185377	7.9	38.6	-60.0	7.1
2026-01-05 07:44:15.305629	7.8	38.9	-61.1	5.4
2026-01-05 07:44:16.425881	7.7	39.1	-61.3	5.7
2026-01-05 07:44:17.546150	7.6	39.4	-62.2	11.2
2026-01-05 07:44:18.666403	7.5	39.7	-60.6	7.4
