#Pass ID: 20260105_034005_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20240730
#Start time: 2026-01-05 03:40:07

#Version: 2.2.20231116
#Station: R3.0SM8_Murmansk_STILSPACE
#Location: 33.092731 lon 68.902999 lat
#TLE: 1 43010U 17072A   26004.50247883 -.00000063  00000+0 -78815-5 0  9998
#TLE: 2 43010  98.9915 336.1565 0001968 126.3752 233.7605 14.19691805421760

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-05 03:40:07.48	28.87	3.15	-52.4	-63.0	3.8	8.46e-01	0	46	0	0	67	12358
2026-01-05 03:40:08.46	28.85	3.22	-52.1	-62.9	3.8	8.47e-01	0	47	104	0	67	12160
2026-01-05 03:40:09.46	28.83	3.28	-52.1	-62.8	3.8	8.46e-01	0	47	104	0	67	11997
2026-01-05 03:40:10.45	28.81	3.35	-52.0	-62.7	3.8	8.45e-01	0	47	104	0	66	12555
2026-01-05 03:40:11.44	28.79	3.41	-51.8	-62.4	3.8	8.46e-01	0	47	104	0	66	12219
2026-01-05 03:40:12.43	28.77	3.48	-51.4	-61.4	3.8	8.46e-01	0	47	104	0	65	11479
2026-01-05 03:40:13.43	28.75	3.55	-51.2	-60.7	3.8	8.45e-01	0	47	104	0	65	10624
2026-01-05 03:40:14.41	28.73	3.61	-51.3	-60.4	3.8	8.45e-01	0	47	104	0	65	10262
2026-01-05 03:40:15.39	28.71	3.68	-51.1	-60.1	3.8	8.45e-01	0	47	104	0	65	9832
2026-01-05 03:40:16.38	28.69	3.74	-51.1	-59.6	4.0	8.45e-01	0	47	104	0	65	9378
2026-01-05 03:40:17.36	28.67	3.81	-51.1	-59.1	4.1	8.42e-01	0	47	0	0	65	8793
2026-01-05 03:40:18.35	28.64	3.88	-51.0	-58.7	4.2	8.40e-01	0	47	0	0	65	8449
2026-01-05 03:40:19.34	28.62	3.94	-50.9	-58.3	4.3	8.35e-01	0	47	0	0	64	8556
2026-01-05 03:40:20.33	28.60	4.01	-50.8	-57.9	4.4	8.30e-01	0	47	0	0	64	8089
2026-01-05 03:40:21.32	28.58	4.08	-50.7	-57.4	4.6	8.17e-01	0	47	0	0	64	7636
2026-01-05 03:40:22.31	28.56	4.15	-50.6	-56.8	4.9	7.90e-01	0	48	0	0	64	7196
2026-01-05 03:40:23.30	28.54	4.21	-50.5	-56.2	5.3	7.27e-01	0	47	0	0	63	7073
2026-01-05 03:40:24.28	28.51	4.28	-50.3	-55.6	5.8	4.32e-01	0	48	0	2097152	63	6575
2026-01-05 03:40:25.27	28.49	4.35	-50.1	-54.9	6.2	3.49e-01	0	48	0	7340032	63	6088
2026-01-05 03:40:26.26	28.47	4.42	-49.9	-54.4	6.6	2.51e-01	0	48	0	12582912	63	5782
2026-01-05 03:40:27.25	28.45	4.48	-49.6	-53.5	7.6	1.30e-01	0	48	0	18874368	62	5476
2026-01-05 03:40:28.24	28.43	4.55	-49.1	-52.5	8.5	6.04e-02	0	48	0	24117248	61	5201
2026-01-05 03:40:29.22	28.40	4.62	-48.9	-52.1	8.9	4.66e-02	0	48	0	29360128	61	4941
2026-01-05 03:40:30.22	28.38	4.69	-48.5	-51.4	9.6	1.89e-02	0	48	0	34603008	60	4825
2026-01-05 03:40:31.21	28.36	4.76	-48.3	-50.9	10.2	9.68e-03	0	48	0	40894464	59	4841
2026-01-05 03:40:32.20	28.33	4.83	-47.8	-50.0	11.1	2.90e-03	0	48	0	46137344	58	4637
2026-01-05 03:40:33.19	28.31	4.90	-47.5	-49.7	11.5	1.34e-03	0	48	0	51380224	58	4442
2026-01-05 03:40:34.18	28.29	4.97	-47.3	-49.3	11.8	1.11e-03	0	48	0	57671680	57	4543
2026-01-05 03:40:35.17	28.26	5.04	-47.1	-49.0	12.1	4.61e-04	0	48	0	62914560	57	4375
2026-01-05 03:40:36.16	28.24	5.11	-47.0	-49.0	12.2	2.52e-04	0	48	0	68157440	57	4358
2026-01-05 03:40:37.15	28.22	5.18	-47.3	-49.3	11.9	5.79e-04	0	48	0	74448896	57	4511
2026-01-05 03:40:38.14	28.19	5.25	-47.1	-49.1	12.1	4.10e-04	0	48	0	79691776	57	4413
2026-01-05 03:40:39.12	28.17	5.32	-46.7	-48.5	12.7	1.56e-04	0	49	0	84934656	56	4375
2026-01-05 03:40:40.11	28.15	5.39	-46.6	-48.3	12.9	8.69e-05	0	48	0	90177536	56	4278
2026-01-05 03:40:41.09	28.12	5.46	-46.8	-48.6	12.6	9.95e-05	0	49	0	96468992	56	4422
2026-01-05 03:40:42.08	28.10	5.53	-46.6	-48.3	13.0	7.78e-05	0	49	0	101711872	56	4260
2026-01-05 03:40:43.08	28.07	5.60	-46.1	-47.6	13.5	2.28e-05	0	49	0	106954752	55	4189
2026-01-05 03:40:44.07	28.05	5.67	-46.0	-47.5	13.6	1.14e-05	0	49	0	113246208	55	4140
2026-01-05 03:40:45.06	28.02	5.74	-45.8	-47.3	13.9	3.40e-06	0	49	0	118489088	54	4252
2026-01-05 03:40:46.05	28.00	5.81	-45.6	-47.0	14.3	1.10e-06	0	49	0	123731968	54	4104
2026-01-05 03:40:47.04	27.97	5.88	-45.6	-47.0	14.2	3.40e-06	0	49	0	130023424	54	4132
2026-01-05 03:40:48.04	27.95	5.96	-45.8	-47.2	14.0	4.50e-06	0	49	0	135266304	54	4230
2026-01-05 03:40:49.02	27.92	6.03	-45.2	-46.6	14.6	2.20e-06	0	49	0	140509184	53	4154
2026-01-05 03:40:50.01	27.90	6.10	-45.2	-46.5	14.7	0.00e+00	0	49	0	146800640	53	4112
2026-01-05 03:40:51.00	27.87	6.17	-44.9	-46.1	15.1	0.00e+00	0	49	0	152043520	52	4168
2026-01-05 03:40:51.99	27.85	6.25	-44.9	-46.1	15.1	0.00e+00	0	49	0	157286400	52	4168
2026-01-05 03:40:52.97	27.82	6.32	-44.9	-46.1	15.2	0.00e+00	0	50	0	162529280	52	4154
2026-01-05 03:40:53.97	27.79	6.39	-45.0	-46.2	15.0	0.00e+00	0	49	0	168820736	52	4240
2026-01-05 03:40:54.96	27.77	6.47	-44.9	-46.2	15.1	0.00e+00	0	49	0	174063616	52	4201
2026-01-05 03:40:55.94	27.74	6.54	-44.8	-46.0	15.3	0.00e+00	0	49	0	179306496	52	4115
2026-01-05 03:40:56.93	27.71	6.61	-44.8	-46.0	15.2	0.00e+00	0	50	0	185597952	52	4137
2026-01-05 03:40:57.91	27.69	6.69	-45.0	-46.3	15.0	0.00e+00	0	50	0	190840832	52	4257
2026-01-05 03:40:58.89	27.66	6.76	-44.9	-46.1	15.2	0.00e+00	0	50	0	196083712	52	4185
2026-01-05 03:40:59.88	27.63	6.83	-44.8	-46.0	15.3	0.00e+00	0	50	0	201326592	52	4127
2026-01-05 03:41:00.86	27.61	6.91	-44.8	-45.9	15.3	0.00e+00	0	50	0	207618048	52	4096
2026-01-05 03:41:01.85	27.58	6.98	-45.1	-46.3	15.0	0.00e+00	0	50	0	212860928	52	4263
2026-01-05 03:41:02.84	27.55	7.06	-44.8	-46.0	15.3	0.00e+00	0	50	0	219152384	52	4142
2026-01-05 03:41:03.83	27.53	7.13	-44.7	-45.9	15.4	0.00e+00	0	50	0	224395264	52	4065
2026-01-05 03:41:04.82	27.50	7.21	-44.8	-46.0	15.4	0.00e+00	0	50	0	229638144	52	4115
2026-01-05 03:41:05.82	27.47	7.28	-45.1	-46.4	15.0	2.20e-06	0	50	0	234881024	52	4297
2026-01-05 03:41:06.80	27.44	7.36	-44.9	-46.1	15.3	0.00e+00	0	50	0	241172480	52	4173
2026-01-05 03:41:07.79	27.41	7.44	-44.6	-45.8	15.6	0.00e+00	0	50	0	246415360	52	4013
2026-01-05 03:41:08.79	27.38	7.51	-44.6	-45.7	15.7	0.00e+00	0	50	0	251658240	52	3985
2026-01-05 03:41:09.77	27.36	7.59	-44.5	-45.6	15.8	0.00e+00	0	50	0	257949696	52	3947
2026-01-05 03:41:10.77	27.33	7.67	-44.7	-45.8	15.6	0.00e+00	0	50	0	263192576	52	4044
2026-01-05 03:41:11.76	27.30	7.74	-44.5	-45.7	15.7	0.00e+00	0	50	0	268435456	52	3973
2026-01-05 03:41:12.75	27.27	7.82	-44.5	-45.5	16.0	0.00e+00	0	50	0	274726912	51	4143
2026-01-05 03:41:13.74	27.24	7.90	-44.5	-45.7	15.9	0.00e+00	0	51	0	279969792	51	4194
2026-01-05 03:41:14.73	27.21	7.98	-44.5	-45.6	16.0	0.00e+00	0	50	0	285212672	51	4153
2026-01-05 03:41:15.71	27.18	8.05	-44.4	-45.5	16.0	0.00e+00	0	50	0	290455552	51	4128
2026-01-05 03:41:16.71	27.15	8.13	-44.5	-45.6	15.9	0.00e+00	0	51	0	296747008	51	4173
