#Pass ID: 20260105_091601_SUOMI NPP
#Satellite: SUOMI NPP
#Configuration: NPP
#almurnet v.1.7.20240730
#Start time: 2026-01-05 09:16:02

#Version: 2.2.20231116
#Station: R3.0SM8_Murmansk_STILSPACE
#Location: 33.092731 lon 68.902999 lat
#TLE: 1 37849U 11061A   26003.96724563  .00000164  00000+0  98899-4 0  9990
#TLE: 2 37849  98.7800 306.1116 0002573  82.3190 277.8279 14.19522066735141

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-05 09:16:02.14	143.73	3.03	-52.1	-66.1	3.8	1.49e+00	0	46	0	0	66	18642
2026-01-05 09:16:03.12	143.72	3.09	-52.0	-66.0	3.8	1.49e+00	0	46	104	0	67	17399
2026-01-05 09:16:04.11	143.72	3.16	-52.1	-66.0	3.8	1.49e+00	0	46	104	0	67	17349
2026-01-05 09:16:05.11	143.71	3.23	-52.0	-66.0	3.8	1.49e+00	0	46	104	0	67	17291
2026-01-05 09:16:06.11	143.70	3.29	-52.0	-65.9	3.8	1.49e+00	0	46	104	0	67	17165
2026-01-05 09:16:07.09	143.70	3.36	-51.9	-65.8	3.8	1.49e+00	0	47	104	0	66	18028
2026-01-05 09:16:08.09	143.69	3.43	-51.8	-65.7	3.8	1.49e+00	0	47	104	0	66	17863
2026-01-05 09:16:09.07	143.68	3.49	-51.7	-65.6	3.8	1.49e+00	0	47	104	0	66	17596
2026-01-05 09:16:10.07	143.68	3.56	-51.4	-65.3	3.8	1.49e+00	0	47	104	0	66	16936
2026-01-05 09:16:11.05	143.67	3.63	-51.4	-65.0	3.8	1.49e+00	0	47	104	0	65	17358
2026-01-05 09:16:12.04	143.66	3.70	-51.4	-64.9	3.8	1.49e+00	0	47	104	0	65	17242
2026-01-05 09:16:13.03	143.66	3.76	-51.4	-64.9	3.8	1.49e+00	0	47	104	0	65	17177
2026-01-05 09:16:14.02	143.65	3.83	-51.4	-64.8	3.8	1.49e+00	0	47	104	0	65	16992
2026-01-05 09:16:15.00	143.64	3.90	-51.4	-64.6	3.8	1.49e+00	0	47	104	0	65	16640
2026-01-05 09:16:15.99	143.64	3.97	-51.3	-64.5	3.8	1.49e+00	0	47	104	0	65	16325
2026-01-05 09:16:16.97	143.63	4.03	-51.4	-64.2	3.8	1.49e+00	0	47	104	0	65	15818
2026-01-05 09:16:17.96	143.62	4.10	-51.4	-63.9	3.8	1.49e+00	0	47	104	0	65	15251
2026-01-05 09:16:18.96	143.62	4.17	-51.3	-63.6	3.8	1.49e+00	0	47	104	0	65	14843
2026-01-05 09:16:19.94	143.61	4.24	-51.3	-63.3	3.8	1.49e+00	0	47	104	0	65	14235
2026-01-05 09:16:20.93	143.60	4.31	-51.3	-63.0	3.8	1.49e+00	0	47	104	0	65	13804
2026-01-05 09:16:21.91	143.59	4.38	-51.2	-62.7	4.0	1.49e+00	0	47	104	0	65	13307
2026-01-05 09:16:22.90	143.59	4.45	-51.2	-62.5	3.9	1.47e+00	0	47	104	0	65	12990
2026-01-05 09:16:23.89	143.58	4.52	-51.2	-62.1	4.1	1.43e+00	0	47	0	0	65	12471
2026-01-05 09:16:24.89	143.57	4.59	-51.1	-61.6	4.2	1.39e+00	0	47	0	0	65	11795
2026-01-05 09:16:25.88	143.57	4.66	-51.2	-61.2	4.3	1.35e+00	0	48	0	0	65	11251
2026-01-05 09:16:26.86	143.56	4.73	-51.2	-61.0	4.4	1.22e+00	0	48	0	1048576	65	10906
2026-01-05 09:16:27.84	143.55	4.80	-51.0	-60.1	4.8	9.89e-01	0	48	0	3145728	65	9911
2026-01-05 09:16:28.81	143.54	4.86	-50.9	-59.7	5.0	6.90e-01	0	48	0	5242880	64	9974
2026-01-05 09:16:29.79	143.54	4.93	-50.9	-58.9	5.5	5.62e-01	0	48	0	7340032	64	9132
2026-01-05 09:16:30.78	143.53	5.01	-50.6	-57.9	6.2	3.59e-01	0	48	0	8388608	64	8128
2026-01-05 09:16:31.77	143.52	5.08	-50.6	-57.6	6.5	2.64e-01	0	48	0	10485760	64	7842
2026-01-05 09:16:32.76	143.51	5.15	-50.5	-57.2	6.9	1.76e-01	0	48	0	12582912	64	7476
2026-01-05 09:16:33.75	143.50	5.22	-50.7	-57.8	6.3	2.10e-01	0	48	0	14680064	64	8078
2026-01-05 09:16:34.74	143.50	5.29	-50.6	-57.6	6.5	2.78e-01	0	48	0	16777216	64	7825
2026-01-05 09:16:35.73	143.49	5.36	-50.5	-56.6	7.5	1.60e-01	0	48	0	17825792	63	7397
2026-01-05 09:16:36.72	143.48	5.43	-50.3	-56.0	8.1	8.01e-02	0	48	0	19922944	63	6918
2026-01-05 09:16:37.71	143.47	5.51	-50.0	-55.1	8.9	4.63e-02	0	48	0	22020096	63	6269
2026-01-05 09:16:38.70	143.47	5.58	-49.9	-54.8	9.2	2.09e-02	0	49	0	24117248	62	6418
2026-01-05 09:16:39.68	143.46	5.65	-49.8	-54.3	9.8	1.07e-02	0	48	0	25165824	62	6054
2026-01-05 09:16:40.67	143.45	5.72	-49.5	-53.8	10.3	6.77e-03	0	48	0	27262976	62	5681
2026-01-05 09:16:41.66	143.44	5.80	-49.5	-53.7	10.4	4.23e-03	0	49	0	29360128	62	5649
2026-01-05 09:16:42.65	143.43	5.87	-49.7	-54.1	10.1	4.83e-03	0	49	0	31457280	62	5863
2026-01-05 09:16:43.64	143.42	5.94	-49.5	-53.7	10.4	4.65e-03	0	49	0	32505856	62	5620
2026-01-05 09:16:44.63	143.42	6.02	-49.3	-53.3	10.9	2.67e-03	0	49	0	34603008	61	5694
2026-01-05 09:16:45.62	143.41	6.09	-49.3	-53.2	10.9	2.31e-03	0	49	0	36700160	61	5642
2026-01-05 09:16:46.60	143.40	6.16	-49.0	-52.6	11.6	9.99e-04	0	49	0	38797312	61	5251
2026-01-05 09:16:47.59	143.39	6.24	-48.8	-52.3	11.9	5.07e-04	0	49	0	40894464	60	5372
