#Pass ID: 20260105_143147_SUOMI NPP
#Satellite: SUOMI NPP
#Configuration: NPP
#almurnet v.1.7.20251203
#Start time: 2026-01-05 14:31:48

#Version: 2.2.20231116
#Station: R4.6S_Anadyr_2ch
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 37849U 11061A   25350.92281687  .00000071  00000+0  54882-4 0  9996
#TLE: 2 37849  98.7777 288.2268 0002366 112.8570 247.2856 14.19515404732588

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-05 14:31:48.40	20.05	0.08	-51.0	-63.5	3.4	1.52e+00	0	24	0	0	60	71187
2026-01-05 14:31:49.41	20.06	0.14	-51.0	-66.3	3.6	1.51e+00	0	26	104	0	60	101108
2026-01-05 14:31:50.42	20.07	0.20	-51.0	-66.3	3.6	1.51e+00	0	26	104	0	60	100878
2026-01-05 14:31:51.43	20.09	0.26	-51.0	-66.3	3.6	1.51e+00	0	26	104	0	60	101143
2026-01-05 14:31:52.44	20.10	0.32	-51.0	-66.3	3.6	1.51e+00	0	26	104	0	60	101018
2026-01-05 14:31:53.45	20.11	0.38	-51.0	-66.3	3.6	1.51e+00	0	26	104	0	60	101146
2026-01-05 14:31:54.46	20.12	0.44	-51.0	-66.3	3.6	1.51e+00	0	26	104	0	60	101244
2026-01-05 14:31:55.48	20.14	0.50	-51.0	-66.3	3.6	1.51e+00	0	26	104	0	60	101126
2026-01-05 14:31:56.49	20.15	0.57	-51.0	-66.3	3.6	1.51e+00	0	26	104	0	60	100691
2026-01-05 14:31:57.50	20.16	0.63	-50.9	-66.2	3.6	1.51e+00	0	26	104	0	60	99519
2026-01-05 14:31:58.51	20.18	0.69	-50.8	-66.1	3.6	1.51e+00	0	26	104	0	60	98493
2026-01-05 14:31:59.52	20.19	0.75	-50.6	-65.9	3.6	1.51e+00	0	26	104	0	60	96664
2026-01-05 14:32:00.53	20.20	0.81	-50.4	-65.8	3.6	1.51e+00	0	26	104	0	60	94619
2026-01-05 14:32:01.54	20.21	0.87	-50.3	-65.6	3.6	1.51e+00	0	26	104	0	60	92899
2026-01-05 14:32:02.55	20.23	0.93	-50.1	-65.3	3.6	1.51e+00	0	26	104	0	60	89860
2026-01-05 14:32:03.56	20.24	1.00	-49.7	-64.9	3.6	1.51e+00	0	26	104	0	60	86052
2026-01-05 14:32:04.57	20.25	1.06	-49.7	-64.9	3.6	1.51e+00	0	26	104	0	60	85857
2026-01-05 14:32:05.58	20.27	1.12	-49.7	-64.9	3.6	1.51e+00	0	26	104	0	60	85598
2026-01-05 14:32:06.60	20.28	1.18	-49.7	-64.9	3.6	1.51e+00	0	26	104	0	60	85879
2026-01-05 14:32:07.61	20.29	1.25	-49.7	-64.9	3.6	1.51e+00	0	26	104	0	60	86050
2026-01-05 14:32:08.62	20.30	1.31	-49.7	-64.8	3.6	1.51e+00	0	26	104	0	60	84939
2026-01-05 14:32:09.63	20.32	1.37	-49.7	-64.8	3.6	1.51e+00	0	26	104	0	60	85209
2026-01-05 14:32:10.64	20.33	1.43	-49.7	-64.8	3.6	1.51e+00	0	26	104	0	60	84769
2026-01-05 14:32:11.65	20.34	1.50	-49.7	-64.8	3.5	1.51e+00	0	26	104	0	60	84880
2026-01-05 14:32:12.66	20.36	1.56	-49.7	-64.8	3.6	1.51e+00	0	26	104	0	60	84567
2026-01-05 14:32:13.67	20.37	1.62	-49.6	-64.9	3.6	1.51e+00	0	26	104	0	60	85499
2026-01-05 14:32:14.69	20.38	1.69	-49.6	-64.9	3.6	1.51e+00	0	26	104	0	60	85504
2026-01-05 14:32:15.70	20.40	1.75	-49.6	-64.9	3.6	1.51e+00	0	26	104	0	60	85727
