#Pass ID: 20260105_153820_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20251203
#Start time: 2026-01-05 15:38:22

#Version: 2.2.20231116
#Station: R4.6S_Anadyr_2ch
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 27424U 02022A   25351.00450321  .00000925  00000+0  19503-3 0  9992
#TLE: 2 27424  98.4041 311.9529 0001248 113.7180 322.1616 14.61819266256652

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-05 15:38:22.88	19.58	0.13	-51.1	-66.1	3.6	1.51e+00	0	26	0	0	60	98844
2026-01-05 15:38:23.89	19.61	0.19	-51.4	-69.3	3.5	3.02e+01	0	28	104	0	60	152126
2026-01-05 15:38:24.90	19.64	0.25	-51.5	-69.4	3.5	3.02e+01	0	28	104	0	60	153583
2026-01-05 15:38:25.92	19.67	0.32	-51.5	-69.4	3.5	3.02e+01	0	28	104	0	60	152777
2026-01-05 15:38:26.93	19.70	0.38	-51.4	-69.2	3.5	3.02e+01	0	28	104	0	60	150542
2026-01-05 15:38:27.94	19.73	0.44	-51.4	-69.3	3.5	3.02e+01	0	28	104	0	60	151409
2026-01-05 15:38:28.95	19.76	0.50	-51.4	-69.3	3.5	3.02e+01	0	28	104	0	60	151433
2026-01-05 15:38:29.96	19.79	0.56	-51.4	-69.3	3.5	3.02e+01	0	28	104	0	60	151918
2026-01-05 15:38:30.97	19.83	0.62	-51.4	-69.3	3.5	3.02e+01	0	28	104	0	60	151776
2026-01-05 15:38:31.98	19.86	0.69	-51.4	-69.3	3.5	3.02e+01	0	28	104	0	60	150954
2026-01-05 15:38:32.99	19.89	0.75	-51.5	-69.4	3.5	3.02e+01	0	28	104	0	60	153421
2026-01-05 15:38:34.00	19.92	0.81	-51.6	-69.4	3.5	3.02e+01	0	28	104	0	60	153285
2026-01-05 15:38:35.02	19.95	0.87	-51.6	-69.4	3.5	3.02e+01	0	28	104	0	60	153913
2026-01-05 15:38:36.03	19.99	0.94	-51.4	-69.3	3.5	3.02e+01	0	28	104	0	60	151055
2026-01-05 15:38:37.04	20.02	1.00	-51.4	-69.3	3.5	3.02e+01	0	28	104	0	60	151081
2026-01-05 15:38:38.05	20.05	1.06	-51.3	-69.2	3.5	3.02e+01	0	28	104	0	60	149658
2026-01-05 15:38:39.06	20.08	1.12	-51.4	-69.2	3.5	3.02e+01	0	28	104	0	60	150038
2026-01-05 15:38:40.07	20.11	1.19	-51.4	-69.2	3.5	3.02e+01	0	28	104	0	60	150464
2026-01-05 15:38:41.08	20.15	1.25	-51.7	-69.6	3.5	3.02e+01	0	28	104	0	60	157026
