#Pass ID: 20260105_020328_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-05 02:03:28

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 43010U 17072A   26004.50247883 -.00000063  00000+0 -78815-5 0  9998
#TLE: 2 43010  98.9915 336.1565 0001968 126.3752 233.7605 14.19691805421760

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-05 02:03:28.05	14.82	4.97	-51.9	-65.2	3.8	8.47e-01	0	39	0	0	74	17631
2026-01-05 02:03:29.04	14.81	5.04	-51.9	-65.2	3.8	8.48e-01	0	40	104	0	74	17547
2026-01-05 02:03:30.05	14.80	5.11	-52.0	-65.2	3.8	8.47e-01	0	40	104	0	74	17576
2026-01-05 02:03:31.05	14.78	5.19	-52.0	-65.2	3.8	8.46e-01	0	40	104	0	74	17663
2026-01-05 02:03:32.06	14.77	5.26	-52.0	-65.2	3.8	8.47e-01	0	40	104	0	74	17646
2026-01-05 02:03:33.06	14.76	5.33	-52.0	-65.2	3.8	8.47e-01	0	40	104	0	74	17575
2026-01-05 02:03:34.07	14.75	5.40	-52.0	-65.2	3.8	8.47e-01	0	40	104	0	74	17598
2026-01-05 02:03:35.07	14.73	5.47	-52.0	-65.2	3.8	8.48e-01	0	40	104	0	74	17565
2026-01-05 02:03:36.08	14.72	5.55	-52.0	-65.2	3.8	8.47e-01	0	40	104	0	74	17594
2026-01-05 02:03:37.08	14.71	5.62	-52.0	-65.2	3.8	8.47e-01	0	40	104	0	74	17542
2026-01-05 02:03:38.08	14.69	5.69	-52.0	-65.2	3.8	8.46e-01	0	40	104	0	74	17543
2026-01-05 02:03:39.09	14.68	5.77	-52.0	-65.2	3.8	8.46e-01	0	40	104	0	74	17582
2026-01-05 02:03:40.09	14.67	5.84	-52.0	-65.2	3.8	8.47e-01	0	40	104	0	74	17562
2026-01-05 02:03:41.10	14.65	5.91	-52.0	-65.2	3.8	8.47e-01	0	40	104	0	74	17672
2026-01-05 02:03:42.10	14.64	5.99	-52.0	-65.2	3.8	8.47e-01	0	40	104	0	74	17624
2026-01-05 02:03:43.11	14.63	6.06	-52.0	-65.2	3.8	8.47e-01	0	40	104	0	74	17607
2026-01-05 02:03:44.11	14.61	6.13	-51.9	-65.2	3.8	8.47e-01	0	40	104	0	74	17621
2026-01-05 02:03:45.11	14.60	6.21	-51.9	-65.2	3.8	8.48e-01	0	40	104	0	74	17545
2026-01-05 02:03:46.12	14.58	6.28	-51.9	-65.2	3.8	8.45e-01	0	40	104	0	74	17561
2026-01-05 02:03:47.12	14.57	6.36	-51.9	-65.2	3.8	8.46e-01	0	40	104	0	74	17524
2026-01-05 02:03:48.12	14.56	6.43	-51.8	-65.2	3.8	8.47e-01	0	40	104	0	74	17514
2026-01-05 02:03:49.13	14.54	6.51	-51.8	-65.2	3.8	8.47e-01	0	40	104	0	74	17557
2026-01-05 02:03:50.13	14.53	6.58	-51.8	-65.1	3.8	8.47e-01	0	40	104	0	74	17470
2026-01-05 02:03:51.14	14.51	6.66	-51.8	-65.1	3.8	8.47e-01	0	40	104	0	74	17414
2026-01-05 02:03:52.14	14.50	6.74	-51.7	-65.1	3.8	8.48e-01	0	41	104	0	74	17435
2026-01-05 02:03:53.14	14.48	6.81	-51.7	-65.1	3.8	8.47e-01	0	40	104	0	74	17449
2026-01-05 02:03:54.15	14.47	6.89	-51.7	-65.1	3.8	8.47e-01	0	40	104	0	74	17444
2026-01-05 02:03:55.15	14.45	6.96	-51.6	-65.1	3.8	8.46e-01	0	41	104	0	74	17451
2026-01-05 02:03:56.16	14.44	7.04	-51.6	-65.1	3.8	8.49e-01	0	40	104	0	74	17425
2026-01-05 02:03:57.16	14.42	7.12	-51.5	-65.1	3.8	8.47e-01	0	40	104	0	74	17415
2026-01-05 02:03:58.17	14.41	7.20	-51.5	-65.1	3.8	8.47e-01	0	41	104	0	74	17437
2026-01-05 02:03:59.17	14.39	7.27	-51.4	-65.1	3.8	8.46e-01	0	41	104	0	74	17405
2026-01-05 02:04:00.17	14.38	7.35	-51.4	-65.1	3.8	8.46e-01	0	41	104	0	74	17467
2026-01-05 02:04:01.18	14.36	7.43	-51.4	-65.2	3.8	8.46e-01	0	41	104	0	74	17551
2026-01-05 02:04:02.18	14.35	7.51	-51.4	-65.2	3.8	8.47e-01	0	41	104	0	74	17520
2026-01-05 02:04:03.19	14.33	7.59	-51.4	-65.2	3.8	8.47e-01	0	41	104	0	74	17523
2026-01-05 02:04:04.19	14.32	7.66	-51.4	-65.2	3.8	8.47e-01	0	41	104	0	74	17504
2026-01-05 02:04:05.20	14.30	7.74	-51.4	-65.2	3.8	8.47e-01	0	41	104	0	74	17595
2026-01-05 02:04:06.20	14.28	7.82	-51.3	-65.1	3.8	8.48e-01	0	41	104	0	74	17433
2026-01-05 02:04:07.20	14.27	7.90	-51.4	-65.2	3.8	8.46e-01	0	41	104	0	74	17516
2026-01-05 02:04:08.20	14.25	7.98	-51.3	-65.2	3.8	8.47e-01	0	41	104	0	74	17527
2026-01-05 02:04:09.21	14.24	8.06	-51.4	-65.2	3.8	8.48e-01	0	41	104	0	74	17543
2026-01-05 02:04:10.21	14.22	8.14	-51.3	-65.2	3.8	8.46e-01	0	41	104	0	74	17567
2026-01-05 02:04:11.22	14.20	8.22	-51.3	-65.2	3.8	8.47e-01	0	41	104	0	74	17524
2026-01-05 02:04:12.22	14.19	8.30	-51.3	-65.2	3.8	8.47e-01	0	41	104	0	74	17600
2026-01-05 02:04:13.23	14.17	8.38	-51.4	-65.2	3.8	8.47e-01	0	41	104	0	74	17507
2026-01-05 02:04:14.23	14.15	8.46	-51.4	-65.1	3.8	8.47e-01	0	41	104	0	74	17474
2026-01-05 02:04:15.23	14.14	8.55	-51.4	-65.2	3.8	8.48e-01	0	41	104	0	74	17502
2026-01-05 02:04:16.24	14.12	8.63	-51.4	-65.1	3.8	8.47e-01	0	41	104	0	74	17475
2026-01-05 02:04:17.24	14.10	8.71	-51.5	-65.1	3.8	8.45e-01	0	41	104	0	74	17468
2026-01-05 02:04:18.25	14.08	8.79	-51.5	-65.1	3.8	8.47e-01	0	41	104	0	74	17473
2026-01-05 02:04:19.25	14.07	8.87	-51.5	-65.1	3.8	8.48e-01	0	41	104	0	74	17438
2026-01-05 02:04:20.26	14.05	8.96	-51.6	-65.1	3.8	8.48e-01	0	41	104	0	74	17434
2026-01-05 02:04:21.26	14.03	9.04	-51.6	-65.1	3.8	8.45e-01	0	41	104	0	74	17466
2026-01-05 02:04:22.27	14.01	9.12	-51.7	-65.2	3.8	8.47e-01	0	41	104	0	74	17522
2026-01-05 02:04:23.27	14.00	9.21	-51.7	-65.1	3.8	8.47e-01	0	41	104	0	74	17462
2026-01-05 02:04:24.27	13.98	9.29	-51.8	-65.2	3.8	8.48e-01	0	41	104	0	74	17500
2026-01-05 02:04:25.28	13.96	9.38	-51.8	-65.1	3.8	8.47e-01	0	41	104	0	74	17427
