#Pass ID: 20260106_095617_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-06 09:56:19

#Version: 2.2.20231116
#Station: R2.0S_Moscow
#Location: 37.707566 lon 55.798166 lat
#TLE: 1 43010U 17072A   26005.48915933 -.00000051  00000+0 -21983-5 0  9995
#TLE: 2 43010  98.9919 337.1582 0002001 124.6377 235.4988 14.19691925421909

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-06 09:56:19.67	101.14	2.11	-40.0	-51.6	3.8	8.46e-01	0	47	0	0	52	13038
2026-01-06 09:56:20.67	101.06	2.17	-40.0	-51.6	3.8	8.47e-01	0	47	104	0	52	13034
2026-01-06 09:56:21.68	100.98	2.22	-40.0	-51.6	3.8	8.45e-01	0	47	104	0	52	13056
2026-01-06 09:56:22.69	100.90	2.27	-40.0	-51.6	3.8	8.46e-01	0	47	104	0	52	12984
2026-01-06 09:56:23.70	100.82	2.33	-40.0	-51.6	3.8	8.47e-01	0	47	104	0	52	13027
2026-01-06 09:56:24.71	100.74	2.38	-40.0	-51.6	3.8	8.47e-01	0	47	104	0	52	12999
2026-01-06 09:56:25.72	100.66	2.44	-40.0	-51.6	3.8	8.46e-01	0	47	104	0	52	13045
2026-01-06 09:56:26.73	100.57	2.49	-40.0	-51.6	3.8	8.46e-01	0	47	104	0	52	13014
2026-01-06 09:56:27.74	100.49	2.54	-40.0	-51.6	3.8	8.46e-01	0	48	104	0	52	13056
2026-01-06 09:56:28.75	100.41	2.60	-40.0	-51.6	3.8	8.45e-01	0	48	104	0	52	13047
2026-01-06 09:56:29.76	100.33	2.65	-40.0	-51.6	3.8	8.46e-01	0	48	104	0	52	13018
2026-01-06 09:56:30.77	100.25	2.70	-40.0	-51.6	3.8	8.45e-01	0	48	104	0	52	13037
2026-01-06 09:56:31.78	100.16	2.76	-40.0	-51.6	3.8	8.47e-01	0	48	104	0	52	12995
2026-01-06 09:56:32.79	100.08	2.81	-40.0	-51.6	3.8	8.46e-01	0	48	104	0	52	13054
2026-01-06 09:56:33.80	99.99	2.87	-40.0	-51.6	3.8	8.46e-01	0	48	104	0	52	13029
2026-01-06 09:56:34.81	99.91	2.92	-40.0	-51.6	3.8	8.46e-01	0	48	104	0	52	13017
2026-01-06 09:56:35.83	99.83	2.98	-40.0	-51.6	3.8	8.46e-01	0	48	104	0	52	12967
2026-01-06 09:56:36.84	99.74	3.03	-40.0	-51.6	3.8	8.46e-01	0	48	104	0	52	13023
2026-01-06 09:56:37.85	99.66	3.08	-40.0	-51.6	3.8	8.46e-01	0	48	104	0	52	13001
2026-01-06 09:56:38.86	99.57	3.14	-40.0	-51.6	3.8	8.47e-01	0	48	104	0	52	12984
2026-01-06 09:56:39.87	99.48	3.19	-40.0	-51.6	3.8	8.47e-01	0	48	104	0	52	13001
2026-01-06 09:56:40.88	99.40	3.25	-40.0	-51.6	3.8	8.45e-01	0	49	104	0	52	13019
2026-01-06 09:56:41.89	99.31	3.30	-40.0	-51.6	3.8	8.46e-01	0	48	104	0	52	13049
2026-01-06 09:56:42.90	99.23	3.36	-40.0	-51.6	3.8	8.47e-01	0	49	104	0	52	13024
2026-01-06 09:56:43.91	99.14	3.41	-40.0	-51.6	3.8	8.46e-01	0	49	104	0	52	13005
2026-01-06 09:56:44.93	99.05	3.47	-40.0	-51.6	3.8	8.45e-01	0	49	104	0	52	12987
2026-01-06 09:56:45.94	98.96	3.52	-40.0	-51.6	3.8	8.46e-01	0	49	104	0	52	13044
2026-01-06 09:56:46.95	98.87	3.57	-40.0	-51.6	3.8	8.46e-01	0	49	104	0	52	13023
2026-01-06 09:56:47.96	98.79	3.63	-40.0	-51.6	3.8	8.47e-01	0	49	104	0	52	12975
2026-01-06 09:56:48.97	98.70	3.68	-40.0	-51.6	3.8	8.47e-01	0	49	104	0	52	13012
2026-01-06 09:56:49.98	98.61	3.74	-40.0	-51.6	3.8	8.47e-01	0	49	104	0	52	12998
2026-01-06 09:56:50.99	98.52	3.79	-40.0	-51.6	3.8	8.46e-01	0	49	104	0	52	13024
2026-01-06 09:56:52.00	98.43	3.85	-40.0	-51.5	3.8	8.45e-01	0	49	104	0	52	12954
2026-01-06 09:56:53.01	98.34	3.90	-40.0	-51.6	3.8	8.46e-01	0	49	104	0	52	13056
2026-01-06 09:56:54.02	98.25	3.96	-40.0	-51.6	3.8	8.47e-01	0	49	104	0	52	13025
2026-01-06 09:56:55.02	98.16	4.01	-40.0	-51.5	3.8	8.45e-01	0	49	104	0	52	12950
2026-01-06 09:56:56.04	98.07	4.07	-40.0	-51.6	3.8	8.46e-01	0	49	104	0	52	13008
2026-01-06 09:56:57.05	97.97	4.12	-40.0	-51.6	3.8	8.45e-01	0	49	104	0	52	13015
2026-01-06 09:56:58.06	97.88	4.18	-40.0	-51.6	3.8	8.45e-01	0	49	104	0	52	13018
2026-01-06 09:56:59.07	97.79	4.23	-40.0	-51.6	3.8	8.46e-01	0	50	104	0	52	12994
2026-01-06 09:57:00.08	97.70	4.29	-40.0	-51.6	3.8	8.44e-01	0	49	104	0	52	12988
2026-01-06 09:57:01.09	97.60	4.34	-40.0	-51.6	3.8	8.46e-01	0	50	104	0	52	13027
2026-01-06 09:57:02.10	97.51	4.40	-40.0	-51.6	3.8	8.46e-01	0	50	104	0	52	13027
2026-01-06 09:57:03.11	97.42	4.46	-40.0	-51.6	3.8	8.47e-01	0	50	104	0	52	12995
2026-01-06 09:57:04.12	97.32	4.51	-40.0	-51.6	3.8	8.46e-01	0	50	104	0	52	13027
