#Pass ID: 20260106_095918_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20240730
#Start time: 2026-01-06 09:59:17

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 43010U 17072A   26005.48915933 -.00000051  00000+0 -21983-5 0  9995
#TLE: 2 43010  98.9919 337.1582 0002001 124.6377 235.4988 14.19691925421909

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-06 09:59:17.85	87.14	6.97	-31.7	-38.3	4.2	8.38e-01	0	41	0	0	24	7619
2026-01-06 09:59:18.85	87.03	7.02	-30.3	-33.6	5.1	7.91e-01	0	41	104	0	22	5247
2026-01-06 09:59:19.86	86.92	7.08	-30.1	-33.5	8.4	5.39e-02	0	41	0	0	21	5326
2026-01-06 09:59:20.87	86.82	7.14	-30.2	-33.6	8.4	4.97e-02	0	41	102	1048576	21	5344
2026-01-06 09:59:21.87	86.71	7.20	-30.1	-33.4	8.6	5.19e-02	0	41	102	1048576	21	5259
2026-01-06 09:59:22.88	86.60	7.26	-30.0	-33.2	8.7	3.98e-02	0	41	102	1048576	21	5188
2026-01-06 09:59:23.88	86.49	7.31	-30.0	-33.0	8.8	3.79e-02	0	41	102	1048576	21	5094
2026-01-06 09:59:24.89	86.37	7.37	-30.1	-33.2	8.6	4.12e-02	0	41	102	1048576	21	5192
2026-01-06 09:59:25.90	86.26	7.43	-30.0	-33.1	8.8	3.82e-02	0	41	102	1048576	21	5134
2026-01-06 09:59:26.90	86.15	7.49	-29.7	-32.6	9.5	2.07e-02	0	41	102	1048576	20	5035
2026-01-06 09:59:27.91	86.04	7.55	-29.1	-31.6	10.5	8.19e-03	0	41	102	1048576	19	4788
2026-01-06 09:59:28.92	85.92	7.61	-28.7	-31.0	11.3	2.00e-03	0	41	102	1048576	18	4676
2026-01-06 09:59:29.93	85.81	7.66	-28.2	-30.3	12.0	6.06e-04	0	41	102	1048576	17	4576
2026-01-06 09:59:30.93	85.70	7.72	-27.9	-29.4	12.6	1.99e-04	0	41	102	1048576	17	4293
2026-01-06 09:59:31.94	85.58	7.78	-27.4	-28.9	13.2	4.92e-05	0	41	102	1048576	16	4251
2026-01-06 09:59:32.95	85.47	7.84	-27.1	-28.6	13.5	2.05e-05	0	41	102	1048576	15	4275
2026-01-06 09:59:33.96	85.35	7.90	-27.0	-28.3	13.7	9.10e-06	0	41	102	1048576	15	4198
2026-01-06 09:59:34.96	85.24	7.96	-26.9	-28.1	13.8	1.37e-05	0	42	102	1048576	15	4153
2026-01-06 09:59:35.96	85.12	8.02	-27.0	-28.3	13.7	1.71e-05	0	41	102	1048576	15	4207
2026-01-06 09:59:36.97	85.00	8.07	-27.0	-28.3	13.7	9.10e-06	0	42	102	1048576	15	4212
2026-01-06 09:59:37.98	84.89	8.13	-27.0	-28.4	13.7	1.02e-05	0	41	102	1048576	15	4222
2026-01-06 09:59:38.99	84.77	8.19	-26.9	-28.1	13.9	1.02e-05	0	42	102	1048576	15	4137
2026-01-06 09:59:40.00	84.65	8.25	-26.9	-28.1	13.9	2.20e-06	0	42	102	1048576	15	4141
2026-01-06 09:59:41.01	84.53	8.31	-26.9	-28.0	13.9	1.02e-05	0	42	102	1048576	15	4128
2026-01-06 09:59:42.00	84.41	8.37	-27.0	-28.3	13.8	9.10e-06	0	42	102	1048576	15	4199
2026-01-06 09:59:43.01	84.29	8.43	-26.9	-28.2	13.9	8.00e-06	0	42	102	1048576	15	4175
2026-01-06 09:59:44.02	84.17	8.49	-26.8	-27.9	14.0	4.50e-06	0	42	102	1048576	15	4087
2026-01-06 09:59:45.03	84.05	8.55	-26.9	-28.0	14.0	8.00e-06	0	42	102	1048576	15	4124
2026-01-06 09:59:46.03	83.93	8.60	-26.8	-28.3	14.1	3.40e-06	0	42	102	1048576	14	4299
