#Pass ID: 20260106_124708_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20240730
#Start time: 2026-01-06 12:47:10

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 27424U 02022A   26004.96787593  .00001598  00000+0  32997-3 0  9996
#TLE: 2 27424  98.4069 331.2279 0002002  90.2377   0.6092 14.61798176259425

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-06 12:47:10.04	185.92	7.15	-30.8	-36.6	5.2	7.10e-01	0	41	0	0	22	7055
2026-01-06 12:47:11.04	185.98	7.23	-31.3	-37.5	5.0	7.10e-01	0	41	104	0	24	7377
2026-01-06 12:47:12.05	186.03	7.31	-31.6	-38.0	12.9	6.11e-01	0	41	0	0	24	7536
2026-01-06 12:47:13.06	186.09	7.39	-31.8	-39.0	12.1	6.13e-01	0	41	102	524288	24	8257
2026-01-06 12:47:14.06	186.15	7.46	-31.6	-37.9	13.0	6.11e-01	0	41	102	524288	24	7457
2026-01-06 12:47:15.07	186.21	7.55	-31.4	-37.0	13.7	6.10e-01	0	41	102	524288	24	6891
2026-01-06 12:47:16.07	186.27	7.63	-31.1	-35.9	14.7	6.05e-01	0	41	102	524288	24	6226
2026-01-06 12:47:17.07	186.33	7.71	-30.8	-35.2	15.5	6.08e-01	0	41	102	524288	23	5987
2026-01-06 12:47:18.07	186.39	7.79	-30.5	-34.3	16.2	6.05e-01	0	41	102	524288	23	5566
2026-01-06 12:47:19.07	186.45	7.87	-30.3	-34.2	16.6	6.06e-01	0	41	102	524288	22	5608
2026-01-06 12:47:20.07	186.51	7.95	-30.1	-33.5	17.1	6.08e-01	0	41	102	524288	22	5333
2026-01-06 12:47:21.08	186.57	8.03	-30.0	-33.3	17.3	6.07e-01	0	41	102	524288	22	5224
2026-01-06 12:47:22.09	186.63	8.11	-29.9	-32.9	17.6	6.09e-01	0	41	102	524288	22	5061
2026-01-06 12:47:23.10	186.69	8.20	-30.0	-33.0	17.5	6.05e-01	0	41	102	524288	22	5105
2026-01-06 12:47:24.10	186.75	8.28	-29.9	-32.8	17.7	6.04e-01	0	41	102	524288	22	5041
2026-01-06 12:47:25.11	186.82	8.36	-30.0	-33.2	17.4	6.06e-01	0	41	102	524288	22	5175
2026-01-06 12:47:26.12	186.88	8.44	-29.9	-32.8	17.6	6.04e-01	0	41	102	524288	22	5043
2026-01-06 12:47:27.12	186.94	8.53	-29.9	-33.2	17.7	6.07e-01	0	41	102	524288	21	5291
2026-01-06 12:47:28.13	187.01	8.61	-29.9	-33.3	17.7	6.07e-01	0	41	102	524288	21	5321
2026-01-06 12:47:29.13	187.07	8.70	-29.8	-33.1	17.8	6.08e-01	0	41	102	524288	21	5237
2026-01-06 12:47:30.14	187.14	8.78	-29.9	-33.2	17.8	6.05e-01	0	42	102	524288	21	5265
2026-01-06 12:47:31.15	187.20	8.86	-29.9	-33.1	17.8	6.07e-01	0	41	102	524288	21	5262
2026-01-06 12:47:32.15	187.26	8.95	-29.9	-33.3	17.7	6.07e-01	0	41	102	524288	21	5315
2026-01-06 12:47:33.16	187.33	9.03	-30.0	-33.5	17.6	6.07e-01	0	41	102	524288	21	5406
