#Pass ID: 20260106_004922_SUOMI NPP
#Satellite: SUOMI NPP
#Configuration: NPP
#Start time: 2026-01-06 00:49:17

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 37849U 11061A   25356.63219598  .00000089  00000+0  63407-4 0  9994
#TLE: 2 37849  98.7787 293.8852 0002488 103.0781 257.0673 14.19516903733392

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2026-01-06 00:49:17.33	318.64	69.23	-37.9	-44.2	3.3	15348510	94	2537
2026-01-06 00:49:17.53	318.39	69.27	-37.2	-59.7	3.6	0	63	16400
2026-01-06 00:49:17.73	318.14	69.31	-38.3	-48.2	3.6	15212417	90	3816
2026-01-06 00:49:17.93	317.89	69.34	-38.0	-45.5	3.4	15212417	93	2931
2026-01-06 00:49:18.13	317.64	69.38	-38.0	-45.2	3.4	15157508	93	2812
2026-01-06 00:49:18.34	317.38	69.42	-38.0	-46.4	3.6	15157508	93	3227
2026-01-06 00:49:18.54	317.12	69.46	-38.2	-46.7	2.8	15192665	93	3277
2026-01-06 00:49:18.74	316.87	69.50	-38.1	-45.9	3.5	15192665	93	3016
2026-01-06 00:49:18.94	316.61	69.53	-38.1	-45.3	3.4	15129280	93	2808
2026-01-06 00:49:19.14	316.36	69.57	-38.1	-44.7	3.3	15129280	93	2648
2026-01-06 00:49:19.34	316.10	69.60	-37.8	-45.2	3.6	15177459	93	2894
2026-01-06 00:49:19.54	315.84	69.64	-37.8	-44.4	3.6	15177459	93	2658
2026-01-06 00:49:19.74	315.58	69.67	-37.6	-43.4	3.4	15177459	93	2384
2026-01-06 00:49:19.94	315.32	69.71	-37.6	-42.7	3.4	15132553	93	2211
2026-01-06 00:49:20.14	315.06	69.74	-37.5	-43.6	3.6	15132553	93	2476
2026-01-06 00:49:20.34	314.80	69.78	-37.4	-42.8	3.8	15154617	93	2296
2026-01-06 00:49:20.55	314.52	69.81	-37.2	-42.0	4.0	15154617	92	2129
2026-01-06 00:49:20.75	314.25	69.84	-37.1	-41.0	4.2	13960838	92	1937
2026-01-06 00:49:20.95	313.99	69.88	-36.9	-40.3	4.3	13960838	92	1810
2026-01-06 00:49:21.15	313.72	69.91	-36.8	-39.7	4.5	9656280	92	1720
2026-01-06 00:49:21.35	313.46	69.94	-36.8	-40.1	4.6	9656280	91	1800
2026-01-06 00:49:21.55	313.19	69.97	-36.8	-39.9	4.7	7568832	91	1771
2026-01-06 00:49:21.75	312.92	70.00	-36.8	-39.9	4.7	7568832	91	1769
2026-01-06 00:49:21.95	312.65	70.03	-36.8	-40.1	4.6	7568832	91	1796
2026-01-06 00:49:22.15	312.38	70.06	-36.7	-39.8	4.8	7090232	91	1744
2026-01-06 00:49:22.35	312.11	70.09	-36.8	-40.1	4.6	7090232	91	1795
2026-01-06 00:49:22.55	311.83	70.12	-37.0	-40.8	4.3	7001464	91	1909
2026-01-06 00:49:22.76	311.55	70.15	-37.1	-41.2	4.2	7001464	91	1969
2026-01-06 00:49:22.96	311.27	70.18	-37.2	-41.8	3.9	9513778	91	2079
2026-01-06 00:49:23.16	311.00	70.21	-37.3	-42.3	3.8	9513778	91	2174
2026-01-06 00:49:23.36	310.72	70.24	-37.5	-42.5	3.6	13781425	92	2187
2026-01-06 00:49:23.56	310.45	70.26	-37.6	-44.9	3.6	13781425	92	2829
2026-01-06 00:49:23.76	310.17	70.29	-37.7	-44.9	3.6	14977432	92	2817
2026-01-06 00:49:23.96	309.89	70.32	-37.8	-44.8	3.4	14977432	92	2759
2026-01-06 00:49:24.16	309.61	70.34	-37.9	-45.0	3.3	15234191	92	2781
2026-01-06 00:49:24.36	309.33	70.37	-37.9	-46.7	3.6	15234191	92	3354
2026-01-06 00:49:24.56	309.05	70.39	-38.0	-46.5	3.6	15234191	92	3279
2026-01-06 00:49:24.77	308.75	70.42	-38.0	-45.9	3.4	15119117	92	3068
2026-01-06 00:49:24.97	308.47	70.44	-38.0	-45.5	3.4	15119117	92	2926
2026-01-06 00:49:25.17	308.19	70.47	-38.0	-46.7	3.6	15261741	92	3366
2026-01-06 00:49:25.37	307.91	70.49	-38.0	-46.7	3.6	15261741	92	3359
2026-01-06 00:49:25.57	307.62	70.51	-38.0	-46.2	3.5	15112434	92	3168
2026-01-06 00:49:25.77	307.34	70.54	-38.0	-45.3	3.4	15112434	93	2866
2026-01-06 00:49:25.97	307.05	70.56	-38.0	-46.7	3.6	15257080	93	3361
2026-01-06 00:49:26.17	306.76	70.58	-38.0	-46.5	3.6	15257080	93	3261
2026-01-06 00:49:26.37	306.48	70.60	-38.0	-45.8	3.4	15105590	93	3019
2026-01-06 00:49:26.58	306.17	70.62	-38.0	-45.6	3.4	15105590	93	2937
2026-01-06 00:49:26.78	305.89	70.64	-38.1	-46.7	3.4	15269233	93	3338
2026-01-06 00:49:26.98	305.60	70.66	-38.1	-46.7	3.6	15269233	93	3326
2026-01-06 00:49:27.18	305.31	70.68	-38.2	-46.1	3.5	15269233	94	3057
2026-01-06 00:49:27.38	305.02	70.70	-38.2	-45.5	3.4	15058166	94	2861
2026-01-06 00:49:27.58	304.73	70.72	-38.2	-45.4	3.3	15058166	94	2824
2026-01-06 00:49:27.78	304.43	70.73	-38.0	-46.3	3.6	15281654	94	3208
2026-01-06 00:49:27.98	304.14	70.75	-38.0	-46.1	3.6	15281654	94	3125
2026-01-06 00:49:28.18	303.85	70.77	-38.0	-45.5	3.4	15068122	94	2914
2026-01-06 00:49:28.38	303.56	70.79	-38.0	-45.1	3.4	15068122	94	2792
2026-01-06 00:49:28.58	303.26	70.80	-38.0	-46.4	3.6	15275917	94	3226
2026-01-06 00:49:28.78	302.97	70.82	-38.0	-46.3	3.6	15275917	94	3212
2026-01-06 00:49:28.99	302.66	70.83	-38.0	-45.6	3.4	15093177	94	2942
2026-01-06 00:49:29.19	302.36	70.85	-38.0	-45.3	3.4	15093177	94	2839
2026-01-06 00:49:29.39	302.07	70.86	-38.0	-46.4	3.5	15266998	94	3253
2026-01-06 00:49:29.59	301.77	70.87	-38.0	-46.5	3.6	15266998	94	3254
2026-01-06 00:49:29.79	301.48	70.89	-38.0	-45.8	3.5	15266998	94	3041
2026-01-06 00:49:29.99	301.18	70.90	-38.0	-45.3	3.4	15110000	94	2866
2026-01-06 00:49:30.19	300.88	70.91	-38.0	-45.0	3.3	15110000	94	2768
2026-01-06 00:49:30.39	300.58	70.92	-38.0	-46.4	3.6	15256454	94	3241
2026-01-06 00:49:30.59	300.29	70.93	-37.9	-45.8	3.5	15256454	94	3040
2026-01-06 00:49:30.80	299.97	70.95	-37.9	-45.2	3.4	15123268	94	2853
2026-01-06 00:49:31.00	299.67	70.96	-37.9	-44.9	3.4	15123268	94	2752
2026-01-06 00:49:31.20	299.37	70.96	-37.9	-46.3	3.6	15251266	94	3228
2026-01-06 00:49:31.40	299.07	70.97	-37.9	-46.0	3.6	15251266	94	3121
2026-01-06 00:49:31.60	298.77	70.98	-37.9	-45.5	3.4	15114807	94	2940
2026-01-06 00:49:31.80	298.47	70.99	-37.9	-45.1	3.4	15114807	94	2822
2026-01-06 00:49:32.00	298.17	71.00	-37.9	-46.4	3.6	15114807	94	3292
2026-01-06 00:49:32.20	297.87	71.01	-37.9	-46.5	3.6	15247207	94	3301
2026-01-06 00:49:32.40	297.57	71.01	-37.9	-45.8	3.5	15247207	94	3044
2026-01-06 00:49:32.61	297.26	71.02	-37.9	-45.3	3.4	15140487	94	2889
2026-01-06 00:49:32.81	296.95	71.02	-37.9	-46.7	3.3	15140487	94	3387
2026-01-06 00:49:33.01	296.65	71.03	-37.9	-46.5	3.6	15233016	94	3324
2026-01-06 00:49:33.21	296.35	71.03	-37.9	-45.9	3.5	15233016	94	3108
2026-01-06 00:49:33.41	296.05	71.04	-37.9	-45.5	3.4	15140899	94	2944
2026-01-06 00:49:33.61	295.75	71.04	-37.9	-45.1	3.3	15140899	94	2826
2026-01-06 00:49:33.81	295.45	71.04	-37.9	-46.5	3.6	15228286	94	3299
2026-01-06 00:49:34.01	295.14	71.05	-37.9	-45.9	3.5	15228286	94	3110
2026-01-06 00:49:34.21	294.84	71.05	-37.9	-45.4	3.4	15162689	94	2939
2026-01-06 00:49:34.42	294.52	71.05	-37.9	-45.1	3.4	15162689	94	2824
2026-01-06 00:49:34.62	294.22	71.05	-37.9	-46.5	3.6	15162689	94	3297
2026-01-06 00:49:34.82	293.92	71.05	-37.9	-46.2	3.6	15221603	94	3196
2026-01-06 00:49:35.02	293.62	71.05	-37.9	-45.5	3.4	15221603	94	2935
2026-01-06 00:49:35.22	293.31	71.05	-37.9	-45.2	3.4	15165657	94	2850
2026-01-06 00:49:35.42	293.01	71.05	-37.9	-46.5	3.6	15165657	94	3293
2026-01-06 00:49:35.62	292.71	71.05	-37.9	-46.0	3.6	15200744	94	3126
2026-01-06 00:49:35.82	292.41	71.05	-37.9	-45.6	3.5	15200744	94	2996
2026-01-06 00:49:36.02	292.11	71.05	-37.9	-45.0	3.4	15176246	94	2789
2026-01-06 00:49:36.23	291.79	71.04	-37.9	-46.3	3.6	15176246	94	3247
2026-01-06 00:49:36.43	291.49	71.04	-38.3	-46.8	2.8	15193229	95	3255
2026-01-06 00:49:36.63	291.18	71.04	-38.3	-46.1	3.5	15193229	95	3010
2026-01-06 00:49:36.83	290.88	71.03	-38.3	-45.6	3.4	15131225	95	2831
2026-01-06 00:49:37.03	290.58	71.03	-38.3	-45.3	3.3	15131225	95	2758
2026-01-06 00:49:37.23	290.28	71.02	-37.9	-46.2	3.6	15131225	94	3210
2026-01-06 00:49:37.43	289.98	71.01	-37.9	-45.9	3.5	15170684	94	3070
2026-01-06 00:49:37.63	289.68	71.01	-37.9	-45.2	3.4	15170684	94	2848
2026-01-06 00:49:37.83	289.38	71.00	-37.9	-44.9	3.3	15166404	94	2735
2026-01-06 00:49:38.03	289.08	70.99	-37.9	-46.2	3.6	15166404	94	3206
2026-01-06 00:49:38.23	288.78	70.99	-37.9	-46.1	3.6	15228805	94	3167
2026-01-06 00:49:38.44	288.46	70.98	-37.9	-45.4	3.4	15228805	94	2910
2026-01-06 00:49:38.64	288.16	70.97	-37.9	-45.0	3.4	15155548	94	2790
2026-01-06 00:49:38.84	287.86	70.96	-37.9	-46.2	3.2	15155548	94	3217
2026-01-06 00:49:39.04	287.56	70.95	-37.9	-46.3	3.6	15206939	94	3217
2026-01-06 00:49:39.24	287.26	70.94	-37.9	-45.7	3.5	15206939	94	3020
2026-01-06 00:49:39.44	286.97	70.93	-37.9	-45.1	3.4	15169975	94	2829
2026-01-06 00:49:39.64	286.67	70.92	-37.9	-44.8	3.3	15169975	94	2728
2026-01-06 00:49:39.84	286.37	70.90	-37.9	-46.2	3.6	15169975	94	3208
2026-01-06 00:49:40.04	286.07	70.89	-37.9	-45.8	3.5	15189735	94	3055
2026-01-06 00:49:40.25	285.76	70.88	-37.9	-45.2	3.4	15189735	94	2859
2026-01-06 00:49:40.45	285.46	70.87	-37.9	-44.9	3.4	15178810	94	2753
2026-01-06 00:49:40.65	285.17	70.85	-37.9	-46.3	3.6	15178810	94	3222
2026-01-06 00:49:40.85	284.87	70.84	-37.9	-46.0	3.5	15189506	94	3125
2026-01-06 00:49:41.05	284.58	70.82	-37.9	-45.4	3.4	15189506	94	2916
2026-01-06 00:49:41.25	284.28	70.81	-37.9	-45.0	3.4	15196258	94	2796
2026-01-06 00:49:41.45	283.99	70.79	-37.9	-46.2	3.6	15196258	94	3218
2026-01-06 00:49:41.65	283.70	70.78	-38.0	-46.6	2.9	15152015	94	3315
2026-01-06 00:49:41.85	283.40	70.76	-38.1	-46.1	3.5	15152015	94	3098
2026-01-06 00:49:42.06	283.10	70.74	-38.0	-45.5	3.4	15152015	94	2898
2026-01-06 00:49:42.26	282.80	70.72	-38.0	-45.2	3.3	15188888	94	2805
2026-01-06 00:49:42.46	282.51	70.71	-37.9	-46.3	3.6	15188888	94	3246
2026-01-06 00:49:42.66	282.22	70.69	-37.9	-45.9	3.5	15152915	94	3099
2026-01-06 00:49:42.86	281.93	70.67	-37.9	-45.3	3.4	15152915	94	2898
2026-01-06 00:49:43.06	281.64	70.65	-37.9	-44.9	3.3	15187843	94	2772
2026-01-06 00:49:43.26	281.35	70.63	-37.9	-46.3	3.6	15187843	94	3226
2026-01-06 00:49:43.46	281.07	70.61	-37.9	-46.1	3.6	15211898	94	3175
2026-01-06 00:49:43.66	280.78	70.59	-37.9	-45.4	3.5	15211898	94	2940
2026-01-06 00:49:43.86	280.49	70.57	-37.9	-45.1	3.4	15187126	94	2809
2026-01-06 00:49:44.06	280.21	70.54	-37.9	-46.3	3.4	15187126	94	3227
2026-01-06 00:49:44.27	279.91	70.52	-37.9	-46.2	3.6	15193786	94	3218
2026-01-06 00:49:44.47	279.62	70.50	-37.9	-45.6	3.5	15193786	94	3008
2026-01-06 00:49:44.67	279.34	70.48	-37.9	-45.2	3.4	15193786	94	2848
2026-01-06 00:49:44.87	279.05	70.45	-37.9	-44.9	3.3	15188064	94	2763
2026-01-06 00:49:45.07	278.77	70.43	-37.9	-46.4	3.6	15188064	94	3264
2026-01-06 00:49:45.27	278.49	70.40	-37.8	-44.7	3.5	15176750	94	2744
2026-01-06 00:49:45.47	278.21	70.38	-37.2	-42.1	3.6	15176750	92	2164
2026-01-06 00:49:45.67	277.93	70.35	-36.8	-40.2	3.9	15149375	92	1802
2026-01-06 00:49:45.87	277.65	70.33	-36.8	-41.7	4.1	15149375	91	2154
2026-01-06 00:49:46.07	277.37	70.30	-37.0	-41.7	4.7	13579780	91	2123
2026-01-06 00:49:46.28	277.08	70.27	-37.5	-42.9	3.8	13579780	92	2313
2026-01-06 00:49:46.48	276.80	70.25	-37.8	-44.5	3.5	11760711	92	2651
2026-01-06 00:49:46.68	276.52	70.22	-38.1	-47.2	3.6	11760711	93	3477
2026-01-06 00:49:46.88	276.25	70.19	-38.1	-46.9	3.6	15121253	93	3380
2026-01-06 00:49:47.08	275.97	70.16	-38.1	-46.6	3.4	15121253	93	3269
2026-01-06 00:49:47.28	275.70	70.13	-38.1	-46.1	3.4	15121253	93	3074
2026-01-06 00:49:47.48	275.43	70.11	-38.1	-47.2	3.6	15241096	93	3506

#Closed at: 2026-01-06 00:49:47
