#Pass ID: 20260107_200128_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20251203
#Start time: 2026-01-07 20:01:29

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 49008U 21062A   26005.56299987  .00000339  00000+0  18069-3 0  9991
#TLE: 2 49008  98.7472  10.8019 0001562 158.0357 202.0886 14.19884907233502

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-07 20:01:29.77	23.24	0.09	-49.3	-64.2	3.5	1.51e+00	0	36	0	0	60	58926
2026-01-07 20:01:30.77	23.22	0.15	-49.1	-60.5	3.6	8.45e-01	0	37	104	0	60	38207
2026-01-07 20:01:31.78	23.19	0.21	-49.3	-60.4	3.6	8.45e-01	0	37	104	0	60	38057
2026-01-07 20:01:32.79	23.17	0.27	-49.3	-60.5	3.6	8.45e-01	0	37	104	0	60	38499
2026-01-07 20:01:33.80	23.15	0.33	-49.2	-60.5	3.6	8.45e-01	0	37	104	0	60	38357
2026-01-07 20:01:34.81	23.12	0.39	-49.3	-60.6	3.6	8.45e-01	0	37	104	0	60	38593
2026-01-07 20:01:35.82	23.10	0.45	-49.3	-60.6	3.6	8.45e-01	0	37	104	0	60	38896
2026-01-07 20:01:36.83	23.07	0.51	-49.4	-60.6	3.6	8.45e-01	0	37	104	0	60	38597
2026-01-07 20:01:37.84	23.05	0.57	-49.3	-60.5	3.6	8.44e-01	0	37	104	0	60	38380
2026-01-07 20:01:38.85	23.02	0.63	-49.2	-60.5	3.6	8.48e-01	0	37	104	0	60	38360
2026-01-07 20:01:39.86	23.00	0.69	-49.2	-60.4	3.6	8.46e-01	0	37	104	0	60	38032
2026-01-07 20:01:40.87	22.97	0.75	-49.1	-60.4	3.6	8.45e-01	0	37	104	0	60	37673
2026-01-07 20:01:41.88	22.95	0.81	-49.1	-60.3	3.6	8.46e-01	0	37	104	0	60	37376
2026-01-07 20:01:42.89	22.93	0.87	-48.9	-60.1	3.6	8.46e-01	0	37	104	0	60	36439
2026-01-07 20:01:43.89	22.90	0.93	-48.6	-59.9	3.6	8.46e-01	0	37	104	0	60	35771
2026-01-07 20:01:44.90	22.88	0.99	-48.5	-59.7	3.5	8.46e-01	0	37	104	0	60	34891
2026-01-07 20:01:45.91	22.85	1.05	-48.2	-59.4	3.6	8.45e-01	0	37	104	0	60	33787
2026-01-07 20:01:46.92	22.82	1.12	-47.9	-59.0	3.6	8.44e-01	0	37	104	0	60	32296
2026-01-07 20:01:47.93	22.80	1.18	-47.9	-59.0	3.6	8.45e-01	0	37	104	0	60	32308
2026-01-07 20:01:48.94	22.77	1.24	-47.9	-59.0	3.6	8.44e-01	0	37	104	0	60	32071
2026-01-07 20:01:49.95	22.75	1.30	-47.9	-59.0	3.6	8.44e-01	0	37	104	0	60	32066
2026-01-07 20:01:50.96	22.72	1.36	-47.9	-59.0	3.6	8.45e-01	0	37	104	0	60	32248
2026-01-07 20:01:51.97	22.70	1.42	-47.9	-59.0	3.6	8.46e-01	0	37	104	0	60	32278
2026-01-07 20:01:52.98	22.67	1.49	-47.9	-59.0	3.6	8.45e-01	0	37	104	0	60	32160
2026-01-07 20:01:53.99	22.64	1.55	-47.9	-58.8	3.6	8.46e-01	0	37	104	0	60	31520
2026-01-07 20:01:55.00	22.62	1.61	-47.8	-58.7	3.6	8.44e-01	0	37	104	0	60	31226
2026-01-07 20:01:56.01	22.59	1.67	-47.8	-58.5	3.6	8.45e-01	0	38	104	0	60	30440
2026-01-07 20:01:57.02	22.56	1.74	-47.8	-58.4	3.6	8.46e-01	0	37	104	0	60	29893
2026-01-07 20:01:58.03	22.54	1.80	-47.8	-58.3	3.6	8.46e-01	0	38	104	0	60	29796
2026-01-07 20:01:59.04	22.51	1.86	-47.8	-58.4	3.6	8.45e-01	0	38	104	0	60	30069
2026-01-07 20:02:00.05	22.48	1.92	-47.8	-58.6	3.6	8.44e-01	0	38	104	0	60	30602
2026-01-07 20:02:01.06	22.46	1.99	-47.8	-58.8	3.6	8.44e-01	0	38	104	0	60	31389
2026-01-07 20:02:02.07	22.43	2.05	-47.9	-59.0	3.6	8.46e-01	0	38	104	0	60	32122
2026-01-07 20:02:03.08	22.40	2.11	-47.9	-59.1	3.6	8.45e-01	0	38	104	0	60	32557
2026-01-07 20:02:04.09	22.37	2.18	-47.9	-59.0	3.6	8.44e-01	0	38	104	0	60	32134
2026-01-07 20:02:05.10	22.35	2.24	-47.9	-58.9	3.6	8.46e-01	0	38	104	0	60	31796
2026-01-07 20:02:06.11	22.32	2.30	-47.8	-58.7	3.6	8.44e-01	0	38	104	0	60	30971
2026-01-07 20:02:07.12	22.29	2.37	-47.8	-58.3	3.6	8.46e-01	0	38	104	0	60	29768
2026-01-07 20:02:08.12	22.26	2.43	-47.8	-58.1	3.6	8.45e-01	0	38	104	0	60	29201
2026-01-07 20:02:09.13	22.23	2.50	-47.7	-57.7	3.6	8.46e-01	0	38	104	0	60	27629
2026-01-07 20:02:10.14	22.21	2.56	-47.7	-57.3	3.6	8.45e-01	0	38	104	0	60	26583
2026-01-07 20:02:11.15	22.18	2.62	-47.6	-56.8	3.6	8.45e-01	0	38	104	0	60	25122
2026-01-07 20:02:12.16	22.15	2.69	-47.6	-56.9	3.6	8.44e-01	0	38	104	0	60	25393
2026-01-07 20:02:13.17	22.12	2.75	-47.7	-57.6	3.6	8.45e-01	0	38	104	0	60	27289
2026-01-07 20:02:14.18	22.09	2.82	-47.8	-58.0	3.6	8.45e-01	0	38	104	0	60	28818
2026-01-07 20:02:15.19	22.06	2.88	-47.7	-57.8	3.6	8.44e-01	0	38	104	0	60	27994
2026-01-07 20:02:16.20	22.03	2.95	-47.4	-55.6	4.1	8.42e-01	0	38	104	0	60	21695
2026-01-07 20:02:17.21	22.00	3.01	-46.6	-50.8	6.2	6.98e-01	0	38	0	1048576	60	12592
2026-01-07 20:02:18.22	21.97	3.08	-45.3	-48.3	9.3	3.48e-02	0	38	0	8388608	60	9401
2026-01-07 20:02:19.23	21.94	3.14	-43.8	-45.9	12.0	1.15e-03	0	38	0	15728640	60	7166
2026-01-07 20:02:20.24	21.91	3.21	-42.2	-43.8	14.3	6.80e-06	0	38	0	20971520	58	6251
2026-01-07 20:02:21.25	21.88	3.28	-41.0	-42.3	15.9	0.00e+00	0	38	0	28311552	56	5935
2026-01-07 20:02:22.26	21.85	3.34	-39.8	-40.8	17.2	0.00e+00	0	38	0	35651584	54	5630
2026-01-07 20:02:23.27	21.82	3.41	-39.4	-40.4	17.6	0.00e+00	0	38	0	42991616	52	6027
2026-01-07 20:02:24.28	21.79	3.47	-39.0	-40.0	18.0	0.00e+00	0	38	0	50331648	52	5749
2026-01-07 20:02:25.29	21.76	3.54	-39.0	-40.0	18.1	0.00e+00	0	38	0	57671680	52	5705
2026-01-07 20:02:26.30	21.73	3.61	-39.1	-40.1	17.9	0.00e+00	0	38	0	65011712	52	5821
2026-01-07 20:02:27.31	21.70	3.67	-40.0	-41.1	16.6	0.00e+00	0	38	0	72351744	52	6501
2026-01-07 20:02:28.31	21.67	3.74	-41.1	-42.4	16.3	0.00e+00	0	38	0	79691776	56	6013
2026-01-07 20:02:29.33	21.64	3.81	-40.6	-41.8	17.0	6.40e-05	0	38	0	87031808	58	4976
2026-01-07 20:02:30.33	21.61	3.87	-45.6	-49.5	11.0	8.41e-01	0	38	104	90177536	60	10731
2026-01-07 20:02:31.34	21.57	3.94	-36.9	-37.7	19.4	0.00e+00	0	38	0	92274688	46	6192
2026-01-07 20:02:32.35	21.54	4.01	-47.5	-56.4	4.2	8.44e-01	0	38	104	94371840	60	23788
2026-01-07 20:02:33.36	21.51	4.08	-35.7	-36.4	19.8	1.10e-01	0	38	104	94371840	44	5971
2026-01-07 20:02:34.37	21.48	4.14	-35.3	-36.1	22.0	0.00e+00	0	38	0	99614720	44	5769
2026-01-07 20:02:35.38	21.45	4.21	-35.0	-35.7	22.4	0.00e+00	0	38	0	106954752	44	5505
2026-01-07 20:02:36.39	21.41	4.28	-35.0	-35.7	22.4	0.00e+00	0	38	0	114294784	44	5562
2026-01-07 20:02:37.41	21.38	4.35	-35.0	-35.7	22.4	0.00e+00	0	38	0	121634816	44	5514
2026-01-07 20:02:38.41	21.35	4.42	-35.0	-35.7	22.3	0.00e+00	0	38	0	127926272	44	5537
2026-01-07 20:02:39.43	21.32	4.49	-35.2	-35.9	22.2	0.00e+00	0	38	0	135266304	44	5665
2026-01-07 20:02:40.44	21.28	4.56	-34.9	-35.6	22.5	0.00e+00	0	38	0	143654912	44	5477
2026-01-07 20:02:41.45	21.25	4.62	-34.9	-35.7	22.5	0.00e+00	0	38	0	149946368	44	5506
2026-01-07 20:02:42.45	21.22	4.69	-34.8	-35.5	22.6	0.00e+00	0	38	0	157286400	44	5433
2026-01-07 20:02:43.46	21.18	4.76	-34.9	-35.6	22.5	0.00e+00	0	38	0	164626432	42	6136
2026-01-07 20:02:44.47	21.15	4.83	-35.0	-35.7	22.5	0.00e+00	0	38	0	171966464	42	6198
2026-01-07 20:02:45.48	21.11	4.90	-34.9	-35.6	22.6	0.00e+00	0	38	0	179306496	42	6118
2026-01-07 20:02:46.49	21.08	4.97	-34.8	-35.5	22.7	0.00e+00	0	38	0	186646528	42	6092
2026-01-07 20:02:47.50	21.04	5.04	-34.8	-35.5	22.8	0.00e+00	0	38	0	193986560	42	6041
2026-01-07 20:02:48.51	21.01	5.11	-34.7	-35.4	22.8	0.00e+00	0	38	0	201326592	42	5982
2026-01-07 20:02:49.52	20.98	5.18	-34.7	-35.4	22.8	0.00e+00	0	38	0	208666624	42	6027
2026-01-07 20:02:50.53	20.94	5.25	-34.6	-35.3	22.9	0.00e+00	0	38	0	216006656	42	5915
2026-01-07 20:02:51.55	20.90	5.32	-34.6	-35.3	23.0	0.00e+00	0	38	0	223346688	42	5909
2026-01-07 20:02:52.56	20.87	5.39	-34.6	-35.3	22.9	0.00e+00	0	38	0	230686720	42	5941
2026-01-07 20:02:53.57	20.83	5.47	-34.5	-35.2	23.0	0.00e+00	0	38	0	238026752	42	5875
2026-01-07 20:02:54.58	20.80	5.54	-34.6	-35.2	23.0	0.00e+00	0	38	0	245366784	42	5896
2026-01-07 20:02:55.59	20.76	5.61	-34.7	-35.4	23.1	0.00e+00	0	38	0	252706816	42	5966
2026-01-07 20:02:56.60	20.73	5.68	-34.5	-35.1	23.0	0.00e+00	0	38	0	260046848	42	5819
2026-01-07 20:02:57.61	20.69	5.75	-34.5	-35.2	23.0	0.00e+00	0	38	0	267386880	42	5876
2026-01-07 20:02:58.62	20.65	5.82	-34.4	-35.1	23.1	0.00e+00	0	38	0	273678336	42	5793
