#Pass ID: 20260107_221925_TY-39
#Satellite: TY-39
#Configuration: TY-39
#almurnet v.1.7.20251203
#Start time: 2026-01-07 22:19:31

#Version: 2.2.20231116
#Station: R4.6S_Anadyr_2ch
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 51832U 22019J   25350.98409328  .00002071  00000-0  10077-3 0  9999
#TLE: 2 51832  97.3692  53.3782 0009735 139.3452 220.8512 15.19459940210129

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-07 22:19:31.53	18.94	0.36	-52.0	-64.7	3.4	1.52e+00	0	33	0	0	60	81232
2026-01-07 22:19:32.54	18.97	0.42	-51.0	-53.4	3.6	0.00e+00	0	34	104	0	60	78313
2026-01-07 22:19:33.55	19.01	0.49	-51.0	-53.5	3.6	0.00e+00	0	34	104	0	60	78729
2026-01-07 22:19:34.56	19.04	0.55	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78490
2026-01-07 22:19:35.57	19.08	0.62	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78569
2026-01-07 22:19:36.58	19.12	0.68	-50.9	-53.5	3.6	0.00e+00	0	35	104	0	60	78922
2026-01-07 22:19:37.60	19.15	0.75	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78403
2026-01-07 22:19:38.61	19.19	0.81	-51.0	-53.5	3.6	0.00e+00	0	35	104	0	60	78728
2026-01-07 22:19:39.62	19.23	0.88	-51.0	-53.5	3.6	0.00e+00	0	35	104	0	60	78726
2026-01-07 22:19:40.63	19.26	0.94	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78319
2026-01-07 22:19:41.64	19.30	1.01	-51.0	-53.5	3.6	0.00e+00	0	35	104	0	60	78743
2026-01-07 22:19:42.65	19.34	1.08	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78603
2026-01-07 22:19:43.66	19.37	1.14	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78178
2026-01-07 22:19:44.67	19.41	1.21	-51.0	-53.5	3.6	0.00e+00	0	35	104	0	60	79165
2026-01-07 22:19:45.68	19.45	1.27	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78501
2026-01-07 22:19:46.69	19.49	1.34	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78323
2026-01-07 22:19:47.70	19.53	1.41	-51.0	-53.5	3.6	0.00e+00	0	35	104	0	60	78684
2026-01-07 22:19:48.71	19.56	1.47	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78590
2026-01-07 22:19:49.73	19.60	1.54	-51.0	-53.5	3.6	0.00e+00	0	35	104	0	60	78810
2026-01-07 22:19:50.74	19.64	1.61	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78407
2026-01-07 22:19:51.75	19.68	1.68	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78481
2026-01-07 22:19:52.76	19.72	1.75	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78530
2026-01-07 22:19:53.77	19.76	1.81	-51.0	-53.5	3.6	0.00e+00	0	35	104	0	60	78688
2026-01-07 22:19:54.78	19.80	1.88	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78588
2026-01-07 22:19:55.79	19.84	1.95	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78433
2026-01-07 22:19:56.80	19.88	2.02	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78464
2026-01-07 22:19:57.81	19.92	2.09	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78170
2026-01-07 22:19:58.82	19.96	2.16	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	78519
2026-01-07 22:19:59.83	20.00	2.23	-51.0	-53.4	3.6	0.00e+00	0	35	104	0	60	77772
