#Pass ID: 20260107_111623_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-07 11:16:24

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 43010U 17072A   26006.26440730  .00000376  00000+0  19957-3 0  9994
#TLE: 2 43010  98.9925 337.9455 0002045 123.9195 236.2175 14.19693586422016

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-07 11:16:24.35	138.69	5.11	-51.5	-63.7	3.8	8.46e-01	0	40	0	0	75	13920
2026-01-07 11:16:25.35	138.66	5.18	-51.5	-63.5	3.8	8.47e-01	0	41	104	0	74	14535
2026-01-07 11:16:26.36	138.62	5.25	-51.5	-63.5	3.8	8.48e-01	0	41	104	0	74	14468
2026-01-07 11:16:27.36	138.59	5.32	-51.5	-63.5	3.8	8.46e-01	0	41	104	0	74	14439
2026-01-07 11:16:28.36	138.55	5.39	-51.5	-63.4	3.8	8.46e-01	0	41	104	0	74	14351
2026-01-07 11:16:29.37	138.51	5.46	-51.4	-63.4	3.8	8.47e-01	0	41	104	0	74	14227
2026-01-07 11:16:30.37	138.48	5.53	-51.4	-63.3	3.8	8.47e-01	0	41	104	0	74	14148
2026-01-07 11:16:31.37	138.44	5.61	-51.4	-63.2	3.8	8.46e-01	0	41	104	0	74	13949
2026-01-07 11:16:32.38	138.41	5.68	-51.4	-63.1	3.8	8.46e-01	0	41	104	0	74	13775
2026-01-07 11:16:33.38	138.37	5.75	-51.4	-62.8	3.8	8.47e-01	0	41	104	0	74	13345
2026-01-07 11:16:34.39	138.33	5.82	-51.4	-62.5	3.8	8.46e-01	0	41	104	0	74	12949
2026-01-07 11:16:35.39	138.30	5.89	-51.3	-62.3	3.8	8.48e-01	0	41	104	0	74	12549
2026-01-07 11:16:36.40	138.26	5.97	-51.3	-62.0	3.8	8.47e-01	0	41	104	0	74	12115
2026-01-07 11:16:37.40	138.22	6.04	-51.3	-61.8	3.8	8.45e-01	0	41	104	0	74	11918
2026-01-07 11:16:38.41	138.18	6.11	-51.2	-61.5	3.9	8.46e-01	0	41	104	0	74	11488
2026-01-07 11:16:39.41	138.15	6.19	-51.2	-61.4	3.9	8.45e-01	0	42	104	0	74	11359
2026-01-07 11:16:40.41	138.11	6.26	-51.2	-61.6	3.8	8.45e-01	0	41	104	0	74	11568
2026-01-07 11:16:41.42	138.07	6.33	-51.2	-61.7	3.8	8.46e-01	0	41	104	0	74	11805
2026-01-07 11:16:42.42	138.03	6.41	-51.3	-62.0	3.8	8.44e-01	0	41	104	0	74	12169
2026-01-07 11:16:43.43	137.99	6.48	-51.3	-62.3	3.8	8.46e-01	0	42	104	0	74	12662
2026-01-07 11:16:44.43	137.96	6.55	-51.4	-62.8	3.8	8.47e-01	0	41	104	0	74	13413
2026-01-07 11:16:45.44	137.92	6.63	-51.4	-63.4	3.8	8.46e-01	0	41	104	0	74	14215
2026-01-07 11:16:46.44	137.88	6.70	-51.5	-63.6	3.8	8.48e-01	0	42	104	0	74	14695
2026-01-07 11:16:47.44	137.84	6.78	-51.5	-63.7	3.8	8.47e-01	0	42	104	0	74	14779
2026-01-07 11:16:48.45	137.80	6.85	-51.5	-63.5	3.8	8.47e-01	0	41	104	0	74	14388
2026-01-07 11:16:49.45	137.76	6.93	-51.4	-62.8	3.8	8.47e-01	0	42	104	0	74	13389
2026-01-07 11:16:50.46	137.72	7.00	-51.3	-61.9	3.8	8.47e-01	0	41	104	0	74	12017
2026-01-07 11:16:51.46	137.68	7.08	-51.2	-60.9	3.9	8.45e-01	0	42	104	0	74	10774
2026-01-07 11:16:52.46	137.64	7.15	-51.0	-59.9	4.3	8.39e-01	0	42	0	0	74	9537
2026-01-07 11:16:53.47	137.60	7.23	-50.8	-58.9	4.6	8.18e-01	0	42	0	0	73	8975
2026-01-07 11:16:54.46	137.56	7.31	-50.6	-57.9	5.1	7.88e-01	0	42	0	0	73	8058
2026-01-07 11:16:55.46	137.52	7.38	-50.3	-57.0	5.7	6.45e-01	0	42	0	0	72	7707
2026-01-07 11:16:56.47	137.47	7.46	-50.0	-55.9	6.6	3.07e-01	0	42	0	6291456	71	7140
2026-01-07 11:16:57.47	137.43	7.54	-49.6	-54.8	7.6	1.27e-01	0	42	0	11534336	71	6337
2026-01-07 11:16:58.47	137.39	7.61	-49.1	-53.7	8.7	4.96e-02	0	42	0	16777216	70	5894
2026-01-07 11:16:59.48	137.35	7.69	-48.4	-52.4	10.0	1.85e-02	0	42	0	23068672	68	5708
