#Pass ID: 20260108_024256_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-08 02:42:57

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 43010U 17072A   26006.26440730  .00000376  00000+0  19957-3 0  9994
#TLE: 2 43010  98.9925 337.9455 0002045 123.9195 236.2175 14.19693586422016

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-08 02:42:57.16	24.97	2.02	-57.5	-70.5	3.8	8.45e-01	0	23	0	0	81	15831
2026-01-08 02:42:58.16	24.97	2.08	-57.4	-70.5	3.8	8.45e-01	0	23	104	0	79	17762
2026-01-08 02:42:59.16	24.98	2.15	-57.4	-70.5	3.8	8.45e-01	0	22	104	0	79	17707
2026-01-08 02:43:00.16	24.98	2.21	-57.4	-70.5	3.8	8.46e-01	0	23	104	0	79	17733
2026-01-08 02:43:01.15	24.99	2.28	-57.4	-70.4	3.8	8.45e-01	0	23	104	0	79	17614
2026-01-08 02:43:02.15	24.99	2.34	-57.4	-70.4	3.8	8.46e-01	0	23	104	0	79	17619
2026-01-08 02:43:03.15	25.00	2.40	-57.4	-70.4	3.8	8.46e-01	0	23	104	0	79	17590
2026-01-08 02:43:04.14	25.01	2.47	-57.4	-70.4	3.8	8.46e-01	0	23	104	0	79	17612
2026-01-08 02:43:05.14	25.01	2.53	-57.4	-70.4	3.8	8.47e-01	0	23	104	0	79	17620
2026-01-08 02:43:06.14	25.02	2.60	-57.4	-70.4	3.8	8.46e-01	0	23	104	0	79	17659
2026-01-08 02:43:07.13	25.02	2.66	-57.4	-70.4	3.8	8.46e-01	0	23	104	0	79	17663
2026-01-08 02:43:08.14	25.03	2.73	-57.4	-70.5	3.8	8.46e-01	0	23	104	0	79	17695
2026-01-08 02:43:09.13	25.03	2.79	-57.4	-70.5	3.8	8.45e-01	0	23	104	0	80	16713
2026-01-08 02:43:10.13	25.04	2.86	-57.4	-70.4	3.8	8.47e-01	0	23	104	0	80	16530
2026-01-08 02:43:11.14	25.04	2.93	-57.4	-70.2	3.8	8.46e-01	0	23	104	0	80	16214
2026-01-08 02:43:12.14	25.05	2.99	-57.4	-70.0	3.8	8.45e-01	0	23	104	0	80	15855
2026-01-08 02:43:13.14	25.05	3.06	-57.4	-69.5	3.8	8.45e-01	0	23	104	0	80	15037
2026-01-08 02:43:14.14	25.06	3.12	-57.3	-69.3	3.8	8.46e-01	0	23	104	0	80	14700
2026-01-08 02:43:15.14	25.06	3.19	-57.3	-68.9	3.8	8.44e-01	0	23	104	0	80	14017
2026-01-08 02:43:16.14	25.07	3.26	-57.3	-68.6	3.8	8.43e-01	0	23	104	0	80	13436
2026-01-08 02:43:17.14	25.08	3.32	-57.3	-68.5	3.8	8.45e-01	0	23	104	0	80	13304
2026-01-08 02:43:18.15	25.08	3.39	-57.3	-68.8	3.8	8.45e-01	0	23	104	0	80	13871
2026-01-08 02:43:19.15	25.09	3.46	-57.3	-69.2	3.8	8.44e-01	0	23	104	0	80	14525
2026-01-08 02:43:20.15	25.09	3.53	-57.4	-69.5	3.8	8.44e-01	0	23	104	0	80	14954
