#Pass ID: 20260108_111216_2024-110A
#Satellite: 2024-110A
#Configuration: 01B_900M
#almurnet v.1.7.20251203
#Start time: 2026-01-08 11:12:17

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 60012U 24110A   26007.98708826  .00007025  00000+0  42665-3 0  9999
#TLE: 2 60012  97.5753 101.0637 0010585  88.1984 272.0458 15.10762756 87702

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-08 11:12:17.08	21.91	2.07	-57.1	-60.3	6.1	0.00e+00	0	25	0	0	81	20296
2026-01-08 11:12:18.09	21.89	2.14	-57.1	-60.4	6.2	0.00e+00	0	25	104	0	81	20416
2026-01-08 11:12:19.10	21.87	2.21	-57.1	-60.4	6.2	0.00e+00	0	25	104	0	81	20417
2026-01-08 11:12:20.10	21.85	2.28	-57.1	-60.3	6.2	0.00e+00	0	25	104	0	81	20290
2026-01-08 11:12:21.11	21.82	2.35	-57.1	-60.3	6.2	0.00e+00	0	25	104	0	81	20276
2026-01-08 11:12:22.13	21.80	2.42	-57.0	-60.3	6.2	0.00e+00	0	25	104	0	81	20271
2026-01-08 11:12:23.14	21.78	2.49	-57.0	-60.3	6.2	0.00e+00	0	25	104	0	81	20250
2026-01-08 11:12:24.15	21.76	2.56	-57.0	-60.3	6.2	0.00e+00	0	25	104	0	81	20246
2026-01-08 11:12:25.15	21.73	2.63	-57.0	-60.3	6.2	0.00e+00	0	25	104	0	81	20252
2026-01-08 11:12:26.16	21.71	2.70	-57.0	-60.3	6.2	0.00e+00	0	25	104	0	81	20267
2026-01-08 11:12:27.17	21.69	2.78	-57.0	-60.3	6.2	0.00e+00	0	25	104	0	81	20269
2026-01-08 11:12:28.18	21.67	2.85	-57.1	-60.3	6.2	0.00e+00	0	25	104	0	81	20282
2026-01-08 11:12:29.18	21.64	2.92	-57.1	-60.3	6.2	0.00e+00	0	25	104	0	81	20380
2026-01-08 11:12:30.19	21.62	2.99	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20331
2026-01-08 11:12:31.20	21.59	3.06	-57.1	-60.3	6.2	0.00e+00	0	25	104	0	81	20332
2026-01-08 11:12:32.21	21.57	3.14	-57.1	-60.3	6.2	0.00e+00	0	25	104	0	81	20313
2026-01-08 11:12:33.22	21.55	3.21	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20322
2026-01-08 11:12:34.22	21.52	3.28	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20353
2026-01-08 11:12:35.23	21.50	3.36	-57.1	-60.4	6.2	0.00e+00	0	26	104	0	81	20400
2026-01-08 11:12:36.24	21.47	3.43	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20347
2026-01-08 11:12:37.24	21.45	3.50	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20373
2026-01-08 11:12:38.25	21.42	3.58	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20328
2026-01-08 11:12:39.25	21.40	3.65	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20335
2026-01-08 11:12:40.26	21.37	3.73	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20355
2026-01-08 11:12:41.27	21.35	3.80	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20314
2026-01-08 11:12:42.28	21.32	3.88	-57.1	-60.4	6.2	0.00e+00	0	26	104	0	81	20413
2026-01-08 11:12:43.29	21.30	3.95	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20338
2026-01-08 11:12:44.30	21.27	4.03	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20383
2026-01-08 11:12:45.30	21.24	4.10	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20379
2026-01-08 11:12:46.31	21.22	4.18	-57.1	-60.4	6.2	0.00e+00	0	26	104	0	81	20413
2026-01-08 11:12:47.32	21.19	4.26	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20384
2026-01-08 11:12:48.33	21.16	4.33	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20290
2026-01-08 11:12:49.34	21.14	4.41	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20394
2026-01-08 11:12:50.35	21.11	4.49	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20302
2026-01-08 11:12:51.35	21.08	4.57	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20342
2026-01-08 11:12:52.36	21.05	4.64	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20319
2026-01-08 11:12:53.37	21.03	4.72	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20324
2026-01-08 11:12:54.38	21.00	4.80	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20259
2026-01-08 11:12:55.38	20.97	4.88	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20321
2026-01-08 11:12:56.39	20.94	4.96	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20353
2026-01-08 11:12:57.40	20.91	5.04	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20351
2026-01-08 11:12:58.41	20.88	5.12	-57.2	-60.4	6.2	0.00e+00	0	27	104	0	81	20486
2026-01-08 11:12:59.41	20.85	5.20	-57.2	-60.4	6.2	0.00e+00	0	26	104	0	81	20532
2026-01-08 11:13:00.42	20.82	5.28	-57.1	-60.3	6.2	0.00e+00	0	26	104	0	81	20378
2026-01-08 11:13:01.43	20.80	5.36	-57.2	-60.4	6.2	0.00e+00	0	26	104	0	81	20513
2026-01-08 11:13:02.43	20.77	5.44	-57.2	-60.4	6.2	0.00e+00	0	26	104	0	81	20496
2026-01-08 11:13:03.44	20.74	5.52	-57.2	-60.4	6.2	0.00e+00	0	27	104	0	81	20522
2026-01-08 11:13:04.44	20.71	5.60	-57.2	-60.4	6.2	0.00e+00	0	26	104	0	81	20415
2026-01-08 11:13:05.44	20.67	5.68	-57.2	-60.4	6.2	0.00e+00	0	26	104	0	81	20482
2026-01-08 11:13:06.45	20.64	5.76	-57.2	-60.4	6.2	0.00e+00	0	26	104	0	81	20535
2026-01-08 11:13:07.45	20.61	5.85	-57.2	-60.4	6.2	0.00e+00	0	26	104	0	81	20619
2026-01-08 11:13:08.46	20.58	5.93	-57.2	-60.4	6.2	0.00e+00	0	26	104	0	81	20548
2026-01-08 11:13:09.46	20.55	6.01	-57.2	-60.4	6.2	0.00e+00	0	27	104	0	81	20583
2026-01-08 11:13:10.46	20.52	6.09	-57.2	-60.5	6.2	0.00e+00	0	26	104	0	81	20656
2026-01-08 11:13:11.47	20.49	6.18	-57.3	-60.5	6.2	0.00e+00	0	26	104	0	81	20728
2026-01-08 11:13:12.48	20.45	6.26	-57.2	-60.5	6.2	0.00e+00	0	27	104	0	81	20641
2026-01-08 11:13:13.48	20.42	6.35	-57.2	-60.5	6.2	0.00e+00	0	27	104	0	81	20706
2026-01-08 11:13:14.49	20.39	6.43	-57.3	-60.5	6.2	0.00e+00	0	27	104	0	81	20769
2026-01-08 11:13:15.49	20.36	6.52	-57.3	-60.5	6.2	0.00e+00	0	26	104	0	81	20864
2026-01-08 11:13:16.50	20.32	6.60	-57.3	-60.5	6.2	0.00e+00	0	27	104	0	81	20704
2026-01-08 11:13:17.50	20.29	6.69	-57.3	-60.5	6.2	0.00e+00	0	26	104	0	81	20755
2026-01-08 11:13:18.50	20.25	6.77	-57.3	-60.5	6.2	0.00e+00	0	27	104	0	81	20798
2026-01-08 11:13:19.51	20.22	6.86	-57.3	-60.5	6.2	0.00e+00	0	27	104	0	81	20840
2026-01-08 11:13:20.51	20.19	6.94	-57.3	-60.5	6.2	0.00e+00	0	27	104	0	81	20798
2026-01-08 11:13:21.52	20.15	7.03	-57.3	-60.5	6.2	0.00e+00	0	27	104	0	81	20824
2026-01-08 11:13:22.52	20.12	7.12	-57.3	-60.6	6.2	0.00e+00	0	27	104	0	81	20892
2026-01-08 11:13:23.53	20.08	7.21	-57.3	-60.5	6.2	0.00e+00	0	27	104	0	81	20852
2026-01-08 11:13:24.53	20.05	7.30	-57.3	-60.6	6.2	0.00e+00	0	27	104	0	81	20892
2026-01-08 11:13:25.54	20.01	7.38	-57.3	-60.6	6.2	0.00e+00	0	27	104	0	81	20972
2026-01-08 11:13:26.55	19.97	7.47	-57.4	-60.6	6.2	0.00e+00	0	27	104	0	81	21015
2026-01-08 11:13:27.55	19.94	7.56	-57.4	-60.6	6.2	0.00e+00	0	27	104	0	81	21057
2026-01-08 11:13:28.55	19.90	7.65	-57.3	-60.6	6.2	0.00e+00	0	27	104	0	81	20930
2026-01-08 11:13:29.56	19.86	7.74	-57.4	-60.6	6.2	0.00e+00	0	27	104	0	81	20998
2026-01-08 11:13:30.56	19.83	7.83	-57.4	-60.6	6.2	0.00e+00	0	27	104	0	81	21076
2026-01-08 11:13:31.56	19.79	7.92	-57.4	-60.6	6.2	0.00e+00	0	27	104	0	81	21015
2026-01-08 11:13:32.58	19.75	8.02	-57.3	-60.5	6.2	0.00e+00	0	27	104	0	81	20855
2026-01-08 11:13:33.58	19.71	8.11	-57.4	-60.6	6.2	0.00e+00	0	27	104	0	81	21000
2026-01-08 11:13:34.59	19.67	8.20	-57.4	-60.7	6.2	0.00e+00	0	27	104	0	81	21151
2026-01-08 11:13:35.59	19.63	8.29	-57.4	-60.6	6.2	0.00e+00	0	27	104	0	81	21034
2026-01-08 11:13:36.59	19.59	8.39	-57.3	-60.5	6.2	0.00e+00	0	27	104	0	81	20726
2026-01-08 11:13:37.60	19.55	8.48	-57.4	-60.6	6.2	0.00e+00	0	27	104	0	81	20991
2026-01-08 11:13:38.61	19.51	8.58	-57.5	-60.7	6.2	0.00e+00	0	27	104	0	81	21240
2026-01-08 11:13:39.62	19.47	8.67	-57.4	-60.6	6.2	0.00e+00	0	27	104	0	81	20909
2026-01-08 11:13:40.63	19.43	8.77	-57.2	-60.4	6.2	0.00e+00	0	27	104	0	81	20447
2026-01-08 11:13:41.63	19.39	8.86	-57.4	-60.6	6.1	0.00e+00	0	27	104	0	81	20973
2026-01-08 11:13:42.63	19.35	8.96	-57.5	-60.7	6.2	0.00e+00	0	27	104	0	81	21209
2026-01-08 11:13:43.64	19.31	9.05	-57.4	-60.6	6.2	0.00e+00	0	27	104	0	81	20898
2026-01-08 11:13:44.65	19.27	9.15	-57.0	-60.1	6.2	0.00e+00	0	27	104	0	81	19844
2026-01-08 11:13:45.65	19.22	9.25	-57.3	-60.5	6.2	0.00e+00	0	27	104	0	80	22056
