#Pass ID: 20260108_212226_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20251203
#Start time: 2026-01-08 21:22:29

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 49008U 21062A   26008.31124991 -.00000020  00000+0  11209-4 0  9997
#TLE: 2 49008  98.7482  13.5177 0001702 150.1462 209.9812 14.19884205233892

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-08 21:22:29.96	29.48	0.18	-48.0	-57.8	3.3	8.40e-01	0	33	0	0	60	27966
2026-01-08 21:22:30.96	29.42	0.24	-48.0	-59.3	3.6	8.46e-01	0	33	104	0	60	33354
2026-01-08 21:22:31.97	29.37	0.29	-48.0	-59.4	3.6	8.45e-01	0	33	104	0	60	33542
2026-01-08 21:22:32.98	29.31	0.35	-48.1	-59.3	3.6	8.45e-01	0	33	104	0	60	33488
2026-01-08 21:22:33.99	29.26	0.40	-47.9	-59.3	3.6	8.44e-01	0	33	104	0	60	33310
2026-01-08 21:22:35.00	29.21	0.46	-48.0	-59.3	3.6	8.46e-01	0	33	104	0	60	33314
2026-01-08 21:22:36.01	29.15	0.51	-47.9	-59.2	3.6	8.45e-01	0	33	104	0	60	32867
2026-01-08 21:22:37.02	29.10	0.57	-47.9	-59.2	3.6	8.45e-01	0	33	104	0	60	32846
2026-01-08 21:22:38.03	29.04	0.62	-47.7	-59.0	3.6	8.47e-01	0	33	104	0	60	32064
2026-01-08 21:22:39.04	28.98	0.68	-47.5	-58.8	3.5	8.46e-01	0	33	104	0	60	31571
2026-01-08 21:22:40.05	28.93	0.74	-46.7	-58.7	3.6	8.45e-01	0	33	104	0	60	31224
2026-01-08 21:22:41.06	28.87	0.79	-47.1	-58.5	3.6	8.45e-01	0	33	104	0	60	30525
2026-01-08 21:22:42.06	28.82	0.85	-46.9	-58.2	3.6	8.45e-01	0	33	104	0	60	29503
2026-01-08 21:22:43.07	28.76	0.90	-46.5	-57.8	3.6	8.45e-01	0	33	104	0	60	27917
2026-01-08 21:22:44.08	28.70	0.96	-46.3	-57.5	3.6	8.45e-01	0	33	104	0	60	27085
2026-01-08 21:22:45.09	28.65	1.02	-46.2	-57.5	3.6	8.45e-01	0	33	104	0	60	27034
2026-01-08 21:22:46.10	28.59	1.07	-46.2	-57.4	3.6	8.45e-01	0	33	104	0	60	26878
2026-01-08 21:22:47.11	28.53	1.13	-46.2	-57.5	3.6	8.45e-01	0	33	104	0	60	26971
2026-01-08 21:22:48.12	28.48	1.19	-46.2	-57.5	3.6	8.46e-01	0	33	104	0	60	27043
2026-01-08 21:22:49.13	28.42	1.24	-46.2	-57.4	3.6	8.44e-01	0	33	104	0	60	26798
2026-01-08 21:22:50.14	28.36	1.30	-46.2	-57.3	3.6	8.45e-01	0	34	104	0	60	26624
2026-01-08 21:22:51.15	28.30	1.36	-46.2	-57.4	3.6	8.46e-01	0	34	104	0	60	26650
2026-01-08 21:22:52.16	28.24	1.41	-46.2	-57.4	3.6	8.45e-01	0	34	104	0	60	26702
2026-01-08 21:22:53.17	28.18	1.47	-46.2	-57.4	3.6	8.44e-01	0	34	104	0	60	26803
2026-01-08 21:22:54.18	28.12	1.53	-46.2	-57.4	3.6	8.47e-01	0	34	104	0	60	26788
2026-01-08 21:22:55.19	28.07	1.58	-46.2	-57.5	3.6	8.45e-01	0	34	104	0	60	27185
2026-01-08 21:22:56.20	28.01	1.64	-46.2	-57.5	3.6	8.45e-01	0	34	104	0	60	27211
2026-01-08 21:22:57.22	27.95	1.70	-46.2	-57.5	3.6	8.45e-01	0	34	104	0	60	27224
2026-01-08 21:22:58.23	27.89	1.76	-46.2	-57.5	3.6	8.45e-01	0	34	104	0	60	27227
2026-01-08 21:22:59.23	27.83	1.81	-46.2	-57.5	3.6	8.45e-01	0	34	104	0	60	27201
2026-01-08 21:23:00.24	27.77	1.87	-46.2	-57.6	3.6	8.45e-01	0	34	104	0	60	27335
2026-01-08 21:23:01.25	27.70	1.93	-46.2	-57.5	3.6	8.46e-01	0	34	104	0	60	27124
2026-01-08 21:23:02.26	27.64	1.98	-46.2	-57.3	3.6	8.45e-01	0	34	104	0	60	26485
2026-01-08 21:23:03.27	27.58	2.04	-46.2	-57.0	3.6	8.45e-01	0	34	104	0	60	25553
2026-01-08 21:23:04.28	27.52	2.10	-46.1	-56.9	3.6	8.46e-01	0	34	104	0	60	25439
2026-01-08 21:23:05.29	27.46	2.16	-46.1	-56.9	3.6	8.45e-01	0	34	104	0	60	25235
2026-01-08 21:23:06.30	27.40	2.22	-46.1	-56.8	3.6	8.45e-01	0	34	104	0	60	24934
2026-01-08 21:23:07.31	27.33	2.27	-46.2	-57.3	3.6	8.44e-01	0	34	104	0	60	26340
2026-01-08 21:23:08.31	27.27	2.33	-46.2	-57.4	3.6	8.45e-01	0	34	104	0	60	26949
2026-01-08 21:23:09.33	27.21	2.39	-46.2	-57.5	3.6	8.45e-01	0	34	104	0	60	27211
2026-01-08 21:23:10.33	27.15	2.45	-46.2	-57.4	3.6	8.45e-01	0	34	104	0	60	26698
2026-01-08 21:23:11.34	27.08	2.51	-46.2	-57.3	3.6	8.45e-01	0	34	104	0	60	26639
2026-01-08 21:23:12.35	27.02	2.57	-46.2	-57.4	3.6	8.45e-01	0	34	104	0	60	26941
2026-01-08 21:23:13.36	26.96	2.62	-46.2	-57.5	3.6	8.46e-01	0	34	104	0	60	27157
2026-01-08 21:23:14.37	26.89	2.68	-46.2	-57.3	3.6	8.45e-01	0	34	104	0	60	26418
2026-01-08 21:23:15.38	26.83	2.74	-46.1	-56.5	3.6	8.46e-01	0	34	104	0	60	24254
2026-01-08 21:23:16.39	26.76	2.80	-46.1	-56.1	3.6	8.45e-01	0	34	104	0	60	23076
2026-01-08 21:23:17.40	26.70	2.86	-46.1	-56.2	3.6	8.45e-01	0	34	104	0	60	23295
2026-01-08 21:23:18.41	26.63	2.92	-46.2	-57.0	3.6	8.45e-01	0	34	104	0	60	25616
2026-01-08 21:23:19.42	26.57	2.98	-46.1	-57.0	3.6	8.45e-01	0	34	104	0	60	25522
2026-01-08 21:23:20.43	26.50	3.04	-45.8	-54.1	3.7	8.44e-01	0	34	104	0	60	18324
2026-01-08 21:23:21.44	26.43	3.10	-44.8	-49.3	6.7	2.79e-01	0	34	0	1048576	60	10560
2026-01-08 21:23:22.45	26.37	3.16	-43.5	-46.3	9.7	2.40e-02	0	34	0	8388608	60	7477
2026-01-08 21:23:23.46	26.30	3.22	-42.2	-44.3	11.9	1.42e-03	0	34	0	14680064	58	6680
2026-01-08 21:23:24.47	26.23	3.27	-41.3	-43.0	13.4	2.74e-05	0	34	0	22020096	56	6411
2026-01-08 21:23:25.48	26.17	3.33	-41.1	-42.7	13.6	3.40e-06	0	34	0	30408704	56	6220
2026-01-08 21:23:26.49	26.10	3.39	-43.1	-45.6	10.6	1.28e-01	0	34	0	36700160	60	6854
2026-01-08 21:23:27.50	26.03	3.45	-35.2	-35.9	21.1	0.00e+00	0	34	0	44040192	44	5658
2026-01-08 21:23:28.51	25.96	3.51	-46.1	-56.0	3.6	8.45e-01	0	34	104	47185920	60	22936
2026-01-08 21:23:29.51	25.90	3.57	-44.6	-48.6	11.0	3.66e-01	0	34	104	47185920	60	9742
2026-01-08 21:23:30.52	25.83	3.63	-39.0	-40.3	16.3	0.00e+00	0	34	0	51380224	50	6677
2026-01-08 21:23:31.53	25.76	3.69	-37.3	-38.4	18.1	2.20e-06	0	34	0	58720256	48	5981
2026-01-08 21:23:32.54	25.69	3.75	-36.7	-37.6	18.8	0.00e+00	0	34	0	66060288	46	6172
2026-01-08 21:23:33.55	25.62	3.81	-36.6	-37.5	19.1	0.00e+00	0	34	0	73400320	46	6076
2026-01-08 21:23:34.56	25.55	3.87	-35.7	-36.6	20.0	0.00e+00	0	34	0	80740352	46	5456
2026-01-08 21:23:35.57	25.48	3.94	-36.3	-37.2	19.5	0.00e+00	0	34	0	88080384	44	6566
2026-01-08 21:23:36.58	25.41	4.00	-36.1	-37.0	19.4	0.00e+00	0	34	0	95420416	44	6426
2026-01-08 21:23:37.58	25.34	4.06	-35.6	-36.4	20.2	0.00e+00	0	34	0	102760448	44	6011
2026-01-08 21:23:38.59	25.27	4.12	-35.9	-36.8	20.6	0.00e+00	0	34	0	110100480	44	6253
