#Pass ID: 20260108_092330_FENGYUN 3F
#Satellite: FENGYUN 3F
#Configuration: FENGYUN 3F
#Start time: 2026-01-08 09:23:24

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 57490U 23111A   25359.20461847  .00000075  00000+0  55793-4 0  9993
#TLE: 2 57490  98.7067  67.2960 0000833 117.6209 242.5052 14.19896763124173

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2026-01-08 09:23:24.19	352.60	67.56	-38.1	-40.7	3.3	8387969	93	6649
2026-01-08 09:23:24.39	352.48	67.64	-37.8	-47.5	3.6	8160072	81	14972
2026-01-08 09:23:24.59	352.36	67.71	-38.1	-41.7	3.5	8448978	93	7382
2026-01-08 09:23:24.79	352.23	67.79	-38.2	-40.8	3.3	8420631	93	6689
2026-01-08 09:23:24.99	352.11	67.87	-38.1	-40.7	3.3	8385131	93	6644
2026-01-08 09:23:25.19	351.98	67.95	-38.1	-42.2	3.6	8407356	93	7811
2026-01-08 09:23:25.40	351.85	68.04	-38.1	-41.9	3.6	8446083	93	7639
2026-01-08 09:23:25.60	351.72	68.11	-38.1	-41.0	3.4	8446083	93	6814
2026-01-08 09:23:25.80	351.59	68.19	-38.1	-40.7	3.3	8403888	93	6638
2026-01-08 09:23:26.00	351.46	68.27	-38.1	-42.1	3.6	8398521	93	7788
2026-01-08 09:23:26.20	351.33	68.35	-38.1	-42.2	3.6	8414806	93	7820
2026-01-08 09:23:26.40	351.19	68.43	-38.1	-41.1	3.4	8443645	93	6899
2026-01-08 09:23:26.60	351.06	68.51	-38.1	-40.7	3.3	8404151	93	6626
2026-01-08 09:23:26.80	350.93	68.59	-38.1	-40.8	3.3	8389583	93	6656
2026-01-08 09:23:27.00	350.79	68.67	-38.1	-42.1	3.6	8425827	93	7796
2026-01-08 09:23:27.20	350.65	68.75	-38.1	-41.3	3.4	8425827	93	7123
2026-01-08 09:23:27.40	350.52	68.82	-38.1	-40.6	3.3	8427131	93	6584
2026-01-08 09:23:27.61	350.37	68.91	-38.2	-40.7	3.3	8413707	93	6633
2026-01-08 09:23:27.81	350.23	68.99	-38.1	-42.2	3.6	8396884	93	7826
2026-01-08 09:23:28.01	350.09	69.06	-38.1	-41.6	3.5	8439331	93	7328
2026-01-08 09:23:28.21	349.94	69.14	-38.1	-40.8	3.3	8430530	93	6655
2026-01-08 09:23:28.41	349.80	69.22	-38.1	-40.7	3.3	8395889	93	6581
2026-01-08 09:23:28.61	349.66	69.30	-38.1	-42.2	3.6	8399230	93	7860
2026-01-08 09:23:28.81	349.51	69.38	-38.1	-41.9	3.6	8441848	93	7613
2026-01-08 09:23:29.01	349.36	69.46	-38.1	-40.9	3.4	8441848	93	6785
2026-01-08 09:23:29.21	349.21	69.53	-38.1	-40.7	3.3	8423973	93	6627
2026-01-08 09:23:29.41	349.06	69.61	-38.1	-42.1	3.6	8395271	93	7811
2026-01-08 09:23:29.62	348.91	69.69	-38.1	-42.1	3.6	8418983	93	7733
2026-01-08 09:23:29.82	348.75	69.77	-38.1	-41.1	3.4	8440589	93	6921
2026-01-08 09:23:30.02	348.60	69.85	-38.1	-40.7	3.3	8406360	93	6619
2026-01-08 09:23:30.22	348.45	69.93	-38.1	-40.7	3.3	8385829	93	6600
2026-01-08 09:23:30.42	348.29	70.01	-38.1	-42.1	3.6	8442283	93	7786
2026-01-08 09:23:30.62	348.13	70.08	-38.1	-41.4	3.4	8442283	93	7140
2026-01-08 09:23:30.82	347.97	70.16	-38.1	-40.7	3.3	8449115	93	6601
2026-01-08 09:23:31.02	347.81	70.24	-38.1	-40.7	3.3	8404254	93	6638
2026-01-08 09:23:31.22	347.65	70.32	-38.1	-42.1	3.6	8388290	93	7784
2026-01-08 09:23:31.42	347.49	70.39	-38.1	-41.6	3.5	8451335	93	7350
2026-01-08 09:23:31.62	347.32	70.47	-38.1	-40.8	3.3	8429672	93	6668
2026-01-08 09:23:31.83	347.15	70.55	-38.1	-40.7	3.3	8384880	93	6598
2026-01-08 09:23:32.03	346.98	70.63	-38.1	-42.2	3.6	8397891	93	7828
2026-01-08 09:23:32.23	346.81	70.71	-38.2	-41.7	3.6	8376228	94	7354
2026-01-08 09:23:32.43	346.64	70.78	-38.1	-40.6	3.4	8376228	94	6496
2026-01-08 09:23:32.63	346.47	70.86	-38.2	-40.2	3.3	8423229	94	6262
2026-01-08 09:23:32.83	346.30	70.94	-38.1	-40.2	3.3	8393417	94	6252
2026-01-08 09:23:33.03	346.13	71.01	-38.1	-41.5	3.6	8342914	94	7304
2026-01-08 09:23:33.23	345.95	71.09	-38.1	-40.5	3.4	8449333	94	6534
2026-01-08 09:23:33.43	345.77	71.17	-38.1	-40.0	3.3	8415435	94	6179
2026-01-08 09:23:33.63	345.59	71.24	-38.0	-40.0	3.3	8390647	94	6186
2026-01-08 09:23:33.84	345.40	71.32	-38.1	-41.5	3.6	8420494	94	7321
2026-01-08 09:23:34.04	345.22	71.40	-38.1	-40.7	3.4	8429901	94	6656
2026-01-08 09:23:34.24	345.04	71.47	-38.1	-40.1	3.3	8399986	94	6220
2026-01-08 09:23:34.44	344.85	71.55	-38.0	-40.1	3.3	8399986	94	6221
2026-01-08 09:23:34.64	344.66	71.63	-38.1	-41.5	3.6	8390098	94	7306
2026-01-08 09:23:34.84	344.48	71.70	-38.1	-40.9	3.5	8434730	94	6839
2026-01-08 09:23:35.04	344.29	71.78	-38.1	-40.1	3.3	8432498	94	6248
