#Pass ID: 20260109_015424_FENGYUN 3G
#Satellite: FENGYUN 3G
#Configuration: FENGYUN 3G
#almurnet v.1.7.20251203
#Start time: 2026-01-09 02:02:41

#Version: 2.2.20231116
#Station: R2.0S_Moscow
#Location: 37.707566 lon 55.798166 lat
#TLE: 1 56232U 23055A   26008.48762740  .00031983  00000+0  50485-3 0  9995
#TLE: 2 56232  49.9936  89.5247 0004286 357.0620   3.0321 15.53163078155186

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-09 02:02:41.47	112.43	6.22	-45.7	-64.4	3.8	7.48e-01	0	56	0	0	62	32172
2026-01-09 02:02:42.48	112.34	6.14	-44.8	-63.1	3.8	8.44e-01	0	57	104	0	61	29098
2026-01-09 02:02:43.49	112.25	6.06	-44.8	-63.1	3.8	8.46e-01	0	56	104	0	61	29095
2026-01-09 02:02:44.50	112.15	5.98	-44.8	-63.1	3.8	8.46e-01	0	57	104	0	61	29145
2026-01-09 02:02:45.51	112.07	5.90	-44.8	-63.1	3.8	8.46e-01	0	56	104	0	61	29061
2026-01-09 02:02:46.52	111.98	5.82	-44.8	-63.0	3.8	8.47e-01	0	56	104	0	61	29006
2026-01-09 02:02:47.53	111.89	5.74	-44.8	-63.1	3.8	8.45e-01	0	56	104	0	61	29140
2026-01-09 02:02:48.55	111.80	5.66	-44.8	-63.1	3.8	8.45e-01	0	57	104	0	61	29020
2026-01-09 02:02:49.56	111.71	5.58	-44.8	-63.1	3.8	8.47e-01	0	57	104	0	61	29061
2026-01-09 02:02:50.57	111.63	5.50	-44.8	-63.1	3.8	8.47e-01	0	57	104	0	61	29106
2026-01-09 02:02:51.58	111.54	5.43	-44.8	-63.1	3.8	8.47e-01	0	56	104	0	61	29098
2026-01-09 02:02:52.59	111.46	5.35	-44.8	-63.1	3.8	8.46e-01	0	57	104	0	61	29101
2026-01-09 02:02:53.60	111.37	5.27	-44.8	-63.1	3.8	8.46e-01	0	57	104	0	61	29054
2026-01-09 02:02:54.61	111.29	5.19	-44.8	-63.1	3.8	8.46e-01	0	57	104	0	61	29098
2026-01-09 02:02:55.62	111.21	5.12	-44.8	-63.1	3.8	8.47e-01	0	57	104	0	61	29077
2026-01-09 02:02:56.63	111.13	5.04	-44.8	-63.1	3.8	8.46e-01	0	57	104	0	61	29048
2026-01-09 02:02:57.64	111.04	4.96	-44.8	-63.1	3.8	8.46e-01	0	56	104	0	61	29027
2026-01-09 02:02:58.65	110.96	4.89	-44.8	-63.1	3.8	8.46e-01	0	56	104	0	61	29130
