#Pass ID: 20260109_072059_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20251203
#Start time: 2026-01-09 07:21:03

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 49008U 21062A   26008.59312205 -.00000223  00000+0 -84486-4 0  9997
#TLE: 2 49008  98.7483  13.7961 0001692 149.3118 210.8157 14.19883502233939

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-09 07:21:03.24	232.77	0.15	-47.5	-57.7	3.3	8.40e-01	0	27	0	0	60	27652
2026-01-09 07:21:04.24	232.85	0.19	-47.6	-59.0	3.6	8.45e-01	0	27	104	0	60	32121
2026-01-09 07:21:05.25	232.94	0.24	-47.3	-59.0	3.6	8.46e-01	0	27	104	0	60	32293
2026-01-09 07:21:06.26	233.03	0.28	-47.4	-59.0	3.6	8.45e-01	0	27	104	0	60	32364
2026-01-09 07:21:07.27	233.12	0.33	-47.7	-59.1	3.6	8.45e-01	0	27	104	0	60	32424
2026-01-09 07:21:08.28	233.21	0.37	-47.7	-59.0	3.6	8.46e-01	0	27	104	0	60	32256
2026-01-09 07:21:09.29	233.30	0.42	-47.4	-59.1	3.6	8.45e-01	0	27	104	0	60	32418
2026-01-09 07:21:10.30	233.39	0.46	-47.4	-59.0	3.6	8.45e-01	0	27	104	0	60	32048
2026-01-09 07:21:11.31	233.48	0.51	-47.7	-59.0	3.6	8.45e-01	0	27	104	0	60	32037
2026-01-09 07:21:12.32	233.57	0.55	-47.7	-58.9	3.6	8.45e-01	0	27	104	0	60	31940
2026-01-09 07:21:13.33	233.66	0.60	-47.7	-58.9	3.6	8.45e-01	0	27	104	0	60	31832
2026-01-09 07:21:14.34	233.75	0.64	-47.6	-58.8	3.6	8.44e-01	0	27	104	0	60	31390
2026-01-09 07:21:15.35	233.84	0.69	-47.2	-58.4	3.6	8.45e-01	0	27	104	0	60	30115
2026-01-09 07:21:16.36	233.93	0.73	-46.4	-58.0	3.6	8.46e-01	0	27	104	0	60	28597
2026-01-09 07:21:17.37	234.02	0.78	-44.7	-57.0	3.6	8.45e-01	0	28	104	0	60	25475
2026-01-09 07:21:18.37	234.11	0.82	-43.3	-56.6	3.6	8.44e-01	0	27	104	0	60	24357
2026-01-09 07:21:19.39	234.21	0.87	-43.3	-56.5	3.5	8.45e-01	0	27	104	0	60	24250
2026-01-09 07:21:20.40	234.30	0.91	-43.3	-56.6	3.6	8.45e-01	0	27	104	0	60	24299
2026-01-09 07:21:21.41	234.39	0.96	-43.3	-56.5	3.6	8.46e-01	0	28	104	0	60	24289
2026-01-09 07:21:22.41	234.48	1.00	-43.3	-56.6	3.6	8.45e-01	0	28	104	0	60	24336
2026-01-09 07:21:23.42	234.58	1.05	-43.3	-56.6	3.6	8.44e-01	0	28	104	0	60	24334
2026-01-09 07:21:24.44	234.67	1.10	-43.3	-56.5	3.6	8.45e-01	0	28	104	0	60	24286
2026-01-09 07:21:25.44	234.76	1.14	-43.3	-56.6	3.6	8.43e-01	0	28	104	0	60	24354
2026-01-09 07:21:26.45	234.86	1.19	-43.4	-56.6	3.6	8.45e-01	0	28	104	0	60	24341
2026-01-09 07:21:27.47	234.95	1.23	-43.4	-56.6	3.6	8.45e-01	0	27	104	0	60	24393
2026-01-09 07:21:28.48	235.05	1.28	-43.3	-56.5	3.6	8.46e-01	0	28	104	0	60	24289
2026-01-09 07:21:29.49	235.14	1.32	-43.3	-56.6	3.6	8.46e-01	0	28	104	0	60	24311
2026-01-09 07:21:30.50	235.23	1.37	-43.3	-56.6	3.6	8.45e-01	0	28	104	0	60	24379
2026-01-09 07:21:31.51	235.33	1.41	-43.3	-56.6	3.6	8.45e-01	0	28	104	0	60	24352
2026-01-09 07:21:32.52	235.43	1.46	-43.3	-56.5	3.6	8.44e-01	0	28	104	0	60	24243
2026-01-09 07:21:33.53	235.52	1.50	-43.3	-56.5	3.6	8.45e-01	0	28	104	0	60	24243
2026-01-09 07:21:34.54	235.62	1.55	-43.3	-56.6	3.6	8.45e-01	0	28	104	0	60	24316
2026-01-09 07:21:35.55	235.71	1.59	-43.3	-56.5	3.6	8.45e-01	0	28	104	0	60	24278
2026-01-09 07:21:36.56	235.81	1.64	-43.3	-56.5	3.6	8.44e-01	0	28	104	0	60	24188
2026-01-09 07:21:37.57	235.91	1.68	-43.3	-56.5	3.6	8.45e-01	0	28	104	0	60	24291
