#Pass ID: 20260110_032526_METEOR-M2 4
#Satellite: METEOR-M2 4
#Configuration: METEOR-M2 4
#Start time: 2026-01-10 03:25:31.761512

#LorettStation: 1.0.0 05.05.2024
#Station: PlanumMoscow
#Location: 37.6253844 lon 55.6713361 lat
#TLE: 1 59051U 24039A   25293.94737965  .00000087  00000+0  58459-4 0  9998
#TLE: 2 59051  98.6671 251.7071 0007726 135.4772 224.7028 14.22388966 85257

#Time	Az	El	Level	SNR
2026-01-10 03:29:10.155494	327.4	13.4	-65.7	11.5
2026-01-10 03:29:11.275768	327.2	13.4	-66.2	11.8
2026-01-10 03:29:12.398022	327.0	13.4	-66.2	11.9
2026-01-10 03:29:13.519779	326.7	13.5	-66.1	11.5
2026-01-10 03:29:14.641536	326.5	13.5	-66.3	11.3
2026-01-10 03:29:15.763790	326.3	13.5	-66.4	11.4
2026-01-10 03:29:16.885548	326.1	13.5	-66.4	11.7
2026-01-10 03:29:18.006809	325.8	13.5	-66.2	12.0
2026-01-10 03:29:19.129071	325.6	13.5	-66.3	11.8
2026-01-10 03:29:20.250829	325.4	13.6	-66.6	11.8
2026-01-10 03:29:21.373082	325.2	13.6	-66.5	12.0
2026-01-10 03:29:22.494840	324.9	13.6	-66.6	11.9
2026-01-10 03:29:23.617093	324.7	13.6	-66.3	11.9
2026-01-10 03:29:24.738356	324.5	13.6	-66.7	12.2
2026-01-10 03:29:25.860113	324.3	13.6	-66.5	12.0
2026-01-10 03:29:26.982375	324.0	13.6	-66.7	12.3
2026-01-10 03:29:28.108647	323.8	13.6	-66.5	11.9
2026-01-10 03:29:29.230405	323.6	13.7	-66.3	12.1
2026-01-10 03:29:30.351171	323.4	13.7	-66.6	12.2
2026-01-10 03:29:31.472433	323.1	13.7	-67.0	11.9
2026-01-10 03:29:32.593696	322.9	13.7	-66.8	12.3
2026-01-10 03:29:33.715454	322.7	13.7	-66.8	12.1
2026-01-10 03:29:34.836221	322.4	13.7	-66.7	11.8
2026-01-10 03:29:35.958979	322.2	13.7	-66.7	11.6
2026-01-10 03:29:37.081233	322.0	13.7	-66.6	11.7
2026-01-10 03:29:38.203486	321.8	13.7	-66.9	11.9
2026-01-10 03:29:39.325243	321.5	13.7	-66.5	12.0
2026-01-10 03:29:40.448000	321.3	13.7	-66.4	12.2
2026-01-10 03:29:41.570254	321.1	13.7	-66.5	11.7
2026-01-10 03:29:42.692012	320.8	13.7	-66.6	12.0
2026-01-10 03:29:43.813274	320.6	13.7	-66.5	12.1
2026-01-10 03:29:44.936032	320.4	13.8	-66.6	12.0
2026-01-10 03:29:46.058285	320.2	13.8	-66.6	12.3
2026-01-10 03:29:47.180539	319.9	13.8	-66.7	11.7
2026-01-10 03:29:48.302297	319.7	13.8	-66.7	12.5
2026-01-10 03:29:49.424550	319.5	13.8	-66.3	11.1
2026-01-10 03:29:50.546307	319.2	13.8	-66.8	12.9
2026-01-10 03:29:51.667570	319.0	13.8	-66.6	12.1
2026-01-10 03:29:52.789328	318.8	13.8	-66.8	12.0
