#Pass ID: 20260110_021406_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20251203
#Start time: 2026-01-10 02:22:40

#Version: 2.2.20231116
#Station: R2.0S_Moscow
#Location: 37.707566 lon 55.798166 lat
#TLE: 1 49008U 21062A   26009.29780149 -.00000002  00000+0  19895-4 0  9997
#TLE: 2 49008  98.7484  14.4929 0001744 148.2300 211.8982 14.19883977234036

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-10 02:22:40.61	117.88	14.29	-44.8	-56.6	3.8	8.47e-01	0	56	0	0	60	14584
2026-01-10 02:22:41.61	118.06	14.24	-45.6	-56.6	3.8	8.46e-01	0	57	104	0	61	13075
2026-01-10 02:22:42.62	118.24	14.18	-45.5	-56.6	3.8	8.46e-01	0	56	104	0	61	13025
2026-01-10 02:22:43.63	118.42	14.13	-45.5	-56.6	3.8	8.46e-01	0	57	104	0	61	13040
2026-01-10 02:22:44.64	118.60	14.08	-45.4	-56.5	3.8	8.46e-01	0	57	104	0	61	12938
2026-01-10 02:22:45.65	118.78	14.03	-45.3	-56.4	3.8	8.44e-01	0	57	104	0	61	12784
2026-01-10 02:22:46.66	118.96	13.97	-45.2	-56.3	3.8	8.45e-01	0	57	104	0	61	12595
2026-01-10 02:22:47.67	119.14	13.92	-45.0	-56.3	3.8	8.47e-01	0	57	104	0	60	13293
2026-01-10 02:22:48.68	119.32	13.87	-44.9	-56.0	3.8	8.48e-01	0	57	104	0	60	12886
2026-01-10 02:22:49.69	119.50	13.82	-44.1	-54.2	3.9	8.46e-01	0	57	104	0	57	12471
2026-01-10 02:22:50.70	119.68	13.76	-34.2	-50.1	4.4	8.34e-01	0	56	104	0	37	24657
2026-01-10 02:22:51.71	119.86	13.71	-30.4	-44.2	3.7	8.13e-01	0	57	104	0	25	24943
2026-01-10 02:22:52.72	120.03	13.66	-32.2	-46.1	4.6	8.13e-01	0	57	104	0	31	21967
2026-01-10 02:22:53.73	120.21	13.60	-26.6	-44.7	4.1	8.12e-01	0	56	104	0	27	23479
2026-01-10 02:22:54.75	120.38	13.55	-31.8	-44.7	4.4	8.11e-01	0	57	104	0	29	20956
2026-01-10 02:22:55.76	120.56	13.50	-27.0	-45.5	4.5	8.12e-01	0	57	104	0	29	22861
2026-01-10 02:22:56.77	120.73	13.44	-28.0	-43.8	4.2	8.12e-01	0	57	104	0	27	21031
2026-01-10 02:22:57.78	120.91	13.39	-24.9	-37.0	3.6	8.12e-01	0	56	104	0	21	13710
2026-01-10 02:22:58.79	121.08	13.33	-29.5	-46.5	4.3	8.07e-01	0	57	104	0	28	27254
2026-01-10 02:22:59.80	121.25	13.28	-29.9	-46.5	4.3	8.12e-01	0	57	104	0	27	28700
2026-01-10 02:23:00.81	121.42	13.23	-29.3	-45.6	4.3	8.16e-01	0	57	104	0	30	21831
2026-01-10 02:23:01.82	121.59	13.17	-29.2	-46.3	4.6	8.20e-01	0	57	104	0	29	25029
2026-01-10 02:23:02.83	121.76	13.12	-31.2	-44.5	4.3	8.12e-01	0	57	104	0	30	19321
2026-01-10 02:23:03.85	121.93	13.06	-32.6	-46.3	4.4	8.11e-01	0	57	104	0	30	23683
2026-01-10 02:23:04.86	122.10	13.01	-26.3	-45.0	4.3	8.12e-01	0	57	104	0	29	21586
2026-01-10 02:23:05.87	122.27	12.95	-30.3	-45.8	4.2	8.13e-01	0	57	104	0	28	25126
2026-01-10 02:23:06.88	122.44	12.90	-29.2	-45.5	4.4	8.08e-01	0	57	104	0	27	25741
2026-01-10 02:23:07.89	122.61	12.84	-29.5	-46.9	4.3	8.13e-01	0	57	104	0	30	25359
2026-01-10 02:23:08.90	122.77	12.79	-31.0	-44.9	3.9	8.12e-01	0	57	104	0	25	26794
2026-01-10 02:23:09.91	122.94	12.73	-27.1	-45.4	4.6	8.16e-01	0	57	104	0	30	21393
2026-01-10 02:23:10.92	123.11	12.68	-28.5	-44.7	4.5	8.14e-01	0	57	104	0	29	20978
2026-01-10 02:23:11.94	123.27	12.62	-27.5	-44.4	4.4	8.13e-01	0	57	104	0	28	21466
2026-01-10 02:23:12.95	123.44	12.56	-28.2	-42.7	4.3	8.15e-01	0	57	104	0	25	20835
2026-01-10 02:23:13.96	123.60	12.51	-27.9	-44.2	4.2	8.13e-01	0	57	104	0	23	27729
2026-01-10 02:23:14.97	123.76	12.45	-29.5	-45.4	4.3	8.12e-01	0	57	104	0	28	24088
2026-01-10 02:23:15.98	123.92	12.40	-31.0	-45.4	3.9	8.10e-01	0	57	104	0	25	28441
2026-01-10 02:23:16.99	124.09	12.34	-26.6	-44.4	4.1	8.14e-01	0	57	104	0	23	28572
2026-01-10 02:23:18.00	124.25	12.29	-29.2	-46.3	4.3	8.09e-01	0	57	104	0	34	18857
