#Pass ID: 20260110_040622_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20240730
#Start time: 2026-01-10 04:06:27

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 27424U 02022A   26009.00333547  .00001046  00000+0  21942-3 0  9998
#TLE: 2 27424  98.4075 335.3304 0002025  85.7625 349.1392 14.61808998260011

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-10 04:06:27.10	3.01	7.29	-34.0	-53.2	3.8	7.45e-01	0	42	0	0	29	32603
2026-01-10 04:06:28.10	2.88	7.35	-34.2	-53.5	3.8	7.45e-01	0	42	104	0	29	33246
2026-01-10 04:06:29.10	2.75	7.41	-34.2	-53.6	3.8	7.46e-01	0	42	104	0	29	33335
2026-01-10 04:06:30.10	2.62	7.47	-34.2	-53.6	3.8	7.43e-01	0	42	104	0	29	33336
2026-01-10 04:06:31.10	2.50	7.53	-34.3	-53.6	3.8	7.48e-01	0	42	104	0	29	33493
2026-01-10 04:06:32.11	2.36	7.59	-34.3	-53.7	3.8	7.40e-01	0	42	104	0	29	33575
2026-01-10 04:06:33.11	2.23	7.65	-34.3	-53.8	3.8	7.44e-01	0	42	104	0	29	33762
2026-01-10 04:06:34.11	2.10	7.71	-34.4	-53.8	3.8	7.47e-01	0	42	104	0	29	33792
2026-01-10 04:06:35.11	1.97	7.77	-34.4	-53.8	3.8	7.45e-01	0	42	104	0	29	33769
2026-01-10 04:06:36.11	1.84	7.84	-34.4	-53.8	3.8	7.46e-01	0	42	104	0	29	33732
2026-01-10 04:06:37.11	1.71	7.90	-34.3	-53.8	3.8	7.46e-01	0	42	104	0	29	33731
2026-01-10 04:06:38.11	1.57	7.96	-34.3	-53.8	3.8	7.42e-01	0	42	104	0	29	33655
2026-01-10 04:06:39.12	1.44	8.02	-34.3	-53.8	3.8	7.46e-01	0	42	104	0	29	33778
2026-01-10 04:06:40.12	1.30	8.08	-34.3	-53.8	3.8	7.44e-01	0	42	104	0	29	33708
2026-01-10 04:06:41.12	1.17	8.14	-34.4	-53.9	3.8	7.47e-01	0	42	104	0	29	33862
2026-01-10 04:06:42.12	1.03	8.20	-34.4	-53.9	3.8	7.48e-01	0	42	104	0	29	33970
2026-01-10 04:06:43.11	0.90	8.26	-34.4	-53.9	3.8	7.44e-01	0	42	104	0	29	33993
2026-01-10 04:06:44.11	0.76	8.32	-34.5	-54.0	3.8	7.47e-01	0	42	104	0	29	34026
2026-01-10 04:06:45.11	0.62	8.38	-34.5	-54.0	3.8	7.43e-01	0	42	104	0	29	34229
2026-01-10 04:06:46.11	0.48	8.44	-34.5	-54.1	3.8	7.47e-01	0	42	104	0	29	34258
2026-01-10 04:06:47.11	0.34	8.50	-34.5	-54.0	3.8	7.47e-01	0	42	104	0	29	34194
2026-01-10 04:06:48.11	0.21	8.56	-34.6	-54.2	3.8	7.44e-01	0	42	104	0	29	34445
2026-01-10 04:06:49.12	0.06	8.62	-34.5	-54.0	3.8	7.42e-01	0	42	104	0	29	34136
2026-01-10 04:06:50.13	359.92	8.68	-34.5	-54.0	3.8	7.44e-01	0	42	104	0	29	34044
2026-01-10 04:06:51.13	359.78	8.74	-34.4	-53.9	3.8	7.49e-01	0	42	104	0	29	33919
2026-01-10 04:06:52.13	359.64	8.80	-34.4	-53.8	3.8	7.48e-01	0	42	104	0	29	33709
2026-01-10 04:06:53.13	359.49	8.86	-34.3	-53.7	3.8	7.45e-01	0	42	104	0	29	33518
2026-01-10 04:06:54.14	359.35	8.92	-34.3	-53.6	3.8	7.44e-01	0	42	104	0	29	33353
2026-01-10 04:06:55.14	359.21	8.98	-34.2	-53.4	3.8	7.44e-01	0	42	104	0	29	33019
2026-01-10 04:06:56.13	359.06	9.04	-34.1	-53.2	3.8	7.46e-01	0	42	104	0	29	32625
2026-01-10 04:06:57.13	358.92	9.10	-34.0	-52.9	3.8	7.46e-01	0	42	104	0	29	32016
2026-01-10 04:06:58.13	358.77	9.16	-33.7	-52.5	3.8	7.47e-01	0	42	104	0	29	31342
2026-01-10 04:06:59.13	358.62	9.22	-33.6	-52.2	3.8	7.48e-01	0	42	104	0	29	30607
2026-01-10 04:07:00.13	358.48	9.28	-33.6	-52.2	3.8	7.46e-01	0	42	104	0	29	30676
2026-01-10 04:07:01.13	358.33	9.34	-33.6	-52.2	3.8	7.47e-01	0	42	104	0	29	30784
2026-01-10 04:07:02.13	358.18	9.40	-33.6	-52.2	3.8	7.46e-01	0	42	104	0	29	30771
2026-01-10 04:07:03.13	358.03	9.46	-33.6	-52.2	3.8	7.42e-01	0	42	104	0	29	30712
