#Pass ID: 20260110_010343_FENGYUN 3G
#Satellite: FENGYUN 3G
#Configuration: FENGYUN 3G
#almurnet v.1.7.20251203
#Start time: 2026-01-10 01:03:45

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 56232U 23055A   26009.25964270  .00031369  00000+0  49445-3 0  9995
#TLE: 2 56232  49.9935  85.5429 0004254   0.7108 359.3865 15.53213378155304

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-10 01:03:45.37	241.65	5.18	-51.7	-70.4	3.8	8.38e-01	0	42	0	0	75	30212
2026-01-10 01:03:46.37	241.56	5.25	-51.7	-70.4	3.8	8.38e-01	0	42	104	0	75	30200
2026-01-10 01:03:47.37	241.48	5.33	-51.7	-70.4	3.8	8.46e-01	0	42	104	0	75	30251
2026-01-10 01:03:48.38	241.39	5.41	-51.7	-70.5	3.8	8.46e-01	0	42	104	0	75	30488
2026-01-10 01:03:49.38	241.30	5.49	-51.7	-70.5	3.8	8.46e-01	0	42	104	0	75	30539
2026-01-10 01:03:50.39	241.21	5.56	-51.7	-70.5	3.8	8.47e-01	0	42	104	0	75	30621
2026-01-10 01:03:51.39	241.12	5.64	-51.7	-70.5	3.8	8.47e-01	0	42	104	0	75	30574
2026-01-10 01:03:52.39	241.03	5.72	-51.7	-70.5	3.8	8.47e-01	0	42	104	0	75	30633
2026-01-10 01:03:53.40	240.94	5.80	-51.7	-70.5	3.8	8.46e-01	0	42	104	0	75	30509
2026-01-10 01:03:54.40	240.85	5.88	-51.7	-70.5	3.8	8.46e-01	0	42	104	0	75	30392
2026-01-10 01:03:55.41	240.75	5.96	-51.7	-70.4	3.8	8.46e-01	0	42	104	0	75	30170
2026-01-10 01:03:56.41	240.66	6.04	-51.7	-70.3	3.8	8.47e-01	0	42	104	0	75	29892
2026-01-10 01:03:57.42	240.57	6.12	-51.7	-70.3	3.8	8.48e-01	0	42	104	0	75	29715
2026-01-10 01:03:58.42	240.47	6.20	-51.7	-70.3	3.8	8.48e-01	0	42	104	0	75	29808
2026-01-10 01:03:59.42	240.38	6.28	-51.7	-70.3	3.8	8.48e-01	0	42	104	0	75	29889
2026-01-10 01:04:00.43	240.28	6.36	-51.7	-70.4	3.8	8.47e-01	0	42	104	0	75	30273
2026-01-10 01:04:01.43	240.18	6.44	-51.7	-70.4	3.8	8.47e-01	0	42	104	0	75	30340
2026-01-10 01:04:02.44	240.08	6.52	-51.7	-70.4	3.8	8.47e-01	0	42	104	0	75	30244
2026-01-10 01:04:03.44	239.99	6.60	-51.7	-70.4	3.8	8.47e-01	0	42	104	0	75	30113
2026-01-10 01:04:04.45	239.89	6.68	-51.7	-70.4	3.8	8.46e-01	0	42	104	0	75	30125
2026-01-10 01:04:05.45	239.79	6.77	-51.7	-70.4	3.8	8.46e-01	0	42	104	0	75	30260
2026-01-10 01:04:06.45	239.69	6.85	-51.7	-70.5	3.8	8.47e-01	0	42	104	0	75	30399
2026-01-10 01:04:07.46	239.58	6.93	-51.7	-70.5	3.8	8.47e-01	0	42	104	0	75	30477
2026-01-10 01:04:08.46	239.48	7.02	-51.7	-70.4	3.8	8.47e-01	0	42	104	0	75	30288
2026-01-10 01:04:09.47	239.38	7.10	-51.7	-70.3	3.8	8.47e-01	0	42	104	0	75	29972
2026-01-10 01:04:10.47	239.27	7.18	-51.7	-70.2	3.8	8.46e-01	0	42	104	0	75	29649
2026-01-10 01:04:11.47	239.17	7.27	-51.7	-70.2	3.8	8.47e-01	0	42	104	0	75	29377
2026-01-10 01:04:12.48	239.06	7.35	-51.7	-70.1	3.8	8.47e-01	0	42	104	0	75	29072
2026-01-10 01:04:13.48	238.95	7.44	-51.7	-69.9	3.8	8.47e-01	0	42	104	0	75	28665
2026-01-10 01:04:14.49	238.84	7.52	-51.7	-69.8	3.8	8.48e-01	0	42	104	0	75	28215
2026-01-10 01:04:15.49	238.74	7.61	-51.6	-69.5	3.8	8.48e-01	0	42	104	0	75	27142
2026-01-10 01:04:16.50	238.63	7.70	-51.7	-69.2	3.8	8.45e-01	0	42	104	0	75	26442
2026-01-10 01:04:17.50	238.52	7.78	-51.6	-69.2	3.8	8.48e-01	0	42	104	0	75	26402
2026-01-10 01:04:18.51	238.40	7.87	-51.6	-69.5	3.8	8.48e-01	0	42	104	0	75	27384
2026-01-10 01:04:19.51	238.29	7.96	-51.7	-70.0	3.8	8.46e-01	0	42	104	0	75	28866
2026-01-10 01:04:20.52	238.18	8.05	-51.7	-70.3	3.8	8.47e-01	0	42	104	0	75	29995
2026-01-10 01:04:21.52	238.06	8.13	-51.7	-70.4	3.8	8.47e-01	0	42	104	0	75	30044
2026-01-10 01:04:22.52	237.95	8.22	-51.7	-70.0	3.8	8.46e-01	0	42	104	0	75	28915
2026-01-10 01:04:23.53	237.83	8.31	-51.6	-69.6	3.8	8.47e-01	0	42	104	0	75	27589
2026-01-10 01:04:24.53	237.71	8.40	-51.7	-69.5	3.8	8.47e-01	0	42	104	0	75	27308
2026-01-10 01:04:25.54	237.59	8.49	-51.6	-69.2	3.8	8.48e-01	0	42	104	0	75	26405
2026-01-10 01:04:26.54	237.48	8.58	-51.5	-67.0	3.9	8.47e-01	0	42	104	0	75	20532
2026-01-10 01:04:27.55	237.35	8.67	-51.3	-63.0	6.2	7.69e-01	0	42	0	0	74	13670
2026-01-10 01:04:28.55	237.23	8.76	-50.9	-60.0	9.0	7.69e-01	0	42	0	0	73	10276
2026-01-10 01:04:29.56	237.11	8.85	-50.2	-56.9	12.3	9.58e-02	0	42	0	0	72	7604
2026-01-10 01:04:30.56	236.99	8.94	-49.4	-54.9	14.6	8.52e-04	0	42	0	0	70	6731
2026-01-10 01:04:31.57	236.86	9.04	-48.7	-53.4	16.1	8.52e-04	0	42	0	0	69	6026
2026-01-10 01:04:32.57	236.74	9.13	-48.3	-52.6	16.8	1.10e-06	0	42	0	0	68	5811
2026-01-10 01:04:33.58	236.61	9.22	-49.3	-54.5	15.5	0.00e+00	0	42	0	0	69	6831
2026-01-10 01:04:34.58	236.48	9.32	-48.2	-52.5	16.7	0.00e+00	0	42	0	0	68	5724
2026-01-10 01:04:35.74	236.33	9.42	-45.8	-48.7	20.4	1.67e-04	0	42	0	0	63	4962
2026-01-10 01:04:36.63	236.22	9.51	-48.6	-53.1	16.6	0.00e+00	0	42	0	0	67	6566
2026-01-10 01:04:37.68	236.08	9.61	-46.7	-50.0	18.7	1.60e-05	0	42	0	0	65	5153
2026-01-10 01:04:38.72	235.94	9.71	-45.1	-47.9	21.5	1.60e-05	0	42	0	0	62	4763
2026-01-10 01:04:39.87	235.79	9.81	-44.5	-47.1	22.2	0.00e+00	0	42	0	0	60	4896
2026-01-10 01:04:40.73	235.67	9.90	-44.5	-47.0	22.3	0.00e+00	0	42	0	0	60	4863
2026-01-10 01:04:41.88	235.51	10.01	-44.6	-47.2	22.2	0.00e+00	0	42	0	0	60	4935
2026-01-10 01:04:42.74	235.40	10.09	-44.4	-46.9	22.5	0.00e+00	0	42	0	0	60	4763
2026-01-10 01:04:43.89	235.24	10.20	-44.2	-46.7	22.6	0.00e+00	0	42	0	0	60	4705
2026-01-10 01:04:44.75	235.12	10.29	-44.1	-46.6	22.7	0.00e+00	0	42	0	0	60	4611
2026-01-10 01:04:45.89	234.96	10.40	-44.2	-46.7	22.6	0.00e+00	0	42	0	0	60	4700
2026-01-10 01:04:46.75	234.83	10.48	-44.2	-46.7	22.6	0.00e+00	0	42	0	0	60	4662
2026-01-10 01:04:47.90	234.67	10.60	-44.5	-47.0	22.3	0.00e+00	0	42	0	0	60	4837
2026-01-10 01:04:48.75	234.55	10.68	-44.7	-47.2	22.2	0.00e+00	0	42	0	0	60	4969
2026-01-10 01:04:49.90	234.38	10.79	-44.6	-47.2	22.2	0.00e+00	0	42	0	0	60	4945
2026-01-10 01:04:50.76	234.25	10.88	-44.6	-47.2	22.1	0.00e+00	0	42	0	0	60	4956
2026-01-10 01:04:51.91	234.08	11.00	-44.6	-47.1	22.3	0.00e+00	0	42	0	0	60	4911
2026-01-10 01:04:52.77	233.95	11.08	-44.4	-47.0	22.4	0.00e+00	0	42	0	0	60	4822
2026-01-10 01:04:54.03	233.76	11.21	-44.1	-46.5	22.8	0.00e+00	0	42	0	0	60	4594
2026-01-10 01:04:54.76	233.65	11.29	-44.1	-46.6	22.8	0.00e+00	0	42	0	0	59	4886
2026-01-10 01:04:56.24	233.42	11.44	-44.0	-46.4	23.0	0.00e+00	0	42	0	0	59	4797
2026-01-10 01:04:57.25	233.26	11.54	-43.8	-46.2	23.1	0.00e+00	0	42	0	0	59	4698
2026-01-10 01:04:58.55	233.05	11.68	-44.0	-46.4	23.0	0.00e+00	0	43	0	0	59	4800
2026-01-10 01:04:59.27	232.94	11.75	-43.9	-46.3	23.1	0.00e+00	0	42	0	0	59	4759
2026-01-10 01:05:00.56	232.73	11.89	-43.6	-46.0	23.4	0.00e+00	0	42	0	0	59	4556
2026-01-10 01:05:01.28	232.61	11.96	-43.7	-46.0	23.4	0.00e+00	0	42	0	0	59	4570
2026-01-10 01:05:02.57	232.40	12.10	-43.7	-46.0	23.3	0.00e+00	0	42	0	0	59	4597
2026-01-10 01:05:03.28	232.28	12.17	-43.7	-46.1	23.3	0.00e+00	0	42	0	0	59	4619
2026-01-10 01:05:04.57	232.07	12.31	-43.9	-46.3	23.1	0.00e+00	0	43	0	0	59	4747
2026-01-10 01:05:05.29	231.94	12.39	-44.0	-46.4	23.0	0.00e+00	0	42	0	0	59	4769
2026-01-10 01:05:06.58	231.72	12.53	-44.0	-46.4	23.0	0.00e+00	0	42	0	0	59	4813
2026-01-10 01:05:07.30	231.60	12.61	-44.1	-46.5	22.9	0.00e+00	0	43	0	0	59	4855
2026-01-10 01:05:08.59	231.38	12.75	-43.8	-46.1	23.3	0.00e+00	0	42	0	0	59	4643
2026-01-10 01:05:09.30	231.25	12.82	-43.5	-45.9	23.5	0.00e+00	0	42	0	0	59	4502
2026-01-10 01:05:10.69	231.00	12.98	-43.4	-45.7	23.7	0.00e+00	0	42	0	0	58	4673
2026-01-10 01:05:11.68	230.82	13.08	-43.3	-45.6	23.8	0.00e+00	0	42	0	0	58	4608
2026-01-10 01:05:13.00	230.58	13.23	-43.4	-45.7	23.6	0.00e+00	0	43	0	0	58	4699
2026-01-10 01:05:13.72	230.45	13.31	-43.5	-45.8	23.5	0.00e+00	0	42	0	0	58	4738
2026-01-10 01:05:15.01	230.21	13.46	-43.5	-45.8	23.6	0.00e+00	0	43	0	0	58	4707
2026-01-10 01:05:15.72	230.08	13.54	-43.6	-45.9	23.5	0.00e+00	0	42	0	0	58	4779
2026-01-10 01:05:17.01	229.84	13.68	-43.5	-45.8	23.6	0.00e+00	0	42	0	0	58	4750
2026-01-10 01:05:17.73	229.70	13.76	-43.6	-45.9	23.6	0.00e+00	0	42	0	0	58	4782
2026-01-10 01:05:19.03	229.45	13.91	-43.4	-45.8	23.6	0.00e+00	0	42	0	0	58	4709
2026-01-10 01:05:19.75	229.31	13.99	-43.5	-45.8	23.7	0.00e+00	0	42	0	0	58	4718
2026-01-10 01:05:21.04	229.05	14.14	-43.3	-45.6	23.9	0.00e+00	0	42	0	0	58	4623
2026-01-10 01:05:21.76	228.91	14.22	-43.3	-45.6	23.9	0.00e+00	0	42	0	0	58	4600
