#Pass ID: 20260110_053525_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20251203
#Start time: 2026-01-10 05:35:25

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 49008U 21062A   26009.29780149 -.00000002  00000+0  19895-4 0  9997
#TLE: 2 49008  98.7484  14.4929 0001744 148.2300 211.8982 14.19883977234036

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-10 05:35:25.94	6.73	5.04	-52.6	-63.8	3.8	8.46e-01	0	37	0	0	74	13933
2026-01-10 05:35:26.94	6.65	5.10	-51.5	-63.2	3.8	8.47e-01	0	37	104	0	73	13804
2026-01-10 05:35:27.95	6.57	5.16	-51.5	-63.3	3.8	8.47e-01	0	37	104	0	73	13936
2026-01-10 05:35:28.95	6.49	5.23	-51.5	-63.1	3.8	8.48e-01	0	37	104	0	73	13650
2026-01-10 05:35:29.95	6.41	5.29	-51.5	-63.1	3.8	8.46e-01	0	37	104	0	73	13671
2026-01-10 05:35:30.96	6.33	5.35	-51.5	-63.1	3.8	8.47e-01	0	38	104	0	73	13724
2026-01-10 05:35:31.97	6.25	5.41	-51.5	-63.2	3.8	8.48e-01	0	37	104	0	73	13748
2026-01-10 05:35:32.97	6.17	5.47	-51.5	-63.1	3.8	8.46e-01	0	37	104	0	73	13714
2026-01-10 05:35:33.97	6.09	5.54	-51.5	-63.2	3.8	8.47e-01	0	38	104	0	73	13742
2026-01-10 05:35:34.98	6.01	5.60	-51.5	-63.2	3.8	8.46e-01	0	38	104	0	73	13791
2026-01-10 05:35:35.98	5.93	5.66	-51.5	-63.3	3.8	8.47e-01	0	38	104	0	73	13941
2026-01-10 05:35:36.99	5.85	5.72	-51.5	-63.3	3.8	8.47e-01	0	38	104	0	73	14005
2026-01-10 05:35:37.99	5.77	5.78	-51.5	-63.2	3.8	8.48e-01	0	38	104	0	73	13884
2026-01-10 05:35:39.00	5.68	5.85	-51.5	-63.3	3.8	8.47e-01	0	38	104	0	73	13966
2026-01-10 05:35:40.00	5.60	5.91	-51.5	-63.3	3.8	8.48e-01	0	38	104	0	73	14026
2026-01-10 05:35:41.01	5.52	5.97	-51.5	-63.3	3.8	8.49e-01	0	38	104	0	73	13946
2026-01-10 05:35:42.01	5.43	6.04	-51.5	-63.2	3.8	8.46e-01	0	38	104	0	73	13873
2026-01-10 05:35:43.01	5.35	6.10	-51.5	-63.3	3.8	8.47e-01	0	38	104	0	73	13925
2026-01-10 05:35:44.02	5.27	6.16	-51.5	-63.3	3.8	8.47e-01	0	38	104	0	73	13909
2026-01-10 05:35:45.02	5.18	6.22	-51.5	-63.3	3.8	8.47e-01	0	38	104	0	73	13922
2026-01-10 05:35:46.03	5.10	6.29	-51.5	-63.2	3.8	8.48e-01	0	38	104	0	73	13842
2026-01-10 05:35:47.03	5.01	6.35	-51.5	-63.3	3.8	8.47e-01	0	38	104	0	73	13990
2026-01-10 05:35:48.03	4.93	6.41	-51.5	-63.3	3.8	8.47e-01	0	38	104	0	73	13951
2026-01-10 05:35:49.04	4.84	6.48	-51.5	-63.3	3.8	8.46e-01	0	38	104	0	73	13989
2026-01-10 05:35:50.04	4.75	6.54	-51.5	-63.4	3.8	8.47e-01	0	38	104	0	73	14075
2026-01-10 05:35:51.05	4.67	6.60	-51.5	-63.4	3.8	8.47e-01	0	38	104	0	73	14051
2026-01-10 05:35:52.05	4.58	6.67	-51.5	-63.3	3.8	8.46e-01	0	38	104	0	73	14008
2026-01-10 05:35:53.05	4.49	6.73	-51.5	-63.4	3.8	8.47e-01	0	38	104	0	73	14087
2026-01-10 05:35:54.06	4.40	6.80	-51.5	-63.2	3.8	8.46e-01	0	38	104	0	73	13854
2026-01-10 05:35:55.06	4.31	6.86	-51.5	-63.1	3.8	8.46e-01	0	38	104	0	73	13676
2026-01-10 05:35:56.07	4.22	6.92	-51.5	-62.9	3.8	8.47e-01	0	38	104	0	73	13341
2026-01-10 05:35:57.07	4.13	6.99	-51.5	-62.8	3.8	8.47e-01	0	38	104	0	73	13134
