#Pass ID: 20260111_030716_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20251203
#Start time: 2026-01-11 03:07:16

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 27424U 02022A   26009.89520876  .00001045  00000+0  21914-3 0  9996
#TLE: 2 27424  98.4076 336.2372 0002032  84.5955   1.0356 14.61811442260144

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-11 03:07:16.14	1.01	5.00	-51.1	-71.9	3.8	7.47e-01	0	38	0	0	73	40151
2026-01-11 03:07:17.14	0.90	5.06	-46.4	-70.9	3.7	7.50e-01	0	38	104	0	64	60455
2026-01-11 03:07:18.15	0.80	5.12	-46.3	-71.1	3.7	7.49e-01	0	38	104	0	63	65535
2026-01-11 03:07:19.15	0.69	5.18	-46.3	-71.1	3.7	7.51e-01	0	39	104	0	63	65535
2026-01-11 03:07:20.16	0.58	5.24	-46.2	-71.1	3.7	7.51e-01	0	39	104	0	63	65535
2026-01-11 03:07:21.16	0.47	5.29	-46.3	-71.1	3.7	7.48e-01	0	39	104	0	63	65534
2026-01-11 03:07:22.17	0.37	5.35	-46.2	-71.1	3.7	7.50e-01	0	39	104	0	63	65534
2026-01-11 03:07:23.17	0.26	5.41	-46.2	-71.1	3.7	7.54e-01	0	39	104	0	63	65533
2026-01-11 03:07:24.18	0.15	5.47	-46.2	-71.1	3.7	7.48e-01	0	39	104	0	63	65535
2026-01-11 03:07:25.18	0.04	5.53	-46.3	-71.1	3.7	7.52e-01	0	39	104	0	63	65535
2026-01-11 03:07:26.18	359.93	5.59	-46.2	-71.1	3.7	7.48e-01	0	39	104	0	63	65533
2026-01-11 03:07:27.19	359.82	5.65	-46.2	-71.1	3.7	7.54e-01	0	39	104	0	63	65532
2026-01-11 03:07:28.19	359.71	5.71	-46.2	-71.1	3.7	7.51e-01	0	39	104	0	63	65535
2026-01-11 03:07:29.20	359.59	5.77	-46.2	-71.1	3.7	7.51e-01	0	39	104	0	63	65534
2026-01-11 03:07:30.20	359.48	5.83	-46.2	-71.1	3.7	7.51e-01	0	39	104	0	63	65534
2026-01-11 03:07:31.21	359.37	5.89	-46.3	-71.1	3.7	7.48e-01	0	39	104	0	63	65535
2026-01-11 03:07:32.21	359.26	5.95	-46.3	-71.1	3.7	7.50e-01	0	39	104	0	63	65534
2026-01-11 03:07:33.22	359.14	6.01	-46.2	-71.1	3.7	7.50e-01	0	39	104	0	63	65533
2026-01-11 03:07:34.22	359.03	6.07	-46.3	-71.1	3.7	7.46e-01	0	39	104	0	63	65535
2026-01-11 03:07:35.22	358.91	6.13	-46.3	-71.1	3.7	7.50e-01	0	39	104	0	63	65534
2026-01-11 03:07:36.23	358.80	6.19	-46.3	-71.1	3.7	7.51e-01	0	39	104	0	63	65534
2026-01-11 03:07:37.23	358.68	6.25	-46.3	-71.1	3.7	7.51e-01	0	39	104	0	63	65535
2026-01-11 03:07:38.24	358.56	6.31	-46.3	-71.1	3.7	7.53e-01	0	39	104	0	63	65534
2026-01-11 03:07:39.24	358.45	6.37	-46.3	-71.1	3.7	7.48e-01	0	39	104	0	63	65534
2026-01-11 03:07:40.25	358.33	6.43	-46.3	-71.1	3.7	7.51e-01	0	39	104	0	63	65534
2026-01-11 03:07:41.25	358.21	6.49	-46.3	-71.1	3.7	7.51e-01	0	39	104	0	63	65533
2026-01-11 03:07:42.25	358.09	6.55	-46.3	-71.1	3.7	7.51e-01	0	39	104	0	63	65534
2026-01-11 03:07:43.26	357.97	6.61	-46.3	-71.1	3.7	7.52e-01	0	39	104	0	63	65535
2026-01-11 03:07:44.26	357.85	6.67	-46.2	-71.1	3.7	7.50e-01	0	40	104	0	63	65534
