#Pass ID: 20260111_051610_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20251203
#Start time: 2026-01-11 05:16:10

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 49008U 21062A   26010.00248113 -.00000186  00000+0 -66867-4 0  9993
#TLE: 2 49008  98.7487  15.1892 0001787 147.8079 212.3207 14.19883469234134

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-11 05:16:10.73	8.54	5.03	-49.2	-61.4	3.8	8.46e-01	0	41	0	0	69	14207
2026-01-11 05:16:11.72	8.48	5.10	-49.4	-61.1	3.8	8.46e-01	0	42	104	0	68	14467
2026-01-11 05:16:12.73	8.42	5.16	-49.4	-61.2	3.8	8.47e-01	0	41	104	0	68	14623
2026-01-11 05:16:13.74	8.35	5.23	-49.4	-61.2	3.8	8.47e-01	0	42	104	0	68	14550
2026-01-11 05:16:14.74	8.29	5.29	-49.4	-61.1	3.8	8.47e-01	0	42	104	0	68	14517
2026-01-11 05:16:15.74	8.22	5.36	-49.3	-61.2	3.8	8.46e-01	0	42	104	0	68	14615
2026-01-11 05:16:16.75	8.16	5.42	-49.4	-61.1	3.8	8.47e-01	0	42	104	0	68	14535
2026-01-11 05:16:17.75	8.09	5.49	-49.4	-61.2	3.8	8.47e-01	0	42	104	0	68	14603
2026-01-11 05:16:18.75	8.03	5.55	-49.4	-61.2	3.8	8.46e-01	0	42	104	0	68	14599
2026-01-11 05:16:19.76	7.96	5.62	-49.4	-61.2	3.8	8.47e-01	0	42	104	0	68	14547
2026-01-11 05:16:20.76	7.90	5.69	-49.4	-61.2	3.8	8.48e-01	0	42	104	0	68	14553
2026-01-11 05:16:21.77	7.83	5.75	-49.4	-61.1	3.8	8.46e-01	0	42	104	0	68	14449
2026-01-11 05:16:22.77	7.76	5.82	-49.3	-61.1	3.8	8.46e-01	0	42	104	0	68	14531
2026-01-11 05:16:23.78	7.70	5.89	-49.4	-61.1	3.8	8.47e-01	0	42	104	0	68	14494
2026-01-11 05:16:24.78	7.63	5.95	-49.4	-61.1	3.8	8.47e-01	0	42	104	0	68	14525
2026-01-11 05:16:25.79	7.56	6.02	-49.4	-61.2	3.8	8.47e-01	0	42	104	0	68	14555
2026-01-11 05:16:26.79	7.49	6.09	-49.2	-61.0	3.8	8.47e-01	0	42	104	0	67	15150
2026-01-11 05:16:27.79	7.43	6.15	-49.2	-61.0	3.8	8.47e-01	0	42	104	0	67	15161
2026-01-11 05:16:28.80	7.36	6.22	-49.2	-61.1	3.8	8.46e-01	0	42	104	0	67	15265
2026-01-11 05:16:29.80	7.29	6.29	-49.1	-61.0	3.8	8.47e-01	0	42	104	0	67	15101
2026-01-11 05:16:30.81	7.22	6.36	-49.1	-60.9	3.8	8.47e-01	0	42	104	0	67	14942
2026-01-11 05:16:31.81	7.15	6.42	-49.2	-60.8	3.8	8.48e-01	0	42	104	0	67	14780
2026-01-11 05:16:32.81	7.08	6.49	-49.1	-60.7	3.8	8.47e-01	0	42	104	0	67	14549
2026-01-11 05:16:33.82	7.01	6.56	-49.2	-60.6	3.8	8.46e-01	0	43	104	0	67	14387
2026-01-11 05:16:34.82	6.94	6.63	-49.0	-60.5	3.8	8.48e-01	0	43	104	0	67	14303
2026-01-11 05:16:35.83	6.87	6.70	-49.1	-60.4	3.8	8.48e-01	0	43	104	0	67	14177
2026-01-11 05:16:36.83	6.80	6.76	-49.0	-60.4	3.8	8.46e-01	0	42	104	0	67	14066
2026-01-11 05:16:37.84	6.72	6.83	-49.0	-60.2	3.8	8.47e-01	0	42	104	0	67	13841
2026-01-11 05:16:38.84	6.65	6.90	-49.1	-60.1	3.9	8.46e-01	0	43	104	0	67	13571
2026-01-11 05:16:39.84	6.58	6.97	-49.0	-59.8	3.8	8.45e-01	0	43	104	0	67	13220
2026-01-11 05:16:40.85	6.51	7.04	-49.0	-59.5	3.8	8.46e-01	0	43	104	0	67	12782
2026-01-11 05:16:41.85	6.43	7.11	-48.7	-59.4	3.8	8.47e-01	0	43	104	0	67	12571
2026-01-11 05:16:42.86	6.36	7.18	-49.1	-59.3	3.9	8.45e-01	0	43	104	0	67	12513
2026-01-11 05:16:43.86	6.29	7.25	-49.0	-59.6	3.8	8.47e-01	0	43	104	0	67	12816
