#Pass ID: 20260112_013018_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-12 01:30:19

#Version: 2.2.20231116
#Station: R2.0S_Moscow
#Location: 37.707566 lon 55.798166 lat
#TLE: 1 43010U 17072A   26011.26828046  .00000354  00000+0  18908-3 0  9991
#TLE: 2 43010  98.9936 343.0270 0002205 114.1788 245.9618 14.19695184422722

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-12 01:30:19.87	17.73	2.09	-41.0	-53.3	3.8	8.45e-01	0	47	0	0	53	14921
2026-01-12 01:30:20.88	17.74	2.16	-40.9	-53.3	3.8	8.45e-01	0	47	104	0	53	14898
2026-01-12 01:30:21.89	17.76	2.22	-41.0	-53.2	3.8	8.45e-01	0	47	104	0	53	14853
2026-01-12 01:30:22.90	17.77	2.28	-41.0	-53.2	3.8	8.47e-01	0	47	104	0	53	14877
2026-01-12 01:30:23.91	17.79	2.35	-40.9	-53.2	3.8	8.47e-01	0	47	104	0	53	14878
2026-01-12 01:30:24.92	17.80	2.41	-41.0	-53.3	3.8	8.45e-01	0	47	104	0	53	14910
2026-01-12 01:30:25.94	17.82	2.48	-40.9	-53.3	3.8	8.47e-01	0	47	104	0	53	14904
2026-01-12 01:30:26.95	17.83	2.55	-40.9	-53.3	3.8	8.47e-01	0	48	104	0	53	14896
2026-01-12 01:30:27.96	17.85	2.61	-40.9	-53.3	3.8	8.46e-01	0	48	104	0	53	14881
2026-01-12 01:30:28.97	17.86	2.68	-40.9	-53.3	3.8	8.45e-01	0	48	104	0	53	14913
2026-01-12 01:30:29.98	17.88	2.74	-40.9	-53.3	3.8	8.47e-01	0	48	104	0	53	14891
2026-01-12 01:30:30.99	17.89	2.81	-40.9	-53.3	3.8	8.46e-01	0	48	104	0	53	14903
2026-01-12 01:30:32.00	17.91	2.87	-41.0	-53.2	3.8	8.46e-01	0	48	104	0	53	14826
2026-01-12 01:30:33.01	17.92	2.94	-40.9	-53.2	3.8	8.46e-01	0	48	104	0	53	14871
2026-01-12 01:30:34.02	17.94	3.01	-40.9	-53.3	3.8	8.47e-01	0	48	104	0	53	14907
2026-01-12 01:30:35.03	17.95	3.07	-40.9	-53.3	3.8	8.46e-01	0	48	104	0	53	14938
2026-01-12 01:30:36.04	17.97	3.14	-40.9	-53.2	3.8	8.46e-01	0	48	104	0	53	14833
2026-01-12 01:30:37.05	17.99	3.21	-40.9	-53.3	3.8	8.46e-01	0	48	104	0	53	14913
2026-01-12 01:30:38.06	18.00	3.27	-40.9	-53.3	3.8	8.46e-01	0	48	104	0	53	14881
2026-01-12 01:30:39.08	18.02	3.34	-40.9	-53.2	3.8	8.46e-01	0	48	104	0	53	14879
2026-01-12 01:30:40.09	18.03	3.41	-40.9	-53.2	3.8	8.47e-01	0	49	104	0	53	14861
2026-01-12 01:30:41.10	18.05	3.47	-40.9	-53.2	3.8	8.45e-01	0	48	104	0	53	14862
2026-01-12 01:30:42.11	18.07	3.54	-40.9	-53.2	3.8	8.47e-01	0	48	104	0	53	14837
2026-01-12 01:30:43.12	18.08	3.61	-40.9	-53.2	3.8	8.47e-01	0	48	104	0	53	14826
2026-01-12 01:30:44.13	18.10	3.68	-40.9	-53.2	3.8	8.46e-01	0	49	104	0	53	14833
2026-01-12 01:30:45.14	18.11	3.75	-40.9	-53.2	3.8	8.46e-01	0	49	104	0	53	14842
2026-01-12 01:30:46.15	18.13	3.81	-40.9	-53.3	3.8	8.47e-01	0	49	104	0	53	14905
2026-01-12 01:30:47.17	18.15	3.88	-40.9	-53.2	3.8	8.46e-01	0	49	104	0	53	14794
2026-01-12 01:30:48.17	18.16	3.95	-40.9	-53.2	3.8	8.46e-01	0	49	104	0	53	14806
2026-01-12 01:30:49.19	18.18	4.02	-40.8	-53.2	3.8	8.46e-01	0	49	104	0	53	14821
2026-01-12 01:30:50.20	18.19	4.09	-40.9	-53.2	3.8	8.44e-01	0	49	104	0	53	14844
2026-01-12 01:30:51.21	18.21	4.16	-40.9	-53.2	3.8	8.45e-01	0	49	104	0	53	14827
2026-01-12 01:30:52.22	18.23	4.23	-40.8	-53.2	3.8	8.46e-01	0	49	104	0	53	14802
2026-01-12 01:30:53.23	18.24	4.30	-40.9	-53.2	3.8	8.46e-01	0	49	104	0	53	14867
2026-01-12 01:30:54.24	18.26	4.37	-40.9	-53.2	3.8	8.46e-01	0	49	104	0	53	14771
2026-01-12 01:30:55.25	18.28	4.44	-40.9	-53.3	3.8	8.46e-01	0	49	104	0	53	14902
2026-01-12 01:30:56.26	18.29	4.51	-40.8	-53.3	3.8	8.47e-01	0	49	104	0	53	14894
2026-01-12 01:30:57.27	18.31	4.58	-40.9	-53.2	3.8	8.47e-01	0	49	104	0	53	14865
2026-01-12 01:30:58.28	18.33	4.65	-40.8	-53.2	3.8	8.47e-01	0	49	104	0	53	14822
2026-01-12 01:30:59.29	18.34	4.72	-40.8	-53.2	3.8	8.46e-01	0	49	104	0	53	14795
2026-01-12 01:31:00.30	18.36	4.79	-40.9	-53.2	3.8	8.46e-01	0	50	104	0	53	14875
2026-01-12 01:31:01.32	18.38	4.86	-40.8	-53.3	3.8	8.46e-01	0	50	104	0	53	14897
2026-01-12 01:31:02.33	18.40	4.93	-40.9	-53.2	3.8	8.47e-01	0	50	104	0	53	14864
2026-01-12 01:31:03.34	18.41	5.00	-40.9	-53.3	3.8	8.45e-01	0	50	104	0	53	14888
2026-01-12 01:31:04.35	18.43	5.07	-40.8	-53.2	3.8	8.46e-01	0	50	104	0	53	14805
2026-01-12 01:31:05.36	18.45	5.15	-40.9	-53.2	3.8	8.47e-01	0	50	104	0	53	14841
2026-01-12 01:31:06.37	18.46	5.22	-40.8	-53.2	3.8	8.46e-01	0	50	104	0	53	14829
2026-01-12 01:31:07.38	18.48	5.29	-40.8	-53.2	3.8	8.46e-01	0	50	104	0	53	14846
2026-01-12 01:31:08.39	18.50	5.36	-40.9	-53.2	3.8	8.45e-01	0	50	104	0	53	14830
2026-01-12 01:31:09.41	18.52	5.44	-40.9	-53.2	3.8	8.45e-01	0	50	104	0	53	14737
2026-01-12 01:31:10.42	18.53	5.51	-40.9	-53.2	3.8	8.46e-01	0	50	104	0	53	14825
2026-01-12 01:31:11.43	18.55	5.58	-40.8	-53.2	3.8	8.46e-01	0	50	104	0	53	14756
2026-01-12 01:31:12.44	18.57	5.65	-40.9	-53.2	3.8	8.46e-01	0	50	104	0	53	14836
2026-01-12 01:31:13.45	18.59	5.73	-40.9	-53.2	3.8	8.46e-01	0	50	104	0	53	14841
2026-01-12 01:31:14.46	18.61	5.80	-40.9	-53.2	3.8	8.47e-01	0	50	104	0	53	14864
2026-01-12 01:31:15.47	18.62	5.87	-40.9	-53.3	3.8	8.46e-01	0	50	104	0	53	14885
2026-01-12 01:31:16.48	18.64	5.95	-40.9	-53.2	3.8	8.47e-01	0	51	104	0	53	14848
2026-01-12 01:31:17.49	18.66	6.02	-40.9	-53.2	3.8	8.46e-01	0	51	104	0	53	14780
2026-01-12 01:31:18.50	18.68	6.10	-40.8	-53.2	3.8	8.47e-01	0	51	104	0	53	14743
2026-01-12 01:31:19.51	18.70	6.17	-40.8	-53.2	3.8	8.46e-01	0	50	104	0	53	14771
2026-01-12 01:31:20.52	18.71	6.25	-40.9	-53.1	3.8	8.45e-01	0	51	104	0	53	14671
2026-01-12 01:31:21.53	18.73	6.32	-40.9	-53.2	3.8	8.47e-01	0	51	104	0	53	14791
2026-01-12 01:31:22.54	18.75	6.40	-40.9	-53.2	3.8	8.46e-01	0	51	104	0	53	14741
2026-01-12 01:31:23.56	18.77	6.47	-40.9	-53.2	3.8	8.47e-01	0	51	104	0	53	14731
2026-01-12 01:31:24.57	18.79	6.55	-40.9	-53.1	3.8	8.45e-01	0	51	104	0	53	14626
2026-01-12 01:31:25.58	18.81	6.62	-40.9	-53.0	3.8	8.47e-01	0	51	104	0	53	14534
2026-01-12 01:31:26.59	18.83	6.70	-40.8	-53.0	3.8	8.46e-01	0	51	104	0	53	14432
2026-01-12 01:31:27.60	18.84	6.78	-40.9	-52.9	3.8	8.47e-01	0	51	104	0	53	14285
2026-01-12 01:31:28.61	18.86	6.85	-40.8	-52.8	3.8	8.47e-01	0	51	104	0	53	14052
2026-01-12 01:31:29.62	18.88	6.93	-40.8	-52.7	3.8	8.46e-01	0	51	104	0	53	13974
2026-01-12 01:31:30.63	18.90	7.01	-40.8	-52.7	3.8	8.47e-01	0	51	104	0	53	13920
2026-01-12 01:31:31.64	18.92	7.08	-40.8	-52.6	3.8	8.46e-01	0	51	104	0	53	13787
2026-01-12 01:31:32.65	18.94	7.16	-40.8	-52.6	3.8	8.46e-01	0	51	104	0	53	13779
2026-01-12 01:31:33.66	18.96	7.24	-40.8	-52.6	3.8	8.47e-01	0	51	104	0	53	13751
2026-01-12 01:31:34.67	18.98	7.32	-40.8	-52.4	3.8	8.46e-01	0	51	104	0	53	13555
2026-01-12 01:31:35.69	19.00	7.40	-40.8	-52.3	3.8	8.46e-01	0	51	104	0	53	13315
2026-01-12 01:31:36.70	19.02	7.47	-40.8	-52.1	3.8	8.46e-01	0	51	104	0	53	13047
2026-01-12 01:31:37.71	19.04	7.55	-40.8	-52.0	3.8	8.46e-01	0	51	104	0	53	12825
2026-01-12 01:31:38.72	19.06	7.63	-40.7	-51.6	3.8	8.45e-01	0	52	104	0	53	12260
2026-01-12 01:31:39.73	19.08	7.71	-40.6	-51.0	3.8	8.45e-01	0	52	104	0	53	11419
2026-01-12 01:31:40.74	19.10	7.79	-40.6	-50.2	3.9	8.43e-01	0	52	104	0	53	10484
2026-01-12 01:31:41.75	19.12	7.87	-40.4	-49.2	4.3	8.37e-01	0	51	0	0	52	9870
2026-01-12 01:31:42.76	19.14	7.95	-40.2	-48.0	4.8	8.06e-01	0	52	0	0	52	8600
2026-01-12 01:31:43.77	19.16	8.03	-40.0	-46.8	5.5	7.39e-01	0	52	0	0	51	7981
2026-01-12 01:31:44.78	19.18	8.11	-41.1	-46.1	7.3	8.46e-02	0	52	0	4194304	52	6947
2026-01-12 01:31:45.79	19.20	8.19	-40.1	-47.8	4.9	5.28e-02	0	52	0	9437184	51	8939
2026-01-12 01:31:46.80	19.22	8.27	-38.9	-42.5	10.5	1.28e-02	0	52	0	9437184	49	5418
2026-01-12 01:31:47.81	19.24	8.35	-40.3	-43.9	9.8	1.58e-03	0	52	0	15728640	51	5664
2026-01-12 01:31:48.82	19.26	8.43	-39.6	-45.1	7.1	6.03e-03	0	52	0	20971520	49	7320
2026-01-12 01:31:49.83	19.28	8.52	-37.2	-39.6	13.4	3.45e-02	0	52	0	26214400	46	4651
2026-01-12 01:31:50.85	19.30	8.60	-36.9	-39.2	14.2	3.40e-06	0	52	0	31457280	45	4659
2026-01-12 01:31:51.85	19.32	8.68	-37.2	-39.5	13.9	4.50e-06	0	52	0	37748736	45	4854
2026-01-12 01:31:52.86	19.34	8.76	-37.5	-39.8	13.7	1.48e-05	0	52	0	42991616	45	5015
2026-01-12 01:31:53.88	19.36	8.85	-37.6	-39.9	13.6	9.10e-06	0	52	0	49283072	45	5072
2026-01-12 01:31:54.88	19.38	8.93	-37.5	-39.8	13.7	8.00e-06	0	52	0	54525952	45	5018
2026-01-12 01:31:55.90	19.40	9.01	-37.8	-40.1	13.5	1.48e-05	0	52	0	59768832	46	4895
2026-01-12 01:31:56.91	19.42	9.10	-37.6	-39.7	13.9	5.70e-06	0	52	0	66060288	46	4693
2026-01-12 01:31:57.92	19.45	9.18	-37.4	-39.4	14.4	1.10e-06	0	52	0	71303168	46	4522
2026-01-12 01:31:58.93	19.47	9.26	-37.4	-39.4	14.4	0.00e+00	0	52	0	77594624	46	4540
2026-01-12 01:31:59.94	19.49	9.35	-37.3	-39.2	14.6	0.00e+00	0	52	0	82837504	46	4441
2026-01-12 01:32:00.95	19.51	9.43	-37.3	-39.3	14.5	2.20e-06	0	52	0	88080384	46	4474
2026-01-12 01:32:01.96	19.53	9.52	-37.3	-39.3	14.6	1.10e-06	0	52	0	94371840	46	4470
2026-01-12 01:32:02.97	19.55	9.60	-37.1	-38.9	14.9	0.00e+00	0	52	0	99614720	46	4291
2026-01-12 01:32:03.98	19.58	9.69	-37.1	-39.0	15.0	1.10e-06	0	52	0	105906176	46	4298
2026-01-12 01:32:04.99	19.60	9.77	-37.2	-39.2	14.8	0.00e+00	0	52	0	111149056	46	4393
2026-01-12 01:32:06.00	19.62	9.86	-37.1	-39.0	14.9	0.00e+00	0	52	0	117440512	46	4339
2026-01-12 01:32:07.01	19.64	9.95	-37.1	-39.0	15.0	0.00e+00	0	52	0	122683392	46	4321
2026-01-12 01:32:08.02	19.66	10.03	-37.2	-39.1	14.9	0.00e+00	0	52	0	128974848	46	4370
2026-01-12 01:32:09.03	19.69	10.12	-37.1	-39.0	15.1	0.00e+00	0	52	0	134217728	46	4312
2026-01-12 01:32:10.04	19.71	10.21	-37.3	-39.3	14.8	0.00e+00	0	53	0	139460608	46	4443
2026-01-12 01:32:11.05	19.73	10.30	-37.3	-39.2	14.8	0.00e+00	0	53	0	145752064	46	4426
2026-01-12 01:32:12.06	19.75	10.38	-37.4	-39.3	14.8	1.10e-06	0	53	0	150994944	46	4477
2026-01-12 01:32:13.07	19.78	10.47	-37.4	-39.3	14.9	0.00e+00	0	53	0	157286400	46	4443
2026-01-12 01:32:14.08	19.80	10.56	-37.4	-39.3	14.8	1.10e-06	0	52	0	162529280	46	4468
2026-01-12 01:32:15.09	19.82	10.65	-37.5	-39.4	14.7	0.00e+00	0	53	0	167772160	46	4534
2026-01-12 01:32:16.10	19.85	10.74	-37.4	-39.3	14.9	0.00e+00	0	53	0	174063616	46	4475
2026-01-12 01:32:17.11	19.87	10.83	-37.4	-39.3	14.9	0.00e+00	0	53	0	179306496	46	4488
2026-01-12 01:32:18.12	19.89	10.92	-37.6	-39.5	14.7	0.00e+00	0	53	0	185597952	46	4580
2026-01-12 01:32:19.13	19.92	11.01	-37.5	-39.4	14.9	2.20e-06	0	53	0	190840832	46	4495
2026-01-12 01:32:20.14	19.94	11.10	-37.3	-39.1	15.1	0.00e+00	0	53	0	196083712	46	4374
2026-01-12 01:32:21.15	19.96	11.19	-37.3	-39.1	15.2	0.00e+00	0	53	0	202375168	46	4359
2026-01-12 01:32:22.16	19.99	11.28	-37.3	-39.1	15.2	0.00e+00	0	53	0	207618048	46	4363
2026-01-12 01:32:23.17	20.01	11.37	-37.3	-39.1	15.3	0.00e+00	0	53	0	213909504	46	4367
2026-01-12 01:32:24.19	20.04	11.47	-37.3	-39.1	15.3	0.00e+00	0	53	0	219152384	46	4343
2026-01-12 01:32:25.19	20.06	11.56	-37.3	-39.0	15.4	0.00e+00	0	53	0	225443840	46	4320
2026-01-12 01:32:26.20	20.09	11.65	-37.3	-39.0	15.4	1.10e-06	0	53	0	230686720	46	4335
2026-01-12 01:32:27.21	20.11	11.74	-37.2	-39.0	15.4	0.00e+00	0	53	0	235929600	46	4319
2026-01-12 01:32:28.22	20.13	11.84	-37.3	-39.0	15.4	0.00e+00	0	53	0	242221056	46	4322
2026-01-12 01:32:29.23	20.16	11.93	-37.3	-39.0	15.4	0.00e+00	0	53	0	247463936	46	4316
2026-01-12 01:32:30.24	20.18	12.02	-37.3	-39.0	15.5	0.00e+00	0	53	0	253755392	46	4330
2026-01-12 01:32:31.25	20.21	12.12	-37.2	-38.9	15.5	1.10e-06	0	53	0	258998272	46	4273
2026-01-12 01:32:32.26	20.24	12.21	-37.2	-38.9	15.6	0.00e+00	0	53	0	264241152	46	4287
2026-01-12 01:32:33.27	20.26	12.31	-37.2	-39.0	15.5	0.00e+00	0	53	0	270532608	46	4299
2026-01-12 01:32:34.28	20.29	12.40	-37.2	-38.9	15.6	0.00e+00	0	53	0	275775488	46	4259
2026-01-12 01:32:35.29	20.31	12.50	-37.2	-38.9	15.7	0.00e+00	0	53	0	282066944	46	4265
2026-01-12 01:32:36.30	20.34	12.60	-37.2	-39.0	15.6	0.00e+00	0	53	0	287309824	46	4292
2026-01-12 01:32:37.31	20.36	12.69	-37.3	-39.0	15.6	0.00e+00	0	53	0	292552704	46	4311
2026-01-12 01:32:38.32	20.39	12.79	-37.1	-38.8	15.8	0.00e+00	0	53	0	298844160	46	4195
2026-01-12 01:32:39.33	20.42	12.89	-37.0	-38.7	15.9	0.00e+00	0	53	0	304087040	46	4164
2026-01-12 01:32:40.34	20.44	12.98	-37.1	-38.7	15.9	0.00e+00	0	53	0	310378496	46	4192
2026-01-12 01:32:41.35	20.47	13.08	-37.1	-38.8	15.8	0.00e+00	0	53	0	315621376	46	4226
2026-01-12 01:32:42.36	20.49	13.18	-37.1	-38.8	15.8	0.00e+00	0	53	0	321912832	46	4200
2026-01-12 01:32:43.37	20.52	13.28	-37.0	-38.7	16.0	0.00e+00	0	53	0	327155712	46	4156
2026-01-12 01:32:44.39	20.55	13.38	-37.0	-38.7	15.9	0.00e+00	0	53	0	333447168	46	4165
2026-01-12 01:32:45.39	20.58	13.48	-37.1	-38.8	15.9	0.00e+00	0	53	0	338690048	46	4205
2026-01-12 01:32:46.41	20.60	13.58	-37.2	-38.8	15.8	0.00e+00	0	54	0	343932928	46	4233
2026-01-12 01:32:47.42	20.63	13.68	-36.9	-38.6	16.0	0.00e+00	0	53	0	350224384	45	4348
2026-01-12 01:32:48.43	20.66	13.78	-36.9	-38.5	16.1	0.00e+00	0	53	0	355467264	45	4309
2026-01-12 01:32:49.44	20.69	13.88	-36.9	-38.5	16.1	0.00e+00	0	53	0	361758720	45	4305
2026-01-12 01:32:50.45	20.71	13.99	-36.8	-38.4	16.2	0.00e+00	0	54	0	367001600	45	4290
2026-01-12 01:32:51.46	20.74	14.09	-36.8	-38.4	16.2	0.00e+00	0	54	0	372244480	45	4244
2026-01-12 01:32:52.46	20.77	14.19	-36.7	-38.3	16.4	0.00e+00	0	54	0	378535936	45	4213
2026-01-12 01:32:53.47	20.80	14.29	-36.7	-38.3	16.3	0.00e+00	0	54	0	383778816	45	4217
2026-01-12 01:32:54.49	20.83	14.40	-36.8	-38.4	16.3	0.00e+00	0	54	0	390070272	45	4262
2026-01-12 01:32:55.50	20.86	14.50	-36.7	-38.3	16.4	0.00e+00	0	54	0	395313152	45	4200
2026-01-12 01:32:56.51	20.88	14.61	-36.5	-38.1	16.5	0.00e+00	0	54	0	400556032	45	4126
2026-01-12 01:32:57.52	20.91	14.71	-36.5	-38.0	16.6	0.00e+00	0	54	0	406847488	45	4091
2026-01-12 01:32:58.53	20.94	14.82	-36.5	-38.0	16.6	0.00e+00	0	54	0	412090368	45	4085
2026-01-12 01:32:59.54	20.97	14.92	-36.5	-38.0	16.7	0.00e+00	0	54	0	418381824	44	4338
2026-01-12 01:33:00.55	21.00	15.03	-36.4	-37.9	16.7	0.00e+00	0	54	0	423624704	44	4270
2026-01-12 01:33:01.56	21.03	15.13	-36.4	-37.9	16.8	0.00e+00	0	54	0	429916160	44	4274
2026-01-12 01:33:02.57	21.06	15.24	-36.3	-37.8	16.9	0.00e+00	0	54	0	435159040	44	4233
