#Pass ID: 20260113_104128_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20251203
#Start time: 2026-01-13 10:41:30

#Version: 2.2.20231116
#Station: R2.0S_Moscow
#Location: 37.707566 lon 55.798166 lat
#TLE: 1 27424U 02022A   26012.29577270  .00001027  00000+0  21555-3 0  9995
#TLE: 2 27424  98.4078 338.6778 0002034  81.5885  29.6294 14.61817302260499

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-13 10:41:30.23	131.01	2.13	-15.3	-40.0	3.7	7.63e-01	0	51	0	0	1	64551
2026-01-13 10:41:31.23	130.96	2.19	-12.1	-36.8	3.6	7.46e-01	0	51	104	0	0	47408
2026-01-13 10:41:32.24	130.91	2.26	-12.1	-38.0	3.7	7.61e-01	0	51	104	0	0	54457
2026-01-13 10:41:33.25	130.86	2.32	-13.5	-38.4	3.3	7.65e-01	0	52	104	0	0	56653
2026-01-13 10:41:34.26	130.81	2.39	-13.7	-38.6	3.7	7.56e-01	0	51	104	0	0	58470
2026-01-13 10:41:35.27	130.76	2.45	-11.7	-37.4	3.7	7.47e-01	0	51	104	0	1	47975
2026-01-13 10:41:36.28	130.71	2.52	-12.7	-38.0	3.7	7.59e-01	0	51	104	0	0	54529
2026-01-13 10:41:37.29	130.66	2.58	-14.2	-37.1	3.7	7.41e-01	0	51	104	0	0	48739
2026-01-13 10:41:38.30	130.61	2.65	-13.8	-39.2	3.5	7.57e-01	0	52	104	0	0	62545
2026-01-13 10:41:39.31	130.55	2.71	-14.8	-39.2	3.5	7.54e-01	0	52	104	0	0	62045
2026-01-13 10:41:40.32	130.50	2.78	-14.0	-38.3	3.9	7.54e-01	0	52	104	0	1	52896
2026-01-13 10:41:41.33	130.45	2.84	-15.3	-37.4	3.7	7.43e-01	0	52	104	0	0	50835
2026-01-13 10:41:42.35	130.39	2.91	-12.7	-39.7	3.2	7.43e-01	0	52	104	0	2	59147
2026-01-13 10:41:43.36	130.34	2.97	-11.7	-39.9	3.5	7.47e-01	0	52	104	0	2	60584
2026-01-13 10:41:44.37	130.29	3.04	-15.2	-38.1	3.8	7.46e-01	0	52	104	0	0	54953
2026-01-13 10:41:45.38	130.23	3.11	-19.7	-40.1	3.6	7.64e-01	0	52	104	0	1	65535
2026-01-13 10:41:46.39	130.18	3.17	-13.8	-38.8	3.7	7.52e-01	0	52	104	0	0	59473
2026-01-13 10:41:47.40	130.12	3.24	-17.0	-41.1	3.6	7.75e-01	0	52	104	0	3	65535
2026-01-13 10:41:48.41	130.07	3.31	-11.0	-37.8	3.4	7.45e-01	0	52	104	0	0	53198
2026-01-13 10:41:49.41	130.01	3.37	-10.9	-36.7	3.7	7.49e-01	0	52	104	0	0	46529
2026-01-13 10:41:50.42	129.96	3.44	-10.5	-35.9	3.7	7.47e-01	0	52	104	0	0	42783
2026-01-13 10:41:51.43	129.90	3.51	-9.6	-36.2	3.8	7.53e-01	0	52	104	0	0	43915
2026-01-13 10:41:52.44	129.85	3.57	-15.2	-38.6	3.5	7.52e-01	0	53	104	0	1	54708
2026-01-13 10:41:53.45	129.79	3.64	-16.1	-38.6	3.7	7.47e-01	0	53	104	0	3	49021
2026-01-13 10:41:54.46	129.73	3.71	-8.7	-36.1	4.1	7.51e-01	0	53	104	0	0	43873
2026-01-13 10:41:55.47	129.68	3.78	-13.8	-36.9	3.8	7.50e-01	0	52	104	0	0	47749
2026-01-13 10:41:56.48	129.62	3.85	-12.5	-37.8	3.8	7.58e-01	0	53	104	0	0	53067
2026-01-13 10:41:57.49	129.56	3.91	-13.3	-38.6	3.6	7.55e-01	0	53	104	0	0	57961
2026-01-13 10:41:58.50	129.50	3.98	-14.2	-38.9	3.6	7.63e-01	0	53	104	0	0	60216
2026-01-13 10:41:59.51	129.45	4.05	-14.0	-38.6	3.8	7.57e-01	0	53	104	0	1	54924
2026-01-13 10:42:00.52	129.39	4.12	-13.0	-37.2	3.9	7.43e-01	0	53	104	0	1	46771
2026-01-13 10:42:01.52	129.33	4.19	-11.8	-37.2	3.8	7.51e-01	0	53	104	0	0	49416
2026-01-13 10:42:02.54	129.27	4.26	-14.1	-37.8	3.8	7.44e-01	0	53	104	0	0	52933
2026-01-13 10:42:03.55	129.21	4.33	-15.6	-39.3	3.9	7.58e-01	0	53	104	0	1	59465
2026-01-13 10:42:04.56	129.15	4.39	-17.2	-38.9	3.7	7.55e-01	0	53	104	0	3	50898
2026-01-13 10:42:05.57	129.09	4.46	-11.9	-37.4	3.4	7.44e-01	0	53	104	0	0	50508
2026-01-13 10:42:06.58	129.03	4.53	-17.3	-38.6	4.0	7.56e-01	0	53	104	0	2	51695
2026-01-13 10:42:07.59	128.97	4.60	-10.1	-37.1	3.7	7.50e-01	0	53	104	0	0	49048
2026-01-13 10:42:08.60	128.91	4.67	-13.5	-39.7	5.0	7.67e-01	0	53	104	0	2	58940
2026-01-13 10:42:09.61	128.85	4.74	-12.1	-36.9	3.8	7.55e-01	0	53	104	0	0	48039
2026-01-13 10:42:10.62	128.78	4.81	-12.8	-38.8	3.9	7.55e-01	0	53	104	0	0	59723
2026-01-13 10:42:11.63	128.72	4.88	-13.3	-38.2	3.9	7.72e-01	0	53	104	0	0	55820
2026-01-13 10:42:12.63	128.66	4.95	-14.3	-37.1	3.8	7.51e-01	0	53	104	0	0	49173
2026-01-13 10:42:13.64	128.60	5.03	-15.1	-37.2	3.6	7.52e-01	0	53	104	0	0	49657
2026-01-13 10:42:14.65	128.54	5.10	-11.6	-37.6	3.9	7.58e-01	0	53	104	0	0	51704
2026-01-13 10:42:15.67	128.47	5.17	-17.3	-40.6	3.4	7.62e-01	0	53	104	0	2	65102
2026-01-13 10:42:16.68	128.41	5.24	-12.1	-39.2	3.9	7.63e-01	0	53	104	0	1	58720
2026-01-13 10:42:17.69	128.34	5.31	-15.2	-43.1	3.3	7.71e-01	0	54	104	0	7	65400
2026-01-13 10:42:18.69	128.28	5.38	-12.5	-41.1	3.6	7.60e-01	0	54	104	0	3	65535
2026-01-13 10:42:19.70	128.21	5.46	-12.8	-39.9	3.7	7.69e-01	0	54	104	0	2	60177
2026-01-13 10:42:20.71	128.15	5.53	-11.5	-37.8	3.7	7.58e-01	0	54	104	0	0	53016
2026-01-13 10:42:21.72	128.08	5.60	-13.8	-37.1	3.9	7.62e-01	0	54	104	0	1	46259
2026-01-13 10:42:22.73	128.02	5.67	-11.6	-36.9	3.7	7.53e-01	0	54	104	0	0	48142
2026-01-13 10:42:23.74	127.95	5.74	-14.2	-40.7	3.5	7.73e-01	0	54	104	0	5	55345
2026-01-13 10:42:24.75	127.88	5.82	-13.3	-37.4	3.8	7.51e-01	0	54	104	0	0	50864
2026-01-13 10:42:25.76	127.82	5.89	-9.6	-38.2	3.5	7.54e-01	0	54	104	0	0	55612
