#Pass ID: 20260113_234950_SUOMI NPP
#Satellite: SUOMI NPP
#Configuration: NPP
#almurnet v.1.7.20251203
#Start time: 2026-01-13 23:49:53

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 37849U 11061A   26013.55331121  .00000059  00000+0  48721-4 0  9992
#TLE: 2 37849  98.7808 315.6144 0002478  66.1553 293.9883 14.19524925736509

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-13 23:49:53.01	21.63	2.14	-58.1	-73.5	3.8	1.49e+00	0	25	0	0	82	21052
2026-01-13 23:49:54.00	21.66	2.20	-58.1	-73.2	3.8	1.49e+00	0	25	104	0	81	21598
2026-01-13 23:49:55.00	21.69	2.27	-58.1	-73.3	3.8	1.49e+00	0	25	104	0	81	21776
2026-01-13 23:49:56.00	21.72	2.33	-58.1	-73.2	3.8	1.49e+00	0	25	104	0	81	21746
2026-01-13 23:49:57.00	21.75	2.39	-58.1	-73.4	3.8	1.49e+00	0	25	104	0	81	22120
2026-01-13 23:49:58.00	21.78	2.46	-58.1	-73.4	3.8	1.49e+00	0	25	104	0	81	22134
2026-01-13 23:49:59.00	21.81	2.52	-58.1	-73.4	3.8	1.49e+00	0	25	104	0	81	22075
2026-01-13 23:50:00.00	21.84	2.58	-58.1	-73.3	3.8	1.49e+00	0	25	104	0	81	21825
2026-01-13 23:50:01.00	21.87	2.65	-58.1	-72.9	3.8	1.49e+00	0	25	104	0	81	20901
2026-01-13 23:50:02.00	21.90	2.71	-58.0	-72.6	3.8	1.49e+00	0	26	104	0	81	20083
2026-01-13 23:50:03.00	21.93	2.77	-58.0	-72.4	3.8	1.49e+00	0	25	104	0	81	19803
2026-01-13 23:50:04.00	21.96	2.84	-58.0	-71.5	3.8	1.49e+00	0	25	104	0	81	17806
2026-01-13 23:50:04.99	21.99	2.90	-58.0	-70.5	4.2	1.41e+00	0	25	0	0	81	15817
2026-01-13 23:50:05.99	22.03	2.97	-57.9	-70.3	4.3	1.38e+00	0	25	0	0	81	15549
2026-01-13 23:50:06.99	22.06	3.03	-57.9	-69.7	4.4	1.29e+00	21	25	0	0	81	14501
2026-01-13 23:50:07.99	22.09	3.10	-57.8	-69.2	4.6	9.49e-01	0	26	0	2097152	81	13691
2026-01-13 23:50:08.99	22.12	3.16	-57.8	-68.7	4.9	7.44e-01	0	26	0	4194304	81	12952
2026-01-13 23:50:10.01	22.15	3.23	-57.8	-68.5	4.9	8.47e-01	0	26	0	6291456	81	12643
2026-01-13 23:50:11.01	22.18	3.29	-57.8	-68.2	5.1	7.09e-01	0	26	0	8388608	81	12125
