#Pass ID: 20260113_014139_FENGYUN 3G
#Satellite: FENGYUN 3G
#Configuration: FENGYUN 3G
#almurnet v.1.7.20251203
#Start time: 2026-01-13 01:41:40

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 56232U 23055A   26012.28315646  .00028343  00000+0  44482-3 0  9993
#TLE: 2 56232  49.9940  69.9476 0004238  14.1066 346.0019 15.53388001155773

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-13 01:41:40.86	258.45	5.18	-50.5	-69.2	3.8	8.47e-01	0	36	0	0	73	29535
2026-01-13 01:41:41.85	258.35	5.25	-50.5	-69.1	3.8	8.38e-01	0	36	104	0	72	31008
2026-01-13 01:41:42.84	258.24	5.32	-50.5	-69.2	3.8	8.47e-01	0	36	104	0	72	31165
2026-01-13 01:41:43.83	258.13	5.39	-50.5	-69.2	3.8	8.47e-01	0	36	104	0	72	31155
2026-01-13 01:41:44.83	258.02	5.47	-50.5	-69.2	3.8	8.47e-01	0	36	104	0	72	31141
2026-01-13 01:41:45.82	257.91	5.54	-50.5	-69.2	3.8	8.47e-01	0	36	104	0	72	31160
2026-01-13 01:41:46.81	257.80	5.61	-50.5	-69.2	3.8	8.47e-01	0	36	104	0	72	31194
2026-01-13 01:41:47.81	257.69	5.69	-50.5	-69.2	3.8	8.47e-01	0	36	104	0	72	31141
2026-01-13 01:41:48.80	257.58	5.76	-50.5	-69.1	3.8	8.46e-01	0	36	104	0	72	31068
2026-01-13 01:41:49.79	257.47	5.83	-50.5	-69.1	3.8	8.46e-01	0	36	104	0	72	30994
2026-01-13 01:41:50.79	257.35	5.91	-50.5	-69.1	3.8	8.46e-01	0	37	104	0	72	30960
2026-01-13 01:41:51.78	257.24	5.98	-50.5	-69.1	3.8	8.46e-01	0	37	104	0	72	30957
2026-01-13 01:41:52.77	257.13	6.06	-50.5	-69.1	3.8	8.47e-01	0	37	104	0	72	31015
2026-01-13 01:41:53.76	257.01	6.13	-50.5	-69.2	3.8	8.47e-01	0	37	104	0	72	31209
2026-01-13 01:41:54.76	256.89	6.21	-50.5	-69.2	3.8	8.48e-01	0	37	104	0	72	31257
2026-01-13 01:41:55.75	256.78	6.28	-50.5	-69.2	3.8	8.49e-01	0	37	104	0	72	31253
2026-01-13 01:41:56.75	256.66	6.36	-50.5	-69.1	3.8	8.49e-01	0	37	104	0	72	31031
2026-01-13 01:41:57.74	256.54	6.44	-50.5	-69.1	3.8	8.47e-01	0	37	104	0	72	30815
2026-01-13 01:41:58.73	256.42	6.51	-50.5	-69.0	3.8	8.47e-01	0	37	104	0	72	30584
2026-01-13 01:41:59.73	256.30	6.59	-50.5	-69.0	3.8	8.47e-01	0	37	104	0	72	30516
2026-01-13 01:42:00.72	256.17	6.66	-50.5	-69.0	3.8	8.47e-01	0	37	104	0	72	30398
2026-01-13 01:42:01.71	256.05	6.74	-50.5	-68.9	3.8	8.48e-01	0	37	104	0	72	30249
2026-01-13 01:42:02.71	255.93	6.82	-50.5	-69.0	3.8	8.48e-01	0	37	104	0	72	30511
2026-01-13 01:42:03.70	255.80	6.90	-50.5	-69.0	3.8	8.48e-01	0	37	104	0	72	30694
2026-01-13 01:42:04.69	255.68	6.97	-50.5	-69.1	3.8	8.46e-01	0	37	104	0	72	30824
2026-01-13 01:42:05.69	255.55	7.05	-50.5	-69.2	3.8	8.47e-01	0	37	104	0	72	31158
2026-01-13 01:42:06.68	255.42	7.13	-50.5	-69.2	3.8	8.47e-01	0	37	104	0	72	31387
2026-01-13 01:42:07.67	255.29	7.21	-50.5	-69.2	3.8	8.46e-01	0	37	104	0	72	31307
2026-01-13 01:42:08.67	255.16	7.29	-50.5	-69.2	3.8	8.47e-01	0	37	104	0	72	31362
2026-01-13 01:42:09.66	255.03	7.37	-50.5	-69.2	3.8	8.47e-01	0	37	104	0	72	31253
2026-01-13 01:42:10.65	254.90	7.45	-50.5	-69.1	3.8	8.48e-01	0	37	104	0	72	30983
2026-01-13 01:42:11.65	254.77	7.53	-50.5	-68.9	3.8	8.47e-01	0	37	104	0	72	30330
2026-01-13 01:42:12.64	254.63	7.61	-50.5	-68.8	3.8	8.47e-01	0	37	104	0	72	29884
2026-01-13 01:42:13.63	254.50	7.69	-50.5	-68.8	3.8	8.47e-01	0	37	104	0	72	29767
2026-01-13 01:42:14.63	254.36	7.77	-50.5	-68.9	3.8	8.47e-01	0	37	104	0	72	30282
2026-01-13 01:42:15.62	254.23	7.85	-50.5	-69.1	3.8	8.47e-01	0	37	104	0	72	30916
2026-01-13 01:42:16.61	254.09	7.93	-50.5	-69.1	3.8	8.46e-01	0	38	104	0	72	31033
2026-01-13 01:42:17.61	253.95	8.01	-50.5	-69.1	3.8	8.47e-01	0	37	104	0	72	30943
2026-01-13 01:42:18.60	253.81	8.09	-50.5	-69.1	3.8	8.47e-01	0	37	104	0	72	30784
2026-01-13 01:42:19.59	253.67	8.17	-50.5	-69.1	3.8	8.48e-01	0	37	104	0	72	30947
2026-01-13 01:42:20.59	253.53	8.25	-50.5	-69.2	3.8	8.47e-01	0	37	104	0	72	31304
2026-01-13 01:42:21.58	253.38	8.34	-50.5	-69.3	3.8	8.47e-01	0	37	104	0	72	31550
2026-01-13 01:42:22.58	253.24	8.42	-50.5	-69.2	3.8	8.47e-01	0	37	104	0	72	31410
2026-01-13 01:42:23.57	253.09	8.50	-50.5	-69.1	3.8	8.46e-01	0	38	104	0	72	30820
2026-01-13 01:42:24.56	252.95	8.58	-50.4	-68.3	3.8	8.46e-01	0	38	104	0	72	28150
2026-01-13 01:42:25.56	252.80	8.67	-50.4	-65.9	4.1	8.46e-01	0	37	0	0	72	21386
2026-01-13 01:42:26.55	252.65	8.75	-50.1	-62.0	6.0	8.41e-01	0	38	0	0	72	13599
2026-01-13 01:42:27.54	252.50	8.83	-49.6	-58.2	9.6	3.35e-01	0	38	0	0	71	9339
2026-01-13 01:42:28.54	252.35	8.92	-48.7	-55.0	13.0	3.35e-01	0	38	0	0	69	7218
2026-01-13 01:42:29.53	252.19	9.00	-47.7	-52.7	15.2	3.49e-03	0	38	0	0	67	6259
2026-01-13 01:42:30.52	252.04	9.09	-47.0	-51.3	16.8	0.00e+00	0	38	0	0	65	5964
2026-01-13 01:42:31.52	251.88	9.17	-47.2	-51.6	16.5	0.00e+00	0	38	0	0	65	6187
2026-01-13 01:42:32.52	251.73	9.26	-47.2	-51.7	16.5	0.00e+00	0	38	0	0	65	6243
2026-01-13 01:42:33.51	251.57	9.34	-48.1	-53.6	14.8	0.00e+00	0	38	0	0	66	7300
2026-01-13 01:42:34.50	251.41	9.43	-47.9	-53.0	14.4	0.00e+00	0	38	0	0	68	6117
2026-01-13 01:42:35.50	251.25	9.52	-45.1	-48.3	19.6	5.48e-03	0	37	0	0	62	5026
2026-01-13 01:42:36.49	251.09	9.60	-44.9	-48.0	19.8	0.00e+00	0	38	0	0	61	5121
2026-01-13 01:42:37.49	250.93	9.69	-44.7	-47.7	20.1	0.00e+00	0	38	0	0	61	4946
2026-01-13 01:42:38.48	250.76	9.78	-44.6	-47.6	20.3	0.00e+00	0	38	0	0	61	4876
2026-01-13 01:42:39.48	250.60	9.86	-44.6	-47.5	20.4	0.00e+00	0	38	0	0	61	4829
2026-01-13 01:42:40.48	250.43	9.95	-44.5	-47.4	20.4	0.00e+00	0	38	0	0	61	4771
2026-01-13 01:42:41.47	250.26	10.04	-44.5	-47.4	20.5	0.00e+00	0	38	0	0	60	5097
2026-01-13 01:42:42.47	250.09	10.13	-44.4	-47.2	20.6	0.00e+00	0	38	0	0	60	4978
2026-01-13 01:42:43.46	249.92	10.22	-44.3	-47.1	20.7	0.00e+00	0	38	0	0	60	4904
2026-01-13 01:42:44.46	249.74	10.31	-44.0	-46.8	21.0	0.00e+00	0	38	0	0	60	4719
