#Pass ID: 20260114_090731_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-14 09:07:33

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 43010U 17072A   26013.94640698 -.00000044  00000+0  88349-6 0  9999
#TLE: 2 43010  98.9934 345.7464 0002313 110.9627 249.1796 14.19695403423100

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-14 09:07:33.19	96.72	2.11	-58.0	-70.9	3.8	8.46e-01	0	25	0	0	82	15738
2026-01-14 09:07:34.18	96.67	2.17	-58.0	-70.9	3.8	8.45e-01	0	25	104	0	81	16557
2026-01-14 09:07:35.17	96.62	2.23	-57.9	-70.9	3.8	8.46e-01	0	25	104	0	81	16618
2026-01-14 09:07:36.16	96.57	2.29	-58.0	-70.9	3.8	8.46e-01	0	25	104	0	81	16640
2026-01-14 09:07:37.15	96.52	2.35	-57.9	-70.9	3.8	8.45e-01	0	25	104	0	81	16574
2026-01-14 09:07:38.15	96.48	2.41	-57.9	-70.9	3.8	8.46e-01	0	26	104	0	81	16658
2026-01-14 09:07:39.15	96.43	2.47	-57.9	-70.9	3.8	8.46e-01	0	26	104	0	81	16606
2026-01-14 09:07:40.14	96.38	2.53	-58.0	-70.9	3.8	8.45e-01	0	26	104	0	81	16668
2026-01-14 09:07:41.14	96.32	2.59	-58.0	-71.0	3.8	8.46e-01	0	26	104	0	81	16767
2026-01-14 09:07:42.13	96.27	2.65	-58.0	-71.0	3.8	8.47e-01	0	26	104	0	81	16762
2026-01-14 09:07:43.12	96.22	2.71	-58.0	-71.0	3.8	8.46e-01	0	26	104	0	81	16756
2026-01-14 09:07:44.12	96.17	2.77	-58.0	-71.0	3.8	8.46e-01	0	26	104	0	81	16737
2026-01-14 09:07:45.11	96.12	2.83	-58.0	-70.9	3.8	8.46e-01	0	26	104	0	81	16672
