#Pass ID: 20260114_105628_TY-42
#Satellite: TY-42
#Configuration: TY-42_900M
#almurnet v.1.7.20251203
#Start time: 2026-01-14 10:56:29

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 64048U 25103A   26014.26833333  .00008011  00000-0  38191-3 0 09992
#TLE: 2 64048 097.4118 089.6996 0001685 091.1025 050.2393 15.19172418 36706

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-14 10:56:29.76	23.07	2.07	-57.7	-61.0	6.1	0.00e+00	0	32	0	0	82	20666
2026-01-14 10:56:30.76	23.01	2.14	-57.8	-61.0	6.1	0.00e+00	0	32	104	0	82	20818
2026-01-14 10:56:31.77	22.95	2.21	-57.8	-61.0	6.2	0.00e+00	0	32	104	0	82	20823
2026-01-14 10:56:32.78	22.89	2.27	-57.8	-61.0	6.2	0.00e+00	0	32	104	0	82	20830
2026-01-14 10:56:33.79	22.82	2.34	-57.8	-61.0	6.1	0.00e+00	0	32	104	0	82	20775
2026-01-14 10:56:34.80	22.76	2.41	-57.8	-61.0	6.1	0.00e+00	0	32	104	0	82	20834
2026-01-14 10:56:35.81	22.70	2.48	-57.8	-61.0	6.2	0.00e+00	0	32	104	0	82	20755
2026-01-14 10:56:36.82	22.64	2.54	-57.8	-61.0	6.1	0.00e+00	0	32	104	0	82	20831
2026-01-14 10:56:37.83	22.57	2.61	-57.8	-61.0	6.2	0.00e+00	0	32	104	0	82	20846
2026-01-14 10:56:38.84	22.51	2.68	-57.8	-61.0	6.2	0.00e+00	0	32	104	0	82	20822
2026-01-14 10:56:39.84	22.45	2.75	-57.8	-61.0	6.1	0.00e+00	0	32	104	0	82	20864
2026-01-14 10:56:40.85	22.38	2.82	-57.8	-61.0	6.1	0.00e+00	0	33	104	0	82	20834
2026-01-14 10:56:41.86	22.32	2.88	-57.8	-61.0	6.2	0.00e+00	0	33	104	0	82	20857
2026-01-14 10:56:42.86	22.25	2.95	-57.8	-61.1	6.1	0.00e+00	0	33	104	0	82	20928
2026-01-14 10:56:43.87	22.19	3.02	-57.8	-61.1	6.2	0.00e+00	0	33	104	0	82	20875
2026-01-14 10:56:44.88	22.12	3.09	-57.8	-61.0	6.1	0.00e+00	0	33	104	0	82	20870
2026-01-14 10:56:45.88	22.05	3.16	-57.8	-61.1	6.1	0.00e+00	0	33	104	0	82	20907
2026-01-14 10:56:46.89	21.99	3.23	-57.8	-61.1	6.2	0.00e+00	0	33	104	0	82	20904
2026-01-14 10:56:47.90	21.92	3.30	-57.8	-61.1	6.2	0.00e+00	0	33	104	0	82	20897
2026-01-14 10:56:48.90	21.85	3.37	-57.8	-61.1	6.2	0.00e+00	0	33	104	0	82	20873
2026-01-14 10:56:49.91	21.78	3.44	-57.8	-61.0	6.2	0.00e+00	0	33	104	0	82	20867
2026-01-14 10:56:50.91	21.72	3.51	-57.8	-61.1	6.2	0.00e+00	0	33	104	0	82	20912
2026-01-14 10:56:51.91	21.65	3.58	-57.8	-61.1	6.1	0.00e+00	0	33	104	0	82	20877
2026-01-14 10:56:52.92	21.58	3.65	-57.8	-61.1	6.1	0.00e+00	0	33	104	0	82	20915
2026-01-14 10:56:53.93	21.51	3.72	-57.8	-61.1	6.2	0.00e+00	0	33	104	0	82	20965
