#Pass ID: 20260114_035802_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-14 03:58:04

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 43010U 17072A   26013.59402220  .00000029  00000+0  35477-4 0  9991
#TLE: 2 43010  98.9934 345.3884 0002280 110.7757 249.3663 14.19695359423056

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-14 03:58:04.32	200.18	0.09	-48.5	-63.5	3.6	1.51e+00	0	25	0	0	60	53926
2026-01-14 03:58:05.32	200.24	0.14	-48.8	-60.9	3.6	8.44e-01	0	26	104	0	60	40196
2026-01-14 03:58:06.33	200.29	0.20	-48.7	-60.8	3.6	8.45e-01	0	26	104	0	60	39619
2026-01-14 03:58:07.34	200.35	0.25	-48.7	-60.9	3.6	8.46e-01	0	26	104	0	60	39863
2026-01-14 03:58:08.35	200.40	0.31	-48.7	-60.8	3.6	8.46e-01	0	26	104	0	60	39822
2026-01-14 03:58:09.36	200.46	0.36	-48.7	-60.8	3.6	8.45e-01	0	26	104	0	60	39534
2026-01-14 03:58:10.37	200.52	0.42	-48.8	-60.9	3.6	8.45e-01	0	26	104	0	60	40049
2026-01-14 03:58:11.38	200.57	0.47	-48.7	-60.9	3.6	8.45e-01	0	26	104	0	60	39979
2026-01-14 03:58:12.38	200.63	0.53	-48.7	-60.8	3.6	8.46e-01	0	26	104	0	60	39583
2026-01-14 03:58:13.39	200.69	0.58	-48.7	-60.8	3.6	8.44e-01	0	26	104	0	60	39858
2026-01-14 03:58:14.40	200.75	0.64	-48.6	-60.7	3.6	8.46e-01	0	26	104	0	60	39159
2026-01-14 03:58:15.41	200.80	0.70	-48.4	-60.5	3.6	8.47e-01	0	26	104	0	60	38391
2026-01-14 03:58:16.42	200.86	0.75	-48.3	-60.4	3.6	8.45e-01	0	26	104	0	60	37914
2026-01-14 03:58:17.43	200.92	0.81	-48.2	-60.4	3.5	8.45e-01	0	26	104	0	60	37690
2026-01-14 03:58:18.44	200.98	0.86	-48.0	-60.1	3.6	8.46e-01	0	26	104	0	60	36381
2026-01-14 03:58:19.45	201.04	0.92	-47.6	-59.6	3.6	8.44e-01	0	26	104	0	60	34558
2026-01-14 03:58:20.46	201.09	0.98	-47.3	-59.4	3.6	8.45e-01	0	26	104	0	60	33680
2026-01-14 03:58:21.48	201.15	1.03	-47.3	-59.2	3.6	8.45e-01	0	26	104	0	60	33132
2026-01-14 03:58:22.49	201.21	1.09	-47.3	-59.2	3.6	8.45e-01	0	26	104	0	60	32931
2026-01-14 03:58:23.49	201.27	1.15	-47.3	-59.1	3.6	8.45e-01	0	26	104	0	60	32776
2026-01-14 03:58:24.51	201.33	1.20	-47.3	-59.1	3.6	8.44e-01	0	27	104	0	60	32728
2026-01-14 03:58:25.52	201.39	1.26	-47.3	-59.1	3.6	8.45e-01	0	27	104	0	60	32702
2026-01-14 03:58:26.53	201.45	1.32	-47.3	-59.1	3.6	8.45e-01	0	27	104	0	60	32641
2026-01-14 03:58:27.53	201.51	1.37	-47.3	-59.2	3.6	8.45e-01	0	26	104	0	60	33060
2026-01-14 03:58:28.54	201.57	1.43	-47.3	-59.3	3.6	8.45e-01	0	27	104	0	60	33427
2026-01-14 03:58:29.55	201.63	1.49	-47.3	-59.4	3.6	8.46e-01	0	27	104	0	60	33693
2026-01-14 03:58:30.56	201.69	1.55	-47.3	-59.4	3.6	8.45e-01	0	27	104	0	60	33856
2026-01-14 03:58:31.57	201.75	1.60	-47.3	-59.4	3.6	8.44e-01	0	27	104	0	60	33799
2026-01-14 03:58:32.58	201.81	1.66	-47.3	-59.4	3.6	8.44e-01	0	27	104	0	60	33694
2026-01-14 03:58:33.59	201.88	1.72	-47.3	-59.4	3.6	8.45e-01	0	27	104	0	60	33619
2026-01-14 03:58:34.60	201.94	1.77	-47.3	-59.3	3.6	8.46e-01	0	27	104	0	60	33428
2026-01-14 03:58:35.61	202.00	1.83	-47.3	-59.2	3.6	8.45e-01	0	27	104	0	60	33155
2026-01-14 03:58:36.62	202.06	1.89	-47.3	-59.2	3.6	8.45e-01	0	27	104	0	60	32847
2026-01-14 03:58:37.63	202.12	1.95	-47.3	-59.1	3.6	8.46e-01	0	27	104	0	60	32678
2026-01-14 03:58:38.64	202.19	2.01	-47.3	-59.1	3.6	8.46e-01	0	27	104	0	60	32443
2026-01-14 03:58:39.65	202.25	2.06	-47.3	-59.1	3.6	8.45e-01	0	27	104	0	60	32504
2026-01-14 03:58:40.66	202.31	2.12	-47.3	-59.2	3.6	8.45e-01	0	27	104	0	60	33104
2026-01-14 03:58:41.67	202.38	2.18	-47.3	-59.2	3.6	8.46e-01	0	27	104	0	60	33044
2026-01-14 03:58:42.68	202.44	2.24	-47.3	-59.2	3.6	8.44e-01	0	27	104	0	60	32797
2026-01-14 03:58:43.69	202.50	2.30	-47.3	-59.2	3.6	8.45e-01	0	27	104	0	60	32800
2026-01-14 03:58:44.70	202.57	2.36	-47.3	-59.4	3.6	8.45e-01	0	27	104	0	60	33556
2026-01-14 03:58:45.71	202.63	2.41	-47.3	-59.4	3.6	8.45e-01	0	27	104	0	60	33773
2026-01-14 03:58:46.72	202.69	2.47	-47.3	-59.0	3.6	8.44e-01	0	27	104	0	60	32397
2026-01-14 03:58:47.73	202.76	2.53	-47.2	-57.7	3.6	8.44e-01	0	27	104	0	60	27873
2026-01-14 03:58:48.74	202.82	2.59	-47.0	-56.3	3.9	8.41e-01	0	27	104	0	60	23518
2026-01-14 03:58:49.75	202.89	2.65	-46.9	-54.1	3.9	8.29e-01	0	27	0	0	60	18301
2026-01-14 03:58:50.76	202.96	2.71	-46.9	-54.2	3.8	8.31e-01	0	27	0	0	60	18633
2026-01-14 03:58:51.77	203.02	2.77	-47.1	-57.2	3.6	8.42e-01	0	27	104	0	60	26167
2026-01-14 03:58:52.78	203.09	2.83	-47.3	-58.9	3.6	8.45e-01	0	27	104	0	60	31702
2026-01-14 03:58:53.79	203.15	2.89	-46.9	-55.4	3.9	8.43e-01	0	27	104	0	60	21301
2026-01-14 03:58:54.80	203.22	2.95	-45.4	-49.8	8.8	1.09e-01	0	27	104	0	60	11128
2026-01-14 03:58:55.81	203.29	3.01	-43.5	-45.8	12.5	1.30e-03	0	27	0	4194304	60	7071
2026-01-14 03:58:56.82	203.35	3.06	-41.4	-43.0	15.5	1.10e-06	0	27	0	10485760	56	6439
2026-01-14 03:58:57.83	203.42	3.12	-39.8	-41.0	17.3	0.00e+00	0	27	0	15728640	54	5758
2026-01-14 03:58:58.84	203.49	3.18	-38.6	-39.7	18.7	0.00e+00	0	27	0	22020096	52	5535
2026-01-14 03:58:59.85	203.56	3.24	-38.1	-39.1	19.2	0.00e+00	0	27	0	27262976	50	5806
2026-01-14 03:59:00.87	203.62	3.30	-38.1	-39.1	19.2	0.00e+00	0	27	0	33554432	50	5825
2026-01-14 03:59:01.88	203.69	3.36	-38.5	-39.6	18.6	0.00e+00	0	27	0	38797312	50	6147
2026-01-14 03:59:02.89	203.76	3.43	-39.0	-40.1	18.2	0.00e+00	0	27	0	45088768	50	6525
2026-01-14 03:59:03.90	203.83	3.49	-46.9	-56.7	3.7	7.00e-01	0	27	104	48234496	60	24703
2026-01-14 03:59:04.91	203.90	3.55	-37.2	-38.2	20.0	1.48e-05	0	27	0	49283072	44	7341
2026-01-14 03:59:05.92	203.97	3.61	-42.4	-44.2	14.2	0.00e+00	0	27	0	54525952	56	7397
2026-01-14 03:59:06.93	204.04	3.67	-42.1	-44.0	13.7	0.00e+00	0	27	0	59768832	54	8093
2026-01-14 03:59:07.94	204.11	3.73	-36.8	-37.7	20.7	0.00e+00	0	27	0	66060288	48	5548
2026-01-14 03:59:08.95	204.18	3.79	-36.4	-37.3	21.2	0.00e+00	0	27	0	71303168	46	5919
2026-01-14 03:59:09.96	204.25	3.85	-36.2	-37.0	21.4	0.00e+00	0	27	0	77594624	46	5760
2026-01-14 03:59:10.96	204.32	3.91	-35.9	-36.7	21.7	0.00e+00	0	27	0	82837504	46	5528
2026-01-14 03:59:11.97	204.39	3.97	-35.6	-36.4	22.0	0.00e+00	0	27	0	89128960	44	5983
2026-01-14 03:59:12.99	204.46	4.03	-35.6	-36.4	22.0	0.00e+00	0	27	0	94371840	44	5989
2026-01-14 03:59:14.00	204.53	4.09	-35.4	-36.2	22.3	0.00e+00	0	27	0	100663296	44	5884
2026-01-14 03:59:15.01	204.60	4.16	-35.3	-36.1	22.3	0.00e+00	0	27	0	105906176	44	5783
2026-01-14 03:59:16.02	204.68	4.22	-35.4	-36.2	22.2	0.00e+00	0	27	0	111149056	44	5842
2026-01-14 03:59:17.03	204.75	4.28	-35.3	-36.1	22.4	0.00e+00	0	27	0	117440512	44	5803
2026-01-14 03:59:18.03	204.82	4.34	-35.5	-36.3	22.2	0.00e+00	0	27	0	122683392	44	5911
2026-01-14 03:59:19.04	204.89	4.40	-35.2	-36.0	22.5	0.00e+00	0	27	0	128974848	44	5711
2026-01-14 03:59:20.05	204.97	4.46	-35.2	-36.0	22.5	0.00e+00	0	27	0	134217728	44	5715
2026-01-14 03:59:21.06	205.04	4.53	-35.4	-36.1	22.4	0.00e+00	0	27	0	139460608	44	5812
2026-01-14 03:59:22.07	205.11	4.59	-35.2	-36.0	22.5	0.00e+00	0	27	0	145752064	44	5730
2026-01-14 03:59:23.08	205.19	4.65	-35.2	-36.0	22.6	0.00e+00	0	27	0	150994944	44	5710
2026-01-14 03:59:24.09	205.26	4.71	-35.1	-35.9	22.6	0.00e+00	0	27	0	157286400	44	5651
2026-01-14 03:59:25.10	205.34	4.78	-35.2	-35.9	22.6	0.00e+00	0	27	0	162529280	44	5688
2026-01-14 03:59:26.11	205.41	4.84	-35.1	-35.9	22.7	0.00e+00	0	27	0	167772160	44	5642
2026-01-14 03:59:27.12	205.49	4.90	-35.1	-35.9	22.7	0.00e+00	0	27	0	174063616	44	5651
2026-01-14 03:59:28.13	205.56	4.96	-35.1	-35.9	22.7	0.00e+00	0	27	0	179306496	44	5675
2026-01-14 03:59:29.14	205.64	5.03	-35.3	-36.0	22.5	0.00e+00	0	27	0	185597952	44	5748
2026-01-14 03:59:30.15	205.72	5.09	-35.1	-35.9	22.8	0.00e+00	0	27	0	190840832	44	5636
2026-01-14 03:59:31.16	205.79	5.15	-35.2	-36.0	22.7	0.00e+00	0	27	0	197132288	44	5706
2026-01-14 03:59:32.17	205.87	5.22	-35.2	-36.0	22.6	0.00e+00	0	27	0	202375168	44	5729
2026-01-14 03:59:33.18	205.95	5.28	-35.1	-35.8	22.7	0.00e+00	0	27	0	207618048	44	5621
2026-01-14 03:59:34.19	206.03	5.34	-35.2	-36.0	22.6	0.00e+00	0	27	0	213909504	44	5735
2026-01-14 03:59:35.20	206.10	5.41	-35.2	-36.0	22.7	0.00e+00	0	27	0	219152384	44	5700
2026-01-14 03:59:36.21	206.18	5.47	-35.1	-35.9	22.8	0.00e+00	0	27	0	225443840	44	5631
2026-01-14 03:59:37.22	206.26	5.53	-35.1	-35.9	22.7	0.00e+00	0	27	0	230686720	44	5679
2026-01-14 03:59:38.23	206.34	5.60	-35.1	-35.9	22.7	0.00e+00	0	27	0	235929600	44	5681
2026-01-14 03:59:39.24	206.42	5.66	-35.0	-35.7	22.9	0.00e+00	0	27	0	242221056	44	5562
2026-01-14 03:59:40.25	206.50	5.73	-35.0	-35.7	22.9	0.00e+00	0	27	0	247463936	44	5564
