#Pass ID: 20260114_160226_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-14 16:02:30

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 43010U 17072A   26013.94640698 -.00000044  00000+0  88349-6 0  9999
#TLE: 2 43010  98.9934 345.7464 0002313 110.9627 249.1796 14.19695403423100

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-14 16:02:30.18	19.90	0.19	-48.7	-59.4	3.3	8.39e-01	0	27	0	0	60	33839
2026-01-14 16:02:31.18	19.92	0.25	-48.8	-60.9	3.6	8.46e-01	0	27	104	0	60	40124
2026-01-14 16:02:32.19	19.95	0.31	-48.8	-60.9	3.6	8.45e-01	0	27	104	0	60	40207
2026-01-14 16:02:33.20	19.98	0.37	-48.8	-60.9	3.6	8.44e-01	0	27	104	0	60	40100
2026-01-14 16:02:34.21	20.01	0.43	-48.7	-60.8	3.6	8.46e-01	0	27	104	0	60	39806
2026-01-14 16:02:35.22	20.04	0.49	-48.7	-60.8	3.6	8.46e-01	0	27	104	0	60	39691
2026-01-14 16:02:36.23	20.06	0.55	-48.6	-60.7	3.6	8.45e-01	0	27	104	0	60	39210
2026-01-14 16:02:37.24	20.09	0.61	-48.5	-60.6	3.6	8.45e-01	0	27	104	0	60	38834
2026-01-14 16:02:38.25	20.12	0.67	-48.4	-60.4	3.6	8.45e-01	0	27	104	0	60	38024
2026-01-14 16:02:39.26	20.15	0.73	-48.1	-60.2	3.6	8.45e-01	0	27	104	0	60	37119
2026-01-14 16:02:40.27	20.18	0.79	-48.0	-60.1	3.6	8.44e-01	0	27	104	0	60	36455
2026-01-14 16:02:41.28	20.21	0.85	-47.8	-59.9	3.6	8.44e-01	0	27	104	0	60	35608
2026-01-14 16:02:42.29	20.24	0.91	-47.4	-59.5	3.6	8.45e-01	0	27	104	0	60	34002
2026-01-14 16:02:43.30	20.26	0.97	-47.2	-59.3	3.6	8.44e-01	0	27	104	0	60	33353
2026-01-14 16:02:44.31	20.29	1.03	-47.2	-59.2	3.6	8.45e-01	0	27	104	0	60	33156
2026-01-14 16:02:45.32	20.32	1.09	-47.2	-59.2	3.6	8.44e-01	0	27	104	0	60	33131
2026-01-14 16:02:46.33	20.35	1.16	-47.2	-59.2	3.6	8.46e-01	0	27	104	0	60	33105
2026-01-14 16:02:47.34	20.38	1.22	-47.2	-59.2	3.6	8.45e-01	0	27	104	0	60	32985
2026-01-14 16:02:48.35	20.41	1.28	-47.2	-59.1	3.6	8.46e-01	0	27	104	0	60	32649
2026-01-14 16:02:49.36	20.44	1.34	-47.2	-59.1	3.6	8.46e-01	0	27	104	0	60	32645
2026-01-14 16:02:50.37	20.47	1.40	-47.2	-59.1	3.6	8.45e-01	0	27	104	0	60	32561
2026-01-14 16:02:51.38	20.50	1.46	-47.2	-59.1	3.6	8.45e-01	0	27	104	0	60	32728
2026-01-14 16:02:52.39	20.53	1.52	-47.2	-59.1	3.6	8.44e-01	0	27	104	0	60	32657
2026-01-14 16:02:53.40	20.56	1.59	-47.2	-59.1	3.6	8.44e-01	0	27	104	0	60	32729
2026-01-14 16:02:54.41	20.59	1.65	-47.1	-59.2	3.6	8.46e-01	0	27	104	0	60	32807
2026-01-14 16:02:55.42	20.62	1.71	-47.2	-59.2	3.6	8.47e-01	0	27	104	0	60	32794
2026-01-14 16:02:56.42	20.65	1.77	-47.2	-59.2	3.6	8.46e-01	0	28	104	0	60	32896
2026-01-14 16:02:57.43	20.68	1.83	-47.2	-59.1	3.6	8.45e-01	0	27	104	0	60	32626
2026-01-14 16:02:58.45	20.71	1.90	-47.2	-59.1	3.6	8.44e-01	0	27	104	0	60	32727
2026-01-14 16:02:59.46	20.74	1.96	-47.2	-59.2	3.6	8.46e-01	0	28	104	0	60	33013
2026-01-14 16:03:00.47	20.77	2.02	-47.2	-59.3	3.6	8.44e-01	0	27	104	0	60	33215
2026-01-14 16:03:01.48	20.80	2.09	-47.2	-59.1	3.6	8.44e-01	0	27	104	0	60	32601
2026-01-14 16:03:02.49	20.83	2.15	-47.1	-58.5	3.6	8.46e-01	0	28	104	0	60	30284
2026-01-14 16:03:03.50	20.86	2.21	-47.0	-57.8	3.6	8.44e-01	0	28	104	0	60	28128
2026-01-14 16:03:04.51	20.90	2.27	-46.9	-56.9	3.6	8.45e-01	0	27	104	0	60	25395
2026-01-14 16:03:05.52	20.93	2.34	-46.9	-55.5	3.7	8.42e-01	0	28	104	0	60	21612
2026-01-14 16:03:06.53	20.96	2.40	-46.8	-56.0	3.8	8.40e-01	0	28	0	0	60	22895
2026-01-14 16:03:07.54	20.99	2.47	-46.9	-57.0	3.7	8.43e-01	0	28	104	0	60	25466
2026-01-14 16:03:08.55	21.02	2.53	-47.0	-58.0	3.6	8.45e-01	0	28	104	0	60	28776
