#Pass ID: 20260114_154347_METEOR-M2 3
#Satellite: METEOR-M2 3
#Configuration: METEOR-M2 3
#Start time: 2026-01-14 15:43:52.401233

#LorettStation: 1.0.0 05.05.2024
#Station: planumMaritime01
#Location: 37.49445 lon 55.92918 lat
#TLE: 1 57166U 23091A   26014.29359836 -.00000001  00000+0  18460-4 0  9992
#TLE: 2 57166  98.6331  72.2568 0002921 251.9031 108.1830 14.24030470132611

#Time	Az	El	Level	SNR
2026-01-14 15:43:54.577800	83.3	10.1	-74.9	0.0
2026-01-14 15:43:55.702576	83.1	10.2	-75.5	0.0
2026-01-14 15:43:56.825409	83.0	10.2	-75.4	0.0
2026-01-14 15:43:57.947386	82.8	10.3	-78.4	0.0
2026-01-14 15:43:59.072853	82.6	10.4	-78.0	0.0
2026-01-14 15:44:00.196539	82.5	10.4	-75.5	0.0
2026-01-14 15:44:01.320393	82.3	10.5	-78.0	0.0
2026-01-14 15:44:02.443997	82.1	10.5	-77.8	0.0
2026-01-14 15:44:03.568555	82.0	10.6	-77.0	0.0
2026-01-14 15:44:04.691783	81.8	10.7	-75.3	0.0
2026-01-14 15:44:05.816241	81.6	10.7	-74.1	0.0
2026-01-14 15:44:06.941656	81.5	10.8	-74.9	0.0
2026-01-14 15:44:08.063521	81.3	10.8	-75.2	0.0
2026-01-14 15:44:09.187081	81.1	10.9	-75.0	0.0
2026-01-14 15:44:10.310147	80.9	11.0	-74.2	0.0
2026-01-14 15:44:11.433799	80.8	11.0	-72.8	0.0
2026-01-14 15:44:12.557271	80.6	11.1	-74.4	0.0
2026-01-14 15:44:13.682837	80.4	11.1	-74.9	0.0
2026-01-14 15:44:14.805821	80.2	11.2	-73.9	0.0
2026-01-14 15:44:15.930845	80.1	11.2	-74.8	0.0
2026-01-14 15:44:17.054813	79.9	11.3	-72.5	0.0
2026-01-14 15:44:18.179255	79.7	11.4	-73.2	0.0
2026-01-14 15:44:19.304925	79.5	11.4	-71.2	0.0
2026-01-14 15:44:20.428679	79.4	11.5	-72.0	0.0
2026-01-14 15:44:21.550787	79.2	11.5	-73.7	0.0
2026-01-14 15:44:22.676573	79.0	11.6	-73.5	0.0
2026-01-14 15:44:23.798573	78.8	11.7	-73.5	0.0
2026-01-14 15:44:24.923268	78.6	11.7	-72.6	0.0
2026-01-14 15:44:26.048349	78.5	11.8	-71.6	0.0
2026-01-14 15:44:27.173916	78.3	11.8	-72.4	0.0
2026-01-14 15:44:28.299764	78.1	11.9	-70.0	0.0
2026-01-14 15:44:29.422198	77.9	11.9	-73.3	0.0
2026-01-14 15:44:30.546541	77.7	12.0	-70.8	0.0
2026-01-14 15:44:31.671310	77.5	12.1	-69.2	0.0
2026-01-14 15:44:32.795903	77.4	12.1	-71.6	0.0
2026-01-14 15:44:33.921152	77.2	12.2	-70.8	0.0
2026-01-14 15:44:35.046257	77.0	12.2	-69.6	0.0
2026-01-14 15:44:36.169861	76.8	12.3	-71.6	0.0
2026-01-14 15:44:37.291287	76.6	12.3	-72.3	0.0
2026-01-14 15:44:38.415853	76.4	12.4	-70.1	0.0
2026-01-14 15:44:39.541239	76.2	12.5	-71.3	0.0
2026-01-14 15:44:40.663797	76.0	12.5	-72.4	0.0
2026-01-14 15:44:41.788103	75.8	12.6	-71.6	0.0
2026-01-14 15:44:42.912479	75.6	12.6	-73.5	0.0
2026-01-14 15:44:44.034647	75.5	12.7	-71.1	0.0
2026-01-14 15:44:45.157737	75.3	12.7	-70.1	0.0
2026-01-14 15:44:46.281779	75.1	12.8	-74.0	0.0
2026-01-14 15:44:47.406473	74.9	12.8	-70.5	0.0
