#Pass ID: 20260115_170029_2025-108B
#Satellite: 2025-108B
#Configuration: 3PB_600M
#almurnet v.1.7.20251203
#Start time: 2026-01-15 17:02:30

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 64088U 25108B   26015.50029916  .00005942  00000+0  30006-3 0  9999
#TLE: 2 64088  97.4897  93.0008 0012734 176.1194 184.0140 15.17400941 36197

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-15 17:02:30.42	93.10	11.00	-57.6	-59.7	3.7	0.00e+00	0	43	104	0	86	18642
2026-01-15 17:02:31.43	92.94	11.09	-57.6	-59.7	3.7	0.00e+00	0	45	104	0	87	17697
2026-01-15 17:02:32.44	92.77	11.17	-57.6	-59.7	3.7	0.00e+00	0	45	104	0	87	17614
2026-01-15 17:02:33.45	92.61	11.26	-57.6	-59.7	3.7	0.00e+00	0	45	104	0	87	17652
2026-01-15 17:02:34.46	92.45	11.35	-57.6	-59.7	3.7	0.00e+00	0	45	104	0	87	17655
2026-01-15 17:02:35.47	92.28	11.44	-57.6	-59.7	3.7	0.00e+00	0	45	104	0	87	17614
2026-01-15 17:02:36.48	92.11	11.53	-57.6	-59.7	3.7	0.00e+00	0	45	104	0	87	17659
2026-01-15 17:02:37.49	91.95	11.62	-57.6	-59.7	3.7	0.00e+00	0	45	104	0	87	17652
2026-01-15 17:02:38.50	91.78	11.71	-57.6	-59.7	3.7	0.00e+00	0	46	104	0	87	17602
2026-01-15 17:02:39.51	91.61	11.80	-57.6	-59.7	3.7	0.00e+00	0	46	104	0	87	17751
2026-01-15 17:02:40.52	91.43	11.89	-57.7	-59.8	3.7	0.00e+00	0	46	104	0	87	17891
2026-01-15 17:02:41.53	91.26	11.98	-57.8	-59.9	3.7	0.00e+00	0	46	104	0	87	18141
2026-01-15 17:02:42.54	91.09	12.07	-57.9	-59.9	3.7	0.00e+00	0	46	104	0	87	18166
2026-01-15 17:02:43.55	90.91	12.16	-57.8	-59.9	3.7	0.00e+00	0	47	104	0	87	18063
2026-01-15 17:02:44.56	90.73	12.25	-57.8	-59.9	3.7	0.00e+00	0	47	104	0	87	18008
2026-01-15 17:02:45.57	90.56	12.34	-57.8	-59.9	3.7	0.00e+00	0	47	104	0	87	18057
2026-01-15 17:02:46.58	90.38	12.43	-57.8	-59.9	3.7	0.00e+00	0	47	104	0	87	18074
2026-01-15 17:02:47.59	90.20	12.53	-57.8	-59.9	3.7	0.00e+00	0	47	104	0	87	18113
2026-01-15 17:02:48.60	90.01	12.62	-57.8	-59.9	3.7	0.00e+00	0	47	104	0	87	18078
2026-01-15 17:02:49.61	89.83	12.71	-57.8	-59.9	3.7	0.00e+00	0	47	104	0	87	18054
2026-01-15 17:02:50.62	89.64	12.80	-57.8	-59.9	3.7	0.00e+00	0	47	104	0	87	17981
2026-01-15 17:02:51.63	89.46	12.90	-57.8	-59.9	3.7	0.00e+00	0	47	104	0	87	18088
2026-01-15 17:02:52.64	89.27	12.99	-57.8	-59.9	3.7	0.00e+00	0	47	104	0	87	17974
2026-01-15 17:02:53.65	89.08	13.08	-57.8	-59.9	3.7	0.00e+00	0	47	104	0	87	18051
2026-01-15 17:02:54.66	88.89	13.17	-57.8	-59.9	3.7	0.00e+00	0	48	104	0	87	18077
2026-01-15 17:02:55.67	88.70	13.27	-57.8	-59.9	3.7	0.00e+00	0	48	104	0	87	18044
2026-01-15 17:02:56.68	88.50	13.36	-57.8	-59.9	3.7	0.00e+00	0	48	104	0	87	18110
2026-01-15 17:02:57.69	88.31	13.45	-57.8	-59.9	3.7	0.00e+00	0	48	104	0	87	18137
2026-01-15 17:02:58.72	88.11	13.55	-57.8	-59.9	3.7	0.00e+00	0	48	104	0	87	18009
2026-01-15 17:02:59.73	87.91	13.64	-57.8	-59.8	3.7	0.00e+00	0	48	104	0	87	17930
2026-01-15 17:03:00.74	87.71	13.74	-57.8	-59.9	3.7	0.00e+00	0	48	104	0	87	18017
2026-01-15 17:03:01.75	87.51	13.83	-57.8	-59.9	3.7	0.00e+00	0	48	104	0	87	18085
2026-01-15 17:03:02.76	87.30	13.93	-57.8	-59.9	3.7	0.00e+00	0	48	104	0	87	18064
2026-01-15 17:03:03.77	87.10	14.02	-57.8	-59.9	3.7	0.00e+00	0	49	104	0	87	18083
2026-01-15 17:03:04.78	86.89	14.12	-57.8	-59.9	3.7	0.00e+00	0	49	104	0	87	18002
2026-01-15 17:03:05.79	86.69	14.21	-57.8	-59.9	3.7	0.00e+00	0	48	104	0	87	18028
2026-01-15 17:03:06.80	86.48	14.31	-57.8	-59.9	3.7	0.00e+00	0	49	104	0	87	18093
2026-01-15 17:03:07.81	86.27	14.40	-57.8	-59.9	3.7	0.00e+00	0	49	104	0	87	18033
2026-01-15 17:03:08.82	86.05	14.50	-57.8	-59.9	3.7	0.00e+00	0	49	104	0	87	18011
2026-01-15 17:03:09.83	85.84	14.59	-57.8	-59.8	3.7	0.00e+00	0	49	104	0	87	17970
2026-01-15 17:03:10.84	85.62	14.69	-57.8	-59.9	3.7	0.00e+00	0	49	104	0	87	18118
2026-01-15 17:03:11.85	85.41	14.78	-57.8	-59.9	3.7	0.00e+00	0	49	104	0	87	18116
2026-01-15 17:03:12.86	85.19	14.88	-57.8	-59.9	3.7	0.00e+00	0	49	104	0	87	18090
2026-01-15 17:03:13.87	84.97	14.97	-57.8	-59.9	3.7	0.00e+00	0	49	104	0	87	18085
2026-01-15 17:03:14.88	84.74	15.07	-57.8	-59.9	3.7	0.00e+00	0	49	104	0	87	17999
2026-01-15 17:03:15.89	84.52	15.17	-57.8	-59.9	3.7	0.00e+00	0	49	104	0	87	18022
2026-01-15 17:03:16.90	84.29	15.26	-57.8	-59.9	3.7	0.00e+00	0	50	104	0	87	18118
2026-01-15 17:03:17.91	84.07	15.36	-57.8	-59.9	3.7	0.00e+00	0	50	104	0	87	18060
2026-01-15 17:03:18.92	83.84	15.45	-57.8	-59.9	3.7	0.00e+00	0	50	104	0	87	18046
2026-01-15 17:03:19.93	83.61	15.55	-57.8	-59.9	3.7	0.00e+00	0	50	104	0	87	17998
2026-01-15 17:03:20.94	83.37	15.65	-57.8	-59.9	3.7	0.00e+00	0	50	104	0	87	17993
2026-01-15 17:03:21.95	83.14	15.74	-57.8	-59.9	3.7	0.00e+00	0	50	104	0	87	18041
2026-01-15 17:03:22.95	82.90	15.84	-57.8	-59.9	3.7	0.00e+00	0	50	104	0	87	18016
2026-01-15 17:03:23.96	82.67	15.94	-57.8	-59.9	3.7	0.00e+00	0	50	104	0	87	18127
2026-01-15 17:03:24.97	82.43	16.03	-57.8	-59.9	3.7	0.00e+00	0	50	104	0	87	18096
2026-01-15 17:03:25.98	82.18	16.13	-57.9	-60.0	3.7	0.00e+00	0	50	104	0	87	18202
2026-01-15 17:03:26.99	81.94	16.23	-57.9	-60.0	3.7	0.00e+00	0	50	104	0	87	18243
2026-01-15 4	0	87	18213
2026-01-15 17:03:29.00	81.45	16.42	-57.9	-60.0	3.7	0.00e+00	0	50	104	0	87	18261
2026-01-15 17:03:30.00	81.20	16.51	-57.9	-60.0	3.7	0.00e+00	0	50	104	0	87	18292
2026-01-15 17:03:31.01	80.95	16.61	-57.9	-60.0	3.7	0.00e+00	0	51	104	0	87	18302
2026-01-15 17:03:32.02	80.70	16.71	-57.9	-60.0	3.7	0.00e+00	0	51	104	0	87	18270
2026-01-15 17:03:33.03	80.44	16.81	-57.9	-60.0	3.7	0.00e+00	0	51	104	0	87	18245
2026-01-15 17:03:34.04	80.19	16.90	-57.9	-60.0	3.7	0.00e+00	0	51	104	0	87	18308
2026-01-15 17:03:35.05	79.93	17.00	-57.9	-60.0	3.7	0.00e+00	0	51	104	0	87	18245
2026-01-15 17:03:36.06	79.67	17.10	-57.9	-60.0	3.7	0.00e+00	0	51	104	0	87	18298
2026-01-15 17:03:37.07	79.40	17.19	-57.9	-60.0	3.7	0.00e+00	0	51	104	0	87	18248
2026-01-15 17:03:38.08	79.14	17.29	-57.9	-60.0	3.7	0.00e+00	0	51	104	0	87	18339
2026-01-15 17:03:39.09	78.87	17.38	-57.9	-60.0	3.7	0.00e+00	0	51	104	0	87	18302
2026-01-15 17:03:40.10	78.60	17.48	-57.9	-60.0	3.7	0.00e+00	0	51	104	0	87	18375
2026-01-15 17:03:41.11	78.33	17.58	-57.9	-60.0	3.7	0.00e+00	0	51	104	0	87	18271
2026-01-15 17:03:42.12	78.06	17.67	-57.9	-60.0	3.7	0.00e+00	0	51	104	0	87	18354
2026-01-15 17:03:43.13	77.79	17.77	-57.9	-60.0	3.7	0.00e+00	0	51	104	0	87	18293
2026-01-15 17:03:44.14	77.51	17.87	-57.9	-60.0	3.7	0.00e+00	0	52	104	0	87	18283
2026-01-15 17:03:45.15	77.23	17.96	-57.9	-60.0	3.7	0.00e+00	0	51	104	0	87	18262
2026-01-15 17:03:46.16	76.95	18.06	-57.9	-60.0	3.7	0.00e+00	0	52	104	0	87	18388
2026-01-15 17:03:47.17	76.67	18.15	-57.9	-60.0	3.7	0.00e+00	0	52	104	0	87	18290
2026-01-15 17:03:48.18	76.38	18.25	-57.9	-60.0	3.7	0.00e+00	0	52	104	0	87	18270
2026-01-15 17:03:49.18	76.10	18.34	-57.9	-60.0	3.7	0.00e+00	0	52	104	0	87	18294
2026-01-15 17:03:50.19	75.81	18.44	-57.9	-60.1	3.7	0.00e+00	0	52	104	0	87	18409
2026-01-15 17:03:51.20	75.52	18.53	-57.9	-60.0	3.7	0.00e+00	0	52	104	0	87	18283
2026-01-15 17:03:52.21	75.22	18.62	-57.9	-60.0	3.7	0.00e+00	0	52	104	0	87	18373
2026-01-15 17:03:53.22	74.93	18.72	-57.9	-60.0	3.7	0.00e+00	0	52	104	0	87	18314
2026-01-15 17:03:54.23	74.63	18.81	-58.0	-60.0	3.7	0.00e+00	0	52	104	0	87	18364
2026-01-15 17:03:55.24	74.33	18.91	-57.9	-60.0	3.7	0.00e+00	0	52	104	0	87	18324
2026-01-15 17:03:56.25	74.03	19.00	-58.0	-60.0	3.7	0.00e+00	0	52	104	0	87	18363
2026-01-15 17:03:57.26	73.72	19.09	-57.9	-60.0	3.7	0.00e+00	0	52	104	0	87	18325
2026-01-15 17:03:58.27	73.42	19.18	-58.0	-60.1	3.7	0.00e+00	0	53	104	0	87	18417
2026-01-15 17:03:59.28	73.11	19.28	-58.0	-60.0	3.7	0.00e+00	0	52	104	0	87	18316
2026-01-15 17:04:00.29	72.80	19.37	-58.0	-60.0	3.7	0.00e+00	0	53	104	0	87	18367
2026-01-15 17:04:01.30	72.49	19.46	-58.0	-60.0	3.7	0.00e+00	0	53	104	0	87	18352
2026-01-15 17:04:02.31	72.17	19.55	-58.0	-60.0	3.7	0.00e+00	0	53	104	0	87	18387
2026-01-15 17:04:03.32	71.86	19.64	-58.0	-60.0	3.7	0.00e+00	0	53	104	0	87	18365
2026-01-15 17:04:04.33	71.54	19.73	-58.0	-60.0	3.7	0.00e+00	0	53	104	0	87	18378
2026-01-15 17:04:05.34	71.22	19.82	-58.0	-60.1	3.7	0.00e+00	0	53	104	0	87	18437
2026-01-15 17:04:06.35	70.89	19.91	-58.0	-60.1	3.7	0.00e+00	0	53	104	0	87	18432
2026-01-15 17:04:07.36	70.57	20.00	-58.0	-60.1	3.7	0.00e+00	0	53	104	0	87	18428
2026-01-15 17:04:08.37	70.24	20.09	-58.0	-60.1	3.7	0.00e+00	0	53	104	0	87	18430
2026-01-15 17:04:09.38	69.91	20.18	-58.0	-60.1	3.7	0.00e+00	0	53	104	0	87	18433
2026-01-15 17:04:10.39	69.58	20.26	-58.0	-60.1	3.7	0.00e+00	0	53	104	0	87	18456
2026-01-15 17:04:11.39	69.25	20.35	-58.0	-60.1	3.7	0.00e+00	0	53	104	0	87	18437
2026-01-15 17:04:12.40	68.91	20.44	-58.0	-60.1	3.7	0.00e+00	0	53	104	0	87	18489
2026-01-15 17:04:13.41	68.57	20.52	-58.0	-60.1	3.7	0.00e+00	0	53	104	0	87	18479
2026-01-15 17:04:14.42	68.23	20.61	-58.0	-60.1	3.7	0.00e+00	0	53	104	0	87	18470
2026-01-15 17:04:15.43	67.89	20.69	-58.0	-60.1	3.7	0.00e+00	0	53	104	0	87	18426
2026-01-15 17:04:16.44	67.54	20.78	-58.0	-60.1	3.7	0.00e+00	0	53	104	0	87	18438
2026-01-15 17:04:17.45	67.20	20.86	-58.0	-60.1	3.7	0.00e+00	0	53	104	0	87	18429
2026-01-15 17:04:18.46	66.85	20.94	-58.0	-60.1	3.7	0.00e+00	0	54	104	0	87	18511
2026-01-15 17:04:19.47	66.50	21.02	-58.0	-60.1	3.7	0.00e+00	0	54	104	0	87	18490
2026-01-15 17:04:20.48	66.14	21.11	-58.0	-60.1	3.7	0.00e+00	0	54	104	0	87	18532
