#Pass ID: 20260115_021940_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#Start time: 2026-01-15 02:19:36

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 43010U 17072A   26013.94640698 -.00000044  00000+0  88349-6 0  9999
#TLE: 2 43010  98.9934 345.7464 0002313 110.9627 249.1796 14.19695403423100

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2026-01-15 02:19:36.04	48.26	68.45	-39.1	-42.3	3.3	8392089	95	3556
2026-01-15 02:19:36.24	48.40	68.52	-39.2	-43.6	3.6	8464462	94	4075
2026-01-15 02:19:36.44	48.53	68.60	-38.6	-42.1	3.5	8435188	94	3694
2026-01-15 02:19:36.64	48.67	68.68	-38.4	-40.9	3.4	8435188	94	3258
2026-01-15 02:19:36.84	48.81	68.76	-38.3	-40.0	3.3	8406898	94	3026
2026-01-15 02:19:37.04	48.95	68.84	-38.0	-40.8	3.6	8384868	94	3381
2026-01-15 02:19:37.25	49.10	68.92	-37.8	-40.2	3.9	8384868	93	3249
2026-01-15 02:19:37.45	49.24	69.00	-37.4	-38.4	3.9	8417495	93	2734
2026-01-15 02:19:37.65	49.39	69.08	-37.0	-37.3	4.2	8305343	92	2543
2026-01-15 02:19:37.85	49.53	69.15	-36.5	-36.5	4.7	8305343	91	2451
2026-01-15 02:19:38.05	49.68	69.23	-35.8	-35.7	5.4	7934165	89	2448
2026-01-15 02:19:38.25	49.82	69.31	-35.1	-34.7	6.1	6074352	88	2347
2026-01-15 02:19:38.45	49.97	69.39	-34.5	-34.1	6.9	6074352	87	2324
2026-01-15 02:19:38.65	50.12	69.47	-33.7	-33.3	7.7	2553142	85	2350
2026-01-15 02:19:38.85	50.27	69.54	-33.0	-32.3	8.6	1067962	84	2286
2026-01-15 02:19:39.05	50.43	69.62	-32.3	-31.6	9.4	359905	83	2250
2026-01-15 02:19:39.26	50.59	69.70	-31.8	-31.0	10.2	359905	82	2231
2026-01-15 02:19:39.46	50.74	69.78	-31.3	-30.9	10.9	103820	80	2351
2026-01-15 02:19:39.66	50.90	69.86	-30.8	-29.8	11.6	24765	80	2205
2026-01-15 02:19:39.86	51.06	69.94	-30.1	-29.6	12.2	24765	78	2303
2026-01-15 02:19:40.06	51.21	70.01	-29.7	-29.2	12.6	5596	77	2318
2026-01-15 02:19:40.26	51.37	70.09	-29.3	-28.3	13.2	1350	77	2198
2026-01-15 02:19:40.46	51.54	70.17	-29.0	-28.2	13.5	1350	76	2251
2026-01-15 02:19:40.66	51.70	70.25	-28.4	-27.6	13.9	263	75	2240
2026-01-15 02:19:40.86	51.86	70.32	-28.2	-27.6	14.3	57	74	2303
2026-01-15 02:19:41.06	52.03	70.40	-27.9	-27.1	14.5	57	74	2244
2026-01-15 02:19:41.26	52.19	70.48	-27.8	-26.9	14.7	22	74	2215
2026-01-15 02:19:41.47	52.37	70.56	-27.7	-27.1	14.8	11	73	2309
2026-01-15 02:19:41.67	52.54	70.63	-27.6	-27.0	14.9	11	73	2287
2026-01-15 02:19:41.87	52.71	70.71	-27.6	-27.0	14.9	0	73	2289
2026-01-15 02:19:42.07	52.88	70.79	-27.6	-27.1	14.9	11	73	2301
2026-01-15 02:19:42.27	53.06	70.86	-27.7	-27.2	14.9	11	73	2318
2026-01-15 02:19:42.47	53.23	70.94	-27.6	-26.9	15.1	11	73	2275
2026-01-15 02:19:42.67	53.41	71.02	-27.7	-27.2	15.0	0	73	2318
2026-01-15 02:19:42.87	53.59	71.09	-27.8	-27.3	14.9	0	73	2339
2026-01-15 02:19:43.07	53.77	71.17	-27.8	-27.4	14.9	0	73	2350
2026-01-15 02:19:43.28	53.96	71.25	-28.0	-27.7	14.8	11	73	2390
2026-01-15 02:19:43.48	54.14	71.32	-28.0	-27.8	14.8	0	73	2401
2026-01-15 02:19:43.68	54.33	71.40	-28.0	-27.8	14.7	0	73	2412
2026-01-15 02:19:43.88	54.51	71.48	-27.9	-27.7	14.8	0	73	2393
2026-01-15 02:19:44.08	54.70	71.55	-28.0	-27.7	14.8	0	73	2390
2026-01-15 02:19:44.28	54.89	71.63	-27.9	-27.6	14.9	0	73	2376
2026-01-15 02:19:44.48	55.08	71.70	-27.8	-27.4	15.0	0	73	2347
2026-01-15 02:19:44.68	55.27	71.78	-27.6	-27.1	15.2	11	73	2306
2026-01-15 02:19:44.88	55.47	71.85	-27.6	-27.0	15.3	0	73	2297
2026-01-15 02:19:45.08	55.67	71.93	-27.5	-26.9	15.4	0	73	2278
2026-01-15 02:19:45.28	55.86	72.00	-27.5	-26.8	15.5	0	73	2265
2026-01-15 02:19:45.48	56.06	72.07	-27.6	-26.9	15.4	0	73	2284
2026-01-15 02:19:45.69	56.27	72.15	-27.5	-26.9	15.5	0	73	2284
2026-01-15 02:19:45.89	56.48	72.23	-27.7	-27.2	15.4	0	73	2322
2026-01-15 02:19:46.09	56.68	72.30	-27.7	-27.2	15.4	0	73	2321
2026-01-15 02:19:46.29	56.89	72.37	-27.9	-27.6	15.2	0	73	2381
2026-01-15 02:19:46.49	57.10	72.45	-27.9	-27.6	15.2	0	73	2380
2026-01-15 02:19:46.69	57.31	72.52	-28.0	-27.8	15.2	0	73	2406
2026-01-15 02:19:46.89	57.52	72.59	-28.0	-27.8	15.1	0	73	2421
2026-01-15 02:19:47.09	57.74	72.67	-28.0	-27.9	15.1	0	73	2428
2026-01-15 02:19:47.29	57.95	72.74	-28.1	-28.0	15.0	0	73	2445
2026-01-15 02:19:47.49	58.17	72.81	-28.0	-27.9	15.1	0	73	2426
2026-01-15 02:19:47.69	58.39	72.88	-28.0	-27.9	15.2	0	73	2428
2026-01-15 02:19:47.90	58.62	72.96	-28.0	-27.9	15.2	0	73	2428
2026-01-15 02:19:48.10	58.85	73.03	-28.0	-27.9	15.2	11	73	2428
2026-01-15 02:19:48.30	59.07	73.10	-28.0	-27.8	15.2	11	73	2420
2026-01-15 02:19:48.50	59.30	73.18	-28.0	-27.8	15.2	0	73	2417
2026-01-15 02:19:48.70	59.53	73.25	-27.9	-27.6	15.3	0	73	2390
2026-01-15 02:19:48.90	59.76	73.32	-27.9	-27.6	15.3	0	73	2390
2026-01-15 02:19:49.10	60.00	73.39	-27.8	-27.5	15.3	0	73	2378
2026-01-15 02:19:49.30	60.23	73.46	-27.9	-27.6	15.3	0	73	2380
2026-01-15 02:19:49.50	60.47	73.53	-27.9	-27.6	15.3	0	73	2376
2026-01-15 02:19:49.71	60.73	73.61	-27.9	-27.6	15.2	0	73	2384
2026-01-15 02:19:49.91	60.97	73.68	-27.9	-27.5	15.3	0	73	2373
2026-01-15 02:19:50.11	61.21	73.74	-28.0	-27.8	15.2	0	73	2405
2026-01-15 02:19:50.31	61.46	73.81	-27.9	-27.7	15.2	0	73	2399
2026-01-15 02:19:50.51	61.71	73.88	-28.0	-27.8	15.2	0	73	2408
2026-01-15 02:19:50.71	61.96	73.95	-28.0	-27.9	15.1	0	73	2418
2026-01-15 02:19:50.91	62.22	74.02	-28.0	-27.8	15.1	0	73	2418
2026-01-15 02:19:51.11	62.47	74.09	-27.9	-27.6	15.2	0	73	2379
2026-01-15 02:19:51.31	62.73	74.16	-27.8	-27.4	15.3	0	73	2356
2026-01-15 02:19:51.52	63.01	74.23	-27.7	-27.3	15.4	0	73	2343
2026-01-15 02:19:51.72	63.27	74.30	-27.6	-27.1	15.5	0	73	2309
2026-01-15 02:19:51.92	63.53	74.37	-27.6	-26.9	15.5	0	73	2291
2026-01-15 02:19:52.12	63.80	74.43	-27.5	-26.7	15.7	0	73	2264
2026-01-15 02:19:52.32	64.07	74.50	-27.4	-26.5	15.8	0	73	2235
2026-01-15 02:19:52.52	64.35	74.57	-27.3	-26.4	15.9	0	73	2224
2026-01-15 02:19:52.72	64.62	74.63	-27.3	-26.5	15.9	0	73	2229
2026-01-15 02:19:52.92	64.90	74.70	-27.4	-26.5	15.9	0	73	2237
2026-01-15 02:19:53.13	65.19	74.77	-27.4	-26.7	15.8	0	73	2261
2026-01-15 02:19:53.33	65.48	74.83	-27.5	-26.9	15.8	0	73	2282
2026-01-15 02:19:53.53	65.76	74.90	-27.6	-27.0	15.7	0	73	2302
2026-01-15 02:19:53.73	66.05	74.96	-27.7	-27.3	15.6	0	73	2340
2026-01-15 02:19:53.93	66.34	75.03	-27.8	-27.4	15.5	0	73	2361
2026-01-15 02:19:54.13	66.63	75.09	-27.9	-27.7	15.4	0	73	2395
2026-01-15 02:19:54.33	66.93	75.15	-27.9	-27.6	15.5	0	73	2381
2026-01-15 02:19:54.53	67.23	75.22	-27.8	-27.5	15.5	0	73	2371
2026-01-15 02:19:54.73	67.53	75.28	-27.7	-27.2	15.7	0	73	2333
2026-01-15 02:19:54.93	67.83	75.34	-27.5	-27.0	15.8	0	73	2300
2026-01-15 02:19:55.14	68.16	75.41	-27.4	-26.7	16.0	0	73	2263
2026-01-15 02:19:55.34	68.47	75.47	-27.3	-26.6	16.1	0	73	2245
2026-01-15 02:19:55.54	68.78	75.53	-27.3	-26.4	16.1	0	73	2223
2026-01-15 02:19:55.74	69.09	75.59	-27.3	-26.9	16.2	0	72	2353
2026-01-15 02:19:55.94	69.41	75.65	-27.2	-26.8	16.2	0	72	2340
2026-01-15 02:19:56.14	69.73	75.71	-27.2	-26.7	16.2	0	72	2332
2026-01-15 02:19:56.34	70.05	75.77	-27.2	-26.7	16.2	0	72	2325
2026-01-15 02:19:56.54	70.38	75.83	-27.2	-26.8	16.2	0	72	2337
2026-01-15 02:19:56.74	70.71	75.89	-27.2	-26.8	16.1	0	72	2335
2026-01-15 02:19:56.95	71.06	75.95	-27.2	-26.8	16.1	0	72	2339
2026-01-15 02:19:57.15	71.39	76.01	-27.2	-26.6	16.1	0	72	2314
2026-01-15 02:19:57.35	71.73	76.07	-27.1	-26.5	16.1	0	72	2303
2026-01-15 02:19:57.55	72.07	76.13	-27.1	-26.5	16.1	0	72	2294
2026-01-15 02:19:57.75	72.41	76.18	-27.1	-26.4	16.1	0	72	2288
2026-01-15 02:19:57.95	72.76	76.24	-27.1	-26.4	16.1	0	72	2282
2026-01-15 02:19:58.15	73.11	76.30	-27.0	-26.3	16.1	0	72	2276
2026-01-15 02:19:58.35	73.46	76.35	-27.0	-26.3	16.1	0	72	2266
2026-01-15 02:19:58.55	73.82	76.41	-26.9	-26.2	16.1	0	72	2253
2026-01-15 02:19:58.75	74.17	76.46	-27.0	-26.2	16.1	0	72	2256
2026-01-15 02:19:58.96	74.55	76.52	-26.9	-26.1	16.1	0	72	2247
2026-01-15 02:19:59.16	74.92	76.57	-26.9	-26.1	16.1	0	72	2244
2026-01-15 02:19:59.36	75.28	76.62	-26.9	-26.1	16.1	0	72	2241
2026-01-15 02:19:59.56	75.65	76.68	-26.9	-26.0	16.2	0	72	2230
2026-01-15 02:19:59.76	76.03	76.73	-26.8	-25.9	16.2	0	72	2214
2026-01-15 02:19:59.96	76.40	76.78	-26.8	-25.9	16.3	0	72	2218
2026-01-15 02:20:00.16	76.78	76.83	-26.6	-25.9	16.3	0	71	2280
2026-01-15 02:20:00.36	77.17	76.88	-26.5	-25.8	16.3	0	71	2270
2026-01-15 02:20:00.56	77.55	76.93	-26.5	-25.8	16.4	0	71	2264
2026-01-15 02:20:00.76	77.94	76.98	-26.4	-25.6	16.4	0	71	2234
2026-01-15 02:20:00.97	78.35	77.03	-26.4	-25.5	16.5	0	71	2220
2026-01-15 02:20:01.17	78.74	77.08	-26.3	-25.3	16.5	0	71	2199
2026-01-15 02:20:01.37	79.14	77.13	-26.3	-25.3	16.5	0	71	2192
2026-01-15 02:20:01.57	79.54	77.17	-26.3	-25.8	16.5	0	70	2331
2026-01-15 02:20:01.77	79.94	77.22	-26.3	-25.8	16.6	0	70	2331
2026-01-15 02:20:01.97	80.35	77.26	-26.3	-25.7	16.6	0	70	2315
2026-01-15 02:20:02.17	80.76	77.31	-26.2	-25.6	16.6	0	70	2304
2026-01-15 02:20:02.38	81.19	77.36	-26.1	-25.5	16.7	0	70	2286
2026-01-15 02:20:02.58	81.61	77.40	-26.1	-25.4	16.7	0	70	2274
2026-01-15 02:20:02.78	82.03	77.44	-26.0	-25.3	16.8	0	70	2264
2026-01-15 02:20:02.98	82.45	77.48	-26.0	-25.2	16.9	0	70	2254
2026-01-15 02:20:03.18	82.87	77.53	-26.0	-25.1	16.9	0	70	2240
2026-01-15 02:20:03.38	83.30	77.57	-25.8	-24.9	17.1	0	70	2208
2026-01-15 02:20:03.58	83.73	77.61	-25.8	-24.8	17.2	0	70	2191
2026-01-15 02:20:03.78	84.16	77.65	-25.7	-25.0	17.3	0	69	2293
2026-01-15 02:20:03.98	84.60	77.69	-25.6	-25.0	17.3	0	69	2289
2026-01-15 02:20:04.19	85.06	77.73	-25.6	-25.0	17.3	0	69	2286
2026-01-15 02:20:04.39	85.50	77.76	-25.7	-25.1	17.3	0	69	2293
2026-01-15 02:20:04.59	85.94	77.80	-25.7	-25.0	17.3	0	69	2291
2026-01-15 02:20:04.79	86.39	77.84	-25.7	-25.1	17.3	0	69	2301
2026-01-15 02:20:04.99	86.84	77.87	-25.7	-25.1	17.3	0	69	2305
2026-01-15 02:20:05.19	87.29	77.91	-25.7	-25.2	17.3	0	69	2317
2026-01-15 02:20:05.39	87.75	77.94	-25.8	-25.3	17.3	0	69	2323
2026-01-15 02:20:05.59	88.20	77.98	-25.8	-25.3	17.3	0	69	2327
2026-01-15 02:20:05.79	88.66	78.01	-25.8	-25.3	17.3	0	69	2323
2026-01-15 02:20:05.99	89.13	78.04	-25.7	-25.2	17.3	0	69	2322
2026-01-15 02:20:06.19	89.59	78.07	-25.8	-25.3	17.3	0	69	2324
2026-01-15 02:20:06.40	90.08	78.10	-25.7	-25.2	17.3	0	69	2313
2026-01-15 02:20:06.60	90.55	78.13	-25.7	-25.2	17.3	0	69	2311
2026-01-15 02:20:06.80	91.02	78.16	-25.7	-25.1	17.3	0	69	2304
2026-01-15 02:20:07.00	91.50	78.19	-25.6	-25.0	17.4	0	69	2289
2026-01-15 02:20:07.20	91.98	78.22	-25.6	-24.9	17.4	0	69	2270
2026-01-15 02:20:07.40	92.46	78.24	-25.6	-24.9	17.4	0	69	2277
2026-01-15 02:20:07.60	92.94	78.27	-25.6	-24.9	17.4	0	69	2279
2026-01-15 02:20:07.80	93.42	78.29	-25.6	-25.0	17.3	0	69	2288
2026-01-15 02:20:08.01	93.93	78.32	-25.7	-25.1	17.3	0	69	2297
2026-01-15 02:20:08.21	94.42	78.34	-25.8	-25.3	17.2	0	69	2322
2026-01-15 02:20:08.41	94.91	78.37	-25.8	-25.3	17.2	0	69	2334
2026-01-15 02:20:08.61	95.40	78.39	-25.9	-25.5	17.1	0	69	2363
2026-01-15 02:20:08.81	95.89	78.41	-25.9	-25.7	17.1	0	69	2383
2026-01-15 02:20:09.01	96.39	78.43	-26.0	-25.8	17.0	0	69	2402
2026-01-15 02:20:09.21	96.89	78.45	-26.0	-25.9	17.0	0	69	2409
2026-01-15 02:20:09.41	97.38	78.46	-26.0	-25.8	17.1	0	69	2401
2026-01-15 02:20:09.61	97.88	78.48	-25.9	-25.6	17.2	0	69	2374
2026-01-15 02:20:09.82	98.41	78.50	-25.8	-25.4	17.3	0	69	2351
2026-01-15 02:20:10.02	98.91	78.51	-25.8	-25.3	17.5	0	69	2324
2026-01-15 02:20:10.22	99.42	78.53	-25.7	-25.1	17.6	0	69	2305
2026-01-15 02:20:10.42	99.93	78.54	-25.6	-24.9	17.7	0	69	2278
2026-01-15 02:20:10.62	100.43	78.56	-25.5	-24.7	17.8	0	69	2255
2026-01-15 02:20:10.82	100.94	78.57	-25.4	-24.6	17.9	0	69	2236
2026-01-15 02:20:11.02	101.45	78.58	-25.4	-24.5	17.9	0	69	2223
2026-01-15 02:20:11.22	101.96	78.59	-25.3	-24.4	18.0	0	69	2211
2026-01-15 02:20:11.42	102.47	78.60	-25.3	-24.4	18.0	0	69	2215
