#Pass ID: 20260116_043536_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20251203
#Start time: 2026-01-16 04:35:37

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 27424U 02022A   26015.51279194  .00000651  00000+0  14022-3 0  9990
#TLE: 2 27424  98.4082 341.9487 0002034  77.6776  33.2672 14.61821775260965

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-16 04:35:37.20	33.76	2.06	-57.5	-75.3	3.8	7.48e-01	0	41	0	0	87	26587
2026-01-16 04:35:38.21	33.71	2.13	-57.5	-75.3	3.8	7.43e-01	0	42	104	0	85	29901
2026-01-16 04:35:39.22	33.65	2.19	-57.5	-75.3	3.8	7.46e-01	0	41	104	0	85	29851
2026-01-16 04:35:40.23	33.59	2.25	-57.5	-75.3	3.8	7.45e-01	0	42	104	0	85	29803
2026-01-16 04:35:41.24	33.53	2.31	-57.5	-75.3	3.8	7.44e-01	0	42	104	0	85	29829
2026-01-16 04:35:42.25	33.47	2.38	-57.5	-75.3	3.8	7.43e-01	0	42	104	0	85	29723
2026-01-16 04:35:43.26	33.41	2.44	-57.5	-75.3	3.8	7.44e-01	0	42	104	0	85	29773
2026-01-16 04:35:44.27	33.35	2.50	-57.5	-75.3	3.8	7.46e-01	0	42	104	0	85	29719
2026-01-16 04:35:45.28	33.29	2.56	-57.5	-75.3	3.8	7.45e-01	0	42	104	0	85	29734
2026-01-16 04:35:46.29	33.23	2.63	-57.5	-75.3	3.8	7.49e-01	0	42	104	0	85	29770
2026-01-16 04:35:47.30	33.17	2.69	-57.5	-75.3	3.8	7.45e-01	0	42	104	0	85	29708
2026-01-16 04:35:48.31	33.10	2.75	-57.5	-75.3	3.8	7.44e-01	0	42	104	0	85	29762
2026-01-16 04:35:49.32	33.04	2.82	-57.5	-75.3	3.8	7.46e-01	0	42	104	0	85	29700
2026-01-16 04:35:50.33	32.98	2.88	-57.5	-75.3	3.8	7.47e-01	0	42	104	0	85	29726
2026-01-16 04:35:51.34	32.92	2.95	-57.5	-75.2	3.8	7.47e-01	0	42	104	0	85	29668
2026-01-16 04:35:52.35	32.86	3.01	-57.5	-75.2	3.8	7.49e-01	0	42	104	0	85	29626
2026-01-16 04:35:53.36	32.79	3.07	-57.5	-75.2	3.8	7.44e-01	0	42	104	0	85	29660
2026-01-16 04:35:54.37	32.73	3.14	-57.5	-75.2	3.8	7.47e-01	0	43	104	0	85	29600
2026-01-16 04:35:55.38	32.67	3.20	-57.5	-75.3	3.8	7.49e-01	0	43	104	0	85	29733
2026-01-16 04:35:56.39	32.60	3.27	-57.5	-75.2	3.8	7.45e-01	0	43	104	0	85	29655
2026-01-16 04:35:57.40	32.54	3.33	-57.5	-75.2	3.8	7.42e-01	0	43	104	0	85	29539
2026-01-16 04:35:58.41	32.47	3.40	-57.5	-75.2	3.8	7.44e-01	0	43	104	0	85	29668
2026-01-16 04:35:59.42	32.41	3.46	-57.5	-75.3	3.8	7.44e-01	0	43	104	0	85	29692
