#Pass ID: 20260116_005241_SUOMI NPP
#Satellite: SUOMI NPP
#Configuration: NPP
#almurnet v.1.7.20251203
#Start time: 2026-01-16 00:52:43

#Version: 2.2.20231116
#Station: R3.2S_Murmansk_2ch
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 37849U 11061A   26015.59739646  .00000050  00000+0  44779-4 0  9992
#TLE: 2 37849  98.7811 317.6408 0002446  62.6499 297.4925 14.19525346736798

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-16 00:52:43.46	25.00	2.11	-49.5	-65.6	3.8	1.49e+00	0	31	0	0	65	22658
2026-01-16 00:52:44.47	25.00	2.18	-49.5	-65.6	3.8	1.49e+00	0	31	104	0	64	24044
2026-01-16 00:52:45.48	25.00	2.24	-49.5	-65.6	3.8	1.49e+00	0	31	104	0	64	24074
2026-01-16 00:52:46.49	25.00	2.31	-49.5	-65.6	3.8	1.49e+00	0	31	104	0	64	23971
2026-01-16 00:52:47.50	25.00	2.37	-49.5	-65.6	3.8	1.49e+00	0	31	104	0	64	23988
2026-01-16 00:52:48.51	25.00	2.44	-49.5	-65.6	3.8	1.49e+00	0	31	104	0	64	23888
2026-01-16 00:52:49.52	25.00	2.51	-49.5	-65.5	3.8	1.49e+00	0	31	104	0	64	23834
2026-01-16 00:52:50.53	25.00	2.57	-49.5	-65.6	3.8	1.49e+00	0	31	104	0	64	23886
2026-01-16 00:52:51.54	25.01	2.64	-49.5	-65.5	3.8	1.49e+00	0	31	104	0	64	23807
2026-01-16 00:52:52.55	25.01	2.70	-49.5	-65.6	3.8	1.49e+00	0	31	104	0	64	23949
2026-01-16 00:52:53.56	25.01	2.77	-49.5	-65.6	3.8	1.49e+00	0	31	104	0	64	24015
2026-01-16 00:52:54.57	25.01	2.84	-49.5	-65.6	3.8	1.49e+00	0	31	104	0	64	24062
2026-01-16 00:52:55.57	25.01	2.90	-49.5	-65.6	3.8	1.49e+00	0	31	104	0	64	23975
2026-01-16 00:52:56.58	25.01	2.97	-49.5	-65.4	3.8	1.49e+00	0	31	104	0	64	23347
2026-01-16 00:52:57.59	25.01	3.03	-49.5	-65.1	3.8	1.49e+00	0	31	104	0	64	22766
2026-01-16 00:52:58.60	25.01	3.10	-49.4	-64.2	3.8	1.49e+00	0	31	104	0	64	20487
2026-01-16 00:52:59.61	25.01	3.17	-49.4	-63.2	4.0	1.49e+00	0	31	104	0	64	18215
2026-01-16 00:53:00.62	25.01	3.24	-49.3	-62.1	4.2	1.46e+00	0	31	0	0	64	16108
2026-01-16 00:53:01.63	25.01	3.30	-49.2	-61.1	4.5	8.85e-01	2	31	0	1048576	64	14271
2026-01-16 00:53:02.64	25.01	3.37	-49.0	-58.8	5.7	7.39e-01	0	31	0	3145728	64	11012
2026-01-16 00:53:03.65	25.01	3.44	-49.0	-58.1	6.2	3.53e-01	0	31	0	4194304	64	10114
2026-01-16 00:53:04.66	25.01	3.51	-48.9	-57.6	6.4	2.27e-01	0	31	0	6291456	64	9582
2026-01-16 00:53:05.67	25.01	3.58	-48.2	-56.0	7.5	1.38e-01	0	31	0	8388608	63	8439
2026-01-16 00:53:06.67	25.01	3.64	-48.5	-55.5	8.4	4.07e-02	0	31	0	10485760	63	7971
2026-01-16 00:53:07.69	25.01	3.71	-48.5	-55.6	8.3	3.27e-02	0	31	0	12582912	63	8053
2026-01-16 00:53:08.69	25.01	3.78	-48.3	-54.7	9.2	1.97e-02	0	31	0	14680064	63	7232
