#Pass ID: 20260116_104351_JILIN-1 GAOFEN 03D18
#Satellite: JILIN-1 GAOFEN 03D18
#Configuration: 03D_900M
#almurnet v.1.7.20251203
#Start time: 2026-01-16 10:43:56

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 51844U 22019W   26015.99084038  .00057806  00000+0  63512-3 0  9996
#TLE: 2 51844  97.3774 105.5255 0006093 305.4524  54.6166 15.62998352216080

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-16 10:43:56.36	171.35	0.43	-48.3	-60.0	3.5	8.45e-01	0	26	0	0	60	35985
2026-01-16 10:43:57.36	171.38	0.50	-46.6	-49.0	6.1	0.00e+00	0	27	104	0	60	34584
2026-01-16 10:43:58.37	171.41	0.57	-45.7	-48.1	6.1	0.00e+00	0	27	104	0	60	31203
2026-01-16 10:43:59.38	171.43	0.64	-45.1	-47.5	6.1	0.00e+00	0	27	104	0	60	28959
2026-01-16 10:44:00.39	171.46	0.70	-44.7	-47.0	6.1	0.00e+00	0	28	104	0	60	27555
2026-01-16 10:44:01.40	171.49	0.77	-44.6	-46.9	6.1	0.00e+00	0	28	104	0	60	27197
2026-01-16 10:44:02.41	171.52	0.84	-44.5	-46.8	6.1	0.00e+00	0	28	104	0	60	26898
2026-01-16 10:44:03.42	171.55	0.91	-44.4	-46.8	6.1	0.00e+00	0	28	104	0	60	26736
2026-01-16 10:44:04.43	171.58	0.98	-44.3	-46.6	6.1	0.00e+00	0	28	104	0	60	26335
2026-01-16 10:44:05.44	171.60	1.05	-44.2	-46.6	6.1	0.00e+00	0	28	104	0	60	26159
2026-01-16 10:44:06.45	171.63	1.12	-44.1	-46.5	6.1	0.00e+00	0	28	104	0	60	25917
2026-01-16 10:44:07.46	171.66	1.19	-44.0	-46.4	6.1	0.00e+00	0	28	104	0	60	25603
2026-01-16 10:44:08.47	171.69	1.26	-43.5	-46.0	6.1	0.00e+00	0	28	104	0	60	24351
2026-01-16 10:44:09.48	171.72	1.33	-43.0	-45.4	6.1	0.00e+00	0	28	104	0	60	22810
2026-01-16 10:44:10.49	171.75	1.40	-43.0	-45.4	6.1	0.00e+00	0	28	104	0	60	22785
