#Pass ID: 20260116_202443_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-16 20:24:45

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 43010U 17072A   26015.99024095 -.00000189  00000+0 -67463-4 0  9996
#TLE: 2 43010  98.9932 347.8215 0002366 106.5594 253.5841 14.19694691423396

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-16 20:24:45.09	40.22	0.10	-48.2	-63.1	3.5	1.51e+00	0	27	0	0	60	51892
2026-01-16 20:24:46.10	40.15	0.15	-48.3	-60.4	3.6	8.45e-01	0	28	104	0	60	37975
2026-01-16 20:24:47.11	40.08	0.20	-48.1	-60.2	3.6	8.47e-01	0	28	104	0	60	37101
2026-01-16 20:24:48.12	40.01	0.25	-48.2	-60.2	3.6	8.45e-01	0	29	104	0	60	37172
2026-01-16 20:24:49.13	39.94	0.30	-48.1	-60.3	3.6	8.45e-01	0	29	104	0	60	37321
2026-01-16 20:24:50.14	39.87	0.35	-48.0	-60.2	3.6	8.46e-01	0	29	104	0	60	37076
2026-01-16 20:24:51.15	39.80	0.40	-48.0	-60.2	3.5	8.43e-01	0	29	104	0	60	36958
2026-01-16 20:24:52.16	39.73	0.45	-48.1	-60.2	3.6	8.44e-01	0	29	104	0	60	36904
2026-01-16 20:24:53.17	39.66	0.51	-48.0	-60.2	3.6	8.46e-01	0	29	104	0	60	36927
2026-01-16 20:24:54.18	39.59	0.56	-48.0	-60.1	3.6	8.45e-01	0	29	104	0	60	36557
2026-01-16 20:24:55.19	39.51	0.61	-47.9	-60.1	3.6	8.45e-01	0	29	104	0	60	36368
2026-01-16 20:24:56.20	39.44	0.66	-47.8	-59.9	3.6	8.45e-01	0	29	104	0	60	35852
2026-01-16 20:24:57.21	39.37	0.71	-47.8	-59.9	3.6	8.45e-01	0	29	104	0	60	35758
2026-01-16 20:24:58.22	39.30	0.76	-47.7	-59.8	3.6	8.46e-01	0	29	104	0	60	35458
2026-01-16 20:24:59.23	39.22	0.81	-47.7	-59.8	3.6	8.46e-01	0	29	104	0	60	35511
2026-01-16 20:25:00.24	39.15	0.87	-47.4	-59.4	3.6	8.45e-01	0	29	104	0	60	33845
2026-01-16 20:25:01.25	39.07	0.92	-47.1	-59.2	3.6	8.45e-01	0	29	104	0	60	33036
2026-01-16 20:25:02.26	39.00	0.97	-46.4	-58.5	3.6	8.45e-01	0	29	104	0	60	30401
2026-01-16 20:25:03.27	38.93	1.02	-46.3	-58.4	3.6	8.45e-01	0	29	104	0	60	30137
2026-01-16 20:25:04.28	38.85	1.07	-46.4	-58.4	3.5	8.47e-01	0	29	104	0	60	30105
2026-01-16 20:25:05.29	38.78	1.12	-46.3	-58.4	3.6	8.46e-01	0	29	104	0	60	30048
2026-01-16 20:25:06.30	38.70	1.18	-46.4	-58.4	3.6	8.45e-01	0	29	104	0	60	30219
2026-01-16 20:25:07.31	38.63	1.23	-46.4	-58.5	3.6	8.45e-01	0	29	104	0	60	30295
2026-01-16 20:25:08.32	38.55	1.28	-46.3	-58.3	3.6	8.45e-01	0	29	104	0	60	29795
2026-01-16 20:25:09.33	38.47	1.33	-46.4	-58.4	3.6	8.45e-01	0	29	104	0	60	30166
2026-01-16 20:25:10.34	38.40	1.38	-46.3	-58.3	3.6	8.45e-01	0	29	104	0	60	29784
2026-01-16 20:25:11.35	38.32	1.44	-46.3	-58.4	3.6	8.46e-01	0	29	104	0	60	29897
2026-01-16 20:25:12.36	38.24	1.49	-46.3	-58.3	3.6	8.45e-01	0	29	104	0	60	29754
2026-01-16 20:25:13.37	38.17	1.54	-46.3	-58.3	3.6	8.44e-01	0	29	104	0	60	29754
2026-01-16 20:25:14.38	38.09	1.59	-46.4	-58.4	3.6	8.45e-01	0	29	104	0	60	29898
2026-01-16 20:25:15.38	38.01	1.64	-46.3	-58.3	3.6	8.45e-01	0	29	104	0	60	29695
2026-01-16 20:25:16.39	37.93	1.70	-46.4	-58.4	3.6	8.45e-01	0	29	104	0	60	30184
2026-01-16 20:25:17.40	37.86	1.75	-46.4	-58.5	3.6	8.44e-01	0	29	104	0	60	30356
2026-01-16 20:25:18.41	37.78	1.80	-46.4	-58.5	3.6	8.44e-01	0	29	104	0	60	30356
2026-01-16 20:25:19.42	37.70	1.85	-46.3	-58.3	3.6	8.44e-01	0	29	104	0	60	29807
2026-01-16 20:25:20.43	37.62	1.91	-46.3	-58.2	3.6	8.46e-01	0	29	104	0	60	29399
2026-01-16 20:25:21.44	37.54	1.96	-46.3	-57.8	3.6	8.46e-01	0	29	104	0	60	28209
2026-01-16 20:25:22.45	37.46	2.01	-46.2	-57.5	3.6	8.44e-01	0	29	104	0	60	27073
2026-01-16 20:25:23.46	37.38	2.06	-46.3	-57.5	3.6	8.46e-01	0	29	104	0	60	26997
2026-01-16 20:25:24.46	37.30	2.12	-46.3	-57.5	3.6	8.46e-01	0	29	104	0	60	27201
2026-01-16 20:25:25.47	37.22	2.17	-46.3	-57.9	3.6	8.46e-01	0	30	104	0	60	28488
2026-01-16 20:25:26.48	37.14	2.22	-46.3	-58.2	3.6	8.45e-01	0	30	104	0	60	29350
2026-01-16 20:25:27.49	37.06	2.27	-46.4	-58.4	3.6	8.45e-01	0	30	104	0	60	30228
2026-01-16 20:25:28.50	36.98	2.33	-46.4	-58.5	3.6	8.45e-01	0	29	104	0	60	30262
2026-01-16 20:25:29.51	36.89	2.38	-46.4	-58.5	3.6	8.46e-01	0	29	104	0	60	30244
2026-01-16 20:25:30.52	36.81	2.43	-46.4	-58.5	3.6	8.46e-01	0	29	104	0	60	30288
2026-01-16 20:25:31.53	36.73	2.49	-46.3	-58.4	3.6	8.47e-01	0	30	104	0	60	30007
2026-01-16 20:25:32.54	36.65	2.54	-46.3	-57.9	3.6	8.45e-01	0	30	104	0	60	28386
2026-01-16 20:25:33.55	36.56	2.59	-46.2	-56.8	3.6	8.44e-01	0	30	104	0	60	25092
2026-01-16 20:25:34.56	36.48	2.65	-46.2	-56.4	3.6	8.44e-01	0	30	104	0	60	23924
2026-01-16 20:25:35.57	36.40	2.70	-46.3	-56.8	3.6	8.44e-01	0	30	104	0	60	24940
2026-01-16 20:25:36.58	36.31	2.75	-46.3	-57.8	3.6	8.45e-01	0	30	104	0	60	27972
2026-01-16 20:25:37.59	36.23	2.80	-46.0	-55.5	3.7	8.46e-01	0	29	104	0	60	21591
2026-01-16 20:25:38.60	36.14	2.86	-45.1	-50.5	6.7	3.60e-01	0	30	0	0	60	12120
