#Pass ID: 20260116_030233_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20251203
#Start time: 2026-01-16 03:02:33

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 27424U 02022A   26015.51279194  .00000651  00000+0  14022-3 0  9990
#TLE: 2 27424  98.4082 341.9487 0002034  77.6776  33.2672 14.61821775260965

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-16 03:02:33.79	1.81	5.00	-50.6	-71.7	3.8	7.46e-01	0	36	0	0	71	44105
2026-01-16 03:02:34.78	1.71	5.06	-45.4	-70.1	3.5	7.57e-01	0	36	104	0	61	65534
2026-01-16 03:02:35.78	1.61	5.12	-43.1	-67.6	3.2	7.79e-01	0	36	104	0	56	65535
2026-01-16 03:02:36.77	1.51	5.18	-43.1	-67.6	3.2	7.76e-01	0	36	104	0	56	65535
2026-01-16 03:02:37.76	1.41	5.24	-43.1	-67.6	3.2	7.81e-01	0	37	104	0	56	65535
2026-01-16 03:02:38.75	1.31	5.30	-43.1	-67.6	3.2	7.80e-01	0	36	104	0	56	65535
2026-01-16 03:02:39.75	1.21	5.36	-43.1	-67.6	3.2	7.79e-01	0	37	104	0	56	65535
2026-01-16 03:02:40.74	1.11	5.42	-43.1	-67.6	3.2	7.79e-01	0	36	104	0	56	65535
2026-01-16 03:02:41.74	1.00	5.48	-43.1	-67.6	3.2	7.76e-01	0	37	104	0	56	65535
2026-01-16 03:02:42.73	0.90	5.54	-43.1	-67.6	3.2	7.78e-01	0	36	104	0	56	65535
2026-01-16 03:02:43.72	0.79	5.60	-43.1	-67.6	3.2	7.82e-01	0	37	104	0	56	65535
2026-01-16 03:02:44.72	0.69	5.66	-43.2	-67.6	3.2	7.81e-01	0	37	104	0	56	65535
2026-01-16 03:02:45.71	0.58	5.72	-43.2	-67.6	3.2	7.78e-01	0	37	104	0	56	65535
2026-01-16 03:02:46.70	0.48	5.78	-43.2	-68.1	3.2	7.77e-01	0	37	104	0	57	65535
2026-01-16 03:02:47.70	0.37	5.84	-43.2	-68.1	3.2	7.80e-01	0	37	104	0	57	65535
2026-01-16 03:02:48.69	0.27	5.91	-43.2	-68.1	3.2	7.75e-01	0	37	104	0	57	65535
