#Pass ID: 20260116_004034_SUOMI NPP
#Satellite: SUOMI NPP
#Configuration: NPP
#Start time: 2026-01-16 00:40:30

#Time	Level	Level2	SNR	BER	Gain	Gain2
00:40:30.61	-37.5	-44.9	3.3	15346755	92	2418
00:40:30.71	-36.9	-59.9	3.4	0	62	14800
00:40:30.83	-37.0	-53.8	3.6	0	75	7191
00:40:30.94	-37.3	-48.0	3.6	15066520	88	3529
00:40:31.05	-37.8	-46.7	3.6	15066520	92	2891
00:40:31.16	-37.8	-46.4	3.5	15066520	92	2796
00:40:31.27	-37.8	-46.0	3.4	15066520	92	2658
00:40:31.38	-37.8	-45.7	3.4	15133728	92	2585
00:40:31.50	-37.8	-45.7	3.3	15133728	92	2576
00:40:31.61	-37.8	-45.5	3.3	15133728	92	2514
00:40:31.72	-37.5	-45.8	3.6	15133728	93	2704
00:40:31.83	-37.5	-45.9	3.6	15193954	93	2721
00:40:31.94	-37.8	-46.3	3.6	15193954	93	2759
00:40:32.05	-37.8	-46.0	3.5	15193954	93	2662
00:40:32.17	-37.8	-45.5	3.4	15193954	93	2529
00:40:32.28	-37.8	-45.3	3.4	15115280	93	2466
00:40:32.39	-37.8	-45.2	3.4	15115280	93	2424
00:40:32.50	-37.8	-45.0	3.3	15115280	93	2375
00:40:32.61	-37.5	-45.9	3.6	15115280	93	2716
00:40:32.72	-37.5	-45.8	3.6	15196777	93	2707
00:40:32.84	-37.6	-45.7	3.6	15196777	93	2660
00:40:32.95	-37.5	-45.3	3.5	15196777	93	2546
00:40:33.06	-37.5	-45.0	3.4	15196777	93	2441
00:40:33.17	-37.6	-44.8	3.4	15136795	93	2392
00:40:33.28	-37.6	-44.6	3.4	15136795	93	2337
00:40:33.40	-37.5	-44.4	3.3	15136795	93	2298
00:40:33.51	-37.5	-45.8	3.6	15136795	93	2700
00:40:33.62	-37.6	-45.9	3.6	15252182	93	2706
00:40:33.73	-37.5	-45.6	3.6	15252182	93	2635
00:40:33.84	-37.5	-45.2	3.5	15252182	93	2521
00:40:33.95	-37.5	-45.0	3.4	15252182	93	2458
00:40:34.07	-37.5	-44.7	3.4	15130912	93	2369
00:40:34.18	-37.5	-44.5	3.3	15130912	93	2324
00:40:34.29	-37.5	-45.9	3.4	15130912	93	2711
00:40:34.40	-37.6	-45.9	3.6	15130912	93	2709
00:40:34.51	-37.8	-46.3	3.1	15232826	93	2777
00:40:34.62	-37.8	-46.0	3.5	15232826	93	2675
00:40:34.74	-37.8	-45.6	3.5	15232826	93	2553
00:40:34.85	-37.8	-45.4	3.4	15109283	93	2502
00:40:34.96	-37.8	-45.2	3.4	15109283	93	2436
00:40:35.07	-37.8	-45.0	3.3	15109283	93	2389
00:40:35.18	-37.5	-45.8	2.8	15109283	93	2704
00:40:35.29	-37.6	-45.9	3.6	15227890	93	2713
00:40:35.40	-37.6	-45.9	3.6	15227890	93	2717
00:40:35.52	-37.5	-45.4	3.5	15227890	93	2586
00:40:35.63	-37.6	-45.2	3.5	15227890	93	2499
00:40:35.74	-37.5	-44.9	3.4	15115592	93	2420
00:40:35.85	-37.5	-44.7	3.4	15115592	93	2377
00:40:35.96	-37.6	-44.5	3.3	15115592	93	2307
00:40:36.07	-37.6	-45.9	3.5	15115592	93	2726
00:40:36.19	-37.5	-45.9	3.6	15253753	93	2712
00:40:36.30	-37.6	-45.9	3.6	15253753	93	2718
00:40:36.41	-37.6	-45.6	3.6	15253753	93	2630
00:40:36.52	-37.5	-45.2	3.4	15253753	93	2509
00:40:36.63	-37.6	-44.9	3.4	15130981	93	2417
00:40:36.74	-37.5	-44.7	3.4	15130981	93	2360
