#Pass ID: 20260116_011603_METEOR-M2 4
#Satellite: METEOR-M2 4
#Configuration: METEOR-M2 4
#Start time: 2026-01-16 01:16:08.825255

#LorettStation: 1.0.0 05.05.2024
#Station: planumMaritime01
#Location: 37.49445 lon 55.92918 lat
#TLE: 1 59051U 24039A   26015.18854106 -.00000002  00000+0  18802-4 0  9990
#TLE: 2 59051  98.6812 336.5811 0005992 250.4853 109.5678 14.22407234 97512

#Time	Az	El	Level	SNR
2026-01-16 01:16:10.995905	14.4	10.2	-75.3	0.0
2026-01-16 01:16:12.120201	14.4	10.3	-74.7	0.0
2026-01-16 01:16:13.243435	14.4	10.4	-77.5	0.0
2026-01-16 01:16:14.368055	14.4	10.5	-77.2	0.0
2026-01-16 01:16:15.490405	14.4	10.6	-74.3	0.0
2026-01-16 01:16:16.614800	14.3	10.7	-73.2	0.0
2026-01-16 01:16:17.738627	14.3	10.8	-71.5	0.0
2026-01-16 01:16:18.861640	14.3	10.9	-73.3	0.0
2026-01-16 01:16:19.985327	14.3	11.0	-73.7	0.0
2026-01-16 01:16:21.110442	14.3	11.1	-71.0	0.0
2026-01-16 01:16:22.235743	14.3	11.2	-70.6	0.0
2026-01-16 01:16:23.358866	14.3	11.3	-71.9	0.0
2026-01-16 01:16:24.481656	14.3	11.4	-70.8	0.0
2026-01-16 01:16:25.606817	14.2	11.5	-72.1	0.0
2026-01-16 01:16:26.730096	14.2	11.6	-70.9	0.0
2026-01-16 01:16:27.857845	14.2	11.7	-73.2	0.0
2026-01-16 01:16:28.981950	14.2	11.8	-72.9	0.0
2026-01-16 01:16:30.106902	14.2	11.9	-73.6	0.0
2026-01-16 01:16:31.230046	14.2	12.0	-71.9	0.0
2026-01-16 01:16:32.352447	14.1	12.1	-74.0	0.0
2026-01-16 01:16:33.475149	14.1	12.2	-71.9	0.0
2026-01-16 01:16:34.597253	14.1	12.3	-73.0	0.0
2026-01-16 01:16:35.721292	14.1	12.4	-71.2	0.0
2026-01-16 01:16:36.845846	14.1	12.6	-74.4	0.0
2026-01-16 01:16:37.972175	14.1	12.7	-73.9	0.0
2026-01-16 01:16:39.099915	14.1	12.8	-73.2	0.0
2026-01-16 01:16:40.222764	14.0	12.9	-73.9	0.0
2026-01-16 01:16:41.345505	14.0	13.0	-74.1	0.0
2026-01-16 01:16:42.469200	14.0	13.1	-71.3	0.0
2026-01-16 01:16:43.592826	14.0	13.2	-72.8	0.0
2026-01-16 01:16:44.717346	14.0	13.3	-73.2	0.0
2026-01-16 01:16:45.841240	14.0	13.4	-71.1	0.0
2026-01-16 01:16:46.963691	13.9	13.5	-70.2	0.0
2026-01-16 01:16:48.087671	13.9	13.7	-70.9	0.0
2026-01-16 01:16:49.213706	13.9	13.8	-73.0	0.0
2026-01-16 01:16:50.339901	13.9	13.9	-71.0	0.0
2026-01-16 01:16:51.462746	13.9	14.0	-73.0	0.0
2026-01-16 01:16:52.589607	13.9	14.1	-71.6	0.0
2026-01-16 01:16:53.713825	13.8	14.2	-73.0	0.0
2026-01-16 01:16:54.837995	13.8	14.3	-72.0	0.0
2026-01-16 01:16:55.963254	13.8	14.5	-72.7	0.0
