#Pass ID: 20260117_112921_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20240730
#Start time: 2026-01-17 11:29:23

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 43010U 17072A   26016.27214855  .00000192  00000+0  11235-3 0  9990
#TLE: 2 43010  98.9932 348.1078 0002365 105.5031 254.6406 14.19695933423435

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-17 11:29:23.10	132.91	7.15	-29.8	-32.7	5.4	7.84e-01	0	41	0	0	20	5023
2026-01-17 11:29:24.10	132.87	7.22	-29.4	-31.4	5.5	7.83e-01	0	41	104	0	20	4574
2026-01-17 11:29:25.10	132.83	7.30	-29.5	-31.7	10.7	1.90e-03	0	41	0	0	20	4670
2026-01-17 11:29:26.10	132.78	7.37	-29.7	-32.4	10.2	4.84e-03	0	41	0	5242880	20	4890
2026-01-17 11:29:27.10	132.74	7.45	-29.7	-32.4	10.2	4.42e-03	0	41	0	11534336	20	4907
2026-01-17 11:29:28.11	132.70	7.52	-29.6	-32.2	10.4	4.66e-03	0	41	0	16777216	20	4819
2026-01-17 11:29:29.11	132.65	7.60	-29.3	-31.8	11.1	2.06e-03	0	41	0	22020096	19	4776
2026-01-17 11:29:30.11	132.61	7.68	-29.0	-30.9	11.6	5.76e-04	0	41	0	28311552	19	4481
2026-01-17 11:29:31.11	132.57	7.75	-28.6	-30.4	12.3	1.92e-04	0	41	0	33554432	18	4436
2026-01-17 11:29:32.11	132.52	7.83	-28.3	-29.7	12.7	5.83e-05	0	41	0	38797312	18	4255
2026-01-17 11:29:33.11	132.48	7.91	-28.1	-29.7	13.0	2.40e-05	0	41	0	45088768	17	4340
2026-01-17 11:29:34.11	132.43	7.99	-27.9	-29.8	13.3	8.00e-06	0	42	0	50331648	16	4472
2026-01-17 11:29:35.11	132.39	8.06	-27.9	-29.9	13.2	6.80e-06	0	42	0	55574528	16	4501
2026-01-17 11:29:36.11	132.34	8.14	-28.0	-30.0	13.2	2.51e-05	0	41	0	61865984	16	4534
2026-01-17 11:29:37.12	132.30	8.22	-28.0	-30.0	13.1	1.71e-05	0	42	0	67108864	16	4553
2026-01-17 11:29:38.12	132.25	8.30	-27.8	-29.7	13.3	1.60e-05	0	42	0	73400320	16	4444
2026-01-17 11:29:39.12	132.21	8.38	-27.8	-29.6	13.3	5.70e-06	0	42	0	78643200	16	4430
