#Pass ID: 20260117_094755_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20240730
#Start time: 2026-01-17 09:56:27

#Version: 2.2.20231116
#Station: R3.2S-Naryan-Mar
#Location: 53.008057 lon 67.646978 lat
#TLE: 1 43010U 17072A   26016.27214855  .00000192  00000+0  11235-3 0  9990
#TLE: 2 43010  98.9932 348.1078 0002365 105.5031 254.6406 14.19695933423435

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-17 09:56:27.11	9.28	58.25	-83.5	-79.0	2.5	0.00e+00	0	48	0	0	60	1048571
2026-01-17 09:56:28.11	8.72	57.96	-85.2	-88.6	5.8	3.80e-01	0	48	0	0	60	1048574
2026-01-17 09:56:29.12	8.16	57.66	-84.7	-88.6	5.9	2.33e-01	0	48	0	0	60	1048572
2026-01-17 09:56:30.12	7.63	57.36	-84.7	-88.6	5.7	2.76e-01	0	48	0	0	60	1048574
2026-01-17 09:56:31.12	7.10	57.06	-84.7	-88.6	5.8	2.76e-01	0	48	0	0	60	1048575
2026-01-17 09:56:32.13	6.58	56.76	-84.7	-88.6	6.5	2.79e-01	0	48	0	0	60	1048575
2026-01-17 09:56:33.14	6.08	56.46	-84.7	-88.6	6.1	2.76e-01	0	48	0	0	60	1048573
2026-01-17 09:56:34.14	5.59	56.16	-85.2	-88.6	5.8	2.76e-01	0	48	0	0	60	1048575
2026-01-17 09:56:35.15	5.10	55.85	-84.7	-88.6	5.9	2.78e-01	0	48	0	0	60	1048567
2026-01-17 09:56:36.15	4.63	55.55	-84.7	-88.6	6.4	2.79e-01	0	48	0	0	60	1048575
2026-01-17 09:56:37.16	4.16	55.25	-84.7	-88.6	5.9	2.74e-01	0	48	0	0	60	1048573
2026-01-17 09:56:38.16	3.71	54.95	-84.7	-88.6	5.9	2.77e-01	0	48	0	0	60	1048572
2026-01-17 09:56:39.17	3.27	54.64	-84.7	-88.6	5.8	2.76e-01	0	48	0	0	60	1048574
2026-01-17 09:56:40.18	2.83	54.34	-84.7	-88.6	5.8	2.76e-01	0	48	0	0	60	1048572
2026-01-17 09:56:41.18	2.41	54.04	-84.7	-88.6	6.0	2.74e-01	0	48	0	0	60	1048573
2026-01-17 09:56:42.19	1.99	53.74	-84.7	-88.6	6.1	2.72e-01	0	48	0	0	60	1048573
2026-01-17 09:56:43.20	1.58	53.43	-85.2	-88.6	5.7	2.72e-01	0	48	0	0	60	1048575
2026-01-17 09:56:44.21	1.18	53.13	-84.7	-88.6	5.8	2.72e-01	0	48	0	0	60	1048575
2026-01-17 09:56:45.21	0.80	52.83	-85.2	-88.6	6.4	2.74e-01	0	48	0	0	60	1048571
2026-01-17 09:56:46.22	0.41	52.53	-84.7	-88.6	6.2	2.76e-01	0	48	0	0	60	1048569
2026-01-17 09:56:47.23	0.04	52.23	-85.2	-88.6	6.1	2.77e-01	0	48	0	0	60	1048570
2026-01-17 09:56:48.23	359.67	51.93	-84.7	-88.6	5.7	2.75e-01	0	48	0	0	60	1048571
2026-01-17 09:56:49.24	359.31	51.63	-84.7	-88.6	5.8	2.76e-01	0	48	0	0	60	1048567
2026-01-17 09:56:50.25	358.95	51.33	-84.7	-88.6	6.1	2.77e-01	0	48	0	0	60	1048572
2026-01-17 09:56:51.25	358.61	51.03	-84.7	-88.6	6.2	2.76e-01	0	48	0	0	60	1048572
2026-01-17 09:56:52.26	358.27	50.73	-85.2	-88.6	6.0	2.76e-01	0	48	0	0	60	1048575
2026-01-17 09:56:53.26	357.94	50.44	-85.2	-88.6	6.3	2.76e-01	0	48	0	0	60	1048570
2026-01-17 09:56:54.27	357.61	50.14	-84.7	-88.6	6.0	2.77e-01	0	48	0	0	60	1048575
2026-01-17 09:56:55.28	357.29	49.85	-84.7	-88.6	6.2	2.73e-01	0	48	0	0	60	1048573
2026-01-17 09:56:56.28	356.98	49.56	-85.2	-88.6	6.2	2.74e-01	0	48	0	0	60	1048568
2026-01-17 09:56:57.29	356.67	49.26	-84.7	-88.6	6.1	2.77e-01	0	48	0	0	60	1048575
2026-01-17 09:56:58.29	356.38	48.98	-84.7	-88.6	5.7	2.69e-01	0	48	0	0	60	1048574
2026-01-17 09:56:59.30	356.08	48.68	-84.7	-88.6	6.0	2.74e-01	0	48	0	0	60	1048575
2026-01-17 09:57:00.31	355.79	48.39	-84.7	-88.6	6.1	2.75e-01	0	48	0	0	60	1048575
2026-01-17 09:57:01.32	355.50	48.10	-85.2	-88.6	6.3	2.79e-01	0	48	0	0	60	1048575
2026-01-17 09:57:02.33	355.22	47.82	-85.2	-88.6	6.3	2.72e-01	0	48	0	0	60	1048575
2026-01-17 09:57:03.34	354.95	47.53	-85.2	-88.6	6.0	2.79e-01	0	48	0	0	60	1048572
2026-01-17 09:57:04.34	354.68	47.25	-84.7	-88.6	5.8	2.75e-01	0	48	0	0	60	1048575
2026-01-17 09:57:05.34	354.42	46.97	-84.7	-88.6	6.0	2.73e-01	0	48	0	0	60	1048575
2026-01-17 09:57:06.35	354.16	46.68	-84.7	-88.6	5.5	2.77e-01	0	48	0	0	60	1048575
2026-01-17 09:57:07.35	353.90	46.40	-85.2	-88.6	6.1	2.73e-01	0	48	0	0	60	1048575
2026-01-17 09:57:08.36	353.65	46.12	-84.7	-88.6	6.3	2.79e-01	0	48	0	0	60	1048575
2026-01-17 09:57:09.37	353.41	45.85	-84.7	-88.6	6.1	2.74e-01	0	48	0	0	60	1048572
2026-01-17 09:57:10.38	353.16	45.57	-84.7	-88.6	5.7	2.73e-01	0	48	0	0	60	1048574
2026-01-17 09:57:11.39	352.93	45.29	-85.2	-88.6	6.3	2.73e-01	0	48	0	0	60	1048569
2026-01-17 09:57:12.40	352.69	45.02	-84.7	-88.6	6.3	2.73e-01	0	48	0	0	60	1048570
2026-01-17 09:57:13.40	352.47	44.74	-84.7	-88.6	6.3	2.71e-01	0	48	0	0	60	1048575
2026-01-17 09:57:14.41	352.24	44.47	-84.7	-88.6	5.9	2.76e-01	0	48	0	0	60	1048575
2026-01-17 09:57:15.42	352.02	44.20	-85.2	-88.6	6.5	2.74e-01	0	48	0	0	60	1048569
2026-01-17 09:57:16.42	351.80	43.93	-85.2	-88.6	5.9	2.79e-01	0	48	0	0	60	1048573
2026-01-17 09:57:17.43	351.59	43.67	-84.7	-88.6	5.7	2.72e-01	0	48	0	0	60	1048575
2026-01-17 09:57:18.44	351.38	43.40	-85.2	-88.6	5.9	2.77e-01	0	48	0	0	60	1048574
2026-01-17 09:57:19.44	351.17	43.14	-84.7	-88.6	6.5	2.74e-01	0	48	0	0	60	1048574
2026-01-17 09:57:20.45	350.97	42.87	-84.7	-88.6	6.3	2.72e-01	0	48	0	0	60	1048573
2026-01-17 09:57:21.46	350.77	42.61	-84.7	-88.6	6.4	2.72e-01	0	48	0	0	60	1048575
2026-01-17 09:57:22.47	350.57	42.35	-85.2	-88.6	6.1	2.77e-01	0	48	0	0	60	1048573
2026-01-17 09:57:23.47	350.38	42.09	-84.7	-88.6	6.0	2.68e-01	0	48	0	0	60	1048574
2026-01-17 09:57:24.48	350.19	41.83	-84.7	-88.6	6.3	2.77e-01	0	48	0	0	60	1048571
2026-01-17 09:57:25.49	350.00	41.58	-85.2	-88.6	6.2	2.76e-01	0	48	0	0	60	1048575
2026-01-17 09:57:26.50	349.82	41.32	-85.2	-88.6	5.6	2.74e-01	0	48	0	0	60	1048569
2026-01-17 09:57:27.50	349.64	41.07	-84.7	-88.6	6.1	2.73e-01	0	48	0	0	60	1048574
2026-01-17 09:57:28.51	349.46	40.82	-84.7	-88.6	6.3	2.74e-01	0	48	0	0	60	1048573
2026-01-17 09:57:29.52	349.28	40.57	-84.7	-88.6	5.7	2.72e-01	0	48	0	0	60	1048573
2026-01-17 09:57:30.53	349.11	40.32	-85.2	-88.6	5.5	2.70e-01	0	48	0	0	60	1048575
2026-01-17 09:57:31.53	348.94	40.07	-84.7	-88.6	6.4	2.72e-01	0	48	0	0	60	1048575
2026-01-17 09:57:32.54	348.77	39.83	-84.7	-88.6	6.4	2.77e-01	0	48	0	0	60	1048571
2026-01-17 09:57:33.55	348.61	39.58	-84.7	-88.6	6.1	2.73e-01	0	48	0	0	60	1048573
2026-01-17 09:57:34.56	348.44	39.34	-83.9	-88.6	5.6	2.69e-01	0	48	0	0	60	1048575
2026-01-17 09:57:35.57	348.28	39.10	-84.7	-88.6	5.9	2.76e-01	0	48	0	0	60	1048572
2026-01-17 09:57:36.57	348.13	38.86	-84.7	-88.6	5.9	2.80e-01	0	48	0	0	60	1048575
2026-01-17 09:57:37.58	347.97	38.62	-84.7	-88.6	6.0	2.78e-01	0	48	0	0	60	1048574
2026-01-17 09:57:38.58	347.82	38.38	-85.2	-88.6	5.9	2.74e-01	0	48	0	0	60	1048575
2026-01-17 09:57:39.58	347.67	38.15	-85.2	-88.6	6.0	2.75e-01	0	48	0	0	60	1048572
2026-01-17 09:57:40.59	347.52	37.91	-84.7	-88.6	6.3	2.82e-01	0	48	0	0	60	1048574
2026-01-17 09:57:41.59	347.37	37.68	-84.7	-88.6	5.7	2.79e-01	0	48	0	0	60	1048575
2026-01-17 09:57:42.59	347.23	37.45	-84.7	-88.6	5.9	2.74e-01	0	48	0	0	60	1048573
2026-01-17 09:57:43.60	347.09	37.22	-84.7	-88.6	6.3	2.76e-01	0	48	0	0	60	1048575
2026-01-17 09:57:44.61	346.95	36.99	-84.3	-88.6	6.4	2.76e-01	0	48	0	0	60	1048575
2026-01-17 09:57:45.61	346.81	36.76	-85.2	-88.6	6.3	2.72e-01	0	48	0	0	60	1048575
2026-01-17 09:57:46.62	346.67	36.54	-84.7	-88.6	6.1	2.76e-01	0	48	0	0	60	1048575
2026-01-17 09:57:47.62	346.54	36.31	-84.7	-88.6	6.2	2.77e-01	0	47	0	0	60	1048570
2026-01-17 09:57:48.63	346.41	36.09	-84.7	-88.6	6.4	2.78e-01	0	48	0	0	60	1048575
2026-01-17 09:57:49.63	346.28	35.87	-84.3	-88.6	6.0	2.73e-01	0	48	0	0	60	1048574
2026-01-17 09:57:50.64	346.15	35.65	-84.7	-88.6	6.0	2.76e-01	0	48	0	0	60	1048572
2026-01-17 09:57:51.65	346.02	35.43	-84.7	-88.6	6.1	2.78e-01	0	48	0	0	60	1048575
2026-01-17 09:57:52.65	345.90	35.21	-84.7	-88.6	6.3	2.77e-01	0	48	0	0	60	1048574
2026-01-17 09:57:53.66	345.78	34.99	-85.2	-88.6	5.6	2.79e-01	0	48	0	0	60	1048575
2026-01-17 09:57:54.66	345.65	34.78	-85.2	-88.6	6.1	2.78e-01	0	47	0	0	60	1048572
2026-01-17 09:57:55.67	345.53	34.57	-85.2	-88.6	6.2	2.74e-01	0	47	0	0	60	1048573
2026-01-17 09:57:56.68	345.41	34.35	-84.7	-88.6	6.2	2.77e-01	0	47	0	0	60	1048575
2026-01-17 09:57:57.68	345.30	34.14	-84.7	-88.6	6.2	2.76e-01	0	47	0	0	60	1048575
2026-01-17 09:57:58.69	345.18	33.93	-84.7	-88.6	5.9	2.77e-01	0	47	0	0	60	1048575
2026-01-17 09:57:59.70	345.07	33.72	-84.7	-88.6	5.9	2.74e-01	0	48	0	0	60	1048572
2026-01-17 09:58:00.71	344.96	33.52	-85.2	-88.6	6.4	2.75e-01	0	48	0	0	60	1048572
2026-01-17 09:58:01.71	344.85	33.31	-84.7	-88.6	6.1	2.77e-01	0	47	0	0	60	1048569
2026-01-17 09:58:02.72	344.74	33.10	-84.7	-88.6	5.9	2.76e-01	0	48	0	0	60	1048572
2026-01-17 09:58:03.73	344.63	32.90	-84.7	-88.6	5.9	2.74e-01	0	47	0	0	60	1048573
2026-01-17 09:58:04.74	344.52	32.70	-85.2	-88.6	6.3	2.78e-01	0	47	0	0	60	1048572
2026-01-17 09:58:05.74	344.42	32.50	-84.7	-88.6	6.1	2.76e-01	0	47	0	0	60	1048575
2026-01-17 09:58:06.75	344.31	32.30	-85.2	-88.6	6.0	2.79e-01	0	47	0	0	60	1048574
2026-01-17 09:58:07.75	344.21	32.10	-84.7	-88.6	5.9	2.76e-01	0	47	0	0	60	1048575
2026-01-17 09:58:08.76	344.11	31.90	-85.2	-88.6	6.2	2.80e-01	0	47	0	0	60	1048575
2026-01-17 09:58:09.77	344.01	31.71	-84.7	-88.6	5.9	2.74e-01	0	47	0	0	60	1048573
2026-01-17 09:58:10.77	343.91	31.51	-84.7	-88.6	5.9	2.75e-01	0	47	0	0	60	1048573
2026-01-17 09:58:11.78	343.81	31.32	-84.7	-88.6	6.2	2.76e-01	0	47	0	0	60	1048572
2026-01-17 09:58:12.78	343.72	31.13	-84.7	-88.6	6.4	2.79e-01	0	47	0	0	60	1048574
2026-01-17 09:58:13.79	343.62	30.93	-85.2	-88.6	6.4	2.76e-01	0	47	0	0	60	1048574
2026-01-17 09:58:14.80	343.53	30.74	-85.2	-88.6	6.4	2.78e-01	0	48	0	0	60	1048573
2026-01-17 09:58:15.80	343.43	30.55	-84.7	-88.6	6.0	2.76e-01	0	47	0	0	60	1048574
2026-01-17 09:58:16.80	343.34	30.37	-84.7	-88.6	6.5	2.78e-01	0	48	0	0	60	1048573
2026-01-17 09:58:17.81	343.25	30.18	-85.2	-88.6	6.0	2.77e-01	0	47	0	0	60	1048570
2026-01-17 09:58:18.82	343.16	29.99	-84.7	-88.6	6.0	2.75e-01	0	48	0	0	60	1048575
2026-01-17 09:58:19.82	343.07	29.81	-85.2	-88.6	6.0	2.75e-01	0	47	0	0	60	1048573
2026-01-17 09:58:20.83	342.99	29.63	-84.7	-88.6	5.7	2.77e-01	0	47	0	0	60	1048575
2026-01-17 09:58:21.84	342.90	29.44	-84.7	-88.6	5.8	2.77e-01	0	48	0	0	60	1048572
2026-01-17 09:58:22.85	342.81	29.26	-84.7	-88.6	5.9	2.79e-01	0	47	0	0	60	1048575
2026-01-17 09:58:23.85	342.73	29.08	-85.2	-88.6	6.5	2.77e-01	0	48	0	0	60	1048574
2026-01-17 09:58:24.86	342.65	28.90	-84.7	-88.6	6.0	2.73e-01	0	48	0	0	60	1048575
2026-01-17 09:58:25.87	342.56	28.72	-84.7	-88.6	5.9	2.75e-01	0	47	0	0	60	1048575
2026-01-17 09:58:26.88	342.48	28.55	-84.7	-88.6	6.4	2.73e-01	0	47	0	0	60	1048575
2026-01-17 09:58:27.88	342.40	28.37	-85.2	-88.6	6.2	2.79e-01	0	48	0	0	60	1048575
2026-01-17 09:58:28.88	342.32	28.20	-84.7	-88.6	5.8	2.79e-01	0	47	0	0	60	1048574
2026-01-17 09:58:29.89	342.24	28.02	-84.7	-88.6	6.2	2.75e-01	0	47	0	0	60	1048568
