#Pass ID: 20260117_013230_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-17 01:32:30

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 43010U 17072A   26015.99024095 -.00000189  00000+0 -67463-4 0  9996
#TLE: 2 43010  98.9932 347.8215 0002366 106.5594 253.5841 14.19694691423396

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-17 01:32:30.55	21.36	1.99	-51.5	-62.9	3.8	8.47e-01	0	32	0	0	74	13569
2026-01-17 01:32:31.55	21.40	2.05	-51.4	-62.9	3.8	8.46e-01	0	32	104	0	73	14331
2026-01-17 01:32:32.56	21.44	2.11	-51.4	-62.4	3.8	8.46e-01	0	32	104	0	73	13486
2026-01-17 01:32:33.57	21.48	2.18	-51.4	-62.3	3.8	8.45e-01	0	32	104	0	73	13263
2026-01-17 01:32:34.58	21.52	2.24	-51.3	-61.6	3.8	8.46e-01	0	32	104	0	73	12252
2026-01-17 01:32:35.59	21.56	2.30	-51.3	-61.5	3.8	8.46e-01	0	32	104	0	73	12098
2026-01-17 01:32:36.59	21.60	2.36	-51.3	-61.7	3.8	8.44e-01	0	32	104	0	73	12384
2026-01-17 01:32:37.60	21.64	2.42	-51.3	-61.1	4.0	8.44e-01	0	32	104	0	73	11627
2026-01-17 01:32:38.61	21.68	2.49	-51.3	-61.4	3.8	8.46e-01	0	32	104	0	73	11968
2026-01-17 01:32:39.62	21.72	2.55	-51.3	-61.0	4.0	8.44e-01	0	32	104	0	73	11441
2026-01-17 01:32:40.63	21.76	2.61	-51.3	-61.0	4.0	8.44e-01	0	32	104	0	73	11529
2026-01-17 01:32:41.64	21.80	2.68	-51.2	-60.8	4.0	8.45e-01	0	32	104	0	73	11276
2026-01-17 01:32:42.65	21.84	2.74	-51.2	-60.6	4.0	8.43e-01	0	32	104	0	73	10924
2026-01-17 01:32:43.66	21.88	2.80	-51.1	-60.1	4.2	8.41e-01	0	32	0	0	73	10311
2026-01-17 01:32:44.66	21.92	2.87	-51.1	-59.9	4.2	8.35e-01	0	32	0	0	73	10094
2026-01-17 01:32:45.68	21.96	2.93	-51.0	-59.0	4.5	8.25e-01	0	32	0	0	73	9126
2026-01-17 01:32:46.68	22.00	2.99	-50.8	-57.9	5.0	7.49e-01	0	32	0	0	73	8075
2026-01-17 01:32:47.69	22.04	3.06	-50.7	-57.6	5.1	7.79e-01	0	32	0	0	73	7754
2026-01-17 01:32:48.70	22.09	3.12	-50.7	-57.4	5.3	6.12e-01	0	32	0	1048576	73	7616
2026-01-17 01:32:49.71	22.13	3.19	-50.1	-55.5	6.7	2.80e-01	0	32	0	4194304	72	6421
2026-01-17 01:32:50.72	22.17	3.25	-50.5	-56.7	5.8	4.66e-01	0	32	0	10485760	72	7396
2026-01-17 01:32:51.73	22.21	3.31	-50.1	-55.3	6.9	2.33e-01	0	33	0	15728640	72	6285
2026-01-17 01:32:52.74	22.25	3.38	-50.0	-54.9	7.3	2.15e-01	0	33	0	20971520	71	6376
2026-01-17 01:32:53.75	22.30	3.44	-50.2	-55.7	6.6	3.01e-01	0	32	0	27262976	71	6961
2026-01-17 01:32:54.76	22.34	3.51	-50.3	-55.7	6.6	1.52e-01	0	32	0	32505856	71	7014
2026-01-17 01:32:55.77	22.38	3.57	-50.0	-55.1	7.1	1.22e-01	0	33	0	38797312	71	6540
2026-01-17 01:32:56.77	22.42	3.64	-49.5	-53.7	8.6	6.59e-02	0	33	0	44040192	71	5557
2026-01-17 01:32:57.78	22.47	3.70	-48.9	-52.3	10.0	1.02e-02	0	32	0	50331648	69	5304
2026-01-17 01:32:58.79	22.51	3.77	-48.4	-51.4	11.0	2.58e-03	0	33	0	55574528	68	5047
2026-01-17 01:32:59.80	22.55	3.84	-47.9	-50.6	11.7	1.40e-03	0	33	0	60817408	67	4887
2026-01-17 01:33:00.80	22.60	3.90	-46.6	-48.6	13.8	1.26e-04	0	33	0	67108864	65	4361
2026-01-17 01:33:01.81	22.64	3.97	-46.7	-48.8	13.5	1.13e-04	0	33	0	72351744	65	4474
2026-01-17 01:33:02.82	22.68	4.03	-46.7	-48.8	13.6	2.20e-06	0	33	0	77594624	64	4716
2026-01-17 01:33:03.83	22.73	4.10	-45.3	-46.9	15.6	1.10e-06	0	33	0	83886080	62	4285
2026-01-17 01:33:04.84	22.77	4.17	-45.3	-47.0	15.5	0.00e+00	0	33	0	89128960	62	4298
2026-01-17 01:33:05.85	22.82	4.23	-44.9	-46.5	16.0	0.00e+00	0	33	0	94371840	61	4303
2026-01-17 01:33:06.86	22.86	4.30	-45.0	-46.6	16.0	0.00e+00	0	33	0	100663296	61	4343
2026-01-17 01:33:07.86	22.90	4.36	-44.9	-46.5	16.0	0.00e+00	0	33	0	106954752	61	4300
2026-01-17 01:33:08.87	22.95	4.43	-44.9	-46.4	16.2	0.00e+00	0	33	0	112197632	61	4258
2026-01-17 01:33:09.88	22.99	4.50	-44.7	-46.2	16.4	0.00e+00	0	33	0	117440512	61	4150
2026-01-17 01:33:10.89	23.04	4.57	-45.9	-47.7	14.8	0.00e+00	0	33	0	123731968	62	4674
2026-01-17 01:33:11.90	23.09	4.63	-45.8	-47.6	14.9	0.00e+00	0	33	0	128974848	62	4622
2026-01-17 01:33:12.91	23.13	4.70	-46.4	-48.4	14.1	3.40e-06	0	33	0	135266304	63	4806
2026-01-17 01:33:13.92	23.18	4.77	-47.0	-49.3	13.0	4.92e-05	0	33	0	140509184	64	5011
2026-01-17 01:33:14.92	23.22	4.84	-47.6	-50.1	12.2	3.89e-05	0	33	0	145752064	65	5197
2026-01-17 01:33:15.93	23.27	4.90	-48.0	-50.9	11.3	1.22e-03	0	33	0	152043520	66	5374
2026-01-17 01:33:16.94	23.32	4.97	-48.3	-51.3	11.0	2.10e-03	0	33	0	157286400	67	5311
2026-01-17 01:33:17.95	23.36	5.04	-48.7	-52.1	10.2	1.01e-02	0	33	0	163577856	68	5468
2026-01-17 01:33:18.96	23.41	5.11	-44.3	-45.5	17.6	0.00e+00	0	33	0	168820736	59	4319
2026-01-17 01:33:19.97	23.46	5.18	-50.5	-57.1	5.5	1.83e-01	0	33	0	174063616	71	8212
2026-01-17 01:33:20.98	23.50	5.25	-47.7	-50.1	12.5	8.68e-03	0	33	0	179306496	67	4626
