#Pass ID: 20260117_095415_AURA
#Satellite: AURA
#Configuration: AURA
#Start time: 2026-01-17 09:54:20.077762

#LorettStation: 1.0.0 05.05.2024
#Station: Regia
#Location: 37.494653 lon 55.929028 lat
#TLE: 1 28376U 04026A   26016.58156990  .00000671  00000+0  14656-3 0  9994
#TLE: 2 28376  98.3230 331.9805 0001618  74.7727 285.3652 14.61008825144074

#Time	Az	El	Level	SNR
2026-01-17 09:54:26.223213	111.1	15.6	-69.4	0.0
2026-01-17 09:54:27.335639	111.0	15.7	-69.6	0.0
2026-01-17 09:54:28.449193	110.8	15.8	-69.3	0.0
2026-01-17 09:54:29.562542	110.6	15.9	-69.4	0.0
2026-01-17 09:54:30.678395	110.4	16.0	-69.4	0.0
2026-01-17 09:54:31.791294	110.3	16.1	-69.4	0.0
2026-01-17 09:54:32.904430	110.1	16.2	-69.2	0.0
2026-01-17 09:54:34.017196	109.9	16.3	-69.5	0.0
2026-01-17 09:54:35.130420	109.7	16.4	-69.7	0.0
2026-01-17 09:54:36.243466	109.5	16.6	-69.5	0.0
2026-01-17 09:54:37.356057	109.4	16.7	-69.5	0.0
2026-01-17 09:54:38.468552	109.2	16.8	-69.4	0.0
2026-01-17 09:54:39.581459	109.0	16.9	-69.5	0.0
2026-01-17 09:54:40.695382	108.8	17.0	-69.3	0.0
2026-01-17 09:54:41.810408	108.6	17.1	-69.2	0.0
2026-01-17 09:54:42.923614	108.4	17.2	-69.5	0.0
2026-01-17 09:54:44.036594	108.2	17.3	-69.6	0.0
2026-01-17 09:54:45.149482	108.0	17.4	-69.6	0.0
2026-01-17 09:54:46.261933	107.8	17.5	-69.2	0.0
2026-01-17 09:54:47.374553	107.6	17.7	-69.5	0.0
2026-01-17 09:54:48.488096	107.4	17.8	-69.4	0.0
2026-01-17 09:54:49.600488	107.2	17.9	-69.5	0.0
2026-01-17 09:54:50.713650	107.0	18.0	-69.4	0.0
2026-01-17 09:54:51.826573	106.8	18.1	-69.6	0.0
2026-01-17 09:54:52.939708	106.6	18.2	-69.6	0.0
2026-01-17 09:54:54.052199	106.4	18.3	-69.7	0.0
2026-01-17 09:54:55.164896	106.2	18.4	-69.7	0.0
2026-01-17 09:54:56.278211	106.0	18.5	-69.5	0.0
2026-01-17 09:54:57.390990	105.8	18.7	-69.6	0.0
2026-01-17 09:54:58.503843	105.6	18.8	-69.4	0.0
2026-01-17 09:54:59.616409	105.4	18.9	-69.7	0.0
2026-01-17 09:55:00.729642	105.2	19.0	-69.6	0.0
2026-01-17 09:55:01.842670	104.9	19.1	-69.6	0.0
2026-01-17 09:55:02.955864	104.7	19.2	-69.7	0.0
