#Pass ID: 20260117_025938_ZKF01
#Satellite: ZKF01
#Configuration: ZKF01
#almurnet v.1.7.20251203
#Start time: 2026-01-17 02:59:37

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 61240U 24174C   25363.55210926  .00007200  00000-0  32855-3 0  9995
#TLE: 2 61240  97.4460   8.7269 0013178  79.4267 280.8452 15.20841105 69913

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-17 02:59:37.96	33.35	4.98	-47.9	-49.8	3.7	0.00e+00	0	45	0	0	67	17888
2026-01-17 02:59:38.95	33.47	5.05	-47.9	-49.8	3.8	0.00e+00	0	45	104	0	66	18894
2026-01-17 02:59:39.94	33.60	5.11	-47.9	-49.8	3.8	0.00e+00	0	45	104	0	66	18974
2026-01-17 02:59:40.94	33.72	5.18	-47.9	-49.8	3.8	0.00e+00	0	45	104	0	66	18980
2026-01-17 02:59:41.93	33.84	5.24	-47.9	-49.8	3.8	0.00e+00	0	45	104	0	66	18944
2026-01-17 02:59:42.92	33.97	5.31	-47.9	-49.8	3.8	0.00e+00	0	45	104	0	66	18908
2026-01-17 02:59:43.92	34.09	5.37	-47.9	-49.8	3.8	0.00e+00	0	46	104	0	66	18927
2026-01-17 02:59:44.91	34.22	5.44	-47.8	-49.8	3.8	0.00e+00	0	46	104	0	66	18952
2026-01-17 02:59:45.90	34.34	5.50	-47.9	-49.8	3.8	0.00e+00	0	46	104	0	66	18910
2026-01-17 02:59:46.90	34.47	5.57	-47.9	-49.8	3.8	0.00e+00	0	46	104	0	66	18956
2026-01-17 02:59:47.89	34.60	5.63	-47.9	-49.8	3.8	0.00e+00	0	46	104	0	66	18910
2026-01-17 02:59:48.88	34.73	5.70	-47.9	-49.8	3.8	0.00e+00	0	46	104	0	66	18908
2026-01-17 02:59:49.87	34.86	5.77	-47.9	-49.8	3.8	0.00e+00	0	46	104	0	66	18875
2026-01-17 02:59:50.87	34.99	5.83	-47.9	-49.8	3.8	0.00e+00	0	46	104	0	66	18917
2026-01-17 02:59:51.86	35.12	5.90	-47.9	-49.8	3.8	0.00e+00	0	46	104	0	66	18944
2026-01-17 02:59:52.85	35.25	5.97	-47.8	-49.8	3.8	0.00e+00	0	46	104	0	66	18868
2026-01-17 02:59:53.85	35.38	6.03	-47.8	-49.8	3.8	0.00e+00	0	46	104	0	66	18861
2026-01-17 02:59:54.84	35.51	6.10	-47.9	-49.8	3.8	0.00e+00	0	46	104	0	66	18843
