#Pass ID: 20260117_092602_KHAYYAM
#Satellite: KHAYYAM
#Configuration: KHAYYAM_480M
#almurnet v.1.7.20251203
#Start time: 2026-01-17 09:26:02

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 53370U 22096A   26016.26944296  .00002688  00000+0  11195-3 0  9997
#TLE: 2 53370  97.3563 283.2565 0001591 106.1097 254.0316 15.24586395191431

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-17 09:26:02.78	230.50	5.03	-53.1	-57.7	3.6	0.00e+00	0	41	0	0	77	24812
2026-01-17 09:26:03.77	230.66	5.09	-53.1	-57.6	3.7	0.00e+00	0	42	104	0	76	26143
2026-01-17 09:26:04.76	230.82	5.14	-53.0	-57.6	3.7	0.00e+00	0	42	104	0	76	26119
2026-01-17 09:26:05.76	230.99	5.19	-53.0	-57.6	3.7	0.00e+00	0	42	104	0	76	26153
2026-01-17 09:26:06.75	231.15	5.25	-53.0	-57.6	3.7	0.00e+00	0	42	104	0	76	26178
2026-01-17 09:26:07.74	231.31	5.30	-53.0	-57.6	3.7	0.00e+00	0	42	104	0	76	26207
2026-01-17 09:26:08.74	231.48	5.35	-53.0	-57.6	3.7	0.00e+00	0	42	104	0	76	26195
2026-01-17 09:26:09.73	231.64	5.41	-53.0	-57.6	3.7	0.00e+00	0	42	104	0	76	26143
2026-01-17 09:26:10.72	231.81	5.46	-53.0	-57.6	3.7	0.00e+00	0	42	104	0	76	26174
2026-01-17 09:26:11.71	231.98	5.51	-53.0	-57.6	3.7	0.00e+00	0	42	104	0	76	26207
2026-01-17 09:26:12.71	232.14	5.56	-53.0	-57.6	3.7	0.00e+00	0	42	104	0	76	26205
2026-01-17 09:26:13.70	232.31	5.62	-53.0	-57.6	3.7	0.00e+00	0	43	104	0	76	26211
2026-01-17 09:26:14.69	232.48	5.67	-53.0	-57.6	3.7	0.00e+00	0	43	104	0	76	26233
2026-01-17 09:26:15.69	232.65	5.72	-53.0	-57.6	3.7	0.00e+00	0	43	104	0	76	26234
2026-01-17 09:26:16.68	232.82	5.78	-53.0	-57.6	3.7	0.00e+00	0	43	104	0	76	26180
2026-01-17 09:26:17.67	232.99	5.83	-53.0	-57.6	3.7	0.00e+00	0	43	104	0	76	26189
2026-01-17 09:26:18.67	233.17	5.88	-53.0	-57.6	3.7	0.00e+00	0	43	104	0	76	26144
2026-01-17 09:26:19.66	233.34	5.94	-53.0	-57.6	3.7	0.00e+00	0	43	104	0	76	26162
2026-01-17 09:26:20.65	233.51	5.99	-53.0	-57.6	3.7	0.00e+00	0	43	104	0	76	26180
2026-01-17 09:26:21.65	233.69	6.04	-53.0	-57.6	3.7	0.00e+00	0	43	104	0	76	26112
2026-01-17 09:26:22.64	233.86	6.09	-53.0	-57.6	3.7	0.00e+00	0	43	104	0	76	26221
2026-01-17 09:26:23.63	234.04	6.15	-53.0	-57.6	3.7	0.00e+00	0	43	104	0	76	26220
2026-01-17 09:26:24.63	234.22	6.20	-53.0	-57.6	3.7	0.00e+00	0	43	104	0	76	26132
2026-01-17 09:26:25.62	234.39	6.25	-53.0	-57.6	3.7	0.00e+00	0	43	104	0	76	26086
2026-01-17 09:26:26.62	234.57	6.30	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26162
2026-01-17 09:26:27.61	234.75	6.36	-53.0	-57.6	3.7	0.00e+00	0	43	104	0	76	26208
2026-01-17 09:26:28.60	234.93	6.41	-53.0	-57.6	3.7	0.00e+00	0	43	104	0	76	26114
2026-01-17 09:26:29.60	235.11	6.46	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26138
2026-01-17 09:26:30.59	235.29	6.51	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26123
2026-01-17 09:26:31.58	235.48	6.57	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26156
2026-01-17 09:26:32.58	235.66	6.62	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26146
2026-01-17 09:26:33.57	235.84	6.67	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26141
2026-01-17 09:26:34.56	236.03	6.72	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26158
2026-01-17 09:26:35.56	236.21	6.77	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26083
2026-01-17 09:26:36.55	236.40	6.83	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26037
2026-01-17 09:26:37.55	236.59	6.88	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26078
2026-01-17 09:26:38.54	236.78	6.93	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26182
2026-01-17 09:26:39.53	236.97	6.98	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26105
2026-01-17 09:26:40.53	237.16	7.03	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26099
2026-01-17 09:26:41.52	237.35	7.08	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26141
2026-01-17 09:26:42.51	237.54	7.14	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26104
2026-01-17 09:26:43.50	237.73	7.19	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26134
2026-01-17 09:26:44.50	237.92	7.24	-53.0	-57.6	3.7	0.00e+00	0	44	104	0	76	26081
2026-01-17 09:26:45.49	238.12	7.29	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26113
2026-01-17 09:26:46.48	238.31	7.34	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26107
2026-01-17 09:26:47.48	238.51	7.39	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26131
2026-01-17 09:26:48.47	238.70	7.44	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26187
2026-01-17 09:26:49.46	238.90	7.49	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26117
2026-01-17 09:26:50.46	239.10	7.54	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26101
2026-01-17 09:26:51.45	239.30	7.59	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26083
2026-01-17 09:26:52.44	239.50	7.64	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26134
2026-01-17 09:26:53.44	239.70	7.69	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26115
2026-01-17 09:26:54.43	239.90	7.74	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26059
2026-01-17 09:26:55.42	240.10	7.79	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26131
2026-01-17 09:26:56.42	240.31	7.84	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26095
2026-01-17 09:26:57.41	240.51	7.89	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26164
2026-01-17 09:26:58.40	240.71	7.94	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26176
2026-01-17 09:26:59.40	240.92	7.99	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26171
2026-01-17 09:27:00.39	241.13	8.04	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26117
2026-01-17 09:27:01.38	241.33	8.09	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26136
2026-01-17 09:27:02.38	241.54	8.14	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26077
2026-01-17 09:27:03.37	241.75	8.19	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26147
2026-01-17 09:27:04.36	241.96	8.24	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26129
2026-01-17 09:27:05.36	242.17	8.29	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26112
2026-01-17 09:27:06.35	242.39	8.33	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26120
2026-01-17 09:27:07.34	242.60	8.38	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26119
2026-01-17 09:27:08.34	242.81	8.43	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26110
2026-01-17 09:27:09.33	243.03	8.48	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26162
2026-01-17 09:27:10.32	243.24	8.53	-53.0	-57.6	3.7	0.00e+00	0	46	104	0	76	26176
2026-01-17 09:27:11.32	243.46	8.57	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26097
2026-01-17 09:27:12.31	243.67	8.62	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26178
2026-01-17 09:27:13.48	243.93	8.68	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26142
2026-01-17 09:27:14.33	244.12	8.72	-53.0	-57.6	3.7	0.00e+00	0	46	104	0	76	26185
2026-01-17 09:27:15.46	244.37	8.77	-53.0	-57.6	3.7	0.00e+00	0	46	104	0	76	26152
2026-01-17 09:27:16.31	244.56	8.81	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26123
2026-01-17 09:27:17.45	244.81	8.86	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26155
2026-01-17 09:27:18.30	245.00	8.90	-53.0	-57.6	3.7	0.00e+00	0	46	104	0	76	26081
2026-01-17 09:27:19.44	245.26	8.95	-53.0	-57.6	3.6	0.00e+00	0	46	104	0	76	26118
2026-01-17 09:27:20.29	245.45	8.99	-53.0	-57.6	3.7	0.00e+00	0	45	104	0	76	26116
2026-01-17 09:27:21.42	245.70	9.04	-53.0	-57.6	3.7	0.00e+00	0	46	104	0	76	26154
2026-01-17 09:27:22.28	245.90	9.08	-52.8	-57.6	3.7	0.00e+00	0	46	104	0	76	26165
2026-01-17 09:27:23.41	246.16	9.14	-53.0	-57.7	3.7	0.00e+00	0	46	104	0	77	25064
2026-01-17 09:27:24.26	246.35	9.17	-52.5	-57.6	3.7	0.00e+00	0	46	104	0	77	24618
2026-01-17 09:27:25.48	246.63	9.23	-52.4	-57.7	3.7	0.00e+00	0	46	104	0	76	26487
2026-01-17 09:27:26.34	246.83	9.27	-52.6	-57.7	3.7	0.00e+00	0	46	104	0	76	26380
2026-01-17 09:27:27.47	247.09	9.32	-52.6	-57.9	3.7	0.00e+00	0	46	104	0	76	26952
2026-01-17 09:27:28.33	247.29	9.35	-52.6	-57.9	3.7	0.00e+00	0	46	104	0	76	27086
2026-01-17 09:27:29.46	247.55	9.40	-52.6	-57.8	3.7	0.00e+00	0	46	104	0	76	26786
2026-01-17 09:27:30.32	247.76	9.44	-52.6	-57.9	3.7	0.00e+00	0	46	104	0	76	26894
2026-01-17 09:27:31.46	248.02	9.49	-52.7	-57.7	3.7	0.00e+00	0	46	104	0	76	26459
2026-01-17 09:27:32.31	248.22	9.53	-53.0	-57.6	3.7	0.00e+00	0	46	104	0	76	26111
