#Pass ID: 20260117_125521_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#Start time: 2026-01-17 12:55:13

#Time	Level	Level2	SNR	BER	Gain	Gain2
12:55:13.67	-38.2	-41.3	3.3	8394744	94	2989
12:55:13.77	-38.2	-56.7	3.6	97972	65	17570
12:55:13.88	-37.9	-50.1	3.6	8458534	78	8553
12:55:13.99	-38.3	-44.5	3.6	8458534	91	4267
12:55:14.11	-38.2	-43.0	3.5	8458534	93	3585
12:55:14.22	-38.2	-42.3	3.4	8447296	93	3323
12:55:14.33	-38.2	-42.1	3.3	8447296	93	3242
12:55:14.44	-38.2	-42.0	3.3	8404426	93	3200
12:55:14.55	-38.2	-42.0	3.3	8404426	93	3195
12:55:14.66	-38.2	-43.4	3.6	8404426	93	3769
12:55:14.78	-38.2	-43.4	3.6	8402606	93	3749
12:55:14.89	-38.2	-43.3	3.6	8402606	93	3709
12:55:15.00	-38.2	-42.7	3.5	8445877	93	3486
12:55:15.11	-38.2	-42.4	3.4	8445877	93	3345
12:55:15.22	-38.2	-42.0	3.3	8445877	93	3196
12:55:15.33	-38.2	-42.0	3.3	8393005	93	3198
12:55:15.45	-38.2	-42.0	3.3	8393005	93	3199
12:55:15.56	-38.2	-43.5	3.6	8393005	93	3808
12:55:15.67	-38.2	-43.4	3.6	8416030	93	3779
12:55:15.78	-38.2	-42.9	3.5	8416030	93	3551
12:55:15.89	-38.2	-42.4	3.4	8435096	93	3372
12:55:16.00	-38.2	-42.1	3.4	8435096	93	3256
12:55:16.12	-38.2	-42.0	3.3	8435096	93	3204
12:55:16.23	-38.2	-42.0	3.3	8409152	93	3205
12:55:16.34	-38.2	-43.5	3.6	8409152	93	3791
12:55:16.45	-38.2	-43.4	3.6	8426685	93	3767
12:55:16.56	-38.2	-43.4	3.6	8426685	93	3760
12:55:16.67	-38.2	-42.7	3.5	8426685	93	3471
12:55:16.79	-38.2	-42.3	3.4	8441734	93	3306
12:55:16.90	-38.2	-42.1	3.3	8441734	93	3240
12:55:17.01	-38.2	-42.0	3.3	8441734	93	3216
12:55:17.12	-38.2	-42.0	3.3	8401828	93	3222
12:55:17.23	-38.2	-43.4	3.6	8401828	93	3785
12:55:17.34	-38.2	-43.4	3.6	8427326	93	3793
12:55:17.46	-38.2	-43.2	3.6	8427326	93	3684
12:55:17.57	-38.2	-42.4	3.4	8427326	93	3366
12:55:17.68	-38.2	-42.1	3.4	8432716	93	3261
12:55:17.79	-38.2	-41.9	3.3	8432716	93	3185
12:55:17.90	-38.2	-42.0	3.3	8405170	93	3210
12:55:18.01	-38.2	-41.9	3.3	8405170	93	3182
12:55:18.13	-38.2	-43.4	3.6	8405170	93	3769
12:55:18.24	-38.2	-43.4	3.6	8418640	93	3766
12:55:18.35	-38.0	-42.1	3.5	8418640	94	3362
12:55:18.46	-38.0	-41.6	3.4	8418640	94	3165
12:55:18.57	-37.9	-41.1	3.3	8388210	94	3005
12:55:18.69	-38.0	-41.0	3.3	8388210	94	2949
12:55:18.80	-37.9	-41.0	3.3	8396896	94	2949
12:55:18.91	-38.0	-40.9	3.3	8396896	94	2935
12:55:19.02	-38.1	-42.7	3.6	8396896	94	3520
12:55:19.13	-38.2	-42.7	3.6	8369018	94	3522
12:55:19.24	-38.1	-42.4	3.6	8369018	94	3406
12:55:19.35	-38.2	-41.9	3.4	8439319	94	3196
12:55:19.46	-38.2	-41.6	3.4	8439319	94	3087
12:55:19.58	-38.2	-41.3	3.3	8439319	94	2987
12:55:19.69	-38.2	-41.3	3.3	8387832	94	2995
12:55:19.80	-38.1	-42.8	3.6	8387832	94	3539
12:55:19.91	-38.2	-42.7	3.6	8387832	94	3516
12:55:20.02	-38.2	-42.6	3.6	8419555	94	3479
12:55:20.13	-38.2	-42.0	3.4	8419555	94	3250
12:55:20.25	-38.1	-41.7	3.4	8423618	94	3129
12:55:20.36	-38.2	-41.4	3.3	8423618	94	3010
12:55:20.47	-38.1	-41.3	3.3	8423618	94	2977
12:55:20.58	-38.2	-41.3	3.3	8398761	94	2992
12:55:20.69	-38.2	-42.7	3.6	8398761	94	3529
12:55:20.81	-38.2	-42.7	3.6	8398761	94	3531
12:55:20.92	-38.2	-42.6	3.6	8420265	94	3458
12:55:21.03	-38.2	-41.9	3.4	8420265	94	3199
12:55:21.14	-38.2	-41.5	3.4	8428459	94	3061
12:55:21.25	-38.2	-41.5	3.3	8428459	94	3029
12:55:21.36	-38.2	-41.4	3.3	8428459	94	2992
12:55:21.48	-38.2	-42.8	3.6	8390430	94	3532
12:55:21.59	-38.2	-42.7	3.6	8390430	94	3512
12:55:21.70	-38.2	-42.8	3.6	8422279	94	3528
12:55:21.81	-38.2	-42.3	3.5	8422279	94	3336
12:55:21.92	-38.1	-41.6	3.4	8422279	94	3082
12:55:22.03	-38.2	-41.4	3.3	8435874	94	3028
12:55:22.15	-38.1	-41.3	3.3	8435874	94	2999
12:55:22.26	-38.2	-41.3	3.3	8435874	94	2998
12:55:22.37	-38.2	-42.7	3.6	8389549	94	3519
12:55:22.48	-38.2	-42.8	3.6	8389549	94	3535
12:55:22.59	-38.2	-42.6	3.6	8430770	94	3474
12:55:22.70	-38.2	-42.2	3.4	8430770	94	3281
12:55:22.82	-38.4	-42.1	3.4	8430770	94	3208
12:55:22.93	-38.3	-41.7	3.3	8418869	94	3068
12:55:23.04	-38.3	-41.6	3.3	8418869	94	3040
12:55:23.15	-38.4	-41.8	3.3	8386310	94	3075
12:55:23.26	-38.4	-43.3	3.6	8386310	94	3651
12:55:23.37	-38.4	-43.3	3.6	8386310	94	3662
