#Pass ID: 20260118_044155_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20240730
#Start time: 2026-01-18 04:47:42

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 49008U 21062A   26017.26067429  .00000278  00000+0  15192-3 0  9991
#TLE: 2 49008  98.7484  22.3628 0002125 132.6872 227.4483 14.19886454235162

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-18 04:47:42.19	349.14	80.50	-34.0	-45.0	3.8	8.46e-01	0	43	0	0	28	12821
2026-01-18 04:47:43.19	347.46	80.93	-34.5	-43.4	3.8	8.46e-01	0	43	104	0	30	10026
2026-01-18 04:47:44.19	345.61	81.35	-34.5	-43.5	3.8	8.47e-01	0	43	104	0	30	10063
2026-01-18 04:47:45.20	343.54	81.77	-34.5	-43.5	3.8	8.47e-01	0	43	104	0	30	10053
2026-01-18 04:47:46.20	341.28	82.17	-34.5	-43.4	3.8	8.47e-01	0	43	104	0	30	10029
2026-01-18 04:47:47.20	338.78	82.55	-34.5	-43.3	3.8	8.46e-01	0	43	104	0	30	9921
2026-01-18 04:47:48.21	335.98	82.93	-34.4	-42.7	3.8	8.47e-01	0	43	104	0	30	9352
2026-01-18 04:47:49.21	332.90	83.29	-34.1	-41.2	3.8	8.43e-01	0	43	104	0	28	8212
2026-01-18 04:47:50.21	329.48	83.62	-34.0	-41.1	3.9	8.45e-01	0	43	104	0	28	8163
2026-01-18 04:47:51.21	325.70	83.93	-34.2	-42.6	3.8	8.46e-01	0	43	104	0	28	9428
2026-01-18 04:47:52.20	321.57	84.20	-34.2	-42.5	3.8	8.46e-01	0	43	104	0	28	9348
2026-01-18 04:47:53.21	316.96	84.45	-34.3	-43.2	3.8	8.48e-01	0	43	104	0	28	10011
2026-01-18 04:47:54.21	312.00	84.66	-34.2	-42.5	3.8	8.47e-01	0	43	104	0	28	9323
2026-01-18 04:47:55.22	306.62	84.83	-34.1	-41.9	3.8	8.45e-01	0	43	104	0	28	8829
2026-01-18 04:47:56.22	301.00	84.95	-34.3	-43.1	3.8	8.45e-01	0	43	104	0	28	9945
2026-01-18 04:47:57.22	295.16	85.01	-33.6	-39.3	4.0	8.40e-01	0	43	104	0	28	6879
2026-01-18 04:47:58.23	289.17	85.03	-33.8	-40.0	3.9	8.47e-01	0	43	104	0	28	7324
2026-01-18 04:47:59.23	283.26	84.99	-34.4	-44.0	3.8	8.45e-01	0	43	104	0	28	10893
2026-01-18 04:48:00.24	277.45	84.90	-34.4	-44.0	3.8	8.47e-01	0	43	104	0	28	10839
2026-01-18 04:48:01.24	271.95	84.76	-34.4	-44.2	3.8	8.47e-01	0	43	104	0	28	11154
