#Pass ID: 20260118_072444_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20240730
#Start time: 2026-01-18 07:26:18

#Version: 2.2.20231116
#Station: R3.2S-Naryan-Mar
#Location: 53.008057 lon 67.646978 lat
#TLE: 1 27424U 02022A   26017.29152041  .00000842  00000+0  17841-3 0  9992
#TLE: 2 27424  98.4085 343.7574 0002011  75.4099  30.6811 14.61825797261228

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-18 07:26:18.65	84.96	5.62	-85.2	-88.6	3.4	1.56e+00	0	47	0	0	60	1048574
2026-01-18 07:26:19.66	84.87	5.68	-83.9	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:20.67	84.77	5.75	-83.9	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:21.67	84.68	5.81	-84.3	-88.8	2.3	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:22.68	84.58	5.88	-83.9	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:23.68	84.48	5.95	-84.3	-88.8	2.6	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:24.69	84.38	6.01	-83.9	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:25.70	84.28	6.08	-84.3	-88.8	2.6	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:26.71	84.19	6.14	-84.3	-88.8	2.6	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:27.71	84.09	6.21	-84.3	-88.8	2.8	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:28.72	83.99	6.28	-83.9	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:29.73	83.89	6.34	-83.9	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:30.73	83.79	6.41	-83.9	-88.8	2.6	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:31.74	83.68	6.48	-84.3	-88.8	2.7	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:32.74	83.58	6.54	-84.3	-88.8	2.6	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:33.75	83.48	6.61	-83.9	-88.8	2.6	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:34.75	83.38	6.67	-83.9	-88.8	2.3	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:35.76	83.27	6.74	-84.3	-88.8	2.6	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:36.77	83.17	6.81	-84.3	-88.8	2.6	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:37.78	83.06	6.88	-84.3	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:38.79	82.96	6.94	-83.9	-88.8	2.4	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:39.80	82.85	7.01	-84.3	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:40.80	82.75	7.08	-84.3	-88.8	2.6	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:41.81	82.64	7.15	-84.3	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:42.82	82.53	7.21	-83.9	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:43.82	82.42	7.28	-83.9	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:44.83	82.32	7.35	-84.3	-88.8	2.6	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:45.84	82.21	7.42	-84.3	-88.8	2.4	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:46.85	82.10	7.49	-84.3	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:47.86	81.99	7.56	-84.3	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:48.87	81.87	7.62	-83.9	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:49.87	81.76	7.69	-84.3	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:50.88	81.65	7.76	-84.3	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:51.89	81.54	7.83	-84.3	-88.8	2.4	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:52.90	81.42	7.90	-83.9	-88.8	2.7	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:53.91	81.31	7.97	-83.9	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:54.92	81.20	8.04	-84.3	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:55.93	81.08	8.11	-84.3	-88.8	2.6	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:56.93	80.97	8.18	-84.3	-88.8	2.5	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:57.93	80.85	8.24	-83.9	-88.8	2.7	3.11e+01	0	47	104	0	60	1048573
2026-01-18 07:26:58.94	80.73	8.31	-84.3	-88.8	2.3	3.11e+01	0	47	104	0	60	1048575
2026-01-18 07:26:59.95	80.62	8.38	-84.3	-88.8	2.8	3.11e+01	0	47	104	0	60	1048575
2026-01-18 07:27:00.95	80.50	8.45	-84.3	-88.8	2.8	3.11e+01	0	47	104	0	60	1048575
2026-01-18 07:27:01.95	80.38	8.52	-83.9	-88.8	2.7	3.11e+01	0	47	104	0	60	1048575
2026-01-18 07:27:02.96	80.26	8.59	-83.9	-88.8	2.8	3.11e+01	0	47	104	0	60	1048575
2026-01-18 07:27:03.97	80.14	8.66	-84.3	-88.8	2.4	3.11e+01	0	47	104	0	60	1048575
2026-01-18 07:27:04.98	80.02	8.73	-84.3	-88.8	2.6	3.11e+01	0	47	104	0	60	1048575
2026-01-18 07:27:05.98	79.90	8.80	-84.3	-88.8	2.4	3.11e+01	0	47	104	0	60	1048575
2026-01-18 07:27:06.99	79.78	8.87	-83.9	-88.8	2.6	3.11e+01	0	47	104	0	60	1048575
2026-01-18 07:27:08.00	79.65	8.94	-84.3	-88.8	2.6	3.11e+01	0	47	104	0	60	1048575
2026-01-18 07:27:09.01	79.53	9.02	-84.3	-88.8	2.5	3.11e+01	0	47	104	0	60	1048575
