#Pass ID: 20260118_142851_TY-40
#Satellite: TY-40
#Configuration: TY-39
#almurnet v.1.7.20240730
#Start time: 2026-01-18 14:35:17

#Version: 2.2.20231116
#Station: R3.2S-Naryan-Mar
#Location: 53.008057 lon 67.646978 lat
#TLE: 1 56846U 23081A   26017.93462913  .00002965  00000-0  13379-3 0  9994
#TLE: 2 56846  97.3892  90.7975 0001744  76.5321 283.6109 15.21777823145154

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-18 14:35:17.10	0.50	10.51	-83.1	-79.0	2.4	0.00e+00	0	49	0	0	60	1048566
2026-01-18 14:35:18.10	0.27	10.46	-83.5	-79.0	2.5	0.00e+00	0	49	104	0	60	1048573
2026-01-18 14:35:19.10	0.03	10.42	-83.5	-79.0	2.4	0.00e+00	0	49	104	0	60	1048573
2026-01-18 14:35:20.11	359.80	10.36	-83.5	-79.0	2.3	0.00e+00	0	49	104	0	60	1048573
2026-01-18 14:35:21.12	359.56	10.31	-83.1	-79.0	2.5	0.00e+00	0	49	104	0	60	1048557
2026-01-18 14:35:22.12	359.33	10.26	-83.1	-79.0	2.4	0.00e+00	0	49	104	0	60	1048569
2026-01-18 14:35:23.13	359.10	10.21	-83.1	-79.0	2.4	0.00e+00	0	49	104	0	60	1048575
2026-01-18 14:35:24.14	358.87	10.16	-83.5	-79.0	2.4	0.00e+00	0	49	104	0	60	1048575
2026-01-18 14:35:25.15	358.64	10.11	-83.5	-79.0	2.3	0.00e+00	0	49	104	0	60	1048575
2026-01-18 14:35:26.16	358.41	10.06	-83.1	-79.0	2.3	0.00e+00	0	49	104	0	60	1048572
2026-01-18 14:35:27.17	358.19	10.00	-83.1	-79.0	2.3	0.00e+00	0	49	104	0	60	1048575
2026-01-18 14:35:28.17	357.96	9.95	-83.5	-79.0	2.3	0.00e+00	0	49	104	0	60	1048573
