#Pass ID: 20260118_153936_TY-41
#Satellite: TY-41
#Configuration: TY-39
#almurnet v.1.7.20240730
#Start time: 2026-01-18 15:39:41

#Version: 2.2.20231116
#Station: R3.2S-Naryan-Mar
#Location: 53.008057 lon 67.646978 lat
#TLE: 1 61231U 24173E   26018.25438657  .00008012  00000-0  38191-3 0 09993
#TLE: 2 61231 097.4123 093.2273 0001689 092.2184 306.3117 15.19177353 72997

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-18 15:39:41.26	108.95	0.28	-84.7	-88.6	2.8	7.77e-01	0	45	0	0	60	1048572
2026-01-18 15:39:42.26	108.88	0.34	-83.5	-79.0	2.4	0.00e+00	0	46	104	0	60	1048573
2026-01-18 15:39:43.27	108.82	0.40	-83.1	-79.0	2.4	0.00e+00	0	46	104	0	60	1048574
2026-01-18 15:39:44.27	108.75	0.46	-83.5	-79.0	2.4	0.00e+00	0	46	104	0	60	1048556
2026-01-18 15:39:45.28	108.68	0.52	-83.5	-79.0	2.6	0.00e+00	0	46	104	0	60	1048573
2026-01-18 15:39:46.28	108.61	0.58	-83.5	-79.0	2.2	0.00e+00	0	46	104	0	60	1048566
2026-01-18 15:39:47.28	108.54	0.64	-83.5	-79.0	2.4	0.00e+00	0	46	104	0	60	1048574
2026-01-18 15:39:48.29	108.47	0.71	-83.1	-79.0	2.3	0.00e+00	0	46	104	0	60	1048575
2026-01-18 15:39:49.30	108.40	0.77	-83.1	-79.0	2.5	0.00e+00	0	46	104	0	60	1048570
2026-01-18 15:39:50.31	108.33	0.83	-83.1	-79.0	2.4	0.00e+00	0	47	104	0	60	1048574
2026-01-18 15:39:51.32	108.26	0.89	-83.5	-79.0	2.4	0.00e+00	0	47	104	0	60	1048575
2026-01-18 15:39:52.32	108.19	0.95	-83.1	-79.0	2.5	0.00e+00	0	47	104	0	60	1048563
2026-01-18 15:39:53.33	108.12	1.01	-83.1	-79.0	2.4	0.00e+00	0	47	104	0	60	1048569
2026-01-18 15:39:54.34	108.05	1.07	-83.1	-79.0	2.5	0.00e+00	0	47	104	0	60	1048575
2026-01-18 15:39:55.35	107.97	1.14	-83.5	-79.0	2.4	0.00e+00	0	47	104	0	60	1048575
2026-01-18 15:39:56.36	107.90	1.20	-83.5	-79.0	2.3	0.00e+00	0	47	104	0	60	1048575
2026-01-18 15:39:57.36	107.83	1.26	-83.5	-79.0	2.4	0.00e+00	0	47	104	0	60	1048575
2026-01-18 15:39:58.37	107.75	1.32	-83.1	-79.0	2.4	0.00e+00	0	47	104	0	60	1048575
2026-01-18 15:39:59.37	107.68	1.38	-83.5	-79.0	2.4	0.00e+00	0	47	104	0	60	1048567
2026-01-18 15:40:00.38	107.60	1.45	-83.5	-79.0	2.4	0.00e+00	0	47	104	0	60	1048570
2026-01-18 15:40:01.38	107.53	1.51	-83.5	-79.0	2.5	0.00e+00	0	47	104	0	60	1048573
2026-01-18 15:40:02.39	107.46	1.57	-82.8	-79.0	2.4	0.00e+00	0	47	104	0	60	1048569
2026-01-18 15:40:03.40	107.38	1.63	-83.1	-79.0	2.3	0.00e+00	0	47	104	0	60	1048574
2026-01-18 15:40:04.41	107.30	1.70	-83.5	-79.0	2.3	0.00e+00	0	47	104	0	60	1048569
2026-01-18 15:40:05.42	107.23	1.76	-83.5	-79.0	2.4	0.00e+00	0	47	104	0	60	1048573
2026-01-18 15:40:06.43	107.15	1.82	-83.5	-79.0	2.5	0.00e+00	0	47	104	0	60	1048573
2026-01-18 15:40:07.44	107.07	1.89	-83.1	-79.0	2.4	0.00e+00	0	47	104	0	60	1048571
2026-01-18 15:40:08.44	106.99	1.95	-83.1	-79.0	2.4	0.00e+00	0	47	104	0	60	1048572
2026-01-18 15:40:09.45	106.92	2.01	-83.5	-79.0	2.4	0.00e+00	0	47	104	0	60	1048573
2026-01-18 15:40:10.46	106.84	2.08	-83.5	-79.0	2.3	0.00e+00	0	47	104	0	60	1048568
2026-01-18 15:40:11.47	106.76	2.14	-83.5	-79.0	2.3	0.00e+00	0	47	104	0	60	1048575
2026-01-18 15:40:12.48	106.68	2.21	-83.1	-79.0	2.4	0.00e+00	0	47	104	0	60	1048574
2026-01-18 15:40:13.48	106.60	2.27	-83.5	-79.0	2.3	0.00e+00	0	47	104	0	60	1048575
2026-01-18 15:40:14.49	106.52	2.34	-83.5	-79.0	2.3	0.00e+00	0	47	104	0	60	1048575
2026-01-18 15:40:15.50	106.44	2.40	-83.5	-79.0	2.4	0.00e+00	0	47	104	0	60	1048574
2026-01-18 15:40:16.51	106.35	2.47	-83.1	-79.0	2.2	0.00e+00	0	47	104	0	60	1048574
2026-01-18 15:40:17.51	106.27	2.53	-83.1	-79.0	2.4	0.00e+00	0	47	104	0	60	1048573
2026-01-18 15:40:18.51	106.19	2.59	-83.5	-79.0	2.3	0.00e+00	0	47	104	0	60	1048574
2026-01-18 15:40:19.52	106.11	2.66	-83.1	-79.0	2.4	0.00e+00	0	47	104	0	60	1048571
2026-01-18 15:40:20.53	106.02	2.73	-83.5	-79.0	2.3	0.00e+00	0	47	104	0	60	1048568
2026-01-18 15:40:21.54	105.94	2.79	-82.8	-79.0	2.3	0.00e+00	0	47	104	0	60	1048572
2026-01-18 15:40:22.54	105.86	2.86	-83.5	-79.0	2.3	0.00e+00	0	47	104	0	60	1048575
2026-01-18 15:40:23.55	105.77	2.92	-83.5	-79.0	2.4	0.00e+00	0	47	104	0	60	1048574
2026-01-18 15:40:24.56	105.68	2.99	-83.5	-79.0	2.2	0.00e+00	0	47	104	0	60	1048575
2026-01-18 15:40:25.56	105.60	3.05	-83.1	-79.0	2.3	0.00e+00	0	47	104	0	60	1048569
2026-01-18 15:40:26.57	105.51	3.12	-83.1	-79.0	2.3	0.00e+00	0	47	104	0	60	1048571
2026-01-18 15:40:27.58	105.43	3.19	-83.1	-79.0	2.4	0.00e+00	0	48	104	0	60	1048563
2026-01-18 15:40:28.58	105.34	3.25	-83.5	-79.0	2.4	0.00e+00	0	47	104	0	60	1048571
2026-01-18 15:40:29.59	105.25	3.32	-83.5	-79.0	2.4	0.00e+00	0	47	104	0	60	1048572
2026-01-18 15:40:30.60	105.16	3.39	-83.5	-79.0	2.3	0.00e+00	0	47	104	0	60	1048575
2026-01-18 15:40:31.60	105.07	3.45	-83.1	-79.0	2.4	0.00e+00	0	47	104	0	60	1048574
2026-01-18 15:40:32.61	104.98	3.52	-83.5	-79.0	2.4	0.00e+00	0	47	104	0	60	1048575
