#Pass ID: 20260118_122108_AQUA
#Satellite: AQUA
#Configuration: AQUA
#Start time: 2026-01-18 12:21:03

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 27424U 02022A   26015.92015591  .00000664  00000+0  14289-3 0  9993
#TLE: 2 27424  98.4082 342.3630 0002020  77.1389  16.3168 14.61822470261023

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2026-01-18 12:21:03.46	211.08	68.59	-35.2	-44.6	3.3	7674560	88	1762
2026-01-18 12:21:03.66	211.32	68.67	-35.1	-48.8	3.5	7570953	82	2885
2026-01-18 12:21:03.86	211.56	68.74	-35.0	-46.4	3.5	7580261	86	2230
2026-01-18 12:21:04.06	211.80	68.82	-35.3	-46.3	3.5	7631225	87	2123
2026-01-18 12:21:04.26	212.04	68.89	-35.3	-46.0	3.4	7645111	87	2048
2026-01-18 12:21:04.46	212.29	68.97	-35.3	-46.6	3.4	7583007	87	2206
2026-01-18 12:21:04.67	212.54	69.04	-35.3	-46.6	3.5	7601318	87	2198
2026-01-18 12:21:04.87	212.79	69.12	-35.3	-46.4	3.5	7586517	87	2151
2026-01-18 12:21:05.07	213.04	69.19	-35.2	-46.1	3.4	7594146	87	2076
2026-01-18 12:21:05.27	213.29	69.26	-35.3	-46.7	3.2	7543945	87	2211
2026-01-18 12:21:05.47	213.55	69.34	-35.3	-46.7	3.5	7597198	87	2230
2026-01-18 12:21:05.67	213.80	69.41	-35.3	-46.6	3.5	7583007	87	2191
2026-01-18 12:21:05.87	214.06	69.48	-35.3	-46.3	3.4	7608642	87	2115
2026-01-18 12:21:06.07	214.32	69.55	-35.3	-46.0	3.4	7660064	87	2058
2026-01-18 12:21:06.27	214.58	69.62	-35.3	-46.6	3.5	7576904	87	2196
2026-01-18 12:21:06.47	214.84	69.69	-35.3	-46.2	3.5	7585144	87	2101
2026-01-18 12:21:06.67	215.11	69.77	-35.2	-45.5	3.5	7593078	87	1946
2026-01-18 12:21:06.88	215.39	69.84	-35.3	-45.3	3.4	7633209	87	1896
2026-01-18 12:21:07.08	215.66	69.91	-35.2	-45.1	3.5	7563934	87	1865
2026-01-18 12:21:07.28	215.93	69.98	-35.1	-43.7	3.8	7481994	87	1620
2026-01-18 12:21:07.48	216.20	70.05	-35.0	-43.3	3.9	7460784	87	1551
2026-01-18 12:21:07.68	216.48	70.12	-34.8	-41.7	4.1	7403717	87	1312
2026-01-18 12:21:07.88	216.76	70.18	-34.7	-41.4	3.7	7451782	87	1298
2026-01-18 12:21:08.08	217.04	70.25	-34.5	-40.3	4.1	7209320	87	1164
2026-01-18 12:21:08.28	217.32	70.32	-33.8	-38.2	6.4	6804656	86	984
2026-01-18 12:21:08.48	217.60	70.39	-33.6	-37.6	7.0	6676483	85	945
2026-01-18 12:21:08.68	217.89	70.45	-33.3	-36.5	8.0	6568603	85	856
2026-01-18 12:21:08.89	218.19	70.52	-33.0	-36.0	8.7	6463775	84	841
2026-01-18 12:21:09.09	218.48	70.59	-32.8	-35.2	9.1	6363830	84	788
2026-01-18 12:21:09.29	218.77	70.66	-33.0	-36.0	9.0	6420593	84	840
2026-01-18 12:21:09.49	219.07	70.72	-33.0	-35.8	9.0	6419067	84	829
2026-01-18 12:21:09.69	219.36	70.78	-33.2	-36.5	8.5	6489868	84	876
2026-01-18 12:21:09.89	219.66	70.85	-33.0	-35.9	8.6	6463775	84	833
2026-01-18 12:21:10.09	219.96	70.91	-33.0	-35.8	9.0	6439819	84	820
2026-01-18 12:21:10.29	220.26	70.98	-33.1	-36.0	8.9	6434020	84	842
2026-01-18 12:21:10.49	220.57	71.04	-32.9	-35.6	9.4	6376495	84	811
2026-01-18 12:21:10.69	220.87	71.10	-33.0	-35.9	8.9	6423645	84	831
2026-01-18 12:21:10.89	221.18	71.16	-32.9	-35.7	9.5	6376342	84	827
2026-01-18 12:21:11.10	221.51	71.23	-32.9	-35.5	9.0	6426849	84	807
2026-01-18 12:21:11.30	221.82	71.29	-32.8	-35.6	9.5	6371002	83	826
2026-01-18 12:21:11.50	222.14	71.35	-33.0	-36.3	8.9	6435089	83	876
2026-01-18 12:21:11.70	222.46	71.41	-32.9	-35.8	9.4	6381835	83	842
2026-01-18 12:21:11.90	222.78	71.47	-33.0	-36.5	8.8	6437072	83	885
2026-01-18 12:21:12.10	223.10	71.53	-32.8	-35.5	9.5	6356964	83	821
2026-01-18 12:21:12.30	223.42	71.59	-32.9	-36.1	9.3	6392517	83	860
2026-01-18 12:21:12.50	223.75	71.64	-32.9	-36.2	9.5	6355590	83	867
2026-01-18 12:21:12.70	224.08	71.70	-33.2	-37.1	8.9	6445617	83	934
2026-01-18 12:21:12.90	224.41	71.76	-33.1	-36.7	9.1	6403656	83	909
2026-01-18 12:21:13.11	224.76	71.82	-33.2	-37.0	8.8	6421966	83	923
2026-01-18 12:21:13.31	225.09	71.87	-33.0	-36.3	9.1	6410827	83	875
2026-01-18 12:21:13.51	225.43	71.93	-33.1	-36.7	8.8	6466522	83	903
2026-01-18 12:21:13.71	225.77	71.98	-32.9	-35.8	9.1	6397857	83	838
2026-01-18 12:21:13.91	226.11	72.04	-33.2	-37.1	8.9	6417999	83	933
2026-01-18 12:21:14.11	226.46	72.09	-32.9	-35.8	9.5	6394195	83	834
2026-01-18 12:21:14.31	226.80	72.14	-33.4	-37.6	8.3	6538391	83	974
2026-01-18 12:21:14.51	227.15	72.19	-33.1	-36.6	8.7	6449279	83	895
2026-01-18 12:21:14.71	227.50	72.25	-33.3	-37.5	8.3	6508178	83	965
2026-01-18 12:21:14.91	227.85	72.30	-33.2	-37.0	8.6	6472625	83	920
2026-01-18 12:21:15.12	228.23	72.35	-33.3	-37.2	8.4	6493835	83	934
2026-01-18 12:21:15.32	228.58	72.40	-33.0	-36.3	9.2	6399841	83	870
2026-01-18 12:21:15.52	228.94	72.45	-33.3	-37.3	8.4	6507720	83	945
2026-01-18 12:21:15.72	229.30	72.50	-33.1	-36.7	8.8	6447143	83	895
2026-01-18 12:21:15.92	229.67	72.55	-33.6	-37.8	7.6	6635131	84	972
2026-01-18 12:21:16.12	230.03	72.59	-33.3	-36.7	8.2	6545715	84	881
2026-01-18 12:21:16.32	230.40	72.64	-33.6	-37.8	7.4	6649322	84	969
2026-01-18 12:21:16.52	230.77	72.69	-33.3	-36.7	8.4	6513061	84	879
2026-01-18 12:21:16.72	231.14	72.73	-33.5	-37.5	7.4	6645965	84	944
2026-01-18 12:21:16.92	231.51	72.78	-33.2	-36.4	8.7	6482696	84	861
