#Pass ID: 20260119_182331_METOP-C
#Satellite: METOP-C
#Configuration: METOP-C
#Start time: 2026-01-19 18:23:36.744712

#LorettStation: 1.0.0 05.05.2024
#Station: PlanumMoscow
#Location: 37.6253844 lon 55.6713361 lat
#TLE: 1 43689U 18087A   25293.88981035  .00000265  00000+0  14109-3 0  9997
#TLE: 2 43689  98.7006 352.4487 0002041 122.1097 238.0279 14.21482740360838

#Time	Az	El	Level	SNR
2026-01-19 18:27:15.235936	181.9	29.0	-63.7	0.0
2026-01-19 18:27:16.355225	182.0	29.2	-64.0	0.0
2026-01-19 18:27:17.472477	182.1	29.4	-65.3	0.0
2026-01-19 18:27:18.589730	182.2	29.6	-66.0	0.0
2026-01-19 18:27:19.706982	182.3	29.8	-65.6	0.0
2026-01-19 18:27:20.822748	182.4	30.0	-67.1	0.0
2026-01-19 18:27:21.942000	182.5	30.2	-65.9	0.0
2026-01-19 18:27:23.063253	182.6	30.4	-66.4	0.0
2026-01-19 18:27:24.179009	182.8	30.6	-65.7	0.0
2026-01-19 18:27:25.298262	182.9	30.8	-63.9	0.0
2026-01-19 18:27:26.415514	183.0	31.0	-64.5	0.0
2026-01-19 18:27:27.533767	183.1	31.3	-66.3	0.0
2026-01-19 18:27:28.654020	183.2	31.5	-65.3	0.0
2026-01-19 18:27:29.776273	183.4	31.7	-63.3	0.0
2026-01-19 18:27:30.901527	183.5	31.9	-65.6	0.0
2026-01-19 18:27:32.020780	183.6	32.1	-66.5	0.0
2026-01-19 18:27:33.143033	183.8	32.4	-65.0	0.0
2026-01-19 18:27:34.265287	183.9	32.6	-66.8	0.0
2026-01-19 18:27:35.387540	184.0	32.8	-65.9	0.0
2026-01-19 18:27:36.509794	184.2	33.0	-66.7	0.0
2026-01-19 18:27:37.632047	184.3	33.3	-63.7	0.0
2026-01-19 18:27:38.755805	184.4	33.5	-65.8	0.0
2026-01-19 18:27:39.878058	184.6	33.7	-66.0	0.0
2026-01-19 18:27:40.999312	184.7	34.0	-65.1	0.0
2026-01-19 18:27:42.121069	184.9	34.2	-66.0	0.0
2026-01-19 18:27:43.241322	185.0	34.4	-66.6	0.0
2026-01-19 18:27:44.361575	185.2	34.7	-64.5	0.0
2026-01-19 18:27:45.483828	185.3	34.9	-64.1	0.0
2026-01-19 18:27:46.601585	185.5	35.1	-63.6	0.0
2026-01-19 18:27:47.723838	185.6	35.4	-64.9	0.0
2026-01-19 18:27:48.846092	185.8	35.6	-64.4	0.0
2026-01-19 18:27:49.967345	185.9	35.9	-66.6	0.0
2026-01-19 18:27:51.089598	186.1	36.1	-66.2	0.0
2026-01-19 18:27:52.211356	186.3	36.4	-65.8	0.0
2026-01-19 18:27:53.333610	186.4	36.6	-64.9	0.0
2026-01-19 18:27:54.455863	186.6	36.9	-65.6	0.0
2026-01-19 18:27:55.580126	186.8	37.1	-66.7	0.0
2026-01-19 18:27:56.698378	187.0	37.4	-66.8	0.0
2026-01-19 18:27:57.820632	187.1	37.6	-64.9	0.0
2026-01-19 18:27:58.938884	187.3	37.9	-65.8	0.0
2026-01-19 18:28:00.057137	187.5	38.2	-65.3	0.0
2026-01-19 18:28:01.179390	187.7	38.4	-67.3	0.0
2026-01-19 18:28:02.298643	187.9	38.7	-65.2	0.0
2026-01-19 18:28:03.418905	188.1	38.9	-65.1	0.0
2026-01-19 18:28:04.539158	188.3	39.2	-66.1	0.0
2026-01-19 18:28:05.659411	188.5	39.5	-65.5	0.0
2026-01-19 18:28:06.781664	188.7	39.8	-66.7	0.0
2026-01-19 18:28:07.903926	188.9	40.0	-67.3	0.0
2026-01-19 18:28:09.024179	189.1	40.3	-66.7	0.0
2026-01-19 18:28:10.141431	189.3	40.6	-66.1	0.0
2026-01-19 18:28:11.260188	189.5	40.9	-65.4	0.0
2026-01-19 18:28:12.378449	189.8	41.1	-67.4	0.0
2026-01-19 18:28:13.499205	190.0	41.4	-66.4	0.0
